a	a˧˥
ba chục	ba˧˥ cuk͡p˨ˀ˩ʔ
ba cung	ba˧˥ kuŋ͡m˧˥
ba cây	ba˧˥ kɤ̆j˧˥
ba cùng	ba˧˥ kuŋ͡m˦˨
ba cọc ba đồng	ba˧˥ kɔk͡p˨ˀ˩ʔ ba˧˥ doŋ͡m˦˨
ba cụm bắc	ba˧˥ kum˨ˀ˩ʔ băk˦˥
ba cụm nam	ba˧˥ kum˨ˀ˩ʔ nam˧˥
ba dãy bảy khê	ba˧˥ jăj˧˩˨ băj˧˩˨ xe˧˥
ba dãy bảy toà	ba˧˥ jăj˧˩˨ băj˧˩˨ twa˦˨
ba gai	ba˧˥ ɣaj˧˥
ba gai ba ngạnh	ba˧˥ ɣaj˧˥ ba˧˥ ŋan˨ˀ˩ʔ
ba gai ba đồ	ba˧˥ ɣaj˧˥ ba˧˥ do˦˨
ba giăng	ba˧˥ jăŋ˧˥
ba giỏi	ba˧˥ jɔj˧˩˨
ba gác	ba˧˥ ɣak˦˥
ba gạc	ba˧˥ ɣak˨ˀ˩ʔ
ba hoa	ba˧˥ hwa˧˥
ba hoa chích choè	ba˧˥ hwa˧˥ cit˦˥ cwe˦˨
ba hoa chích chòe	ba˧˥ hwa˧˥ cit˦˥ cwe˦˨
ba hoa thiên tướng	ba˧˥ hwa˧˥ tʰiəŋ˧˥ tɯəŋ˩˧
ba hoa thiên địa	ba˧˥ hwa˧˥ tʰiəŋ˧˥ diə˨ˀ˩ʔ
ba hoa xích tốc	ba˧˥ hwa˧˥ sit˦˥ tok͡p˦˥
ba hoa xích đế	ba˧˥ hwa˧˥ sit˦˥ de˩˧
ba hàng	ba˧˥ haŋ˦˨
ba hồi	ba˧˥ hoj˦˨
ba hồn bảy vía	ba˧˥ hoŋ͡m˦˨ băj˧˩˨ jiə˩˧
ba hồn chín vía	ba˧˥ hoŋ͡m˦˨ cin˩˧ jiə˩˧
ba hột sức	ba˧˥ hok͡p˨ˀ˩ʔ ʂɯk˦˥
ba khan	ba˧˥ xaŋ˧˥
ba khía	ba˧˥ xiə˩˧
ba không	ba˧˥ xoŋ͡m˧˥
ba kích	ba˧˥ kit˦˥
ba kỳ	ba˧˥ ki˦˨
ba la	ba˧˥ la˧˥
ba lai	ba˧˥ laj˧˥
ba liên	ba˧˥ liəŋ˧˥
ba lo bảy liệu	ba˧˥ lɔ˧˥ băj˧˩˨ liəw˨ˀ˩ʔ
ba làng an	ba˧˥ laŋ˦˨ aŋ˧˥
ba làng bảy chợ	ba˧˥ laŋ˦˨ băj˧˩˨ cɤ˨ˀ˩ʔ
ba lá	ba˧˥ la˩˧
ba láp	ba˧˥ lap˦˥
ba lém	ba˧˥ lɛm˩˧
ba lê	ba˧˥ le˧˥
ba lòng	ba˧˥ lɔŋ͡m˦˨
ba lô	ba˧˥ lo˧˥
ba lông	ba˧˥ loŋ͡m˧˥
ba lăng nhăng	ba˧˥ lăŋ˧˥ ɲăŋ˧˥
ba lơn	ba˧˥ lɤŋ˧˥
ba lần bảy lượt	ba˧˥ lɤ̆ŋ˦˨ băj˧˩˨ lɯək˨ˀ˩ʔ
ba lừa bảy lọc	ba˧˥ lɯə˦˨ băj˧˩˨ lɔk͡p˨ˀ˩ʔ
ba má	ba˧˥ ma˩˧
ba máu sáu cơn	ba˧˥ măw˩˧ ʂăw˩˧ kɤŋ˧˥
ba mùn	ba˧˥ muŋ͡m˦˨
ba mũi giáp công	ba˧˥ muj˧˩˨ jap˦˥ koŋ͡m˧˥
ba mươi	ba˧˥ mɯəj˧˥
ba mươi sáu chước	ba˧˥ mɯəj˧˥ ʂăw˩˧ cɯək˦˥
ba mươi sáu cái nõn nường	ba˧˥ mɯəj˧˥ ʂăw˩˧ kaj˩˧ nɔŋ͡m˧˩˨ nɯəŋ˦˨
ba mươi tết	ba˧˥ mɯəj˧˥ tet˦˥
ba mươi được ăn, mồng một tìm đến	ba˧˥ mɯəj˧˥ dɯək˨ˀ˩ʔ ăŋ˧˥ moŋ͡m˦˨ mok͡p˨ˀ˩ʔ tim˦˨ den˩˧
ba mặt một lời	ba˧˥ măk˨ˀ˩ʔ mok͡p˨ˀ˩ʔ lɤj˦˨
ba mớ	ba˧˥ mɤ˩˧
ba mứa	ba˧˥ mɯə˩˧
ba na	ba˧˥ na˧˥
ba nam	ba˧˥ nam˧˥
ba nang	ba˧˥ naŋ˧˥
ba ngay	ba˧˥ ŋăj˧˥
ba ngày	ba˧˥ ŋăj˦˨
ba ngòi	ba˧˥ ŋɔj˦˨
ba ngôi	ba˧˥ ŋoj˧˥
ba ngạc	ba˧˥ ŋak˨ˀ˩ʔ
ba nhất	ba˧˥ ɲɤ̆k˦˥
ba phải	ba˧˥ faj˧˩˨
ba que	ba˧˥ wɛ˧˥
ba que xỏ lá	ba˧˥ wɛ˧˥ sɔ˧˩˨ la˩˧
ba quyết tâm	ba˧˥ wiɛk˦˥ tɤ̆m˧˥
ba quân	ba˧˥ wɤ̆ŋ˧˥
ba rem	ba˧˥ ʐɛm˧˥
ba ri e	ba˧˥ ʐi˧˥ ɛ˧˥
ba rọi	ba˧˥ ʐɔj˨ˀ˩ʔ
ba sao	ba˧˥ ʂaw˧˥
ba sinh	ba˧˥ ʂin˧˥
ba sinh hương lửa	ba˧˥ ʂin˧˥ hɯəŋ˧˥ lɯə˧˩˨
ba soi	ba˧˥ ʂɔj˧˥
ba sôi hai lạnh	ba˧˥ ʂoj˧˥ haj˧˥ lan˨ˀ˩ʔ
ba sương một nắng	ba˧˥ ʂɯəŋ˧˥ mok͡p˨ˀ˩ʔ năŋ˩˧
ba sẵn sàng	ba˧˥ ʂăŋ˧˩˨ ʂaŋ˦˨
ba thu	ba˧˥ tʰu˧˥
ba thành	ba˧˥ tʰan˦˨
ba tháng	ba˧˥ tʰaŋ˩˧
ba tháng mười ngày	ba˧˥ tʰaŋ˩˧ mɯəj˦˨ ŋăj˦˨
ba tháng trông cây một ngày trông quả	ba˧˥ tʰaŋ˩˧ ʈoŋ͡m˧˥ kɤ̆j˧˥ mok͡p˨ˀ˩ʔ ŋăj˦˨ ʈoŋ͡m˧˥ wa˧˩˨
ba thê bảy thiếp	ba˧˥ tʰe˧˥ băj˧˩˨ tʰiəp˦˥
ba thúng cũng vào một đấu	ba˧˥ tʰuŋ͡m˩˧ kuŋ͡m˧˩˨ jaw˦˨ mok͡p˨ˀ˩ʔ dɤ̆w˩˧
ba thắc	ba˧˥ tʰăk˦˥
ba thứ quân	ba˧˥ tʰɯ˩˧ wɤ̆ŋ˧˥
ba thứ tóc	ba˧˥ tʰɯ˩˧ tɔk͡p˦˥
ba tiêu	ba˧˥ tiəw˧˥
ba toong	ba˧˥ tɔŋ͡m˧˥
ba toác	ba˧˥ twak˦˥
ba trang	ba˧˥ ʈaŋ˧˥
ba tri	ba˧˥ ʈi˧˥
ba trinh	ba˧˥ ʈin˧˥
ba trui	ba˧˥ ʈuj˧˥
ba trá	ba˧˥ ʈa˩˧
ba trăng	ba˧˥ ʈăŋ˧˥
ba trại	ba˧˥ ʈaj˨ˀ˩ʔ
ba trợn	ba˧˥ ʈɤŋ˨ˀ˩ʔ
ba trợn ba trạc	ba˧˥ ʈɤŋ˨ˀ˩ʔ ba˧˥ ʈak˨ˀ˩ʔ
ba trợn ba trạo	ba˧˥ ʈɤŋ˨ˀ˩ʔ ba˧˥ ʈaw˨ˀ˩ʔ
ba tui	ba˧˥ tuj˧˥
ba tuần	ba˧˥ twɤ̆ŋ˦˨
ba tê	ba˧˥ te˧˥
ba tô	ba˧˥ to˧˥
ba tơ	ba˧˥ tɤ˧˥
ba tấc lưỡi	ba˧˥ tɤ̆k˦˥ lɯəj˧˩˨
ba tầng	ba˧˥ tɤ̆ŋ˦˨
ba vinh	ba˧˥ jin˧˥
ba vuông bảy tròn	ba˧˥ juəŋ˧˥ băj˧˩˨ ʈɔŋ͡m˦˨
ba vuông sánh với bảy tròn	ba˧˥ juəŋ˧˥ ʂan˩˧ jɤj˩˧ băj˧˩˨ ʈɔŋ͡m˦˨
ba vành	ba˧˥ jan˦˨
ba vành bảy vẻ	ba˧˥ jan˦˨ băj˧˩˨ jɛ˧˩˨
ba vành sơn son	ba˧˥ jan˦˨ ʂɤŋ˧˥ ʂɔŋ͡m˧˥
ba vì	ba˧˥ ji˦˨
ba vòng	ba˧˥ jɔŋ͡m˦˨
ba vùng chiến lược	ba˧˥ juŋ͡m˦˨ ciəŋ˩˧ lɯək˨ˀ˩ʔ
ba vạ	ba˧˥ ja˨ˀ˩ʔ
ba vạn chín nghìn	ba˧˥ jaŋ˨ˀ˩ʔ cin˩˧ ŋin˦˨
ba vạn sáu nghìn ngày	ba˧˥ jaŋ˨ˀ˩ʔ ʂăw˩˧ ŋin˦˨ ŋăj˦˨
ba xa	ba˧˥ sa˧˥
ba xuân	ba˧˥ swɤ̆ŋ˧˥
ba xôi nhồi một chõ	ba˧˥ soj˧˥ ɲoj˦˨ mok͡p˨ˀ˩ʔ cɔ˧˩˨
ba xạo	ba˧˥ saw˨ˀ˩ʔ
ba điền	ba˧˥ diəŋ˦˨
ba đào	ba˧˥ daw˦˨
ba đình	ba˧˥ din˦˨
ba đông	ba˧˥ doŋ͡m˧˥
ba đảm đang	ba˧˥ dam˧˩˨ daŋ˧˥
ba đấng ba loài	ba˧˥ dɤ̆ŋ˩˧ ba˧˥ lwaj˦˨
ba đầu sáu tay	ba˧˥ dɤ̆w˦˨ ʂăw˩˧ tăj˧˥
ba đậu	ba˧˥ dɤ̆w˨ˀ˩ʔ
ba đậu nam	ba˧˥ dɤ̆w˨ˀ˩ʔ nam˧˥
ba đậu tây	ba˧˥ dɤ̆w˨ˀ˩ʔ tɤ̆j˧˥
ba đồn	ba˧˥ doŋ͡m˦˨
ba động	ba˧˥ doŋ͡m˨ˀ˩ʔ
ba đời	ba˧˥ dɤj˦˨
ba đời bảy họ	ba˧˥ dɤj˦˨ băj˧˩˨ hɔ˨ˀ˩ʔ
ba-dan	ba˧˥-jaŋ˧˥
ba-dô-ca	ba˧˥-jo˧˥-ka˧˥
ba-dơ	ba˧˥-jɤ˧˥
ba-ga	ba˧˥-ɣa˧˥
ba-hi	ba˧˥-hi˧˥
ba-ke-lit	ba˧˥-kɛ˧˥-lit˧˥
ba-ke-lít	ba˧˥-kɛ˧˥-lit˦˥
ba-lát	ba˧˥-lak˦˥
ba-lê	ba˧˥-le˧˥
ba-lô	ba˧˥-lo˧˥
ba-lông	ba˧˥-loŋ͡m˧˥
ba-ren	ba˧˥-ʐɛŋ˧˥
ba-ri	ba˧˥-ʐi˧˥
ba-ri-e	ba˧˥-ʐi˧˥-ɛ˧˥
ba-ta	ba˧˥-ta˧˥
ba-tanh	ba˧˥-tan˧˥
ba-ti-nê	ba˧˥-ti˧˥-ne˧˥
ba-toong	ba˧˥-tɔŋ͡m˧˥
ba-trui, ba-tui	ba˧˥-ʈuj˧˥ ba˧˥-tuj˧˥
ba-tui	ba˧˥-tuj˧˥
ba-tê	ba˧˥-te˧˥
ba-tê-sô	ba˧˥-te˧˥-ʂo˧˥
ba-tăng	ba˧˥-tăŋ˧˥
ba-xí ba-tú	ba˧˥-si˩˧ ba˧˥-tu˩˧
ba-đờ-xuy	ba˧˥-dɤ˦˨-swi˧˥
bai	baj˧˥
bai bải	baj˧˥ baj˧˩˨
bai miệng	baj˧˥ miəŋ˨ˀ˩ʔ
bam cửa	bam˧˥ kɯə˧˩˨
ban	baŋ˧˥
ban bí thư	baŋ˧˥ bi˩˧ tʰɯ˧˥
ban bệ	baŋ˧˥ be˨ˀ˩ʔ
ban bố	baŋ˧˥ bo˩˧
ban chiều	baŋ˧˥ ciəw˦˨
ban chấp hành	baŋ˧˥ cɤ̆p˦˥ han˦˨
ban chấp uỷ	baŋ˧˥ cɤ̆p˦˥ wi˧˩˨
ban chỉ huy	baŋ˧˥ ci˧˩˨ hwi˧˥
ban cua	baŋ˧˥ kuə˧˥
ban công	baŋ˧˥ koŋ͡m˧˥
ban cấp	baŋ˧˥ kɤ̆p˦˥
ban giám hiệu	baŋ˧˥ jam˩˧ hiəw˨ˀ˩ʔ
ban giám đốc	baŋ˧˥ jam˩˧ dok͡p˦˥
ban gỉ sắt	baŋ˧˥ ɣi˧˩˨ ʂăk˦˥
ban hành	baŋ˧˥ han˦˨
ban hồng	baŋ˧˥ hoŋ͡m˦˨
ban khen	baŋ˧˥ xɛŋ˧˥
ban lao	baŋ˧˥ law˧˥
ban leo	baŋ˧˥ leo˧˥
ban long	baŋ˧˥ lɔŋ͡m˧˥
ban mai	baŋ˧˥ maj˧˥
ban miêu	baŋ˧˥ miəw˧˥
ban ngày	baŋ˧˥ ŋăj˦˨
ban ngày ban mặt	baŋ˧˥ ŋăj˦˨ baŋ˧˥ măk˨ˀ˩ʔ
ban nhật	baŋ˧˥ ɲɤ̆k˨ˀ˩ʔ
ban nãy	baŋ˧˥ năj˧˩˨
ban phát	baŋ˧˥ fak˦˥
ban sáng	baŋ˧˥ ʂaŋ˩˧
ban sơ	baŋ˧˥ ʂɤ˧˥
ban sớm	baŋ˧˥ ʂɤm˩˧
ban thưởng	baŋ˧˥ tʰɯəŋ˧˩˨
ban thứ	baŋ˧˥ tʰɯ˩˧
ban trưa	baŋ˧˥ ʈɯə˧˥
ban trắng	baŋ˧˥ ʈăŋ˩˧
ban tặng	baŋ˧˥ tăŋ˨ˀ˩ʔ
ban tối	baŋ˧˥ toj˩˧
ban vàng	baŋ˧˥ jaŋ˦˨
ban xuất huyết	baŋ˧˥ swɤ̆k˦˥ hwiək˦˥
ban ân	baŋ˧˥ ɤ̆ŋ˧˥
ban đào	baŋ˧˥ daw˦˨
ban đêm	baŋ˧˥ dem˧˥
ban đầu	baŋ˧˥ dɤ̆w˦˨
ban đỏ	baŋ˧˥ dɔ˧˩˨
ban ơn	baŋ˧˥ ɤŋ˧˥
ban-công	baŋ˧˥-koŋ͡m˧˥
ban-giô	baŋ˧˥-jo˧˥
ban-me	baŋ˧˥-mɛ˧˥
bang	baŋ˧˥
bang biện	baŋ˧˥ biəŋ˨ˀ˩ʔ
bang gia	baŋ˧˥ ja˧˥
bang giao	baŋ˧˥ jaw˧˥
bang trưởng	baŋ˧˥ ʈɯəŋ˧˩˨
bang trợ	baŋ˧˥ ʈɤ˨ˀ˩ʔ
bang tá	baŋ˧˥ ta˩˧
banh	ban˧˥
bao	baw˧˥
bao biếm	baw˧˥ biəm˩˧
bao biện	baw˧˥ biəŋ˨ˀ˩ʔ
bao bì	baw˧˥ bi˦˨
bao bọc	baw˧˥ bɔk͡p˨ˀ˩ʔ
bao bố	baw˧˥ bo˩˧
bao cao su	baw˧˥ kaw˧˥ ʂu˧˥
bao cao-su	baw˧˥ kaw˧˥-ʂu˧˥
bao che	baw˧˥ cɛ˧˥
bao chiếm	baw˧˥ ciəm˩˧
bao chầy	baw˧˥ cɤ̆j˦˨
bao chừ	baw˧˥ cɯ˦˨
bao cấp	baw˧˥ kɤ̆p˦˥
bao dai	baw˧˥ jaj˧˥
bao dong	baw˧˥ jɔŋ͡m˧˥
bao dung	baw˧˥ juŋ͡m˧˥
bao dung hột cải rộng rãi trôn kim	baw˧˥ juŋ͡m˧˥ hok͡p˨ˀ˩ʔ kaj˧˩˨ ʐoŋ͡m˨ˀ˩ʔ ʐaj˧˩˨ ʈoŋ͡m˧˥ kim˧˥
bao giờ	baw˧˥ jɤ˦˨
bao gói	baw˧˥ ɣɔj˩˧
bao gồm	baw˧˥ ɣom˦˨
bao hoa	baw˧˥ hwa˧˥
bao hàm	baw˧˥ ham˦˨
bao hình	baw˧˥ hin˦˨
bao la	baw˧˥ la˧˥
bao la thiên địa	baw˧˥ la˧˥ tʰiəŋ˧˥ diə˨ˀ˩ʔ
bao lan	baw˧˥ laŋ˧˥
bao lâu	baw˧˥ lɤ̆w˧˥
bao lâu nay	baw˧˥ lɤ̆w˧˥ năj˧˥
bao lăm	baw˧˥ lăm˧˥
bao lơn	baw˧˥ lɤŋ˧˥
bao mua	baw˧˥ muə˧˥
bao nhiêu	baw˧˥ ɲiəw˧˥
bao nài	baw˧˥ naj˦˨
bao nả	baw˧˥ na˧˩˨
bao nỡ	baw˧˥ nɤ˧˩˨
bao phấn	baw˧˥ fɤ̆ŋ˩˧
bao phủ	baw˧˥ fu˧˩˨
bao quanh	baw˧˥ wan˧˥
bao quát	baw˧˥ wak˦˥
bao quản	baw˧˥ waŋ˧˩˨
bao sá	baw˧˥ ʂa˩˧
bao sân	baw˧˥ ʂɤ̆ŋ˧˥
bao tay	baw˧˥ tăj˧˥
bao thơ	baw˧˥ tʰɤ˧˥
bao thầu	baw˧˥ tʰɤ̆w˦˨
bao tiêu	baw˧˥ tiəw˧˥
bao trùm	baw˧˥ ʈum˦˨
bao tượng	baw˧˥ tɯəŋ˨ˀ˩ʔ
bao tải	baw˧˥ taj˧˩˨
bao tời	baw˧˥ tɤj˦˨
bao tử	baw˧˥ tɯ˧˩˨
bao vây	baw˧˥ jɤ̆j˧˥
bao vây kinh tế	baw˧˥ jɤ̆j˧˥ kin˧˥ te˩˧
bao xa	baw˧˥ sa˧˥
bao xiết	baw˧˥ siək˦˥
bao đồng	baw˧˥ doŋ͡m˦˨
bay	băj˧˥
bay biến	băj˧˥ biəŋ˩˧
bay bướm	băj˧˥ bɯəm˩˧
bay bổng	băj˧˥ boŋ͡m˧˩˨
bay chuyền	băj˧˥ cwiəŋ˦˨
bay hơi	băj˧˥ hɤj˧˥
bay hồn bạt vía	băj˧˥ hoŋ͡m˦˨ bak˨ˀ˩ʔ jiə˩˧
bay la	băj˧˥ la˧˥
bay la bay chuyền	băj˧˥ la˧˥ băj˧˥ cwiəŋ˦˨
bay liệng	băj˧˥ liəŋ˨ˀ˩ʔ
bay là	băj˧˥ la˦˨
bay lượn	băj˧˥ lɯəŋ˨ˀ˩ʔ
bay lả bay la	băj˧˥ la˧˩˨ băj˧˥ la˧˥
bay màu	băj˧˥ măw˦˨
bay mùi	băj˧˥ muj˦˨
bay nhảy	băj˧˥ ɲăj˧˩˨
bay đầu	băj˧˥ dɤ̆w˦˨
bay-on-nét	băj˧˥-ɔŋ͡m˧˥-nɛk˦˥
be	bɛ˧˥
be be	bɛ˧˥ bɛ˧˥
be bé	bɛ˧˥ bɛ˩˧
be bét	bɛ˧˥ bɛk˦˥
be con chạch	bɛ˧˥ kɔŋ͡m˧˥ cak˨ˀ˩ʔ
be he	bɛ˧˥ hɛ˧˥
be thuyền	bɛ˧˥ tʰwiəŋ˦˨
be-ri-li	bɛ˧˥-ʐi˧˥-li˧˥
bem	bɛm˧˥
bem bép	bɛm˧˥ bɛp˦˥
ben	bɛŋ˧˥
ben-den	bɛŋ˧˥-jɛŋ˧˥
ben-tô-nít	bɛŋ˧˥-to˧˥-nit˦˥
beng	bɛŋ˧˥
beng beng	bɛŋ˧˥ bɛŋ˧˥
beo	beo˧˥
beo béo	beo˧˥ beo˩˧
bi	bi˧˥
bi ai	bi˧˥ aj˧˥
bi ba bi bô	bi˧˥ ba˧˥ bi˧˥ bo˧˥
bi bô	bi˧˥ bo˧˥
bi ca	bi˧˥ ka˧˥
bi chí	bi˧˥ ci˩˧
bi cảm	bi˧˥ kam˧˩˨
bi da	bi˧˥ ja˧˥
bi hoan	bi˧˥ hwaŋ˧˥
bi hoài	bi˧˥ hwaj˦˨
bi hài	bi˧˥ haj˦˨
bi hài kịch	bi˧˥ haj˦˨ kit˨ˀ˩ʔ
bi hùng	bi˧˥ huŋ͡m˦˨
bi khúc	bi˧˥ xuk͡p˦˥
bi kí	bi˧˥ ki˩˧
bi kí học	bi˧˥ ki˩˧ hɔk͡p˨ˀ˩ʔ
bi ký	bi˧˥ ki˩˧
bi kịch	bi˧˥ kit˨ˀ˩ʔ
bi li	bi˧˥ li˧˥
bi luỵ	bi˧˥ lwi˨ˀ˩ʔ
bi lụy	bi˧˥ luj˨ˀ˩ʔ
bi quan	bi˧˥ waŋ˧˥
bi sầu	bi˧˥ ʂɤ̆w˦˨
bi thiết	bi˧˥ tʰiək˦˥
bi thu	bi˧˥ tʰu˧˥
bi thương	bi˧˥ tʰɯəŋ˧˥
bi thảm	bi˧˥ tʰam˧˩˨
bi tráng	bi˧˥ ʈaŋ˩˧
bi văn	bi˧˥ jăŋ˧˥
bi đup	bi˧˥ dup˧˥
bi đát	bi˧˥ dak˦˥
bi đình	bi˧˥ din˦˨
bi đông	bi˧˥ doŋ͡m˧˥
bi-a	bi˧˥-a˧˥
bi-da	bi˧˥-ja˧˥
bi-da-ma	bi˧˥-ja˧˥-ma˧˥
bi-dăng-tin	bi˧˥-jăŋ˧˥-tin˧˥
bi-ki-ni	bi˧˥-ki˧˥-ni˧˥
bi-tum	bi˧˥-tum˧˥
bi-ăng-tin	bi˧˥-ăŋ˧˥-tin˧˥
bi-đông	bi˧˥-doŋ͡m˧˥
bia	biə˧˥
bia bọt	biə˧˥ bɔk͡p˨ˀ˩ʔ
bia chai	biə˧˥ caj˧˥
bia danh	biə˧˥ jan˧˥
bia hơi	biə˧˥ hɤj˧˥
bia hộp	biə˧˥ hop˨ˀ˩ʔ
bia lon	biə˧˥ lɔŋ͡m˧˥
bia miệng	biə˧˥ miəŋ˨ˀ˩ʔ
bia tươi	biə˧˥ tɯəj˧˥
bia đá bảng vàng	biə˧˥ da˩˧ baŋ˧˩˨ jaŋ˦˨
bia đá tượng đồng	biə˧˥ da˩˧ tɯəŋ˨ˀ˩ʔ doŋ͡m˦˨
bia đỡ đạn	biə˧˥ dɤ˧˩˨ daŋ˨ˀ˩ʔ
bin	bin˧˥
bin đinh	bin˧˥ din˧˥
bin-đinh	bin˧˥-din˧˥
binh	bin˧˥
binh biến	bin˧˥ biəŋ˩˧
binh bị	bin˧˥ bi˨ˀ˩ʔ
binh bộ	bin˧˥ bo˨ˀ˩ʔ
binh bộ thượng thư	bin˧˥ bo˨ˀ˩ʔ tʰɯəŋ˨ˀ˩ʔ tʰɯ˧˥
binh chế	bin˧˥ ce˩˧
binh chủng	bin˧˥ cuŋ͡m˧˩˨
binh cách	bin˧˥ kak˦˥
binh công xưởng	bin˧˥ koŋ͡m˧˥ sɯəŋ˧˩˨
binh cơ	bin˧˥ kɤ˧˥
binh dịch	bin˧˥ jit˨ˀ˩ʔ
binh gia	bin˧˥ ja˧˥
binh giới	bin˧˥ jɤj˩˧
binh hoạ	bin˧˥ hwa˨ˀ˩ʔ
binh hoả	bin˧˥ hwa˧˩˨
binh hùng tướng giỏi	bin˧˥ huŋ͡m˦˨ tɯəŋ˩˧ jɔj˧˩˨
binh hùng tướng mạnh	bin˧˥ huŋ͡m˦˨ tɯəŋ˩˧ man˨ˀ˩ʔ
binh khí	bin˧˥ xi˩˧
binh khố	bin˧˥ xo˩˧
binh lính	bin˧˥ lin˩˧
binh lương	bin˧˥ lɯəŋ˧˥
binh lược	bin˧˥ lɯək˨ˀ˩ʔ
binh lửa	bin˧˥ lɯə˧˩˨
binh lực	bin˧˥ lɯk˨ˀ˩ʔ
binh mã	bin˧˥ ma˧˩˨
binh nghiệp	bin˧˥ ŋiəp˨ˀ˩ʔ
binh ngũ	bin˧˥ ŋu˧˩˨
binh nhu	bin˧˥ ɲu˧˥
binh nhung	bin˧˥ ɲuŋ͡m˧˥
binh nhì	bin˧˥ ɲi˦˨
binh nhất	bin˧˥ ɲɤ̆k˦˥
binh pháp	bin˧˥ fap˦˥
binh phí	bin˧˥ fi˩˧
binh phục	bin˧˥ fuk͡p˨ˀ˩ʔ
binh quyền	bin˧˥ wiɛŋ˦˨
binh sĩ	bin˧˥ ʂi˧˩˨
binh sự	bin˧˥ ʂɯ˨ˀ˩ʔ
binh thuyền	bin˧˥ tʰwiəŋ˦˨
binh thư	bin˧˥ tʰɯ˧˥
binh thế	bin˧˥ tʰe˩˧
binh trạm	bin˧˥ ʈam˨ˀ˩ʔ
binh tình	bin˧˥ tin˦˨
binh uy	bin˧˥ wi˧˥
binh vận	bin˧˥ jɤ̆ŋ˨ˀ˩ʔ
binh vụ	bin˧˥ ju˨ˀ˩ʔ
binh xưởng	bin˧˥ sɯəŋ˧˩˨
binh đao	bin˧˥ daw˧˥
binh đao khói lửa	bin˧˥ daw˧˥ xɔj˩˧ lɯə˧˩˨
binh đoàn	bin˧˥ dwaŋ˦˨
binh đội	bin˧˥ doj˨ˀ˩ʔ
biên	biəŋ˧˥
biên bản	biəŋ˧˥ baŋ˧˩˨
biên chép	biəŋ˧˥ cɛp˦˥
biên chú	biəŋ˧˥ cu˩˧
biên chế	biəŋ˧˥ ce˩˧
biên cương	biəŋ˧˥ kɯəŋ˧˥
biên cảnh	biəŋ˧˥ kan˧˩˨
biên dạng	biəŋ˧˥ jaŋ˨ˀ˩ʔ
biên dịch	biəŋ˧˥ jit˨ˀ˩ʔ
biên giang	biəŋ˧˥ jaŋ˧˥
biên giới	biəŋ˧˥ jɤj˩˧
biên hoà	biəŋ˧˥ hwa˦˨
biên khu	biəŋ˧˥ xu˧˥
biên khảo	biəŋ˧˥ xaw˧˩˨
biên lai	biəŋ˧˥ laj˧˥
biên mậu	biəŋ˧˥ mɤ̆w˨ˀ˩ʔ
biên nhận	biəŋ˧˥ ɲɤ̆ŋ˨ˀ˩ʔ
biên niên	biəŋ˧˥ niəŋ˧˥
biên niên sử	biəŋ˧˥ niəŋ˧˥ ʂɯ˧˩˨
biên phòng	biəŋ˧˥ fɔŋ͡m˦˨
biên phương	biəŋ˧˥ fɯəŋ˧˥
biên quan	biəŋ˧˥ waŋ˧˥
biên soạn	biəŋ˧˥ ʂwaŋ˨ˀ˩ʔ
biên sơn	biəŋ˧˥ ʂɤŋ˧˥
biên thuật	biəŋ˧˥ tʰwɤ̆k˨ˀ˩ʔ
biên thuỳ	biəŋ˧˥ tʰwi˦˨
biên thành	biəŋ˧˥ tʰan˦˨
biên thùy	biəŋ˧˥ tʰuj˦˨
biên tu	biəŋ˧˥ tu˧˥
biên tái	biəŋ˧˥ taj˩˧
biên tập	biəŋ˧˥ tɤ̆p˨ˀ˩ʔ
biên tập viên	biəŋ˧˥ tɤ̆p˨ˀ˩ʔ jiəŋ˧˥
biên tịch	biəŋ˧˥ tit˨ˀ˩ʔ
biên uỷ	biəŋ˧˥ wi˧˩˨
biên uỷ viên	biəŋ˧˥ wi˧˩˨ jiəŋ˧˥
biên viễn	biəŋ˧˥ jiəŋ˧˩˨
biên đình	biəŋ˧˥ din˦˨
biên đạo	biəŋ˧˥ daw˨ˀ˩ʔ
biên độ	biəŋ˧˥ do˨ˀ˩ʔ
biên đội	biəŋ˧˥ doj˨ˀ˩ʔ
biên ải	biəŋ˧˥ aj˧˩˨
biêng biếc	biəŋ˧˥ biək˦˥
biêt	biək˧˥
biếc	biək˦˥
biếm	biəm˩˧
biếm hoạ	biəm˩˧ hwa˨ˀ˩ʔ
biếm họa	biəm˩˧ hwa˨ˀ˩ʔ
biếm quyền	biəm˩˧ wiɛŋ˦˨
biếm truất	biəm˩˧ ʈwɤ̆k˦˥
biến	biəŋ˩˧
biến báo	biəŋ˩˧ baw˩˧
biến chuyển	biəŋ˩˧ cwiəŋ˧˩˨
biến chất	biəŋ˩˧ cɤ̆k˦˥
biến chế	biəŋ˩˧ ce˩˧
biến chủng	biəŋ˩˧ cuŋ͡m˧˩˨
biến chứng	biəŋ˩˧ cɯŋ˩˧
biến cách	biəŋ˩˧ kak˦˥
biến cải	biəŋ˩˧ kaj˧˩˨
biến cảm	biəŋ˩˧ kam˧˩˨
biến cố	biəŋ˩˧ ko˩˧
biến di	biəŋ˩˧ ji˧˥
biến diễn	biəŋ˩˧ jiəŋ˧˩˨
biến dạng	biəŋ˩˧ jaŋ˨ˀ˩ʔ
