а	ɑ
баварія	bɐʋɑrʲijɐ
бавитися	bɑʋetesʲɐ
бавовна	bɐwɔu̯nɐ
бавовняний	bɐwɔu̯nʲɐnei̯
бавовняний	bɐwɔu̯nʲɑnei̯
багаж	bɐɦɑʒ
багатий	bɐɦɑtei̯
багато	bɐɦɑtɔ
багатовіковий	bɐɦɐtɔʋʲikɔʋɪi̯
багатогодинний	bɐɦɐtɔɦɔdɪnːei̯
багатогранний	bɐɦɐtɔɦrɑnːei̯
багатозначний	bɐɦɐtɔznɑt͡ʃnei̯
багатокутник	bɐɦɐtokutnek
багатолюдний	bɐɦɐtolʲudnei̯
багатолітній	bɐɦɐtolʲitʲnʲii̯
багатомовний	bɐɦɐtɔmɔu̯nei̯
багатомовність	bɐɦɐtɔmɔu̯nʲisʲtʲ
багатоповерховий	bɐɦɐtɔpɔʋerxɔʋei̯
багаторічний	bɐɦɐtorʲit͡ʃnei̯
багатошлюбний	bɐɦɐtoʃlʲubnei̯
багатошлюбність	bɐɦɐtoʃlʲubnʲisʲtʲ
багатство	bɐɦɑt͡stwɔ
багаття	bɐɦɑtʲːɐ
багнистий	bɐɦnɪstei̯
багно	bɐɦnɔ
багряний	bɐɦrʲɑnei̯
баддя	bɐdʲːɑ
бадьорий	bɐdʲɔrei̯
бажання	bɐʒɑnʲːɐ
бажати	bɐʒɑte
база	bɑzɐ
байдужий	bɐi̯duʒei̯
байдужість	bɐi̯duʒʲisʲtʲ
байрак	bɐi̯rɑk
байт	bɑi̯t
баклажан	bɐkɫɐʒɑn
баклан	bɐkɫɑn
бактеріальний	bɐkterʲiɑlʲnei̯
бактеріологічний	bɐkterʲiɔɫoɦʲit͡ʃnei̯
бактеріологія	bɐkterʲiɔɫɔɦʲijɐ
бактерія	bɐktɛrʲijɐ
балкон	bɐɫkɔn
банан	bɐnɑn
бангладеш	bɐnɦɫɐdɛʃ
банк	bɑnk
банкнота	bɐnknɔtɐ
банків	bɑnʲkʲiu̯
банківський	bɑnʲkʲiu̯sʲkei̯
баня	bɑnʲɐ
бараболя	bɐrɐbɔlʲɐ
баран	bɐrɑn
баранина	bɐrɑnenɐ
барва	bɑrʋɐ
барвник	bɐrwnɪk
барвінок	bɐrʋʲinɔk
барельєф	bɐrelʲjɛf
барза	bɑrzɐ
баритися	bɐrɪtesʲɐ
барліг	bɐrlʲiɦ
баскетбол	bɐskedbɔɫ
баский	bɐskɪi̯
баско	bɐskɔ
батальйон	bɐtɐlʲjɔn
батон	bɐtɔn
батько	bɑtʲkɔ
батьківщина	bɐtʲkʲiu̯ʃt͡ʃɪnɐ
батьківщина	bɑtʲkʲiu̯ʃt͡ʃenɐ
батяр	bɐtʲɑr
батяри	bɐtʲɑre
батяри	bɑtʲɐre
батярка	bɐtʲɑrkɐ
батярка	bɑtʲɐrkɐ
батярки	bɐtʲɐrkɪ
батярувати	bɐtʲɐrʊʋɑte
батіг	bɐtʲiɦ
бацяр	bɑt͡sʲɐr
бачення	bɑt͡ʃenʲːɐ
бачити	bɑt͡ʃete
бджола	bd͡ʒɔɫɑ
бджолосім'я	bd͡ʒɔɫɔsʲimjɑ
бджілка	bd͡ʒʲiɫkɐ
бджільництво	bd͡ʒʲilʲnɪt͡stwɔ
бегемот	beɦemɔt
бедринець	bedrɪnet͡sʲ
беж	bɛʒ
бежевий	bɛʒeʋei̯
без	bɛz
безболісний	bezbɔlʲisnei̯
безболісність	bezbɔlʲisʲnʲisʲtʲ
безбородий	bezbɔrɔdei̯
безвідповідальний	bezʲʋʲidpɔʋʲidɑlʲnei̯
безвідповідально	bezʲʋʲidpɔʋʲidɑlʲnɔ
безвідповідальність	bezʲʋʲidpɔʋʲidɑlʲnʲisʲtʲ
безвідсотковий	bezʲʋʲid͡zsɔtkɔʋei̯
безглуздий	bezɦɫuzdei̯
безглуздя	bezɦɫuzʲdʲɐ
безглуздість	bezɦɫuzʲdʲisʲtʲ
безготівковий	bezɦɔtʲiu̯kɔʋei̯
безграмотний	bezɦrɑmɔtnei̯
безграмотність	bezɦrɑmɔtʲnʲisʲtʲ
бездоганний	bezdɔɦɑnːei̯
бездоганно	bezdɔɦɑnːɔ
бездомний	bezdɔmnei̯
бездумний	bezdumnei̯
безжальний	beʒːɑlʲnei̯
безжалісний	beʒːɑlʲisnei̯
безжурний	beʒːurnei̯
беззастережний	bezːɐsterɛʒnei̯
беззахисний	bezːɐxɪsnei̯
беззахисний	bezːɑxesnei̯
беззбройний	bezːbrɔi̯nei̯
беззубий	bezːubei̯
безконечний	bezkɔnɛt͡ʃnei̯
безкоштовний	bezkɔʃtɔu̯nei̯
безкраїй	bezkrɑjii̯
безкраїсть	bezkrɑjisʲtʲ
безкінечний	bezʲkʲinɛt͡ʃnei̯
безлюддя	bezʲlʲudʲːɐ
безлюдний	bezʲlʲudnei̯
безліч	bɛzʲlʲit͡ʃ
безматок	bezmɑtɔk
безмежний	bezmɛʒnei̯
безмін	bɛzʲmʲin
безнадійний	beznɐdʲii̯nei̯
безнадійно	beznɐdʲii̯nɔ
безнадійність	beznɐdʲii̯nʲisʲtʲ
безособовий	bezɔsɔbɔʋei̯
безпека	bezpɛkɐ
безперебійний	bezperebʲii̯nei̯
безперервний	bezperɛrwnei̯
безпечний	bezpɛt͡ʃnei̯
безплатний	bezpɫɑtnei̯
безпомічний	bezpɔmʲit͡ʃnei̯
безпорадний	bezpɔrɑdnei̯
безпосередньо	bezpɔserɛdʲnʲɔ
безпосередній	bezpɔserɛdʲnʲii̯
безпрецедентний	bezpret͡sedɛntnei̯
безприкладний	bezprɪkɫɐdnei̯
безпритульний	bezpretulʲnei̯
безпроцентний	bezprɔt͡sɛntnei̯
безпідставний	bezʲpʲid͡zstɑu̯nei̯
безпілотний	bezʲpʲiɫɔtnei̯
безробітний	bezrobʲitnei̯
безробіття	bezrobʲitʲːɐ
безсмертний	bezsmɛrtnei̯
безсмертя	bezsmɛrtʲɐ
безсторонній	bezstɔrɔnʲːii̯
безсторонність	bezstɔrɔnʲːisʲtʲ
безстрашний	bezstrɑʃnei̯
безстроковий	bezstrɔkɔʋei̯
безсумнівний	bezsʊmnʲiu̯nei̯
безтурботний	beztʊrbɔtnei̯
безумовний	bezʊmɔu̯nei̯
безцінний	bezʲt͡sʲinːei̯
безчесний	beʒt͡ʃɛsnei̯
безшумний	beʒʃumnei̯
безіменний	bezʲimɛnːei̯
белград	beɫɦrɑd
бельгійський	belʲɦʲii̯sʲkei̯
бельгія	bɛlʲɦʲijɐ
беліз	belʲiz
белґрад	beɫɡrɑd
бензин	benzɪn
бензиновий	benzɪnɔʋei̯
бензовоз	benzɔwɔz
бенін	benʲin
бенін	bɛnʲin
бервено	berʋenɔ
бере	berɛ
берег	bɛreɦ
береговий	bereɦɔʋɪi̯
берегти	bereɦtɪ
бережок	bereʒɔk
береза	berɛzɐ
березень	bɛrezenʲ
березовий	berɛzɔʋei̯
бересклет	bereskɫɛt
бересть	bɛresʲtʲ
берестя	berɛsʲtʲɐ
беркут	bɛrkʊt
берлін	berlʲin
беріг	bɛrʲiɦ
бесіда	bɛsʲidɐ
бета	bɛtɐ
бетон	betɔn
бетонний	betɔnːei̯
бетономішалка	betɔnɔmʲiʃɑɫkɐ
бетяр	bɛtʲɐr
бидло	bɪdɫɔ
бик	bɪk
бика	bekɑ
бистрий	bɪstrei̯
битв	bɪtʋ
битва	bɪtʋɐ
битвам	bɪtʋɐm
битвами	bɪtʋɐme
битвах	bɪtʋɐx
битви	bɪtʋe
битво	bɪtwɔ
битвою	bɪtwɔjʊ
битву	bɪtwʊ
битві	bɪtʲʋʲi
бити	bɪte
битися	bɪtesʲɐ
благий	bɫɐɦɪi̯
благо	bɫɑɦɔ
благоговійний	bɫɐɦɔɦɔʋʲii̯nei̯
благоговіння	bɫɐɦɔɦɔʋʲinʲːɐ
благоговіти	bɫɐɦɔɦɔʋʲite
блакитний	bɫɐkɪtnei̯
блакить	bɫɐkɪtʲ
ближчий	bɫɪʒt͡ʃei̯
близнюк	bɫezʲnʲuk
близнюки	bɫezʲnʲʊkɪ
близнята	bɫezʲnʲɑtɐ
близький	bɫezʲkɪi̯
близько	bɫɪzʲkɔ
близькість	bɫɪzʲkʲisʲtʲ
блискавка	bɫɪskɐu̯kɐ
блокад	bɫɔkɑd
блокада	bɫɔkɑdɐ
блокадам	bɫɔkɑdɐm
блокадами	bɫɔkɑdɐme
блокадах	bɫɔkɑdɐx
блокади	bɫɔkɑde
блокадою	bɫɔkɑdɔjʊ
блокаду	bɫɔkɑdʊ
блокаді	bɫɔkɑdʲi
блокнот	bɫɔknɔt
блокувати	bɫɔkʊʋɑte
блоха	bɫɔxɑ
блювати	blʲʊʋɑte
блювотний	blʲʊwɔtnei̯
блюзнірство	blʲʊzʲnʲirstwɔ
бо	bɔ
бобер	bɔbɛr
бог	bɔɦ
богатир	bɔɦɐtɪr
богдан	bɔɦdɑn
богдана	bɔɦdɑnɐ
богиня	bɔɦɪnʲɐ
богомаз	bɔɦɔmɑz
богоподібний	bɔɦɔpodʲibnei̯
богослов	bɔɦɔsɫɔu̯
богослов'я	bɔɦɔsɫɔʋjɐ
богословський	bɔɦɔsɫɔu̯sʲkei̯
богослів'я	bɔɦosʲlʲiʋjɐ
боже	bɔʒe
божевілля	bɔʒeʋʲilʲːɐ
божевільний	bɔʒeʋʲilʲnei̯
божественне	bɔʒɛstʋenːe
божественний	bɔʒɛstʋenːei̯
бойко	bɔi̯kɔ
бойкот	bɔi̯kɔt
бойкотувати	bɔi̯kɔtʊʋɑte
болгари	bɔɫɦɑre
болгарин	bɔɫɦɑren
болгарка	bɔɫɦɑrkɐ
болгарський	bɔɫɦɑrsʲkei̯
болгарія	bɔɫɦɑrʲijɐ
болниця	bɔɫnɪt͡sʲɐ
болотистий	bɔɫɔtɪstei̯
болото	bɔɫɔtɔ
болючий	bolʲut͡ʃei̯
болівія	bolʲiʋʲijɐ
боліти	bolʲite
бомба	bɔmbɐ
бомбосховище	bɔmbɔsxɔʋeʃt͡ʃe
бондар	bɔndɐr
бондарня	bɔndɑrnʲɐ
бонус	bɔnʊs
бонуса	bɔnʊsɐ
бонусам	bɔnʊsɐm
бонусами	bɔnʊsɐme
бонусах	bɔnʊsɐx
бонуси	bɔnʊse
бонусові	bɔnʊsɔʋʲi
бонусом	bɔnʊsɔm
бонусу	bɔnʊsʊ
бонусі	bɔnʊsʲi
бонусів	bɔnʊsʲiu̯
борг	bɔrɦ
боржник	bɔrʒnɪk
боржниця	bɔrʒnɪt͡sʲɐ
борис	bɔrɪs
борода	bɔrɔdɑ
бородавка	bɔrɔdɑu̯kɐ
бородатий	bɔrɔdɑtei̯
борозна	bɔrɔznɑ
борона	bɔrɔnɑ
боротися	bɔrɔtesʲɐ
боротьба	bɔrɔdʲbɑ
борошно	bɔrɔʃnɔ
борсук	borsuk
борщ	bɔrʃt͡ʃ
бос	bɔs
босий	bɔsei̯
босняцький	bɔsʲnʲɑt͡sʲkei̯
боснійський	bosʲnʲii̯sʲkei̯
боснія	bɔsʲnʲijɐ
босоногий	bɔsɔnɔɦei̯
босоніж	bɔsɔnʲiʒ
боягузливий	bɔjɐɦuzɫeʋei̯
боятися	bɔjɑtesʲɐ
боєць	bɔjɛt͡sʲ
бразилець	brɐzɪɫet͡sʲ
бразильський	brɐzɪlʲsʲkei̯
бразилія	brɐzɪlʲijɐ
брак	brɑk
брам	brɑm
брама	brɑmɐ
брамам	brɑmɐm
брамами	brɑmɐme
брамах	brɑmɐx
брами	brɑme
брамо	brɑmɔ
брамою	brɑmɔjʊ
браму	brɑmʊ
брамі	brɑmʲi
брат	brɑt
братерський	brɐtɛrsʲkei̯
брати	brɐtɪ
брати	brɑte
братислава	brɐtesɫɑʋɐ
братній	brɑtʲnʲii̯
братський	brɑt͡sʲkei̯
братів	brɑtʲiu̯
брест	brɛst
брехати	brexɑte
брехень	brɛxenʲ
брехло	brexɫɔ
брехнею	brexnɛjʊ
брехню	brexnʲu
брехня	brexnʲɑ
брехням	brɛxnʲɐm
брехнями	brɛxnʲɐme
брехнях	brɛxnʲɐx
брехні	brexnʲi
брехні	brɛxnʲi
брехун	brexun
бридкий	bredkɪi̯
брижа	brɪʒɐ
британський	bretɑnʲsʲkei̯
британія	bretɑnʲijɐ
бритва	brɪtʋɐ
брити	brɪte
брова	brɔʋɑ
броварня	brɔʋɑrnʲɐ
бронза	brɔnzɐ
бронзовий	brɔnzɔʋei̯
брошура	broʃurɐ
бруд	brud
брудний	brʊdnɪi̯
бруднити	brʊdnɪte
бруднитися	brʊdnɪtesʲɐ
брусниця	brʊsnɪt͡sʲɐ
брухт	bruxt
брюссельський	brʲʊsːɛlʲsʲkei̯
брід	brʲid
бубна	bubnɐ
був	buu̯
бувай	bʊʋɑi̯
бувайте	bʊʋɑi̯te
бувати	bʊʋɑte
бугай	bʊɦɑi̯
будапешт	bʊdɐpɛʃt
будапештський	bʊdɐpɛsʲt͡sʲkei̯
будда	budːɐ
будинок	bʊdɪnɔk
будова	bʊdɔʋɐ
буду	budʊ
будування	bʊdʊʋɑnʲːɐ
будувати	bʊdʊʋɑte
будучи	budʊt͡ʃe
будьмо	budʲmɔ
будяк	bʊdʲɑk
будівельник	bʊdʲiʋɛlʲnek
будівельниця	bʊdʲiʋɛlʲnet͡sʲɐ
будівля	bʊdʲiu̯lʲɐ
будівник	bʊdʲiu̯nɪk
будівництво	bʊdʲiu̯nɪt͡stwɔ
бузина	bʊzenɑ
бузок	bʊzɔk
буй	bui̯
буйний	bui̯nei̯
буква	bukʋɐ
буквальний	bʊkʋɑlʲnei̯
букініст	bʊkʲinʲist
була	bʊɫɑ
булава	bʊɫɐʋɑ
були	bʊɫɪ
бульба	bulʲbɐ
бунт	bunt
бур'ян	bʊrjɑn
бурдей	bʊrdɛi̯
буревій	bʊreʋʲii̯
буржуазний	bʊrʒʊɑznei̯
бурлак	bʊrɫɑk
бурмило	bʊrmɪɫɔ
бурулька	bʊrulʲkɐ
бурунді	bʊrunʲdʲi
бурштин	bʊrʃtɪn
бурштиновий	bʊrʃtenɔʋei̯
буря	burʲɐ
буряк	bʊrʲɑk
бутан	bʊtɑn
бутерброд	bʊterbrɔd
бути	bute
буття	bʊtʲːɑ
бухарест	bʊxɐrɛst
бухгалтер	bʊɦɦɑɫter
бухгалтерка	bʊɦɦɑɫterkɐ
бюджет	bʲʊd͡ʒɛt
бюро	bʲʊrɔ
бюрократ	bʲʊrɔkrɑt
бюрократичний	bʲʊrɔkrɐtɪt͡ʃnei̯
бюрократка	bʲʊrɔkrɑtkɐ
бюрократія	bʲʊrɔkrɑtʲijɐ
бюст	bʲust
бібліоманія	bʲiblʲiɔmɑnʲijɐ
бібліотека	bʲiblʲiɔtɛkɐ
бібліотекар	bʲiblʲiɔtɛkɐr
бібліотекарка	bʲiblʲiɔtɛkɐrkɐ
бібліофіл	bʲiblʲiofʲiɫ
біблія	bʲiblʲijɐ
біг	bʲiɦ
бігати	bʲiɦɐte
бігти	bʲiɦte
біда	bʲidɑ
бідний	bʲidnei̯
біднота	bʲidnɔtɐ
біднота	bʲidnɔtɑ
бідність	bʲidʲnʲisʲtʲ
бідувати	bʲidʊʋɑte
біженець	bʲiʒenet͡sʲ
біженка	bʲiʒenkɐ
біженський	bʲiʒenʲsʲkei̯
бізнес	bʲiznes
бізон	bʲizɔn
бік	bʲik
білий	bʲiɫei̯
білка	bʲiɫkɐ
білодід	bʲiɫodʲid
білок	bʲiɫɔk
білолиций	bʲiɫɔɫɪt͡sei̯
білорус	bʲiɫorus
білоруска	bʲiɫoruskɐ
білорусь	bʲiɫorusʲ
білоруська	bʲiɫorusʲkɐ
білоруський	bʲiɫorusʲkei̯
білосніжка	bʲiɫosʲnʲiʒkɐ
білосніжний	bʲiɫosʲnʲiʒnei̯
біль	bʲilʲ
більш	bʲilʲʃ
більшати	bʲilʲʃɐte
більше	bʲilʲʃe
більший	bʲilʲʃei̯
більшого	bʲilʲʃɔɦɔ
більшості	bʲilʲʃɔsʲtʲi
більшість	bʲilʲʃʲisʲtʲ
біля	bʲilʲɐ
бінокль	bʲinɔklʲ
біографія	bʲiɔɦrɑfʲijɐ
біолог	bʲiɔɫɔɦ
біологічний	bʲiɔɫoɦʲit͡ʃnei̯
біологія	bʲiɔɫɔɦʲijɐ
біомаса	bʲiɔmɑsɐ
біоматеріал	bʲiɔmɐterʲiɑɫ
біомедицина	bʲiɔmedet͡sɪnɐ
біометрія	bʲiɔmɛtʲrʲijɐ
біомеханіка	bʲiɔmexɑnʲikɐ
біомолекула	bʲiɔmɔɫɛkʊɫɐ
біржа	bʲirʒɐ
бірюзовий	bʲirʲʊzɔʋei̯
біс	bʲis
бісексуал	bʲiseksʊɑɫ
бісексуальний	bʲiseksʊɑlʲnei̯
бісексуальність	bʲiseksʊɑlʲnʲisʲtʲ
бішкек	bʲiʃkɛk
в'язень	ʋjɑzenʲ
в'язи	ʋjɑze
в'язниця	ʋjɐznɪt͡sʲɐ
в'ячеслав	ʋjɐt͡ʃesɫɑu̯
в'єтнам	ʋjetnɑm
в'єтнамський	ʋjetnɑmsʲkei̯
в'їзд	ʋjizd
вага	ʋɐɦɑ
вагання	ʋɐɦɑnʲːɐ
вагатися	ʋɐɦɑtesʲɐ
ваги	ʋɐɦɪ
ваги	ʋɑɦe
ваговий	ʋɐɦɔʋɪi̯
вагінальний	ʋɐɦʲinɑlʲnei̯
вагітна	ʋɐɦʲitnɐ
вагітний	ʋɐɦʲitnei̯
вагітність	ʋɐɦʲitʲnʲisʲtʲ
вад	ʋɑd
вада	ʋɑdɐ
вадам	ʋɑdɐm
вадами	ʋɑdɐme
вадах	ʋɑdɐx
вади	ʋɑde
вадо	ʋɑdɔ
вадою	ʋɑdɔjʊ
ваду	ʋɑdʊ
ваді	ʋɑdʲi
важкий	ʋɐʒkɪi̯
важко	ʋɑʒkɔ
важкодоступний	ʋɐʒkɔdostupnei̯
важливий	ʋɐʒɫɪʋei̯
важливість	ʋɐʒɫɪʋʲisʲtʲ
важчий	ʋɑʒt͡ʃei̯
важіль	ʋɑʒʲilʲ
вайло	ʋɐi̯ɫɔ
вакації	ʋɐkɑt͡sʲiji
вакцина	ʋɐkt͡sɪnɐ
вакцинація	ʋɐkt͡senɑt͡sʲijɐ
вакцинувати	ʋɐkt͡senʊʋɑte
валентина	ʋɐɫentɪnɐ
валець	ʋɐɫɛt͡sʲ
валюта	ʋɐlʲutɐ
валютний	ʋɐlʲutnei̯
валіза	ʋɐlʲizɐ
вам	ʋɑm
вами	ʋɑme
ванна	ʋɑnːɐ
вантажити	ʋɐntɑʒete
вантажівка	ʋɐntɐʒʲiu̯kɐ
вареник	ʋɐrɛnek
вареники	ʋɐrɛneke
вареників	ʋɐrɛnekʲiu̯
варити	ʋɐrɪte
вартість	ʋɑrtʲisʲtʲ
варшав'янин	ʋɐrʃɐʋjɑnen
варшав'янка	ʋɐrʃɐʋjɑnkɐ
варшава	ʋɐrʃɑʋɐ
варшавський	ʋɐrʃɑu̯sʲkei̯
варіант	ʋɐrʲiɑnt
варіанта	ʋɐrʲiɑntɐ
варіантам	ʋɐrʲiɑntɐm
варіантами	ʋɐrʲiɑntɐme
варіантах	ʋɐrʲiɑntɐx
варіанти	ʋɐrʲiɑnte
варіантові	ʋɐrʲiɑntɔʋʲi
варіантом	ʋɐrʲiɑntɔm
варіанту	ʋɐrʲiɑntʊ
варіанті	ʋɐrʲiɑnʲtʲi
варіантів	ʋɐrʲiɑnʲtʲiu̯
варіація	ʋɐrʲiɑt͡sʲijɐ
вас	ʋɑs
василь	ʋɐsɪlʲ
вата	ʋɑtɐ
ватра	ʋɑtrɐ
ватру	ʋɑtrʊ
ватрушка	ʋɐtruʃkɐ
ваш	ʋɑʃ
ваша	ʋɑʃɐ
ваше	ʋɑʃe
вашингтон	ʋɐʃenɦtɔn
ваші	ʋɑʃʲi
вбивати	wbeʋɑte
вбивство	wbɪu̯stwɔ
вбити	wbɪte
вважати	ʋːɐʒɑte
вважатися	ʋːɐʒɑtesʲɐ
ввести	ʋːestɪ
ввесь	ʋːɛsʲ
ввечері	ʋːɛt͡ʃerʲi
вводити	ʋːɔdete
ввімкнути	ʋʲːimknute
ввічливий	ʋʲːit͡ʃɫeʋei̯
вголос	wɦɔɫɔs
вдова	wdɔʋɑ
вдовець	wdɔʋɛt͡sʲ
вдосвіта	wdɔsʲʋʲitɐ
вдруге	wdruɦe
вдячний	wdʲɑt͡ʃnei̯
вдячність	wdʲɑt͡ʃnʲisʲtʲ
ведмідь	ʋedʲmʲidʲ
ведуча	ʋedut͡ʃɐ
ведучий	ʋedut͡ʃei̯
вежа	ʋɛʒɐ
везти	ʋeztɪ
великдень	ʋeɫɪɡdenʲ
великий	ʋeɫɪkei̯
великобританія	ʋeɫekɔbretɑnʲijɐ
великодній	ʋeɫekɔdʲnʲii̯
великодушний	ʋeɫekoduʃnei̯
великодушність	ʋeɫekoduʃnʲisʲtʲ
великомученик	ʋeɫekomut͡ʃenek
великомучениця	ʋeɫekomut͡ʃenet͡sʲɐ
величезний	ʋeɫet͡ʃɛznei̯
велиґдень	ʋeɫɪɡdenʲ
велосипед	ʋeɫɔsepɛd
велосипедист	ʋeɫɔsepedɪst
велосипедистка	ʋeɫɔsepedɪstkɐ
велоспорт	ʋeɫɔspɔrt
вельможа	ʋelʲmɔʒɐ
вен	ʋɛn
вена	ʋɛnɐ
венам	ʋɛnɐm
венами	ʋɛnɐme
венах	ʋɛnɐx
венесуела	ʋenesʊɛɫɐ
венеціанець	ʋenet͡sʲiɑnet͡sʲ
венеціанка	ʋenet͡sʲiɑnkɐ
венеціанський	ʋenet͡sʲiɑnʲsʲkei̯
венеція	ʋenɛt͡sʲijɐ
вени	ʋɛne
вено	ʋɛnɔ
веною	ʋɛnɔjʊ
вентиляція	ʋentelʲɑt͡sʲijɐ
вену	ʋɛnʊ
вені	ʋɛnʲi
вепр	ʋɛpr
вербальний	ʋerbɑlʲnei̯
верблюд	ʋerblʲud
верем'я	ʋerɛmjɐ
верес	ʋɛres
вересень	ʋɛresenʲ
веретено	ʋeretɛnɔ
верифікація	ʋerefʲikɑt͡sʲijɐ
вероніка	ʋeronʲikɐ
верства	ʋerstʋɑ
версія	ʋɛrsʲijɐ
вертикальний	ʋertekɑlʲnei̯
вертоліт	ʋertolʲit
вертіти	ʋertʲite
верф	ʋɛrf
верх	ʋɛrx
верхній	ʋɛrxnʲii̯
верховна	ʋerxɔu̯nɐ
верховний	ʋerxɔu̯nei̯
вершина	ʋerʃɪnɐ
вершки	ʋerʃkɪ
вершків	ʋerʃkʲiu̯
веселий	ʋesɛɫei̯
веселка	ʋesɛɫkɐ
весна	ʋesnɑ
весняний	ʋesʲnʲɐnɪi̯
весняний	ʋesʲnʲɑnei̯
вестернізація	ʋesternʲizɑt͡sʲijɐ
вести	ʋestɪ
вестися	ʋestɪsʲɐ
весь	ʋɛsʲ
весілля	ʋesʲilʲːɐ
весільна	ʋesʲilʲnɐ
весільний	ʋesʲilʲnei̯
ветхий	ʋɛtxei̯
вечер	ʋet͡ʃɛr
вечеря	ʋet͡ʃɛrʲɐ
вечеряти	ʋet͡ʃɛrʲɐte
вечері	ʋet͡ʃɛrʲi
вечора	ʋɛt͡ʃɔrɐ
вечори	ʋet͡ʃɔrɪ
вечорі	ʋɛt͡ʃɔrʲi
вечорів	ʋet͡ʃorʲiu̯
вечір	ʋɛt͡ʃʲir
вечірка	ʋet͡ʃʲirkɐ
вечірній	ʋet͡ʃʲirnʲii̯
вже	wʒɛ
вживати	wʒeʋɑte
вжити	wʒɪte
взагалі	wzɐɦɐlʲi
взаємний	wzɐjɛmnei̯
взаємно	wzɐjɛmnɔ
взаємодія	wzɐjemodʲijɐ
взаємодіяння	wzɐjemodʲijɐnʲːɐ
взаємодіяти	wzɐjemodʲijɐte
взаємозалежний	wzɐjemɔzɐɫɛʒnei̯
взаємозалежність	wzɐjemɔzɐɫɛʒnʲisʲtʲ
взаємоповага	wzɐjemɔpɔʋɑɦɐ
взимку	wzɪmkʊ
взуття	wzʊtʲːɑ
взуттєвий	wzʊtʲːɛʋei̯
взяти	wzʲɑte
взірець	wzʲirɛt͡sʲ
взірцевий	wzʲirt͡sɛʋei̯
взірцеві	wzʲirt͡sɛʋʲi
ви	ʋɪ
вибачати	ʋebɐt͡ʃɑte
вибачити	ʋɪbɐt͡ʃete
вибачте	ʋɪbɐt͡ʃte
вибирати	ʋeberɑte
вибиратися	ʋeberɑtesʲɐ
виборам	ʋɪbɔrɐm
виборами	ʋɪbɔrɐme
виборах	ʋɪbɔrɐx
виборець	ʋɪbɔret͡sʲ
вибори	ʋɪbɔre
виборові	ʋɪbɔrɔʋʲi
вибором	ʋɪbɔrɔm
вибору	ʋɪbɔrʊ
виборчий	ʋɪbɔrt͡ʃei̯
виборі	ʋɪbɔrʲi
виборів	ʋɪbɔrʲiu̯
вибрати	ʋɪbrɐte
вибратися	ʋɪbrɐtesʲɐ
вибудовувати	ʋebʊdɔwʊʋɐte
вибудувати	ʋɪbʊdʊʋɐte
вибух	ʋɪbʊx
вибуховий	ʋebʊxɔʋei̯
вибір	ʋɪbʲir
вивезти	ʋɪʋezte
виверження	ʋɪʋerʒenʲːɐ
вивчати	ʋeu̯t͡ʃɑte
вивчити	ʋɪu̯t͡ʃete
вивільга	ʋɪʋʲilʲɦɐ
вигляд	ʋɪɦlʲɐd
виглядати	ʋeɦlʲɐdɑte
виглянути	ʋɪɦlʲɐnʊte
вигода	ʋɪɦɔdɐ
виграш	ʋɪɦrɐʃ
вигук	ʋɪɦʊk
вигідний	ʋɪɦʲidnei̯
вид	ʋɪd
видання	ʋedɐnʲːɑ
видання	ʋedɑnʲːɐ
видатний	ʋedɐtnɪi̯
виделка	ʋedɛɫkɐ
видимий	ʋɪdemei̯
видимість	ʋɪdemʲisʲtʲ
видовище	ʋedɔʋeʃt͡ʃe
видра	ʋɪdrɐ
видужати	ʋɪdʊʒɐte
видужувати	ʋeduʒʊʋɐte
видіння	ʋedʲinʲːɐ
виживання	ʋeʒeʋɑnʲːɐ
виживати	ʋeʒeʋɑte
вижити	ʋɪʒete
вижлоктати	ʋɪʒɫɔktɐte
вижлуктати	ʋɪʒɫʊktɐte
вижлуктити	ʋɪʒɫʊktete
виз	ʋɪz
визнавати	ʋeznɐʋɑte
визнання	ʋeznɑnʲːɐ
визнати	ʋɪznɐte
