ላይ	lˈaj
የተለዩ	jˈətələju
የተነሳው	jˈətənəsaw
የተወለደ	jˈətəwələdə
የተወለዱ	jˈətəwələdu
የተወደደ	jˈətəwədədə
የተገነባ	jˈətəɡənəβa
የነገሥታት	jˈənəɡəsɨtat
የኖረው	jˈənorəw
የአረብ	jˈəʔarəb
የአስተዳደር	jˈəʔasɨtədadər
የአየርላንድ	jˈəʔajərɨlanɨd
የኤላም	jˈəʔelam
የእንስሳት	jˈəʔɨnɨsɨsat
የከተማዋ	jˈəkətəmawa
የከፍተኛ	jˈəkəfɨtəɲa
የኪሽ	jˈəkiʃ
የካልኩለስ	jˈəkalɨkuləs
የዘውድ	jˈəzəwɨd
የዚሁ	jˈəzihu
የዛፍ	jˈəzaf
የደርግ	jˈədərɨɡ
የደብረ	jˈədəβɨrə
የጉዞ	jˈəɡuzo
የጋብቻ	jˈəɡaβɨt͡ʃa
የጠላት	jˈət`əlat
የጠበቀ	jˈət`əβək`ə
የጽሑፍ	jˈətsɨhuf
ዩ	jˈu
ያዘ	jˈazə
ይህች	jˈɨhɨt͡ʃ
ይሙት	jˈɨmut
ይባሉ	jˈɨβalu
ዮሴፉስ	jˈosefus
ደብር	dˈəβɨr
ደጅ	dˈəd͡ʒ
ጃንሆይ	d͡ʒˈanɨhoj
ጆርጅ	d͡ʒˈorɨd͡ʒ
ገላነሽ	ɡˈəlanəʃ
ገመድ	ɡˈəməd
ገዝቶ	ɡˈəzɨto
ገጥመው	ɡˈət`ɨməw
ጉብኝት	ɡˈuβɨɲɨt
ጋዝ	ɡˈaz
ጌታዬ	ɡˈetaje
ግልባጭ	ɡˈɨlɨβat͡ʃ`
ግምብ	ɡˈɨmɨb
ግዛታቸውን	ɡˈɨzatat͡ʃəwɨn
ጎሳ	ɡˈosa
ጠለል	t`ˈələl
ጡት	t`ˈut
ጣልያኖች	t`ˈalɨjanot͡ʃ
ጣና	t`ˈana
ጣኦታት	t`ˈaʔotat
ጥምረት	t`ˈɨmɨrət
ጥራት	t`ˈɨrat
ጥበብን	t`ˈɨβəβɨn
ጥንድ	t`ˈɨnɨd
ጭንቀት	t͡ʃ`ˈɨnɨk`ət
ጳጳሱ	p`ˈap`asu
ጻድቅ	tsˈadɨk`
ጽፎ	tsˈɨfo
ፀሐፊ	tsˈəhafi
ፈልጎ	fˈəlɨɡo
ፋብሪካ	fˈaβɨrika
ፋና	fˈana
ፍሰት	fˈɨsət
ፕሬስ	pˈɨres
ፖሊሲ	pˈolisi
ሀይል	hˈajɨl
ሀገሩ	hˈaɡəru
ሁለተኛውን	hˈulətəɲawɨn
ሄኖክ	hˈenok
ሆድ	hˈod
ለመለየት	lˈəmələjət
ለመማር	lˈəməmar
ለመርዳት	lˈəmərɨdat
ለመኖር	lˈəmənor
ለማስላት	lˈəmasɨlat
ለማስወገድ	lˈəmasɨwəɡəd
ለማዳን	lˈəmadan
ለአንተ	lˈəʔanɨtə
ለገበያ	lˈəɡəβəja
ሉቃስ	lˈuk`as
ሊገኙ	lˈiɡəɲu
ልኮ	lˈɨko
ልጆቻቸው	lˈɨd͡ʒot͡ʃat͡ʃəw
ሐ	hˈa
ሕንጻዎች	hˈɨnɨtsawot͡ʃ
ሕይወታቸው	hˈɨjɨwətat͡ʃəw
መለያ	mˈələja
መላእክት	mˈəlaʔɨkɨt
መሐመድ	mˈəhaməd
መምህራን	mˈəmɨhɨran
መምረጥ	mˈəmɨrət`
መሥዋዕት	mˈəsɨwaʔɨt
መስጊድ	mˈəsɨɡid
መቀበል	mˈək`əβəl
መናገር	mˈənaɡər
መንስኤ	mˈənɨsɨʔe
መክተቢያ	mˈəkɨtəβija
መዓዛ	mˈəʔaza
መገለጫዎ	mˈəɡələt͡ʃ`awo
መጡ	mˈət`u
መጽሀፍ	mˈətsɨhaf
መጽሐፉ	mˈətsɨhafu
መጽሐፋቸው	mˈətsɨhafat͡ʃəw
መፍትሔ	mˈəfɨtɨhe
ሙከራዎች	mˈukərawot͡ʃ
ማህበሩ	mˈahɨβəru
ማኅበረሰብ	mˈahɨβərəsəb
ማእከል	mˈaʔɨkəl
ማዘንጊያ	mˈazənɨɡija
ምሽት	mˈɨʃɨt
ሞገዶች	mˈoɡədot͡ʃ
ሠራሽ	sˈəraʃ
ሥርዓቱ	sˈɨrɨʔatu
ረሃብ	rˈəhab
ሪቻርድ	rˈit͡ʃarɨd
ር	rˈɨ
ሮማ	rˈoma
ሰላማ	sˈəlama
ሰሎሞን	sˈəlomon
ሰባ	sˈəβa
ሰብዓዊ	sˈəβɨʔawi
ሰውም	sˈəwɨm
ሰጥቶ	sˈət`ɨto
ሲወጣ	sˈiwət`a
ሲደረግ	sˈidərəɡ
ሲገኙ	sˈiɡəɲu
ሲጓዝ	sˈiɡwaz
ሳር	sˈar
ሴኔጋል	sˈeneɡal
ስልጣኔ	sˈɨlɨt`ane
ስምንተኛ	sˈɨmɨnɨtəɲa
ስብስቦች	sˈɨβɨsɨβot͡ʃ
ስያሜዎች	sˈɨjamewot͡ʃ
ሶበክሆተፕ	sˈoβəkɨhotəp
ቀይሮ	k`ˈəjɨro
ቁምፊ	k`ˈumɨfi
ቁራጭ	k`ˈurat͡ʃ`
ቁና	k`ˈuna
ቅጠሎች	k`ˈɨt`əlot͡ʃ
ቅጥ	k`ˈɨt`
በሆኑ	bˈəhonu
በመልካም	bˈəməlɨkam
በመካከለኛው	bˈəməkakələɲaw
በመጨመር	bˈəmət͡ʃ`əmər
በሚባሉ	bˈəmiβalu
በሥፍራው	bˈəsɨfɨraw
በራሷ	bˈəraswa
በሬ	bˈəre
በሱ	bˈəsu
በቀላል	bˈək`əlal
በቁርአን	bˈək`urɨʔan
በቁጥጥር	bˈək`ut`ɨt`ɨr
በቋንቋ	bˈək`wanɨk`wa
በበኩሉ	bˈəβəkulu
በባዶ	bˈəβado
በተገኘ	bˈətəɡəɲə
በአይርላንድ	bˈəʔajɨrɨlanɨd
በኩፋሌ	bˈəkufale
በውል	bˈəwɨl
በዓፄ	bˈəʔatse
በዚች	bˈəzit͡ʃ
በደም	bˈədəm
በዳ	bˈəda
በግምት	bˈəɡɨmɨt
በግድ	bˈəɡɨd
በጣልያን	bˈət`alɨjan
በጭራሽ	bˈət͡ʃ`ɨraʃ
በፖለቲካ	bˈəpolətika
ባለበት	bˈaləβət
ባላባት	bˈalaβat
ባደረገው	bˈadərəɡəw
ብቸኛው	bˈɨt͡ʃəɲaw
ብቻውን	bˈɨt͡ʃawɨn
ብዜት	bˈɨzet
ቪዛ	vˈiza
ተለዋዋጭ	tˈələwawat͡ʃ`
ተሰብስበው	tˈəsəβɨsɨβəw
ተሳታፊዎች	tˈəsatafiwot͡ʃ
ተሽከርካሪ	tˈəʃɨkərɨkari
ተቀጥሮ	tˈək`ət`ɨro
ተቋሙ	tˈək`wamu
ተነሥቶ	tˈənəsɨto
ተከራካሪ	tˈəkərakari
ተከታዩ	tˈəkətaju
ተያይዞ	tˈəjajɨzo
ተጓዥ	tˈəɡwaʒ
ተጨባጭ	tˈət͡ʃ`əβat͡ʃ`
ተፈጥሮአዊ	tˈəfət`ɨroʔawi
ትምህርቷን	tˈɨmɨhɨrɨtwan
ትምና	tˈɨmɨna
ትናንሽ	tˈɨnanɨʃ
ትግራይ	tˈɨɡɨraj
ቺ	t͡ʃˈi
ችሎታው	t͡ʃˈɨlotaw
ኃይሉ	hˈajɨlu
ነዋሪ	nˈəwari
ነገስት	nˈəɡəsɨt
ነጻነቷን	nˈətsanətwan
ንጉሥና	nˈɨɡusɨna
ኖረ	nˈorə
አለቃው	ʔˈalək`aw
አሕዛብ	ʔˈahɨzab
አማኞች	ʔˈamaɲot͡ʃ
አሞራውያን	ʔˈamorawɨjan
አርአያ	ʔˈarɨʔaja
አርጎ	ʔˈarɨɡo
አርፈው	ʔˈarɨfəw
አቀራረብ	ʔˈak`ərarəb
አቅራቢያ	ʔˈak`ɨraβija
አቤቱ	ʔˈaβetu
አኒዩስ	ʔˈanijus
አንዳች	ʔˈanɨdat͡ʃ
አከፋፈል	ʔˈakəfafəl
አክልበ	ʔˈakɨlɨβə
አይርላንድ	ʔˈajɨrɨlanɨd
አይጥ	ʔˈajɨt`
አድርጋ	ʔˈadɨrɨɡa
አጫጭር	ʔˈat͡ʃ`at͡ʃ`ɨr
አፍ	ʔˈaf
ኢምንት	ʔˈimɨnɨt
ኢስላም	ʔˈisɨlam
ኢንዱስትሪ	ʔˈinɨdusɨtɨri
ኢጣልያ	ʔˈit`alɨja
ኤልያስ	ʔˈelɨjas
ኤረን	ʔˈerən
ኤች	ʔˈet͡ʃ
እለት	ʔˈɨlət
እርሷ	ʔˈɨrɨswa
እነሆ	ʔˈɨnəho
እንደሆነች	ʔˈɨnɨdəhonət͡ʃ
እንደሚቻል	ʔˈɨnɨdəmit͡ʃal
እንዲኖር	ʔˈɨnɨdinor
እንዲያገኝ	ʔˈɨnɨdijaɡəɲ
እንዳይሆን	ʔˈɨnɨdajɨhon
እኛም	ʔˈɨɲam
እውን	ʔˈɨwɨn
እየሆነ	ʔˈɨjəhonə
ኦሪት	ʔˈorit
ኦሮምኛ	ʔˈoromɨɲa
ኧ	ʔˈə
ከሰማይ	kˈəsəmaj
ከሰሜን	kˈəsəmen
ከተማቸው	kˈətəmat͡ʃəw
ከንጉሠ	kˈənɨɡusə
ከአሥራ	kˈəʔasɨra
ከአራት	kˈəʔarat
ከእስር	kˈəʔɨsɨr
ከእናታቸው	kˈəʔɨnatat͡ʃəw
ከእግዚአብሔር	kˈəʔɨɡɨziʔaβɨher
ከወይዘሮ	kˈəwəjɨzəro
ከዋክብት	kˈəwakɨβɨt
ከዚያው	kˈəzijaw
ክልክል	kˈɨlɨkɨl
ክርስትናን	kˈɨrɨsɨtɨnan
ክብርና	kˈɨβɨrɨna
ኮሎኔል	kˈolonel
ወርቃማ	wˈərɨk`ama
ወንድና	wˈənɨdɨna
ወኪል	wˈəkil
ወደኋላ	wˈədəhwala
ወዲያውኑ	wˈədijawɨnu
ወዴት	wˈədet
ወጪ	wˈət͡ʃ`i
ዋንጫውን	wˈanɨt͡ʃ`awɨn
ውህደት	wˈɨhɨdət
ውሾች	wˈɨʃot͡ʃ
ዕድሜያቸው	ʔˈɨdɨmejat͡ʃəw
ዘውዱን	zˈəwɨdun
የህትመት	jˈəhɨtɨmət
የሌላውን	jˈəlelawɨn
የልማት	jˈəlɨmat
የሒሳብ	jˈəhisab
የመጣውን	jˈəmət`awɨn
የሚታወቁ	jˈəmitawək`u
የሚናገሩ	jˈəminaɡəru
የሚወክል	jˈəmiwəkɨl
የማዕረግ	jˈəmaʔɨrəɡ
የማይክል	jˈəmajɨkɨl
የሞገድ	jˈəmoɡəd
የራሳቸው	jˈərasat͡ʃəw
የርሱ	jˈərɨsu
የስነ	jˈəsɨnə
የቀረበው	jˈək`ərəβəw
የቀርከሃ	jˈək`ərɨkəha
የቆመ	jˈək`omə
የተረፉት	jˈətərəfut
የተባለች	jˈətəβalət͡ʃ
የተወሰደ	jˈətəwəsədə
የታተመው	jˈətatəməw
የቴሌቪዥን	jˈəteleviʒɨn
የቴዎድሮስ	jˈətewodɨros
የትም	jˈətɨm
የትኛው	jˈətɨɲaw
የኑሮ	jˈənuro
የንጉሡ	jˈənɨɡusu
የኛ	jˈəɲa
የአካድ	jˈəʔakad
የአውሮጳ	jˈəʔawɨrop`a
የአገራችን	jˈəʔaɡərat͡ʃɨn
የኢንተርኔት	jˈəʔinɨtərɨnet
የኣሉት	jˈəʔalut
የእሳት	jˈəʔɨsat
የእስፓንያ	jˈəʔɨsɨpanɨja
የወረዱት	jˈəwərədut
የዕብራይስጥና	jˈəʔɨβɨrajɨsɨt`ɨna
የዘመናዊ	jˈəzəmənawi
የዚያን	jˈəzijan
የዛኔ	jˈəzane
የግእዝ	jˈəɡɨʔɨz
የጥቁር	jˈət`ɨk`ur
የፍርድ	jˈəfɨrɨd
ያደረጉት	jˈadərəɡut
ያገኘ	jˈaɡəɲə
ይሄም	jˈɨhem
ደጋ	dˈəɡa
ዲሞክራሲያዊ	dˈimokɨrasijawi
ዳግም	dˈaɡɨm
ድርሰት	dˈɨrɨsət
ድሮ	dˈɨro
ድንጋዩ	dˈɨnɨɡaju
ጆሮ	d͡ʒˈoro
ገብስ	ɡˈəβɨs
ጉልህ	ɡˈulɨx
ጉዳዩ	ɡˈudaju
ጋሜት	ɡˈamet
ግልገል	ɡˈɨlɨɡəl
ግጥሞች	ɡˈɨt`ɨmot͡ʃ
ግጭት	ɡˈɨt͡ʃ`ɨt
ጎርፍ	ɡˈorɨf
ጓደኞቹ	ɡwˈadəɲot͡ʃu
ጠመንጃ	t`ˈəmənɨd͡ʒa
ጠባይ	t`ˈəβaj
ጠፍቶ	t`ˈəfɨto
ጣሊያኖች	t`ˈalijanot͡ʃ
ጣፋጭ	t`ˈafat͡ʃ`
ጥሪ	t`ˈɨri
ጥቅሶች	t`ˈɨk`ɨsot͡ʃ
ጥያቄዎች	t`ˈɨjak`ewot͡ʃ
ጦርነቶች	t`ˈorɨnətot͡ʃ
ጨርቅ	t͡ʃ`ˈərɨk`
ጭራ	t͡ʃ`ˈɨra
ጳጳሳት	p`ˈap`asat
ጼዴቅ	tsˈedek`
ፅንስ	tsˈɨnɨs
ፈላስፎች	fˈəlasɨfot͡ʃ
ፈራጅ	fˈərad͡ʒ
ፈርዖኑ	fˈərɨʔonu
ፊልሞች	fˈilɨmot͡ʃ
ፋሲል	fˈasil
ፍጻሜ	fˈɨtsame
ፎቅ	fˈok`
ፓርላማ	pˈarɨlama
ፓተንቶች	pˈatənɨtot͡ʃ
ፕሬዘዳንት	pˈɨrezədanɨt
ፖል	pˈol
፩ኛ	ɲˈa
፪ኛው	ɲˈaw
ሀብታም	hˈaβɨtam
ሁኖ	hˈuno
ሃይማኖቱን	hˈajɨmanotun
ሄርኩሌስ	hˈerɨkules
ለመላው	lˈəməlaw
ለመቀበል	lˈəmək`əβəl
ለመግዛት	lˈəməɡɨzat
ለመግደል	lˈəməɡɨdəl
ለማምጣት	lˈəmamɨt`at
ለማቅረብ	lˈəmak`ɨrəb
ለማክበር	lˈəmakɨβər
ለማውጣት	lˈəmawɨt`at
ለሞት	lˈəmot
ለቆ	lˈək`o
ለተወሰነ	lˈətəwəsənə
ለንባብ	lˈənɨβab
ለዘመኑ	lˈəzəmənu
ላለው	lˈaləw
ሌላም	lˈelam
ሌላኛው	lˈelaɲaw
ሌባ	lˈeβa
ልማዶች	lˈɨmadot͡ʃ
ልጆቻቸውን	lˈɨd͡ʒot͡ʃat͡ʃəwɨn
ሕጻን	hˈɨtsan
መ	mˈə
መለስ	mˈələs
መልሰው	mˈəlɨsəw
መልዕክቱ	mˈəlɨʔɨkɨtu
መማር	mˈəmar
መሪወች	mˈəriwət͡ʃ
መሰረተ	mˈəsərətə
መቅደላ	mˈək`ɨdəla
መብራት	mˈəβɨrat
መንበር	mˈənɨβər
መንታ	mˈənɨta
መንግሥታቸው	mˈənɨɡɨsɨtat͡ʃəw
መንግሥታዊ	mˈənɨɡɨsɨtawi
መካነ	mˈəkanə
መካከለኛው	mˈəkakələɲaw
መወለድ	mˈəwələd
መውጣት	mˈəwɨt`at
መዲና	mˈədina
መገኘት	mˈəɡəɲət
መጻህፍት	mˈətsahɨfɨt
መጽሔት	mˈətsɨhet
መፅሐፍ	mˈətsɨhaf
ሙቅ	mˈuk`
ሚልዮን	mˈilɨjon
ሚኒስትሩ	mˈinisɨtɨru
ማርያምን	mˈarɨjamɨn
ማሳየት	mˈasajət
ማኅበራዊ	mˈahɨβərawi
ምልክቶችን	mˈɨlɨkɨtot͡ʃɨn
ምሳሌዎች	mˈɨsalewot͡ʃ
ምኒልክም	mˈɨnilɨkɨm
ምድራዊ	mˈɨdɨrawi
ሠራዊቱ	sˈərawitu
ሠው	sˈəw
ሣራ	sˈara
ሥላሴን	sˈɨlasen
ረዥም	rˈəʒɨm
ሰ	sˈə
ሰልፎች	sˈəlɨfot͡ʃ
ሰማንያ	sˈəmanɨja
ሰንደቅ	sˈənɨdək`
ሲስተም	sˈisɨtəm
ሲያልፍ	sˈijalɨf
ሳንቲሞች	sˈanɨtimot͡ʃ
ሴማዊ	sˈemawi
ሴራ	sˈera
ስለሌለ	sˈɨləlelə
ስላሴ	sˈɨlase
ስፍራዎች	sˈɨfɨrawot͡ʃ
ቀረጥ	k`ˈərət`
ቀዳዳ	k`ˈədada
ቁጠራ	k`ˈut`əra
ቃለ	k`ˈalə
ቅነሳ	k`ˈɨnəsa
ቆየ	k`ˈojə
በሀገራችን	bˈəhaɡərat͡ʃɨn
በሆነበት	bˈəhonəβət
በላዩ	bˈəlaju
በሕዝቡ	bˈəhɨzɨβu
በመርታት	bˈəmərɨtat
በመቀየር	bˈəmək`əjər
በመተርጎም	bˈəmətərɨɡom
በመውሰድ	bˈəməwɨsəd
በመጀመርያው	bˈəməd͡ʒəmərɨjaw
በሚገኝ	bˈəmiɡəɲ
በማስተማር	bˈəmasɨtəmar
በምትባል	bˈəmɨtɨβal
በምን	bˈəmɨn
በሮማ	bˈəroma
በሴት	bˈəset
በስራ	bˈəsɨra
በሸንጎ	bˈəʃənɨɡo
በቀድሞው	bˈək`ədɨmow
በብሔራዊ	bˈəβɨherawi
በተለመደው	bˈətələmədəw
በተከታታይ	bˈətəkətataj
በተወለደ	bˈətəwələdə
በተያያዘ	bˈətəjajazə
በታሪካዊ	bˈətarikawi
በኃላ	bˈəhala
በነበሩት	bˈənəβərut
በነጻ	bˈənətsa
በአማራ	bˈəʔamara
በአባቱ	bˈəʔaβatu
በአጼ	bˈəʔatse
በኢየሩሳሌም	bˈəʔijərusalem
በኣንድና	bˈəʔanɨdɨna
በእነዚህ	bˈəʔɨnəziç
በእንግሊዝኛው	bˈəʔɨnɨɡɨlizɨɲaw
በእንግሊዞች	bˈəʔɨnɨɡɨlizot͡ʃ
በእጁ	bˈəʔɨd͡ʒu
በእግር	bˈəʔɨɡɨr
በከንቱ	bˈəkənɨtu
በካፋ	bˈəkafa
በክብ	bˈəkɨb
በዘመናቸው	bˈəzəmənat͡ʃəw
በይበልጥ	bˈəjɨβəlɨt`
በጋዜጠኝነት	bˈəɡazet`əɲɨnət
በግዞት	bˈəɡɨzot
በጠቅላላው	bˈət`ək`ɨlalaw
በጽሑፍ	bˈətsɨhuf
ቢትወደድ	bˈitɨwədəd
ባለስልጣናት	bˈaləsɨlɨt`anat
ባሪያ	bˈarija
ባስሊዮስ	bˈasɨlijos
ባዮች	bˈajot͡ʃ
ቤቴ	bˈete
ብለህ	bˈɨləx
ብላታ	bˈɨlata
ብርቱ	bˈɨrɨtu
ተመራማሪወች	tˈəməramariwət͡ʃ
ተመርቆ	tˈəmərɨk`o
ተመዝግቦ	tˈəməzɨɡɨβo
ተሳታፊ	tˈəsatafi
ተቀብሎ	tˈək`əβɨlo
ተከተለው	tˈəkətələw
ታይ	tˈaj
ታይፕራይተር	tˈajɨpɨrajɨtər
ትራምፕ	tˈɨramɨp
ትንታኔ	tˈɨnɨtane
ነዳጅ	nˈədad͡ʒ
ነገርን	nˈəɡərɨn
ነግሦ	nˈəɡɨso
ኑር	nˈur
ንፋስ	nˈɨfas
አህጉር	ʔˈahɨɡur
አልፈው	ʔˈalɨfəw
አምባገነን	ʔˈamɨβaɡənən
አራተኛው	ʔˈaratəɲaw
አርማ	ʔˈarɨma
አርዕስት	ʔˈarɨʔɨsɨt
አስተዋፅኦ	ʔˈasɨtəwatsɨʔo
አቅድ	ʔˈak`ɨd
አቡ	ʔˈaβu
አባትና	ʔˈaβatɨna
አንስታይን	ʔˈanɨsɨtajɨn
አውሮጳውያን	ʔˈawɨrop`awɨjan
አውሮፓ	ʔˈawɨropa
አዕምሮ	ʔˈaʔɨmɨro
አይሁዶች	ʔˈajɨhudot͡ʃ
አይሆንም	ʔˈajɨhonɨm
አይርላንድን	ʔˈajɨrɨlanɨdɨn
ኢየሱስን	ʔˈijəsusɨn
ኣሥር	ʔˈasɨr
ኣስፈላጊ	ʔˈasɨfəlaɡi
ኤላማውያን	ʔˈelamawɨjan
ኤፍ	ʔˈef
እሳቸውም	ʔˈɨsat͡ʃəwɨm
እስጢፋኖስ	ʔˈɨsɨt`ifanos
እንቁላል	ʔˈɨnɨk`ulal
እንቅልፍ	ʔˈɨnɨk`ɨlɨf
እንዚራን	ʔˈɨnɨziran
እንደሚሆን	ʔˈɨnɨdəmihon
እንደነበረ	ʔˈɨnɨdənəβərə
እንደዚያ	ʔˈɨnɨdəzija
እዚያም	ʔˈɨzijam
እያንዳንዱን	ʔˈɨjanɨdanɨdun
እድሜያቸው	ʔˈɨdɨmejat͡ʃəw
እገዛ	ʔˈɨɡəza
እግሩ	ʔˈɨɡɨru
ኦሮሞ	ʔˈoromo
ከሚባል	kˈəmiβal
ከሞተ	kˈəmotə
ከሰኔ	kˈəsəne
ከስድስት	kˈəsɨdɨsɨt
ከባህር	kˈəβahɨr
ከተማን	kˈətəman
ከተገኙት	kˈətəɡəɲut
ከነበሩ	kˈənəβəru
ከነብዩ	kˈənəβɨju
ከነገሠ	kˈənəɡəsə
ከንጉሥ	kˈənɨɡus
ከአምስት	kˈəʔamɨsɨt
ከአንዳንድ	kˈəʔanɨdanɨd
ከእንግዲህ	kˈəʔɨnɨɡɨdiç
ከእንጨት	kˈəʔɨnɨt͡ʃ`ət
ከግሪክ	kˈəɡɨrik
ካህናቱ	kˈahɨnatu
ካቴድራል	kˈatedɨral
ክህነት	kˈɨhɨnət
ክበብ	kˈɨβəb
ክፍለመደብ	kˈɨfɨləmədəb
ኹኔታ	hˈuneta
ወንበር	wˈənɨβər
ወንድማቸው	wˈənɨdɨmat͡ʃəw
ወገብ	wˈəɡəb
ውሀ	wˈɨha
ውድቅ	wˈɨdɨk`
ውድድሩን	wˈɨdɨdɨrun
ውድድሮች	wˈɨdɨdɨrot͡ʃ
ዕጅግ	ʔˈɨd͡ʒɨɡ
ዙርያ	zˈurɨja
ዜማዎች	zˈemawot͡ʃ
የሀገሩ	jˈəhaɡəru
የሁሉ	jˈəhulu
የሃይል	jˈəhajɨl
የሆኑትን	jˈəhonutɨn
የለሽ	jˈələʃ
የለውጥ	jˈələwɨt`
የላፕላስ	jˈəlapɨlas
የልጆች	jˈəlɨd͡ʒot͡ʃ
የሕንድ	jˈəhɨnɨd
የመላው	jˈəməlaw
የመካከለኛው	jˈəməkakələɲaw
የሚሆኑት	jˈəmihonut
የሚሰራው	jˈəmisəraw
የሚችለው	jˈəmit͡ʃɨləw
የሚጠቀሙ	jˈəmit`ək`əmu
የምትባል	jˈəmɨtɨβal
የሞት	jˈəmot
የሰራው	jˈəsəraw
የሰብዓዊ	jˈəsəβɨʔawi
የብርሃንን	jˈəβɨrɨhanɨn
የተሳሳቱ	jˈətəsasatu
የተስፋፋ	jˈətəsɨfafa
የተወሰኑ	jˈətəwəsənu
የታወቁ	jˈətawək`u
የኖሩ	jˈənoru
የአረመኔ	jˈəʔarəməne
የአባቱን	jˈəʔaβatun
የአገሬው	jˈəʔaɡərew
የኣለው	jˈəʔaləw
የእምነት	jˈəʔɨmɨnət
የእንጨት	jˈəʔɨnɨt͡ʃ`ət
የክርስቶስ	jˈəkɨrɨsɨtos
የወሎ	jˈəwəlo
የወንድ	jˈəwənɨd
የወጣው	jˈəwət`aw
የዘፈን	jˈəzəfən
የዝሆን	jˈəzɨhon
የዶክተሩን	jˈədokɨtərun
የግስበት	jˈəɡɨsɨβət
የጎንደር	jˈəɡonɨdər
የጥበብ	jˈət`ɨβəb
ዩናይትድ	jˈunajɨtɨd
ያካተተ	jˈakatətə
ያደረጉ	jˈadərəɡu
ይሁዳ	jˈɨhuda
ይገኛሉ	jˈɨɡəɲalu
ደካማ	dˈəkama
ደግሞም	dˈəɡɨmom
ዳምጠው	dˈamɨt`əw
ዳይሬክተር	dˈajɨrekɨtər
ድርብ	dˈɨrɨb
ዶክቶር	dˈokɨtor
ገብ	ɡˈəb
ገደብ	ɡˈədəb
ገዳይ	ɡˈədaj
ጉድጓድ	ɡˈudɨɡwad
ጉግል	ɡˈuɡɨl
ጋዜጠኝነት	ɡˈazet`əɲɨnət
ጌታቸው	ɡˈetat͡ʃəw
ግርማ	ɡˈɨrɨma
ግስበት	ɡˈɨsɨβət
ግንድ	ɡˈɨnɨd
ግፍ	ɡˈɨf
ጎበዝ	ɡˈoβəz
ጠቀሜታ	t`ˈək`əmeta
ጠብቆ	t`ˈəβɨk`o
ጣልያንን	t`ˈalɨjanɨn
ጤንነት	t`ˈenɨnət
ጥላቻ	t`ˈɨlat͡ʃa
ጸሐፊው	tsˈəhafiw
ጸጥታ	tsˈət`ɨta
ጾታ	tsˈota
ፈለክ	fˈələk
ፌዴሬሽኑ	fˈedereʃɨnu
ፌዴሬሽን	fˈedereʃɨn
ፍፁም	fˈɨtsum
ፎቶ	fˈoto
ፓተንት	pˈatənɨt
ፓፓ	pˈapa
ሀይሉ	hˈajɨlu
ሀይሮግሊፍ	hˈajɨroɡɨlif
ሁለቱንም	hˈulətunɨm
ሁኔታው	hˈunetaw
ሄክታር	hˈekɨtar
ህዳር	hˈɨdar
ህጻን	hˈɨtsan
ሆቴል	hˈotel
ለመሄድ	lˈəməhed
ለመመሥረት	lˈəməməsɨrət
ለመቀየር	lˈəmək`əjər
ለመናገር	lˈəmənaɡər
ለመክፈል	lˈəməkɨfəl
ለመወሰን	lˈəməwəsən
ለመጥቀስ	lˈəmət`ɨk`əs
ለመፍታት	lˈəməfɨtat
ለማስቀመጥ	lˈəmasɨk`əmət`
ለማስታወስ	lˈəmasɨtawəs
ለማስገባት	lˈəmasɨɡəβat
ለማንበብ	lˈəmanɨβəb
ለርሱ	lˈərɨsu
ለሰዎች	lˈəsəwot͡ʃ
ለብቻው	lˈəβɨt͡ʃaw
ለንጉሱ	lˈənɨɡusu
ለኛ	lˈəɲa
ለእግዚአብሔር	lˈəʔɨɡɨziʔaβɨher
ለውጥን	lˈəwɨt`ɨn
ለይቶ	lˈəjɨto
ለፍርድ	lˈəfɨrɨd
ሊያስከትል	lˈijasɨkətɨl
ላሳናት	lˈasanat
ላባርና	lˈaβarɨna
ሌዊ	lˈewi
ልማዳዊ	lˈɨmadawi
ልዑካን	lˈɨʔukan
ሎሬንዞ	lˈorenɨzo
ሐሙስ	hˈamus
ሐብለ	hˈaβɨlə
ሕመም	hˈɨməm
ሕብረት	hˈɨβɨrət
ሕያው	hˈɨjaw
መላምት	mˈəlamɨt
መመገብ	mˈəməɡəb
መረብ	mˈərəb
መርዛም	mˈərɨzam
መርዝ	mˈərɨz
መሳሪያዎች	mˈəsarijawot͡ʃ
መስኮት	mˈəsɨkot
መቀመጥ	mˈək`əmət`
መተላለፊያ	mˈətəlaləfija
መተካት	mˈətəkat
መንግስቱን	mˈənɨɡɨsɨtun
መኮንኖች	mˈəkonɨnot͡ʃ
መውሰድ	mˈəwɨsəd
መድረስ	mˈədɨrəs
መድፍ	mˈədɨf
መጓዝ	mˈəɡwaz
መጨመር	mˈət͡ʃ`əmər
መጫወት	mˈət͡ʃ`awət
መጽሐፍትን	mˈətsɨhafɨtɨn
ሚናስ	mˈinas
ማህበረሰቦች	mˈahɨβərəsəβot͡ʃ
ማለፍ	mˈaləf
ማረጋገጫ	mˈarəɡaɡət͡ʃ`a
ማርሻል	mˈarɨʃal
ማዕከሉ	mˈaʔɨkəlu
ሜዳሊያ	mˈedalija
ምቹ	mˈɨt͡ʃu
ሠርተው	sˈərɨtəw
ሠንጠረዥ	sˈənɨt`ərəʒ
ሥራቸው	sˈɨrat͡ʃəw
ሥራዎችን	sˈɨrawot͡ʃɨn
ረጃጅም	rˈəd͡ʒad͡ʒɨm
ራሷን	rˈaswan
