a	ɑː
heahflod	xæ͜ɑːxfloːd
heahfore	xæ͜ɑxfore
heahfæder	xæ͜ɑːxfæder
heahgast	xæ͜ɑːxɡɑːst
heahheall	xæ͜ɑːxxæ͜ɑll
heahlareow	xæ͜ɑːxlɑːre͜oːw
heahstede	xæ͜ɑːxstede
heahweg	xæ͜ɑːxwej
heahþrym	xæ͜ɑːxθrym
heala	xæ͜ɑːlɑ
heald	xæ͜ɑld
healdan	xæ͜ɑldɑn
healdsum	xæ͜ɑldsum
healf	xæ͜ɑlf
healfbrocen	xæ͜ɑlfbroken
healfcwic	xæ͜ɑlfkwik
healfdead	xæ͜ɑlfdæ͜ɑːd
healfscyldig	xæ͜ɑlfʃyldij
healftrendel	xæ͜ɑlftrendel
healfweg	xæ͜ɑlfwej
healh	hæɑlx
healice	xæ͜ɑːliːt͡ʃe
heall	xæ͜ɑll
healm	xæ͜ɑlm
heals	xæ͜ɑls
healsbeag	xæ͜ɑlsbæ͜ɑːɡ
healsfang	xæ͜ɑlsfɑnɡ
healsgebedda	xæ͜ɑlsjebeddɑ
healt	xæ͜ɑlt
hean	xæ͜ɑːn
heap	xæ͜ɑːp
heapmælum	xæ͜ɑːpmæːlum
heard	xæ͜ɑrd
heardheort	xæ͜ɑrdxe͜ort
heardian	xæ͜ɑrdiɑn
hearding	xæ͜ɑrdinɡ
heardlice	xæ͜ɑrdliːt͡ʃe
heardung	xæ͜ɑrdunɡ
hearg	xæ͜ɑrɡ
hearm	xæ͜ɑrm
hearma	xæ͜ɑrmɑ
hearmascinnen	xæ͜ɑrmɑʃinnen
hearmcweþan	xæ͜ɑrmkweθɑn
hearpe	xæ͜ɑrpe
hearpere	xæ͜ɑrpere
hearra	xæ͜ɑrrɑ
heawan	xæ͜ɑːwɑn
heaþolac	xæ͜ɑθolɑːk
heaþorinc	xæ͜ɑθorink
heaþowæd	xæ͜ɑθowæːd
hebban	xebbɑn
hecg	xejj
hedan	xeːdɑn
heddern	xeːddern
heden	xeden
hefig	xefij
hefiglice	xefijliːt͡ʃe
hefignes	xefijnes
hefon	xefon
hege	xeje
hehþ	xeːxθ
hela	xeːlɑ
hela	xeːlɑː
helan	xelɑn
helan	xeːlɑn
hell	xell
hellegeat	xellejæ͜ɑt
hellewite	xellewiːte
hellrun	xellruːn
hellruna	xellruːnɑ
helm	xelm
helma	xelmɑ
helmian	xelmiɑn
help	xelp
helpan	xelpɑn
helruna	xelruːnɑ
helrynegu	xelryːneju
hemeþe	xemeθe
henep	xenep
hengen	xenjen
hengen	xenɡen
hengest	xenjest
hengon	xeːnɡon
hengst	xenkst
hengst	xenɡst
henn	xenn
hentan	xentɑn
heo	xe͜oː
heodæg	xe͜oːdæj
heof	xe͜oːf
heofan	xe͜oːfɑn
heofon	xe͜ofon
heofonisc	xe͜ofoniʃ
heofonlic	xe͜ofonliːt͡ʃ
heofonrice	xe͜ofonriːt͡ʃe
heofonum	heofonum
heofonwuldor	xe͜ofonwuldor
heolca	xe͜olkɑ
heonan	xe͜onɑn
heora	heo̯rɑ
heord	xe͜ord
heore	xe͜oːre
heorot	xe͜orot
heorra	xe͜orrɑ
heort	xe͜ort
heorte	xe͜orte
heortece	xe͜ortet͡ʃe
heortgryre	xe͜ortɡryre
heortleas	xe͜ortlæ͜ɑːs
heoru	xe͜oru
heorþ	xe͜orθ
heorþgeneat	xe͜orθjenæ͜ɑːt
heow	xe͜oːw
her	xeːr
heran	xeːrɑn
here	xere
herebeacen	xerebæ͜ɑːken
herebeorg	xerebe͜orɡ
herebeorgian	xerebe͜orɡiɑn
herefong	xerefonɡ
heregeatwa	xerejæ͜ɑtwɑ
heregrima	xereɡriːmɑ
heremann	xeremɑnn
heretoga	xeretoɡɑ
hereweg	xerewej
hergian	xerɡiɑn
herian	xerjɑn
herigendlic	xerijendliːt͡ʃ
herigendlice	xerijendliːt͡ʃe
hersum	xeːrsum
herung	xerunɡ
herþan	xerθɑn
herþbelig	xerθbelij
het	heːt
hete	xete
heteniþ	xeteniːθ
heterof	xeteroːf
hettan	xettɑn
hetting	xettinɡ
hi	xiː
hicel	xikel
hider	xider
hie	xi͜yː
hieg	xi͜yːj
hielfan	xi͜ylfɑn
hienþu	xi͜yːnθu
hieran	xi͜yːrɑn
hierdan	xi͜yrdɑn
hierde	xi͜yrde
hiere	hiy̯re
hierstan	xi͜yrstɑn
hiersumnes	xi͜yːrsumnes
hiertan	xi͜yrtɑn
hierusalem	jerusɑlem
hiewian	xi͜yːwiɑn
hig	xiːj
higian	xiːɡiɑn
hild	xild
hildebord	xildebord
hildedeor	xildede͜oːr
hilderæs	xilderæːs
hildewæpen	xildewæːpen
him	him
hincian	xinkiɑn
hind	xind
hindan	xindɑn
hindanweard	xindɑnwæ͜ɑrd
hindrian	xindriɑn
hine	hine
hio	xi͜uː
hire	xire
hired	xiːred
hit	xit
hiw	xiːw
hiwcund	xiːwkund
hiwcuþ	xiːwkuːθ
hiwcuþlice	xiːwkuːθliːt͡ʃe
hiwcuþnes	xiːwkuːθnes
hiwen	xiːwen
hiwfæst	xiːwfæst
hiwian	xiːwiɑn
hiwisc	xiːwiʃ
hiwræden	xiːwræːden
hladan	xlɑdɑn
hlaf	xlɑːf
hlafhus	xlɑːfxuːs
hlaford	xlɑːford
hlaforddom	xlɑːforddoːm
hlafordleas	xlɑːfordlæ͜ɑːs
hlafordlic	xlɑːfordliːt͡ʃ
hlafweard	xlɑːfwæ͜ɑrd
hlafæta	xlɑːfæːtɑ
hlagol	xlɑɡol
hland	xlɑnd
hlaw	xlɑːw
hleahtor	xlæ͜ɑxtor
hleapan	xlæ͜ɑːpɑn
hleapere	xlæ͜ɑːpere
hleapestre	xlæ͜ɑːpestre
hlehhan	xlexxɑn
hlemman	xlemmɑn
hlenca	xlent͡ʃɑ
hleo	xle͜oː
hleonian	xle͜oniɑn
hleor	xle͜oːr
hleorberg	xle͜oːrberɡ
hleotan	xle͜oːtɑn
hleoþor	xle͜oːθor
hleoþorcyme	xle͜oːθorkyme
hleoþrere	xle͜oːθrere
hleoþrian	xle͜oːθriɑn
hleoþrung	xle͜oːθrunɡ
hlid	xlid
hliehhan	xli͜yxxɑn
hliep	xli͜yːp
hlifian	xlifiɑn
hlihhan	xlixxɑn
hlimman	xlimmɑn
hlimme	xlimme
hlinc	xlink
hlinian	xliniɑn
hlisa	xliːsɑ
hlisful	xliːsful
hlið	xliθ
hliþ	xliθ
hlose	xloːse
hlosnian	xlosniɑn
hlot	xlot
hlowan	xloːwɑn
hloþ	xloːθ
hloþbot	xloːθboːt
hloþere	xloːθere
hloþian	xloːθiɑn
hlud	xluːd
hlutor	xluːtor
hlyd	xlyːd
hlydan	xlyːdɑn
hlynsian	xlynsiɑn
hlysnan	xlysnɑn
hlyst	xlyst
hlystan	xlystɑn
hlæder	xlæːder
hlæfdige	xlæːfdiːje
hlæne	xlæːne
hlænsian	xlæːnsiɑn
hlæst	xlæst
hlæw	xlæːw
hnah	xnɑːx
hneaw	xnæ͜ɑːw
hnecca	xnekkɑ
hnesce	xneʃʃe
hnigan	xniːɡɑn
hnigian	xniɡiɑn
hnitan	xniːtɑn
hnitu	xnitu
hnocc	xnokk
hnol	xnol
hnoll	xnoll
hnossian	xnossiɑn
hnot	xnot
hnuta	xnutɑ
hnutu	xnutu
hnutum	xnutum
hnyte	xnyte
hnægan	xnæːjɑn
hnægung	xnæːjunɡ
hnæp	xnæp
hnæpf	xnæpf
hnæpp	xnæpp
hobanca	xoːbɑnkɑ
hobbe	xobbe
hoc	xok
hoc	xoːk
hocg	xoɡɡ
hof	xof
hof	xoːf
hofor	xofor
hoga	xoɡɑ
hogg	xoɡɡ
hogode	hoɣode
hol	xol
hol	xoːl
hold	xold
holdræden	xoldræːden
holdscipe	xoldskipe
holegn	xolejn
holen	xolen
holian	xoliɑn
holian	xoːliɑn
holm	xolm
holt	xolt
hon	xoːn
hond	xond
hopa	xopɑ
hopian	xopiɑn
hoppestre	xoppestre
hoppian	xoppiɑn
horcwene	xoːrkwene
hord	xord
hordern	xordern
hore	xoːre
horena	xoːrenɑ
horh	xorx
horhig	xorxij
horig	xorij
horn	xorn
hornblawere	xornblɑːwere
hornbære	xornbæːre
hornreced	xornret͡ʃed
hors	xors
horsc	xorsk
horsc	xorʃ
horscamb	xorskɑmb
horsclice	xorʃliːt͡ʃe
horselene	xorselene
horsern	xorsern
horshwæl	xorsxwæl
horsminte	xorsminte
horu	xoru
hos	xoːs
hosan	xosɑn
hose	xose
hosp	xosp
hoþ	xoːθ
hra	xrɑː
hrafyl	xrɑːfyl
hragra	xrɑːɡrɑ
hramma	xrɑmmɑ
hramsa	xrɑmsɑ
hran	xrɑn
hran	xrɑːn
hranrad	xrɑnrɑːd
hraþe	xrɑθe
hraþor	xrɑθor
hreac	xræ͜ɑːk
hream	xræ͜ɑːm
hreaw	xræ͜ɑːw
hreaðemus	xræ͜ɑːθemuːs
hreaþemus	xræ͜ɑːθemuːs
hreddan	xreddɑn
hreman	xreːmɑn
hremig	xreːmij
hreod	xre͜oːd
hreodan	xre͜oːdɑn
hreosan	xre͜oːsɑn
hreow	xre͜oːw
hreowan	xre͜oːwɑn
hreowcearig	xre͜oːwt͡ʃæ͜ɑrij
hreowlic	xre͜oːwliːt͡ʃ
hreowlice	xre͜oːwliːt͡ʃe
hreppan	xreppɑn
hrepung	xrepunɡ
hreran	xreːrɑn
hreþ	xreːθ
hreþer	xreθer
hreþig	xreːθij
hreþmonaþ	xreːθmoːnɑθ
hrieman	xri͜yːmɑn
hrif	xrif
hrim	xriːm
hriman	xriːmɑn
hrimig	xriːmij
hrinan	xriːnɑn
hrincg	xrinɡɡ
hrindan	xrindɑn
hring	xrinɡ
hringan	xrinjɑn
hringedstefna	xrinɡedstefnɑ
hringfinger	xrinɡfinɡer
hringsetl	xrinɡsetl
hris	xriːs
hrisian	xrisiɑn
hrissan	xrissɑn
hriþ	xriθ
hriþ	xriːθ
hriþer	xriːθer
hriþerhyrde	xriːθerxyrde
hroc	xroːk
hrof	xroːf
hron	xron
hronfisc	xronfiʃ
hronrad	xronrɑːd
hrop	xroːp
hropan	xroːpɑn
hror	xroːr
hrost	xroːst
hrung	xrunɡ
hrurol	xrurol
hruse	xruːse
hrutan	xruːtɑn
hrycg	xryjj
hrycgban	xryjjbɑːn
hryman	xryːmɑn
hryre	xryre
hryscan	xryːʃʃɑn
hryþerhyrde	xryːθerxyrde
hræd	xræd
hrædlice	xrædliːt͡ʃe
hræfn	xræfn
hræfnsweart	xræfnswæ͜ɑrt
hrægl	xræjl
hræn	xræn
hræw	xræːw
hræþ	xræθ
hræþe	xræθe
hu	xuː
hulc	xulk
hulian	xuːliɑn
hunbeorht	xunbe͜orxt
hund	xund
hundeahtatig	xundæ͜ɑxtɑtij
hunden	xunden
hundendleftig	xundendleftij
hundfeald	xundfæ͜ɑld
hundlic	xundliːt͡ʃ
hundnigontig	xundniɡontij
hundred	xundred
hundseofontig	xundse͜ofontij
hundteontig	xundte͜oːntij
hundteontigoþa	xundte͜oːntiɡoθɑ
hundtwelftig	xundtwelftij
hungor	xunɡor
hunig	xunij
hunigbære	xunijbæːre
hunigcamb	xunijkɑmb
hunigsmæc	xunijsmæk
hunigsmæc	xunijsmæt͡ʃ
hunta	xuntɑ
huntian	xuntiɑn
huntoþ	xuntoθ
huru	xuːru
hus	xuːs
husbonda	xuːsbondɑ
husbryce	xuːsbryt͡ʃe
husbryne	xuːsbryne
husc	xuʃ
husel	xuːsel
husian	xuːsiɑn
husl	xuːsl
husræden	xuːsræːden
husul	xuːsul
huuæt	xwæt
huþ	xuːθ
hwa	xwɑː
hwam	xwɑːm
hwamm	xwɑmm
hwamstan	xwɑmstɑːn
hwanon	xwɑnon
hwar	xwɑːr
hwara	xwɑːrɑ
hwealf	xwæ͜ɑlf
hwearfian	xwæ͜ɑrfiɑn
hweg	xweːj
hwelc	xwelt͡ʃ
hwelca	xwelkɑ
hwelcnes	xwelknes
hwelian	xweliɑn
hwelp	xwelp
hwelpian	xwelpiɑn
hweol	xwe͜oːl
hweorfan	xwe͜orfɑn
hwerfan	xwerfɑn
hwergen	xwerjen
hwerhwette	xwerxwette
hwetstan	xwetstɑːn
hwettan	xwettɑn
hwicce	xwitt͡ʃe
hwider	xwider
hwierfan	xwi͜yrfɑn
hwil	xwiːl
hwilc	xwilt͡ʃ
hwilum	xwiːlum
hwilwende	xwiːlwende
hwinan	xwiːnɑn
hwisprian	xwispriɑn
hwistlere	xwistlere
hwistlian	xwistliɑn
hwit	xwiːt
hwitel	xwiːtel
hwitnes	xwiːtnes
hwon	xwon
hwone	xwone
hwopan	xwoːpɑn
hwosan	xwoːsɑn
hwosta	xwoːstɑ
hwy	xwyː
hwylc	xwylt͡ʃ
hwylca	xwylkɑ
hwyrft	xwyrft
hwæder	xwæder
hwæg	xwæːj
hwæl	xwæl
hwælhunta	xwælxuntɑ
hwælhuntoþ	xwælxuntoθ
hwælweg	xwælwej
hwæm	xwæːm
hwæne	xwæne
hwænne	xwænne
hwær	xwæːr
hwærhwugu	xwæːrxwuɡu
hwæs	xwæs
hwæt	xwæt
hwæte	xwæːte
hwæþer	xwæθer
hwæþre	xwæθre
hycgan	xyjjɑn
hyd	xyːd
hydan	xyːdɑn
hyf	xyːf
hyge	xyje
hygerof	xyjeroːf
hygeþrym	xyjeθrym
hyht	xyxt
hyldo	xyldo
hyldræden	xyldræːden
hyldu	xyldu
hyll	xyll
hyllan	xyllɑn
hymele	xymele
hyngran	xynɡrɑn
hyngrian	xynɡriɑn
hynþu	xyːnθu
hype	xype
hyr	xyːr
hyran	xyːrɑn
hyrdan	xyrdɑn
hyrde	xyrde
hyrde	xyːrde
hyrdel	xyrdel
hyrdon	hyːrdon
hyreborg	xyːreborɡ
hyrian	xyrjɑn
hyrling	xyːrlinɡ
hyrmann	xyːrmɑnn
hyrne	xyrne
hyrst	xyrst
hyrstan	xyrstɑn
hyscan	xyʃʃɑn
hyse	xyse
hyþ	xyːθ
hæbbende	hæbbende
hæc	xæt͡ʃ
hæcce	xække
hæf	xæf
hæfde	hæfde
hæfdon	hæfdon
hæfen	xæfen
hæfer	xæfer
hæferblæte	xæferblæːte
hæfern	xæfern
hæft	xæft
hæftan	xæftɑn
hæftling	xæftlinɡ
hæftnung	xæftnunɡ
hægl	xæjl
hægtesse	xæɡtesse
hæl	xæːl
hælan	xæːlɑn
hæle	xæle
hælend	xæːlend
hælendlic	xæːlendliːt͡ʃ
hælettung	xæːlettunɡ
hæleð	xæleθ
hæleþ	xæleθ
hælig	xæːlij
hæling	xæːlinɡ
hælo	xæːlo
hælsung	xæːlsunɡ
hælu	xæːlu
hælþ	xæːlθ
hæman	xæːmɑn
hæmed	xæːmed
hæmedceorl	xæːmedt͡ʃe͜orl
hæmedlac	xæːmedlɑːk
hæmedscipe	xæːmedʃipe
hæmedwif	xæːmedwiːf
hænan	xæːnɑn
hænep	xænep
hær	xæːr
hæren	xæːren
hærenfagol	xæːrenfɑɡol
hærfest	xærfest
hærfestlic	xærfestliːt͡ʃ
hærfestmonaþ	xærfestmoːnɑθ
hæring	xæːrinɡ
hærn	xærn
hærnflota	xærnflotɑ
hæs	xæːs
hæsel	xæsel
hæsl	xæsl
hæst	xæːst
hæt	xæt
hætan	xæːtɑn
hæte	xæːte
hætt	xætt
hæþ	xæːθ
hæþen	xæθen
hæþen	xæːθen
hæþendom	xæːθendoːm
ia	jɑː
ic	it͡ʃ
idel	iːdel
ides	ides
idæges	iːdæjes
iecan	i͜yːt͡ʃɑn
iecend	i͜yːt͡ʃend
ieg	i͜yːj
iegland	i͜yːjlɑnd
iegstream	i͜yːjstræ͜ɑːm
ieldan	i͜yldɑn
ielde	i͜ylde
ielden	i͜ylden
ieldra	iy̯ldrɑ
ieldu	i͜yldu
ielf	i͜ylf
ielfadl	i͜ylfɑːdl
ielfcynn	i͜ylfkynn
ielfen	i͜ylfen
ielfete	i͜ylfete
ielfetu	i͜ylfetu
ielfsciene	i͜ylfʃi͜yːne
ielfsogoþa	i͜ylfsoɡoθɑ
ierfa	i͜yrfɑ
ierfe	i͜yrfe
ierfenuma	i͜yrfenumɑ
iergþ	i͜yrjθ
iergþu	i͜yrjθu
iermþ	i͜yrmθ
iermþu	i͜yrmθu
iernan	i͜yrnɑn
ierre	i͜yrre
iersian	i͜yrsiɑn
ierþling	i͜yrθlinɡ
iewan	i͜yːwɑn
ieþan	i͜yːθɑn
ieþe	i͜yːθe
ifig	iːfij
ifiht	iːfixt
ig	iːj
igeoþ	ijoθ
iggaþ	ijjɑθ
iggoþ	ijjoθ
igil	ijil
igland	iːjlɑnd
igoþ	ijoθ
ih	ix
ilca	ilkɑ
ile	ile
ilfete	ilfete
ilfetu	ilfetu
imbe	imbe
impian	impiɑn
in	in
inblawan	inblɑːwɑn
inbrecan	inbrekɑn
inbringan	inbrinɡɑn
inburh	inburx
inc	ink
inca	inkɑ
incer	inker
inciegan	int͡ʃi͜yːjɑn
inciegung	int͡ʃi͜yːjunɡ
incit	iŋkit
incniht	inknixt
incuman	inkumɑn
incund	inkund
ineardian	inæ͜ɑrdiɑn
ineardiend	inæ͜ɑrdiend
infaran	infɑrɑn
infaru	infɑru
inferan	infeːrɑn
infiht	infixt
infæreld	infæreld
ing	inɡ
ingan	inɡɑːn
ingang	inɡɑnɡ
ingangan	inɡɑnɡɑn
ingefeallan	injefæ͜ɑllɑn
ingefeoht	injefe͜oxt
ingehygd	injexyjd
ingeld	inɡeld
ingeþanc	injeθɑnk
inhold	inxold
inlenda	inlendɑ
inlendisc	inlendiʃ
inlic	inliːt͡ʃ
inlice	inliːt͡ʃe
inlihtan	inliːxtɑn
inlædan	inlæːdɑn
inn	inn
innan	innɑn
innancund	innɑnkund
innanweard	innɑnwæ͜ɑrd
inne	inne
innecund	innekund
innefare	innefɑre
innera	innerɑ
inneweard	innewæ͜ɑrd
innian	inniɑn
innoþ	innoθ
innung	innunɡ
insendan	insendɑn
insiht	insixt
intinga	intinɡɑ
into	intoː
inweard	inwæ͜ɑrd
inylfe	inylfe
iohannes	joxɑnnes
iow	i͜uːw
iraland	iːrɑlɑnd
irland	iːrlɑnd
irnan	irnɑn
is	iːs
isceald	iːst͡ʃæ͜ɑld
isearn	iːsæ͜ɑrn
isenordal	iːsenordɑːl
isern	iːsern
isernsmiþ	iːsernsmiθ
isig	iːsij
isiht	iːsixt
isiþes	iːsiːθes
ispania	ispɑːniɑ
ispanisc	ispɑːniʃ
israhel	isrɑxel
italia	itɑliɑ
iude	iude
iudea	iudæ͜ɑ
iudeisc	juːdeːiʃ
iw	iːw
kyning	kyninɡ
la	lɑː
lac	lɑːk
lacan	lɑːkɑn
lacnestre	lɑːknestre
lacnian	lɑːkniɑn
lacu	lɑku
lad	lɑːd
ladian	lɑːdiɑn
ladmann	lɑːdmɑnn
ladteow	lɑːdte͜oːw
ladung	lɑːdunɡ
laf	lɑːf
lafian	lɑfiɑn
lafor	lɑfor
lage	lɑɡe
lago	lɑɡo
lagu	lɑɡu
lagucræftig	lɑɡukræftij
lagustræt	lɑɡustræːt
lam	lɑːm
lama	lɑmɑ
lamb	lɑmb
lambru	lɑmbru
lamp	lɑmp
land	lɑnd
landbuend	lɑndbuːend
landfeoh	lɑndfe͜ox
landfolc	lɑndfolk
landfruma	lɑndfrumɑ
landhlaford	lɑndxlɑːford
landleas	lɑndlæ͜ɑːs
landleod	lɑndle͜oːd
landmearc	lɑndmæ͜ɑrk
landrest	lɑndrest
landriht	lɑndrixt
landscipe	lɑndʃipe
lang	lɑnɡ
langaland	lɑnɡɑlɑnd
lange	lɑnɡe
langian	lɑnɡiɑn
langoþ	lɑnɡoθ
langsum	lɑnɡsum
langsumlice	lɑnɡsumliːt͡ʃe
langsumnes	lɑnɡsumnes
langtwidig	lɑnɡtwiːdij
lanu	lɑnu
lar	lɑːr
larboc	lɑːrboːk
larbysen	lɑːrbyːsen
larcræft	lɑːrkræft
lareow	lɑːre͜oːw
lareowdom	lɑːre͜oːwdoːm
lareowlic	lɑːre͜oːwliːt͡ʃ
larleast	lɑːrlæ͜ɑːst
larlic	lɑːrliːt͡ʃ
larlyst	lɑːrlyːst
larsmiþ	lɑːrsmiθ
larspell	lɑːrspell
larsum	lɑːrsum
larwita	lɑːrwitɑ
last	lɑːst
late	lɑte
laur	lɑur
laurbeam	lɑurbæ͜ɑːm
laurberige	lɑurberije
laurtreow	lɑurtre͜oːw
lawerce	lɑːwerke
laþ	lɑːθ
laþgeteona	lɑːθjete͜oːnɑ
laþian	lɑθiɑn
laþian	lɑːθiɑn
laþlic	lɑːθliːt͡ʃ
laþu	lɑθu
leac	læ͜ɑːk
lead	læ͜ɑːd
leaf	læ͜ɑːf
leafa	læ͜ɑːfɑ
leafnes	læ͜ɑːfnes
leafnesword	læ͜ɑːfnesword
leah	læ͜ɑːx
lean	læ͜ɑːn
leas	læ͜ɑːs
leasere	læ͜ɑːsere
leaslic	læ͜ɑːsliːt͡ʃ
leassagol	læ͜ɑːssɑɡol
leassceawere	læ͜ɑːsʃæ͜ɑːwere
leax	læ͜ɑks
lec	leːk
leccan	lett͡ʃɑn
lecgan	lejjɑn
lefan	leːfɑn
legen	lejen
leger	lejer
legere	leːɡere
legerstow	lejerstoːw
legerteam	lejertæ͜ɑːm
leget	leːjet
leht	leːxt
lemian	lemiɑn
lencten	lenkten
lenctenadl	lenktenɑːdl
lenctenlic	lenktenliːt͡ʃ
lendan	lendɑn
lenden	lenden
lendenu	lendenu
leng	lenj
lengest	lend͡ʒest
lengþu	lenɡθu
leo	le͜oː
leod	le͜oːd
leoda	le͜oːd
leodan	le͜oːdɑn
leodcyning	le͜oːdkyninɡ
leode	le͜oːde
leoden	le͜oːden
leodgebyrga	le͜oːdjebyrjɑ
leodgeþincþu	le͜oːdjeθinkθu
leodhryre	le͜oːdxryre
leodmearc	le͜oːdmæ͜ɑrk
leodmægen	le͜oːdmæjen
leodriht	le͜oːdrixt
leodræden	le͜oːdræːden
leodscipe	le͜oːdʃipe
leodstefn	le͜oːdstefn
leodweard	le͜oːdwæ͜ɑrd
leodwerod	le͜oːdwerod
leodwita	le͜oːdwitɑ
leodwynn	le͜oːdwynn
leof	le͜oːf
leoflic	le͜oːfliːt͡ʃ
leofwende	le͜oːfwende
leogan	le͜oːɡɑn
leogere	le͜oːɡere
leoht	le͜oːxt
leohtberend	le͜oːxtberend
leohtbrædnes	le͜oːxtbræːdnes
leohtbære	le͜oːxtbæːre
leohtfæt	le͜oːxtfæt
leohtlic	le͜oːxtliːt͡ʃ
leohtlice	le͜oːxtliːt͡ʃe
leohtsawend	le͜oːxtsɑːwend
leoma	le͜oːmɑ
leon	le͜oːn
leoran	le͜oːrɑn
leornian	le͜orniɑn
leorningcild	le͜orninɡt͡ʃild
leornungcniht	le͜ornunɡknixt
leow	le͜oːw
leoþ	le͜oːθ
leoþcræft	le͜oːθkræft
leoþcræftig	le͜oːθkræftij
leoþere	le͜oːθere
leoþgiddung	le͜oːθjiddunɡ
leoþian	le͜oːθiɑn
leoþlic	le͜oːθliːt͡ʃ
leoþorun	le͜oːθoruːn
leoþwise	le͜oːθwiːse
leoþwyrhta	le͜oːθwyrxtɑ
lesan	lesɑn
lettan	lettɑn
leðer	leθer
leþer	leθer
libban	libbɑn
lic	liːt͡ʃ
liccian	likkiɑn
licettan	liːt͡ʃettɑn
licettere	liːt͡ʃettere
licettung	liːt͡ʃettunɡ
licgan	lijjɑn
lichama	liːkxɑmɑ
lichamlic	liːkxɑmliːt͡ʃ
lichamlice	liːkxɑmliːt͡ʃe
lician	liːkiɑn
licnes	liːknes
lictun	liːktuːn
licþeote	liːkθe͜oːte
liefan	li͜yːfɑn
lieg	li͜yːj
liegberende	li͜yːjberende
liegbryne	li͜yːjbryne
liegbære	li͜yːjbæːre
liegcwalu	li͜yːjkwɑlu
liegdraca	li͜yːjdrɑkɑ
liegegesa	li͜yːjejesɑ
liegetu	li͜yːjetu
liegfamblawende	li͜yːjfɑːmblɑːwende
liegfyr	li͜yːjfyːr
liegfæmende	li͜yːjfæːmende
lieglocc	li͜yːjlokk
liegloccod	li͜yːjlokkod
liegnan	li͜yːjnɑn
liegræsc	li͜yːjræʃ
liegræscettung	li͜yːjræʃettunɡ
liegspiwol	li͜yːjspiːwol
liegyþ	li͜yːjyːθ
liegþracu	li͜yːjθrɑku
liehtan	li͜yːxtɑn
liesan	li͜yːsɑn
lif	liːf
lifer	lifer
liffrea	liːffræ͜ɑː
lifgedal	liːfjedɑːl
lifian	lifiɑn
lifleas	liːflæ͜ɑːs
liflic	liːfliːt͡ʃ
liflice	liːfliːt͡ʃe
lig	liːj
ligen	lijen
ligen	liːjen
liget	liːjet
ligetræsc	liːjetræʃ
ligetsliht	liːjetslixt
ligetu	liːjetu
lignan	liːjnɑn
ligyþ	liːjyːθ
lihtan	liːxtɑn
lim	lim
lim	liːm
limmælum	limmæːlum
limpan	limpɑn
lind	lind
linden	linden
lindhæbbend	lindxæbbend
line	liːne
linen	liːnen
linnan	linnɑn
lippa	lippɑ
lira	liːrɑ
lireht	liːrext
list	list
lixan	liːksɑn
liþ	liθ
liþa	liːθɑ
liþan	liːθɑn
liþe	liːθe
lobbe	lobbe
loc	lok
loc	loːk
loca	lokɑ
loca	loːk
locc	lokk
loccian	lokkiɑn
locian	loːkiɑn
loddere	loddere
lodrung	lodrunɡ
lof	lof
lof	loːf
lofdæd	lofdæːd
lofian	lofiɑn
log	loːɡ
loga	loɡɑ
logian	loːɡiɑn
loh	loːx
lome	loːme
long	lonɡ
longe	lonɡe
longsum	lonɡsum
loppe	loppe
loppestre	loppestre
los	los
losian	losiɑn
lox	loks
loþa	loθɑ
lucan	luːkɑn
lucas	lukɑs
lufe	lufe
lufestice	lufestit͡ʃe
lufestre	lufestre
lufian	lufiɑn
lufiend	lufiend
luflic	lufliːt͡ʃ
lufsum	lufsum
luftacen	luftɑːken
lufu	lufu
lumpen	lumpen
lunden	lunden
lundlaga	lundlɑɡɑ
lungen	lunɡen
lus	luːs
lust	lust
lustbære	lustbæːre
lustfullice	lustfulliːt͡ʃe
lutan	luːtɑn
lyb	lyb
lybb	lybb
lybesn	lybesn
lyden	lyːden
lyft	lyft
lyften	lyften
lyge	lyje
lygen	lyjen
lysan	lyːsɑn
lysu	lysu
lyswen	lyswen
lyt	lyːt
lytel	lyːtel
lythwon	lyːtxwoːn
læcan	læːt͡ʃɑn
læccan	lætt͡ʃɑn
læce	læːt͡ʃe
læceboc	læːt͡ʃeboːk
læcecræft	læːt͡ʃekræft
læcedom	læːt͡ʃedoːm
læcehus	læːt͡ʃexuːs
læceseax	læːt͡ʃesæ͜ɑks
lædan	læːdɑn
læden	læːden
lædere	læːdere
læfan	læːfɑn
læn	læːn
lænan	læːnɑn
læppa	læppɑ
læran	læːrɑn
lærestre	læːrestre
læring	læːrinɡ
læringmæden	læːrinɡmæːden
læs	læːs
læsest	læːsest
læssa	læːssɑ
læst	læːst
læstan	læːstɑn
læste	læste
læt	læt
læt	læːt
lætan	læːtɑn
lætsum	lætsum
læwa	læːwɑ
læwan	læːwɑn
læwed	læːwed
læwede	læːwede
ma	mɑː
macian	mɑkiɑn
maga	mɑɡɑ
maga	mɑːɡɑ
magan	mɑɡɑn
magian	mɑɡiɑn
mago	mɑɡo
magon	mɑɣon
magu	mɑɡu
maguþegn	mɑɡuθejn
mal	mɑːl
malscrung	mɑlʃrunɡ
mamera	mɑmerɑ
mamor	mɑmor
mamorian	mɑːmoriɑn
mamrian	mɑːmriɑn
man	mɑn
man	mɑnn
man	mɑːn
manaþ	mɑːnɑːθ
mancynn	mɑnkynn
mand	mɑnd
mandæde	mɑːndæːde
manfordædla	mɑːnfordæːdlɑ
