а	ʔaː
пчэнышъо	pt͡ʃanəʃʷa
пшахъо	pʃaχʷa
пшъапӏэ	pʂaːpʼa
пшъашъэ	pʂaːʂa
пшъын	pʂən
пшъэ	pʂa
пшъэб	pʂab
пшъэбы	pʂabə
пшъэбыдэлъ	pʂabədaɬ
пшъэдадз	pʂadaːd͡z
пшъэдалхь	pʂadaːlħ
пшъэдалъхь	pʂadaːɬħ
пшъэдэкӏыжъ	pʂadat͡ʃəʐ
пшъэдэкӏыжь	pʂadat͡ʃəʑ
пшъэдэлъ	pʂadaɬ
пшъэрылъ	pʂarəɬ
пшъэтыкъ	pʂatəq
пшъэшъэгъу	pʂaʂaʁʷ
пшъэшъэжъые	pʂaʂaʐəja
пшъэшъэжъый	pʂaʂaʐəj
пшын	pʃən
пшысэ	pʃəsa
пшэсэн	pʃasan
пшэхъоф	pʃaχʷaf
пшӏанэ	pʃʼaːna
пшӏы	pʂə
пшӏы	pʃʼə
пщагъу	pɕaːʁʷ
пщтын	pɕtən
пщы	pɕə
пщыгъупшын	pɕəʁʷəpʃən
пщыкъу	pɕəqʷə
пщыкӏэ	pɕət͡ʃʼa
пщылӏы	pɕəɬʼ
пщылӏыгъо	pɕəɬʼəʁʷa
пщылӏын	pɕəɬʼən
пщын	pɕən
пщынао	pɕənaːwa
пщыныжьын	pɕənəʑən
пщынэ	pɕəna
пщынэжь	pɕənaʑ
пщынэн	pɕənan
пщынэныгъ	pɕənanəʁ
пщыпащ	pɕəpaːɕ
пщэ	pɕa
пщэры	pɕarə
пщэрыхь	pɕarəħ
пщэрыхьакӏо	pɕarəħaːkʷʼa
пщэрыхьан	pɕarəħaːn
пщэрыхьапӏэ	pɕarəħaːpʼa
пыгъэтэкъун	pəʁataqʷən
пыгъэун	pəʁawən
пыгъэхьан	pəʁaħaːn
пыдж	pəd͡ʒ
пыджэн	pəd͡ʒan
пыдзэгъ	pəd͡zʁ
пыдэн	pədan
пыжъ	pəʐ
пыжъы	pəʐə
пызы	pəzə
пызын	pəzən
пый	pəj
пыкьын	pəkʲən
пыкӏын	pəkʲʼən
пыкӏын	pət͡ʃʼən
пыкӏьын	pəkʲʼən
пыкӏэрэплъын	pət͡ʃʼarapɬən
пыл	pəl
пылъалъэ	pəɬaːɬa
пылъапӏ	pəɬaːpʼ
пылъапӏэ	pəɬaːpʼa
пылъын	pəɬən
пылъэн	pəɬan
пылэлын	pəɮaɮən
пылӏыкӏын	pəɬʼət͡ʃʼən
пындж	pənd͡ʒ
пынэн	pənan
пыпсыкӏын	pəpsət͡ʃʼən
пыскӏьэн	pəskʲan
пыскӏэн	pəst͡ʃan
пысын	pəsən
пысӏэн	pəsʼan
пытхъын	pətχən
пытын	pətən
пытэ	pəta
пытэкъун	pətaqʷən
пытӏэрын	pətʼarən
пыукӏын	pəwt͡ʃʼən
пыун	pəwən
пыупкӏын	pəwpt͡ʃʼən
пыут	pəwət
пыуты	pəwtə
пыхын	pəxən
пыхьан	pəħaːn
пыцӏэн	pətsʼan
пычын	pət͡ʃən
пышхэхьан	pəʃxaħaːn
пэ	pa
пэбжъакъо	pabʐaːqʷa
пэбзыджын	pabzəd͡ʒən
пэгъодз	paʁʷad͡z
пэгъокӏын	paʁʷat͡ʃən
пэгъокӏьын	paʁʷakʲən
пэгъон	paʁʷaːna
пэгъуанэ	paʁʷaːna
пэкъуэ	paqʷa
пэкӏо	pakʷʼa
пэкӏэракӏэу	pət͡ʃʼarapɬən
пэкӏэрэплъын	pət͡ʃʼarapɬən
пэлэлэжъ	palalaʐ
пэмкӏыр	pamt͡ʃər
пэмэн	paman
пэплъэн	papɬan
пэпсы	papsə
пэрыохъу	parəwaχʷ
пэсакӏо	pasaːkʷʼ
пэсын	pasən
пэтырэ	patəra
пэхьан	paħaːn
пэцуй	pat͡sʷəj
пэцуй	pat͡ʃʷəj
пэшын	paʃən
пэшӏыжьын	paʃʼəʑən
пэшӏэн	paʃʼan
пэщ	paɕ
пэщэн	paɕam
пэӏоталъхьэ	paʔʷataːlħa
пэӏоӏожьын	paʔʷaʔʷaʑən
пэӏухъо	paʔʷəχʷa
пэӏухъон	paʔʷəχʷan
пӏакӏэ	pʼaːt͡ʃa
пӏалъэ	pʼaːɬa
пӏастэ	pʼaːsta
пӏо	pʷʼa
пӏонкӏын	pʷʼant͡ʃʼəm
пӏоны	pʷʼanə
пӏуаблэ	pʷʼaːbɮa
пӏуакӏэ	pʷʼaːt͡ʃa
пӏуанкӏэ	pʷʼaːnt͡ʃa
пӏун	pʷʼən
пӏупкӏэ	pʷʼənt͡ʃʼa
пӏур	pʷʼər
пӏын	pʼən
пӏырагу	pʼəraːɡʷ
пӏысакӏо	pʼəsaːkʷʼa
пӏысыгъэжъ	pʼəsəʁaʐ
пӏысын	pʼəsən
пӏэ	pʼa
пӏэкӏор	pʼakʷʼar
пӏэркӏьын	pʼankʲʼəm
пӏэстхъэн	pʼastχan
пӏэстӏэкӏэшып	pastat͡ʃaʃəp
пӏэсхъэн	pʼasχan
пӏэтын	pʼatən
пӏэшъхьагъ	pʼaʂħaːʁ
ренэу	rajnaw
ригъэчъэхын	jaʁat͡ʂaxən
ридзын	rəjd͡ʒən
рилъэшъон	rəjɬaʃʷan
ришъун	rjəʃʷən
рсысын	səsən
рэзэгъэн	razaʁan
рэхьат	raħaːt
рэхьэнйэл	raħanjal
сабый	saːbəj
сагъындакъ	saːʁəndaːq
сае	saːja
сако	saːkʷa
сакӏо	saːkʷʼa
самбыр	saːmbər
самбырын	saːmbərən
сандыкъ	saːndəq
санэ	saːna
сапэ	saːpa
сахъэ	saːχa
стаф	staːf
стыгъэ	stəʁa
стылӏэн	stəɬʼan
стын	stən
стыр	stər
стырыпс	stərəps
сурэт	səwrat
суыз	fəz
суыз	ʃʷəz
суэу	faw
суэу	ʃʷaw
сшъхьэпкӏэтын	sʂħapkʲʼatən
сыд	səd
сыда	sədaː
сыдж	səd͡ʒ
сыдигъо	sədəjʁʷa
сыдэу	sədaw
сыдэущтэу	sədawɕtaw
сыдэущтэу	sədawɕtəw
сымагьэ	səmaːɡʲa
сымаджэ	səmaːd͡ʒa
сымэджаплъэ	səmad͡ʒaːpɬa
сымэджэдэй	səmad͡ʒadaj
сымэджэщ	səmad͡ʒaɕ
сын	sən
сырныч	sərnət͡ʃ
сырэ	səra
сысын	səsən
сыунэхъугъ	səwnaχʷəʁ
сыхьат	səħaːt
сэ	sa
сэку	sakʷ
сэкъат	saqaːt
сэмэгу	samaɡʷ
сэмэркъэу	samarqaw
сэмэркъэушӏыл	samarqawʃʼəɮ
сэнсэй	sansaj
сэнэтхьапэ	sanatħaːpa
сэнэхьат	sanaħaːt
сэпсэуэ	sapsawa
сэпэон	ɬapawan
сэраджэ	saraːd͡ʒa
сэрай	saraːj
сэхыжын	saxəʒən
сэхын	saxən
сӏакӏьэ	sʼaːkʲʼa
сӏын	sʼən
сӏынэ	sʼəna
сӏэ	sʼa
сӏэсӏэн	sʼasʼan
табэ	taːba
такъыр	taːqər
такъэ	taːqa
тамэ	taːma
таплъэ	taːpɬa
тары	taːrə
тауташ	taːwtaːɕ
тгъосэнэхьпэ	tʁʷasanaħpa
тгъуакӏо	tʁʷaːkʷʼa
тгъэнэгъургьэ	tʁanaʁʷərɡʲa
тгъэргъаз	tʁarʁaːz
тегощэн	ɡʷaɕən
тегубжыхьан	tajɡʷəbʒəħaːn
тегупшысыкӏын	tajɡʷəpʃəsət͡ʃʼən
тегущыӏэн	tajɡʷəɕəʔan
тегъогъон	tajʁʷaʁʷan
тегъэзын	tajʁazən
тегъэзэн	tajʁazən
тегъэкӏэн	tajʁat͡ʃʼan
тегъэнэн	tajʁanan
тегъэпкӏэн	tajəapt͡ʃʼan
тегъэпсыхьан	tajʁapsəħaːn
тегъэпытахьын	tajʁapətaːħaːn
тегъэстыкӏын	tajʁasət͡ʃʼən
тегъэстыхьан	tajʁasəħaːn
тегъэткӏон	tajʁatkʷʼan
тегъэтӏысхьан	tajʁatʼəsħaːn
тегъэтӏэтӏэн	ʁajtʼatʼan
тегъэун	tajʁawən
тегъэцӏырэн	tajʁat͡sʼəran
тедэжьын	tajdaʑən
тезын	tajzən
текьын	tajkʲən
текӏон	tajkʷʼan
текӏутэн	tajkʷʼətan
текӏьэн	takʲʼan
текӏэн	tajt͡ʃʼan
телъхьан	tajɬħaːn
телъэдэн	tajɬadan
телӏэхьын	tajɬʼaħən
темыр	tajmər
темэн	tajman
тенэн	tajnan
тенэцӏэхьын	tajnat͡sʼaħən
теон	tajwan
теплъэ	taːpɬa
теплъэшӏу	tajpɬaʃʷʼ
тепсэн	tajpsan
тепхэ	tajpxa
тепщэч	tajpɕat͡ʃ
тепӏо	tajpʷʼa
тетхыкӏын	tatxət͡ʃʼən
тетӏэтӏэн	tajtʼatʼan
теужъунтхэн	tajʒʷəntxan
теужъутхэн	tajʒʷəntxan
теунэхъухьан	tajnaχʷəħaːn
теупӏэпӏэн	tajwpʼapʼan
теутхын	tajawətxən
теутхэн	tjawətxən
теутын	tajwətən
теутэн	tajwətan
теуцон	tajdt͡ʃʷan
теуцӏэлэн	tawt͡sʼalan
тефэхьын	tajfaħən
техъон	tajχʷan
техьагъу	tajħaːʁʷ
техьан	tajħaːn
тецӏэлэн	tajt͡sʼaɮan
тецӏэцӏэн	tajt͡sʼat͡sʼan
течын	tajt͡ʃən
тещыныхьан	tajɕənəħaːn
теӏэбэхьын	tajʔabaħən
ткӏун	tkʷʼən
тутын	təwtən
тфанэ	tfaːna
тфы	tfə
тфый	tfəj
тфэи	tfajə
тхакӏо	txaːkʷʼa
тхъо	tχʷa
тхъу	tχʷə
тхъужъ	tχʷəʐ
тхъун	tχʷən
тхъурыжъ	tχʷərəʐ
тхъын	tχən
тхъытхъын	ɡʷəzaʒʷan
тхъэжьын	tχaʑən
тхъэн	ʁatχan
тхы	txə
тхыбзэ	txəbza
тхыгъэ	txəʁa
тхыдэ	txəda
тхыдэжъ	txədaʐ
тхыкъупшъхь	txəqʷəpʂħ
тхылъ	txəɬ
тхылъылъ	txəɬəɬ
тхылъыпӏэ	txəɬəpʼa
тхылъыщэ	txəɬəɕa
тхылъӏыгъыпӏэ	txəɬʔəʁəpʼa
тхын	txən
тхыон	txəwan
тхыпкъылъэ	txəpqəɬa
тхыпкъэ	txəpqa
тхытхын	txətxən
тхыцэ	txət͡ʃa
тхыцӏэ	txət͡sʼa
тхьабыл	tħaːbəl
тхьагъэпцӏ	tħaːʁapt͡sʼ
тхьакӏумкӏыхь	tħakʷʼmat͡ʃʼəħ
тхьакӏумэ	tħakʷʼma
тхьакӏын	tħat͡ʃən
тхьаматэ	tħaːmaːta
тхьамшӏыгъу	tħaːmʃʼəʁʷ
тхьамыкӏ	tħaːmət͡ʃ
тхьамыкӏагъу	tħaːmət͡ʃʼaːʁʷ
тхьамыкӏэгъо	tħaːmət͡ʃʼaːʁʷ
тхьанычъэ	tħaːnət͡ʂʼa
тхьапш	tħapʃ
тхьапэ	tħaːpa
тхьаркъо	tħaːrqʷa
тхьарыӏу	tħaːrəʔʷ
тхьауегъэпсэу	tħaːwajʁapsaw
тхьаумаф	tħawmaːf
тхьаусхэн	tħaːwəsxan
тхьауысхако	tħaːwəsxaːkʷa
тхьацэ	tħaːt͡sa
тхьачэт	tħaːt͡ʃat
тхьэ	tħa
тхьэгуащэ	tħaɡʷaːɕa
тхьэгъэлэдж	tħaʁalad͡ʒ
тхьэкӏумэ	tħakʷʼma
тхьэкӏумэкӏэхьы	tħakʷʼmakʲʼaħə
тхьэкӏумэкӏэхьы	tħakʷʼmat͡ʃʼaħə
тхьэкӏумэпылъ	tħakʷʼmapəɬ
тхьэкӏэт	tħakʲʼat
тхьэкӏэт	tħat͡ʃʼat
тхьэлъэӏупӏэ	tħaɬaʔʷəpʼa
тхьэматэ	tħamaːta
тхьэмафэ	tħamaːfa
тхьэмбылышъу	tħambələʂʷ
тхьэмыдэ	tħaməda
тхьэмышӏэ	tħaməʃʼa
тхьэмыщкӏь	tħaməɕkʲʼ
тхьэпкӏэ	tħapt͡ʃa
тхьэцу	tħat͡ʃʷ
тхьэчэт	tħat͡ʃat
тхэн	txan
тхэхьын	txaħən
ты	tə
тыгъон	təʁʷan
тыгъоснахьыпэ	təʁʷasnaːħəp
тыгъуакӏо	təʁʷaːkʷʼa
тыгъуасэ	təʁʷaːsa
тыгъуасэнахьыпэ	tʁʷasanaħpa
тыгъужъ	təʁʷəʐ
тыгъун	təʁʷən
тыгъурыгъу	təʁʷrəʁʷə
тыгъэ	təʁa
тыгъэгъазэ	təʁaʁaːz
тыгъэгъэзэмаз	təʁaʁazamaːz
тыгъэкъокӏыпӏ	təʁaqʷakʲəpʼ
тыгъэкъокӏыпӏ	təʁaqʷat͡ʃəpʼ
тыгъэкъохьапӏ	təʁaqʷaħaːpʼ
тыгъэнэгъунджэ	təʁanaʁʷənd͡ʒa
тыгъэнэстыр	təʁanastər
тыгъэпсы	təʁapsə
тыгъэстыр	təʁastər
тыдэ	təda
тыжьыны	təʑən
тыкъын	təqən
тын	tən
тыны	tənə
тыпсэ	təpsa
тыркъо	tərqʷa
тэ	ta
тэгъзакӏэ	taʁzaːkʲʼa
тэгъогъон	taʁʷaʁʷan
тэгъолъхьан	taʁʷaɬħaːn
тэгъэпсэхьэн	taʁapsaħaːn
тэгъэтӏысхьэн	taʁatʼəsħan
тэгъэтӏэтӏэн	ʁatʼatʼan
тэгъэфэн	taʁafan
тэгъэцӏэшъутыкӏын	taʁat͡sʼaʃʷtət͡ʃʼən
тэгьын	taɡʲən
тэджын	tad͡ʒən
тэдрэз	tadraz
тэжъутхэн	taʒʷətxan
тэкуон	takʷəwan
тэкӏу	takʷʼ
тэкӏурэ	takʷʼra
тэкӏутэн	takʷʼətan
тэмэжъый	bləpqəʐəj
тэнэн	tanan
тэпкӏэн	tapt͡ʃʼan
тэпсэ	tapsa
тэрэз	taraz
тэрэзыдж	tarazəd͡ʒ
тэсӏэсӏэн	tasʼasʼan
тэтхыкӏын	tatxət͡ʃʼən
тэтхыкӏьын	tatxəkʲʼən
тэтэжъ	tataʐ
тэтӏэтӏэн	tatʼatʼan
тэуцон	tawt͡sʷən
тэуцон	tawt͡ʃʷən
тэуцӏэлэн	tawt͡sʼalan
тэфэн	tafan
тэцӏэцӏэн	tat͡sʼat͡sʼan
тэцӏэшъутыкӏын	tat͡sʼaʃʷtət͡ʃʼən
тэцӏэшъутыкӏьын	tat͡sʼaʃʷtəkʲʼən
тэчъын	tat͡ʂən
тэшӏыкӏын	taʃʼət͡ʃʼən
тэшӏыкӏьын	taʃʼəkʲʼən
тэщгъум	taɕʁʷəm
тэщтэу	taɕtaw
тэщтэу	taɕtəw
тэӏэн	taʔan
тӏамы	taːmə
тӏаркъу	tʼaːrqʷ
тӏокӏы	tʷʼat͡ʃə
тӏокӏэжъ	tʷʼat͡ʃʼaʐ
тӏолъфэныкъо	tʷʼaɬfanəqʷa
тӏолъфэныкъох	tʷʼaːzax
тӏу	tʷʼə
тӏуазэ	tʷʼaːza
тӏуазэх	tʷʼaːzax
тӏуакӏэ	tʷʼaːt͡ʃʼa
тӏуанэ	tʷʼaːna
тӏупщын	tʷʼəpɕən
тӏурыс	tʷʼərəs
тӏурытӏу	tʷʼərətʷʼ
тӏуӏугъэ	tʷʼəʔʷəʁa
тӏы	tʼə
тӏыгъон	tʼəʁʷan
тӏын	tʼən
тӏыргун	tʼərɡʷən
тӏыргъон	tʼərʁʷan
тӏысын	tʼəsən
тӏысыпӏэ	tʼəsəpʼa
тӏэкӏу	tʼakʷʼ
тӏэкӏугъашӏэм	tʼakʷʼʁaːʃʼam
тӏэкӏунау	tʼakʷʼənaːw
тӏэкӏунитӏэ	tʼakʷʼəjntʼa
тӏэн	tʼan
тӏэпӏын	tʼsapʼən
тӏэрэхын	tʼaraxən
тӏэрэхьын	matʼaraħən
тӏэтэн	tʼatan
тӏэтӏэй	tʼatʼaj
тӏэтӏэн	tʼatʼan
уае	waːja
уалъэ	waːɬa
уанэ	waːna
уарзэ	waːrza
уасэ	waːsa
уатэ	waːta
уахътэ	waːχta
уашхъо	waːʃχʷa
уашъо	waːʃʷa
уащхъуэ	waːɕχʷa
убзэн	wəbzan
ублапӏэ	wəbɮaːpʼa
ублэгъу	wəbɮaʁʷ
убын	wəbə
убытын	wbətən
убэн	wəban
убэтэн	wəbatan
угощын	wəɡʷaɕən
угъоин	wəʁʷajən
угъонын	wəʁʷanən
угь	wəɡʲ
угьын	wəɡʲən
удж	wəd͡ʒ
уджын	wd͡ʒən
уджэгъун	wəd͡ʒaʁʷən
удзуцон	wd͡zʷət͡sʷan
уды	wədə
ужъунтхэн	wəʒʷəntxan
ужы	wʒə
уз	wəz
узы	wəzə
узын	wəzən
узыныгъэ	wəzənəʁa
укъэбзын	wqabzən
укӏакӏо	wt͡ʃʼaːkʷʼa
укӏорэин	wkʷʼarajən
укӏын	wət͡ʃʼən
укӏыт	wət͡ʃʼət
укӏытагъо	wət͡ʃʼətaːʁʷa
укӏытапх	wt͡ʃʼətaːpx
укӏытапхэ	wt͡ʃʼətaːpx
укӏытэн	wət͡ʃʼətan
укӏьын	wkʲʼən
укӏьытапх	wkʲʼətaːpx
укӏьытэн	wəkʲʼətan
укӏьэпхъэн	wkʲʼapχan
укӏэпхъэн	wt͡ʃʼapχan
укӏэсын	wət͡ʃʼasan
улъыин	wəɬəjən
улэлэн	wəlalan
улэун	wɮawən
умыармэ	wməaːrma
ун	jawən
унагъо	wnaːʁʷa
унагъобзэ	wənaːʁʷabza
унагъоцӏэ	wnaːʁʷat͡sʼa
унакӏэ	wənaːt͡ʃʼa
унапчъэ	wənaːpt͡ʂa
унашъо	wənaːʂʷa
унашъхьэ	wnaːʂħa
унэ	wəna
унэгъуацӏэ	wənaʁʷat͡sʼa
унэзэн	wnazan
унэкӏын	wənat͡ʃʼən
унэхъун	wənaχʷən
унэчӏэгъ	wənat͡ʃʼaʁ
унэшъошӏы	wnaʃʷaʃʼə
унэӏут	wənaʔʷət
упкӏэ	wəpt͡ʃʼa
упкӏэн	wəpt͡ʃʼan
упкӏэтэн	wəpt͡ʃʼatan
упсын	wəpsən
упхъон	wəpχʷan
упцӏын	wpt͡sʼən
упчӏэ	wəpt͡ʃʼa
упчӏэжьын	wpt͡ʂʼaʑən
упчӏэн	wəpt͡ʃʼan
упэпцӏын	wpapt͡sʼən
упэшӏын	wəpaʃʼən
упӏыцӏэн	wpʼəsʼan
упӏэпӏэн	wpʼapʼan
урам	wraːm
урыс	wərəs
усын	wsən
утхъоен	wətχʷajan
утхыпкӏын	wətxəpt͡ʃʼən
уты	wtə
утысэн	wətəsan
утэбжьэн	wətabʑan
утэцэн	wətat͡san
утэшъон	wtaʃʷan
утӏэтӏэн	wətʼatʼan
уфын	wəfən
уфэн	wfan
уфэупцӏэ	wəfawpt͡sʼa
ухъумэн	wχʷəman
ухын	wxən
уц	wət͡s
уцолъын	wət͡ʃʷaɬən
уцун	wt͡ʃʷən
уцупӏэ	wət͡sʷəpʼam
уцы	wət͡sə
уцышъо	wət͡səʂʷa
уцэкун	wət͡sakʷən
уцэӏун	wət͡saʔʷən
уцӏынын	wət͡sʼənən
уцӏэлэн	wət͡sʼalan
уцӏэрэпхъын	wət͡sʼarapχən
ушхъухьакӏо	wəʃχʷħaːkʷʼa
ушхъухьан	wəʃχʷħaːn
ушъорэкӏын	wəʃʷarat͡ʃʼən
ушъхьагъу	wəʂħaːʁʷ
ушъыбын	ʂəbən
ушъын	wəʂən
ушыгун	wəɕəɡʷən
ушыхьатын	wəʃəħaːtən
ушэтын	wəʃatən
ушӏоин	wəʃʷajən
уыбэтэн	wəbatan
уыд	wəd
уэнтэгъу	wantaʁʷ
уэр	war
уэрзэӏанэ	warzaʔaːna
уӏагъэ	wəʔaːʁa
уӏэн	wəʔan
фабэ	faːba
фае	faːja
фапшэ	faːpʃa
фапщэ	faːpʃa
фегъэпэн	fajʁapan
феуэн	fajwan
фигъэпэн	fəjʁapan
фикъун	fəjqʷən
фитын	fəjtən
фитыныгъ	fəjtənəʁ
фыгу	fəɡʷ
фыжьы	fəʑə
фыжьыбз	fəʑəbz
фызын	fəzən
фылым	fələm
фын	fən
фыцӏын	fət͡sʼən
фэ	fa
фэбае	fabaːja
фэбзэджэн	fabzad͡ʒan
фэгоӏэн	faɡʷaʔan
фэгубжын	faɡʷəbʒən
фэгуӏэн	faɡʷaʔan
фэгъэгъун	faʁaʁʷən
фэгъэзэн	faʁazan
фэгъэпсын	faʁapsən
фэгъэсэн	faʁasan
фэгъэшъошэн	faʁaʃʷaʃan
фэд	fad
фэдэгъэзын	fadaʁazən
фэдэкъабз	fadaqaːbz
фэдэн	fadan
фэен	fajan
фэкъолӏ	faqʷaɬʼ
фэкъулай	faqʷəɮaːj
фэлъэкӏын	ɬat͡ʃʼən
фэлъэкӏьын	ɬakʲʼən
фэлӏэн	faɬʼan
фэмылъэгъун	faməɬaʁʷən
фэмыф	faməf
фэмэн	faman
фэпсӏын	fapsʼən
фэпцӏын	fapt͡sʼən
фэпшэн	fapʃan
фэпщэн	fapʃan
фэпэн	fapan
фэрэзэн	farazan
фэрэхьатын	faraħaːtən
фэсакъын	fasaːqən
фэулэун	fawɮawən
фэусын	fawsən
фэшъуаш	faʃʷaːʃ
фэшъуашэу	faʃʷaːʃaw
фэшъхьаф	faʂħaːf
фэшӏ	faʃʼ
фэшӏкӏэ	faʃʼət͡ʃʼa
фэшӏу	faʃʷʼə
фэшӏун	faʃʷʼən
фэшӏыкӏэ	faʃʼət͡ʃʼa
фэшӏын	faʃʼən
фэшӏэн	faʃʷan
фэщэӏэн	faɕaʔan
фэӏаз	faʔaːz
фэӏофытэн	ʔʷafətan
фэӏэпыӏас	faʔapəʔaːs
хабзэ	xaːbza
хакӏо	xaːkʷʼa
хамэ	xaːma
ханэ	xaːna
хасэ	xaːsa
хатэ	xaːta
хафэ	xaːfa
хегъэхын	xaxən
хъагъэ	χaːʁa
хъан	χaːn
хъанзэгу	χaːnzaɡʷ
хъатэ	χaːta
хъашъо	χaːʃʷa
хъишъ	ħəjʂ
хъо	χʷa
хъожьын	χʷaʑən
хъои	χʷajə
хъокӏыгъ	χʷat͡ʃʼəʁ
хъонал	χʷanaːɮ
хъонэн	χʷanan
хъопсащэ	χʷapsaːɕa
хъопсэн	χʷapsan
хъоршэр	χʷarʃar
хъот	χʷat
хъоу	χʷaw
хъохъ	χʷaχʷ
хъохъу	ɡʷəʃʷʼaːʁʷa
хъу	χʷə
хъуае	χʷaːja
хъуакӏо	χʷaːkʷʼa
хъуанэ	χʷaːna
хъуат	χʷaːt
хъугъэ	χʷəʁa
хъужьын	χʷəʑən
хъулъфыгъэ	χʷəɬfəʁa
хъумэн	χʷəman
хъун	maχʷən
хъупхъэ	χʷəpχa
хъупцӏ	χʷəpt͡sʼ
хъупцӏын	χʷəpt͡sʼən
хъупӏэ	χʷəpʼa
хъурай	χʷəraːj
хъурмэ	χʷərma
хъусӏысый	χʷəsʼəsəj
хъучӏанэ	χʷət͡ʃaːna
хъушъу	χʷəʃʷ
хъы	χə
хъыбый	χəbəj
хъыен	χəjan
хъыжъэн	χəʐan
хъызмэт	χəzmat
хъыкӏы	χət͡ʃʼə
хъырбыдз	χərbəd͡ʒ
хъырцэ	χərt͡sa
хъытыу	χətəw
хъыу	χəw
хъэ	χa
хъэбар	χabaːr
хъэдз	χad͡z
хъэдэн	χadan
хъэн	χan
хъэпрашъо	χapraːʂʷa
хъэрен	χarajn
хъэхалъэ	χaxaːɬa
хъяр	χəjaːr
хъяркӏэ	χəjaːrt͡ʃʼa
хы	xə
хыбзу	xəbzəw
хыблыгу	xəbləɡʷə
хыгъунэ	xəʁʷəna
хыгъэхъун	xəʁaχʷən
хыгъэхъунэныкъу	xəʁaχʷənanəqʷə
хыкум	xəkʷəm
хыкъо	xəqʷa
хыкъохъу	xəqʷaχʷ
хыкъу	xəqʷə
хыкъумэ	xəqʷəma
хымацӏ	xəmaːt͡s
хымэ	xəma
хыор	xəwar
хырыкӏ	xərət͡ʃ
хысыдж	xəsəd͡ʒ
хытыгъужъ	xətəʁʷəʐ
хытӏуал	xətʷʼal
хыуай	xəwaj
хыуалъэ	xəwaːɬa
хыхьэ	xəħa
хыӏушъо	xəʔʷəʃʷa
хьа	ħaː
хьабзы	ħaːbzə
хьаблыу	ħaːbləw
хьадагъэ	ħaːdaːʁa
хьаджыгъэ	ħaːd͡ʒəʁa
хьаджыгъэпс	ħaːd͡ʒəʁaps
хьаджын	ħaːd͡ʒən
хьадэ	ħaːda
хьадэгъу	ħaːdaʁʷ
хьадэгъущ	ħaːdaʁʷəɕ
хьадэгъущэ	ħaːdaʁʷəɕa
хьадэпчэмыӏу	ħaːdapt͡ʃaməʔʷ
хьазыр	ħaːzər
хьазырын	ħaːzərən
хьайнап	ħajənaːp
хьайнапэ	ħajənaːp
хьаку	ħaːkʷ
хьакуако	ħakʷaːkʷa
хьакъун	ħaːqʷən
хьакӏэ	ħaːt͡ʃa
хьакӏэкъуакӏэ	ħaːt͡ʃʼaqʷaːt͡ʃʼa
хьакӏэщ	ħaːt͡ʃʼaɕ
хьалжъогъуан	ħaːlʐʷaʁʷaːn
хьалы	ħaːlə
хьалыгъу	ħaːləʁʷ
хьалыгъущапӏэ	ħaːləʁʷɕaːpʼa
хьалыжъощыхьагъэ	ħaːləʐʷaɕəħaːʁa
хьалэмэт	ħaːlamat
хьамлашкӏу	ħaːmɮaːʃkʷʼ
хьамлыу	ħamləw
хьамплъыжь	ħaːmpɬəʑ
хьан	ħaːn
хьандзу	ħaːnd͡zʷə
хьандзуачӏ	ħaːnd͡zʷaːt͡ʃ
хьантхъупсы	ħaːntχʷəpsə
хьантыкъуакъу	ħantəqʷaːqʷ
хьантӏаркъу	ħantaːrqʷ
хьанцэ	ħant͡sa
хьао	ħaːwa
хьапкӏ	ħaːpt͡ʃʼ
хьаплъы	ħaːpɬə
хьаплъэ	ħapɬa
хьапщ	ħapɕ
хьарз	ħarz
хьарзэ	ħaːpza
хьарун	ħaːrəwn
хьарыпӏ	ħaːrəpʼ
хьарыф	ħaːrəf
хьасэ	ħaːsa
хьасэтх	ħaːsatx
хьатыр	ħaːtər
хьатыякӏо	ħaːtəjaːkʷʼa
хьау	ħaw
хьаулый	ħaːwələj
хьаумэ	ħaːwma
хьацэ	ħaːt͡sa
хьацэгъуй	ħaːt͡saʁʷəj
хьацэпӏацэ	ħaːt͡sapʼaːt͡sa
хьашъо	ħaːʂʷa
хьаӏ	ħaːʔ
хьаӏьэ	ħaːʔʲa
хьилэ	ħəjla
хьылъэ	ħəɬa
хьын	ħən
хьэ	ħa
хьэб	ħab
хьэбадзэ	ħabaːd͡za
хьэбзу	ħabzəw
хьэблыу	ħabləw
хьэгъошӏыгъу	ħaʁʷaʃʼəʁʷ
хьэджашъу	ħad͡ʒaːʂʷ
хьэдрыхэ	ħadrəxa
хьэдрыхэтхьэ	ħadrəxatħa
хьэдэгъу	ħadaʁʷ
хьэдэджадэ	ħadad͡ʒaːda
хьэдэкъаз	ħadaqaːz
хьэдэпчэмыӏу	ħadapt͡ʃaməʔʷ
хьэжъ	ħaʐ
хьэжъу	ħaʐʷ
хьэинап	ħajənaːp
хьэкуаку	ħakʷaːkʷ
хьэкуку	ħakʷəkʷ
хьэкусташ	ħakʷəstaːʃ
хьэкъуашъо	ħaqʷaːʃʷa
хьэкъухъ	ħaqʷəʐ
хьэкӏапӏэ	ħat͡ʃʼaːpʼa
хьэкӏутӏэ	ħakʷʼətʼa
хьэкӏущтащхьэ	ħakʷʼɕtaːɕħa
хьэлжъо	ħalʐʷa
хьэлъэбакъо	ħaɬawbaːq
