Ⴁ	b
ანდამატი	ɑndɑmɑtʼi
ანდობს	ɑndɔbs
ანდომებდა	ɑndɔmɛbdɑ
ანდომებს	ɑndɔmɛbs
ანდორა	ɑndɔrɑ
ანდრია	ɑndriɑ
ანეკდოტური	ɑnɛkʼdɔtʼuri
ანემია	ɑnɛmiɑ
ანემიურად	ɑnɛmiurɑd
ანესთეზია	ɑnɛstʰɛziɑ
ანექსია	ɑnɛkʰsiɑ
ანთება	ɑntʰɛbɑ
ანთებითი	ɑntʰɛbitʰi
ანთებს	ɑntʰɛbs
ანთებული	ɑntʰɛbuli
ანთოლოგია	ɑntʰɔlɔɡiɑ
ანთრაციტი	ɑntʰrɑt͡sitʼi
ანთროპოიდი	ɑntʰrɔpʼɔidi
ანთროპოიდული	ɑntʰrɔpʼɔiduli
ანთროპოლოგი	ɑntʰrɔpʼɔlɔɡi
ანიმაციური	ɑnimɑt͡siuri
ანიმიზმი	ɑnimizmi
ანისი	ɑnisi
ანისული	ɑnisuli
ანკესი	ɑnkʼɛsi
ანომალია	ɑnɔmɑliɑ
ანომალიური	ɑnɔmɑliuri
ანომალურად	ɑnɔmɑlurɑd
ანონიმურად	ɑnɔnimurɑd
ანონიმური	ɑnɔnimuri
ანონიმურობა	ɑnɔnimurɔbɑ
ანონსი	ɑnɔnsi
ანოტაცია	ɑnɔtʼɑt͡siɑ
ანტაგონიზმი	ɑntʼɑɡɔnizmi
ანტაგონისტურად	ɑntʼɑɡɔnistʼurɑd
ანტარქტიდა	ɑntʼɑrkʰtʼidɑ
ანტარქტიკული	ɑntʼɑrkʰtʼikʼuli
ანტიბიოტიკი	ɑntʼibiɔtʼikʼi
ანტიგმირი	ɑntʼiɡmiri
ანტივირუსი	ɑntʼivirusi
ანტიკვარი	ɑntʼikʼvɑri
ანტიკვარული	ɑntʼikʼvɑruli
ანტიკური	ɑntʼikʼuri
ანტიკურობა	ɑntʼikʼurɔbɑ
ანტილოპა	ɑntʼilɔpʼɑ
ანტიპათია	ɑntʼipʼɑtʰiɑ
ანტიპათიური	ɑntʼipʼɑtʰiuri
ანტისხეული	ɑntʼisxɛuli
ანტიციკლონი	ɑntʼit͡sikʼlɔni
ანტონი	ɑntʼɔni
ანტონიმი	ɑntʼɔnimi
ანტრაქტი	ɑntʼrɑkʰtʼi
ანტრესოლი	ɑntʼrɛsɔli
ანტურაჟი	ɑntʼurɑʒi
ანუგეშებს	ɑnuɡɛʃɛbs
ანძა	ɑnd͡zɑ
ანძრევს	ɑnd͡zrɛvs
ანჯამა	ɑnd͡ʒɑmɑ
აოთხმაგებს	ɑɔtʰxmɑɡɛbs
აორისტი	ɑɔristʼi
აორტა	ɑɔrtʼɑ
აპათია	ɑpʼɑtʰiɑ
აპათიურად	ɑpʼɑtʰiurɑd
აპათიური	ɑpʼɑtʰiuri
აპარატად	ɑpʼɑrɑtʼɑd
აპარატი	ɑpʼɑrɑtʼi
აპარატით	ɑpʼɑrɑtʼitʰ
აპარატის	ɑpʼɑrɑtʼis
აპარატმა	ɑpʼɑrɑtʼmɑ
აპარატო	ɑpʼɑrɑtʼɔ
აპარატს	ɑpʼɑrɑtʼs
აპატიებს	ɑpʼɑtʼiɛbs
აპენდიქსი	ɑpʼɛndikʰsi
აპენდიციტი	ɑpʼɛndit͡sitʼi
აპირებს	ɑpʼirɛbs
აპკოვანი	ɑpʼkʼɔvɑni
აპლიკაცია	ɑpʼlikʼɑt͡siɑ
აპლოდისმენტი	ɑpʼlɔdismɛntʼi
აპლომბი	ɑpʼlɔmbi
აპნისი	ɑpʼnisi
აპოგეა	ɑpʼɔɡɛɑ
აპოკალიფსი	ɑpʼɔkʼɑlipʰsi
აპოკალიფსური	ɑpʼɔkʼɑlipʰsuri
აპოკრიფული	ɑpʼɔkʼripʰuli
აპოლოგეტი	ɑpʼɔlɔɡɛtʼi
აპოლოგეტიკა	ɑpʼɔlɔɡɛtʼikʼɑ
აპრილად	ɑpʼrilɑd
აპრილი	ɑpʼrili
აპრილით	ɑpʼrilitʰ
აპრილის	ɑpʼrilis
აპრილმა	ɑpʼrilmɑ
აპრილს	ɑpʼrils
აპრიორი	ɑpʼriɔri
აპრიორული	ɑpʼriɔruli
არ	ɑr
არა	ɑrɑ
არაადეკვატურად	ɑrɑɑdɛkʼvɑtʼurɑd
არაადეკვატური	ɑrɑɑdɛkʼvɑtʼuri
არააკურატულად	ɑrɑɑkʼurɑtʼulɑd
არაარსებითი	ɑrɑɑrsɛbitʰi
არაბესკები	ɑrɑbɛskʼɛbi
არაბი	ɑrɑbi
არაბინარული	ɑrɑbinɑruli
არაბისტი	ɑrɑbistʼi
არაბიძე	ɑrɑbid͡zɛ
არაბული	ɑrɑbuli
არაბუნებრივად	ɑrɑbunɛbrivɑd
არაბუნებრივი	ɑrɑbunɛbrivi
არაგონებამახვილურად	ɑrɑɡɔnɛbɑmɑxvilurɑd
არაგონივრულად	ɑrɑɡɔnivrulɑd
არაგონივრული	ɑrɑɡɔnivruli
არაგრამატიკულად	ɑrɑɡrɑmɑtʼikʼulɑd
არაგულწრფელად	ɑrɑɡult͡sʼrpʰɛlɑd
არაგულწრფელი	ɑrɑɡult͡sʼrpʰɛli
არადა	ɑrɑdɑ
არადამაკმაყოფილებლად	ɑrɑdɑmɑkʼmɑqʼɔpʰilɛblɑd
არადამახასიათებლად	ɑrɑdɑmɑxɑsiɑtʰɛblɑd
არადამაჯერებლად	ɑrɑdɑmɑd͡ʒɛrɛblɑd
არადემოკრატიულად	ɑrɑdɛmɔkʼrɑtʼiulɑd
არადიპლომატიურად	ɑrɑdipʼlɔmɑtʼiurɑd
არადრამატულად	ɑrɑdrɑmɑtʼulɑd
არაეთიკურად	ɑrɑɛtʰikʼurɑd
არაეთიკური	ɑrɑɛtʰikʼuri
არაეკონომიურად	ɑrɑɛkʼɔnɔmiurɑd
არაერთხელ	ɑrɑɛrtʰxɛl
არაეფექტური	ɑrɑɛpʰɛkʰtʼuri
არავითარი	ɑrɑvitʰɑri
არავინ	ɑrɑvin
არაზუსტად	ɑrɑzustʼɑd
არაზუსტი	ɑrɑzustʼi
არათანაბარი	ɑrɑtʰɑnɑbɑri
არათანაბრად	ɑrɑtʰɑnɑbrɑd
არათანმიმდევრულად	ɑrɑtʰɑnmimdɛvrulɑd
არათითი	ɑrɑtʰitʰi
არაკი	ɑrɑkʼi
არაკომპეტენტურად	ɑrɑkʼɔmpʼɛtʼɛntʼurɑd
არაკონსტიტუციურად	ɑrɑkʼɔnstʼitʼut͡siurɑd
არაკორექტულად	ɑrɑkʼɔrɛkʰtʼulɑd
არაკორექტული	ɑrɑkʼɔrɛkʰtʼuli
არალოგიკურად	ɑrɑlɔɡikʼurɑd
არალოგიკური	ɑrɑlɔɡikʼuri
არალოიალურად	ɑrɑlɔiɑlurɑd
არამაგობრულად	ɑrɑmɑɡɔbrulɑd
არამეგობრული	ɑrɑmɛɡɔbruli
არამედ	ɑrɑmɛd
არამეცნიერულად	ɑrɑmɛt͡sniɛrulɑd
არამზადა	ɑrɑmzɑdɑ
არამიმზიდველად	ɑrɑmimzidvɛlɑd
არამოდურად	ɑrɑmɔdurɑd
არამოხდენილად	ɑrɑmɔxdɛnilɑd
არამსგავსი	ɑrɑmsɡɑvsi
არამუსიკალურად	ɑrɑmusikʼɑlurɑd
არამყარად	ɑrɑmqʼɑrɑd
არამყარი	ɑrɑmqʼɑri
არამყარობა	ɑrɑmqʼɑrɔbɑ
არანაირად	ɑrɑnɑirɑd
არანაირი	ɑrɑnɑiri
არანორმალურად	ɑrɑnɔrmɑlurɑd
არანორმალური	ɑrɑnɔrmɑluri
არაორაზროვნად	ɑrɑɔrɑzrɔvnɑd
არაორგანულად	ɑrɑɔrɡɑnulɑd
არაორგანული	ɑrɑɔrɡɑnuli
არაოფიციალურად	ɑrɑɔpʰit͡siɑlurɑd
არაოფიციალური	ɑrɑɔpʰit͡siɑluri
არაპატრიოტულად	ɑrɑpʼɑtʼriɔtʼulɑd
არაპირდაპირად	ɑrɑpʼirdɑpʼirɑd
არაპირდაპირი	ɑrɑpʼirdɑpʼiri
არაპროდუქტიულად	ɑrɑpʼrɔdukʰtʼiulɑd
არაპროპორციულად	ɑrɑpʼrɔpʼɔrt͡siulɑd
არაპროფესიონალი	ɑrɑpʼrɔpʰɛsiɔnɑli
არაპროფესიონალური	ɑrɑpʼrɔpʰɛsiɔnɑluri
არარაობა	ɑrɑrɑɔbɑ
არარატი	ɑrɑrɑtʼi
არარეალობა	ɑrɑrɛɑlɔbɑ
არარეალოისტურად	ɑrɑrɛɑlɔistʼurɑd
არარეალურად	ɑrɑrɛɑlurɑd
არარეალური	ɑrɑrɛɑluri
არარეგულარულად	ɑrɑrɛɡulɑrulɑd
არარენტაბელურად	ɑrɑrɛntʼɑbɛlurɑd
არარომანტიკულად	ɑrɑrɔmɑntʼikʼulɑd
არასავალდებულო	ɑrɑsɑvɑldɛbulɔ
არასავალდებულოდ	ɑrɑsɑvɑldɛbulɔd
არასაიმედო	ɑrɑsɑimɛdɔ
არასაიმედოდ	ɑrɑsɑimɛdɔd
არასაკმაო	ɑrɑsɑkʼmɑɔ
არასაკმარისად	ɑrɑsɑkʼmɑrisɑd
არასაკმარისი	ɑrɑsɑkʼmɑrisi
არასამართლიანად	ɑrɑsɑmɑrtʰliɑnɑd
არასამართლიანი	ɑrɑsɑmɑrtʰliɑni
არასამართლიანობა	ɑrɑsɑmɑrtʰliɑnɔbɑ
არასანუგეშო	ɑrɑsɑnuɡɛʃɔ
არასასიამოვნოდ	ɑrɑsɑsiɑmɔvnɔd
არასასურველი	ɑrɑsɑsurvɛli
არასაჭირო	ɑrɑsɑt͡ʃʼirɔ
არასდროს	ɑrɑsdrɔs
არასეზონურად	ɑrɑsɛzɔnurɑd
არასეზონური	ɑrɑsɛzɔnuri
არასექსუალური	ɑrɑsɛkʰsuɑluri
არასისტემატურად	ɑrɑsistʼɛmɑtʼurɑd
არასკრუპულოზურად	ɑrɑskʼrupʼulɔzurɑd
არასოდეს	ɑrɑsɔdɛs
არასპეციფიკურად	ɑrɑspʼɛt͡sipʰikʼurɑd
არასპორტულად	ɑrɑspʼɔrtʼulɑd
არასრულად	ɑrɑsrulɑd
არასრული	ɑrɑsruli
არასრულყოფილად	ɑrɑsrulqʼɔpʰilɑd
არასწორად	ɑrɑst͡sʼɔrɑd
არასწორი	ɑrɑst͡sʼɔri
არატიპიურად	ɑrɑtʼipʼiurɑd
არატიპური	ɑrɑtʼipʼuri
არაფერი	ɑrɑpʰɛri
არაფერს	ɑrɑpʰɛrs
არაფორმალურად	ɑrɑpʰɔrmɑlurɑd
არაფორმალური	ɑrɑpʰɔrmɑluri
არაფრის	ɑrɑpʰris
არაქათი	ɑrɑkʰɑtʰi
არაქისი	ɑrɑkʰisi
არაყი	ɑrɑqʼi
არაშთამბეჭდავად	ɑrɑʃtʰɑmbɛt͡ʃʼdɑvɑd
არაჩვეულებრივად	ɑrɑt͡ʃvɛulɛbrivɑd
არაჩვეულებრივი	ɑrɑt͡ʃvɛulɛbrivi
არაწესიერად	ɑrɑt͡sʼɛsiɛrɑd
არაწესიერი	ɑrɑt͡sʼɛsiɛri
არახელსაყრელად	ɑrɑxɛlsɑqʼrɛlɑd
არახჩინი	ɑrɑxt͡ʃini
არაჯანსაღი	ɑrɑd͡ʒɑnsɑɣi
არაჰიგიენურად	ɑrɑhiɡiɛnurɑd
არაჰიგიენური	ɑrɑhiɡiɛnuri
არაჰუმანურად	ɑrɑhumɑnurɑd
არაჰუმანური	ɑrɑhumɑnuri
არბილებს	ɑrbilɛbs
არბიტრი	ɑrbitʼri
არგამოყენება	ɑrɡɑmɔqʼɛnɛbɑ
არგენტინა	ɑrɡɛntʼinɑ
არგენტინად	ɑrɡɛntʼinɑd
არგენტინამ	ɑrɡɛntʼinɑm
არგენტინას	ɑrɡɛntʼinɑs
არგენტინით	ɑrɡɛntʼinitʰ
არგენტინის	ɑrɡɛntʼinis
არგო	ɑrɡɔ
არგონავტი	ɑrɡɔnɑvtʼi
არგონი	ɑrɡɔni
არგუმენტაცია	ɑrɡumɛntʼɑt͡siɑ
არგუმენტი	ɑrɡumɛntʼi
არგუსი	ɑrɡusi
არდადეგები	ɑrdɑdɛɡɛbi
არდი	ɑrdi
არე	ɑrɛ
არეგულირებს	ɑrɛɡulirɛbs
არენა	ɑrɛnɑ
არეულდარეულობა	ɑrɛuldɑrɛulɔbɑ
არეული	ɑrɛuli
არეულობა	ɑrɛulɔbɑ
არეშიძე	ɑrɛʃid͡zɛ
ართავს	ɑrtʰɑvs
ართურმა	ɑrtʰurmɑ
არია	ɑriɑ
არიან	ɑriɑn
არიერგარდი	ɑriɛrɡɑrdi
არითმეტიკა	ɑritʰmɛtʼikʼɑ
არითმეტიკულად	ɑritʰmɛtʼikʼulɑd
არითმეტიკული	ɑritʰmɛtʼikʼuli
არითმომეტრი	ɑritʰmɔmɛtʼri
არიმანი	ɑrimɑni
არის	ɑris
არისტოკრატი	ɑristʼɔkʼrɑtʼi
არისტოკრატია	ɑristʼɔkʼrɑtʼiɑ
არისტოკრატულად	ɑristʼɔkʼrɑtʼulɑd
არისტოტელე	ɑristʼɔtʼɛlɛ
არიული	ɑriuli
არიფი	ɑripʰi
არმატურა	ɑrmɑtʼurɑ
არმია	ɑrmiɑ
არმიად	ɑrmiɑd
არმიამ	ɑrmiɑm
არმიას	ɑrmiɑs
არმიით	ɑrmiitʰ
არმიის	ɑrmiis
არმოსავლეთისა	ɑrmɔsɑvlɛtʰisɑ
არმცოდნე	ɑrmt͡sɔdnɛ
არნახული	ɑrnɑxuli
არნიკა	ɑrnikʼɑ
აროდეს	ɑrɔdɛs
არომატი	ɑrɔmɑtʼi
არომატულად	ɑrɔmɑtʼulɑd
არომატული	ɑrɔmɑtʼuli
არომატულობა	ɑrɔmɑtʼulɔbɑ
არს	ɑrs
არსად	ɑrsɑd
არსება	ɑrsɛbɑ
არსებები	ɑrsɛbɛbi
არსებითად	ɑrsɛbitʰɑd
არსებითი	ɑrsɛbitʰi
არსებობ	ɑrsɛbɔb
არსებობა	ɑrsɛbɔbɑ
არსებობს	ɑrsɛbɔbs
არსებული	ɑrsɛbuli
არსენალი	ɑrsɛnɑli
არსი	ɑrsi
არსით	ɑrsitʰ
არტერია	ɑrtʼɛriɑ
არტერიული	ɑrtʼɛriuli
არტიკულირებულად	ɑrtʼikʼulirɛbulɑd
არტილერია	ɑrtʼilɛriɑ
არტილერისტი	ɑrtʼilɛristʼi
არტისტი	ɑrtʼistʼi
არტისტიზმი	ɑrtʼistʼizmi
არტისტულად	ɑrtʼistʼulɑd
არტისტული	ɑrtʼistʼuli
არტიშოკი	ɑrtʼiʃɔkʼi
არუბა	ɑrubɑ
არფა	ɑrpʰɑ
არქაიზმი	ɑrkʰɑizmi
არქაული	ɑrkʰɑuli
არქეოლოგი	ɑrkʰɛɔlɔɡi
არქეოლოგია	ɑrkʰɛɔlɔɡiɑ
არქეოლოგიური	ɑrkʰɛɔlɔɡiuri
არქეტიპური	ɑrkʰɛtʼipʼuri
არქიდიაკონი	ɑrkʰidiɑkʼɔni
არქივარიუსი	ɑrkʰivɑriusi
არქივი	ɑrkʰivi
არქიტექტორი	ɑrkʰitʼɛkʰtʼɔri
არქიტექტურა	ɑrkʰitʼɛkʰtʼurɑ
არქიტექტურულად	ɑrkʰitʼɛkʰtʼurulɑd
არქმევს	ɑrkʰmɛvs
არქტიკული	ɑrkʰtʼikʼuli
არღანი	ɑrɣɑni
არყოფნა	ɑrqʼɔpʰnɑ
არშიყობა	ɑrʃiqʼɔbɑ
არჩევა	ɑrt͡ʃɛvɑ
არჩევანი	ɑrt͡ʃɛvɑni
არჩევითი	ɑrt͡ʃɛvitʰi
არჩევნები	ɑrt͡ʃɛvnɛbi
არჩევს	ɑrt͡ʃɛvs
არჩვი	ɑrt͡ʃvi
არჩილ	ɑrt͡ʃil
არჩილი	ɑrt͡ʃili
არც	ɑrt͡s
არცერთი	ɑrt͡sɛrtʰi
არცნობა	ɑrt͡snɔbɑ
არცოდნა	ɑrt͡sɔdnɑ
არწივი	ɑrt͡sʼivi
არწყევს	ɑrt͡sʼqʼɛvs
არხეინი	ɑrxɛini
არხი	ɑrxi
არჯაკელი	ɑrd͡ʒɑkʼɛli
ასათაურებს	ɑsɑtʰɑurɛbs
ასაკი	ɑsɑkʼi
ასაკოვანი	ɑsɑkʼɔvɑni
ასალი	ɑsɑli
ასანთი	ɑsɑntʰi
ასატანად	ɑsɑtʼɑnɑd
ასატანი	ɑsɑtʼɑni
ასაქცევი	ɑsɑkʰt͡sɛvi
ასახავს	ɑsɑxɑvs
ასახელებს	ɑsɑxɛlɛbs
ასახიჩრებს	ɑsɑxit͡ʃrɛbs
ასე	ɑsɛ
ასევე	ɑsɛvɛ
ასეთი	ɑsɛtʰi
ასემბლერი	ɑsɛmblɛri
ასექსუალი	ɑsɛkʰsuɑli
ასექსუალობა	ɑsɛkʰsuɑlɔbɑ
ასექსუალური	ɑsɛkʰsuɑluri
ასთმა	ɑstʰmɑ
ასი	ɑsi
ასიმეტრია	ɑsimɛtʼriɑ
ასიმეტრიულად	ɑsimɛtʼriulɑd
ასიმეტრიული	ɑsimɛtʼriuli
ასიმილაცია	ɑsimilɑt͡siɑ
ასიმპტოტურად	ɑsimpʼtʼɔtʼurɑd
ასისტენტი	ɑsistʼɛntʼi
ასკეტურად	ɑskʼɛtʼurɑd
ასკეტური	ɑskʼɛtʼuri
ასკილი	ɑskʼili
ასლი	ɑsli
ასლოკინებს	ɑslɔkʼinɛbs
ასო	ɑsɔ
ასოთამწყობი	ɑsɔtʰɑmt͡sʼqʼɔbi
ასომთავრული	ɑsɔmtʰɑvruli
ასორტი	ɑsɔrtʼi
ასოციაცია	ɑsɔt͡siɑt͡siɑ
ასპარეზი	ɑspʼɑrɛzi
ასპექტური	ɑspʼɛkʰtʼuri
ასპიდისტრა	ɑspʼidistʼrɑ
ასპირატი	ɑspʼirɑtʼi
ასპირინი	ɑspʼirini
ასტატი	ɑstʼɑtʼi
ასტეროიდი	ɑstʼɛrɔidi
ასტიგმატიზმი	ɑstʼiɡmɑtʼizmi
ასტრა	ɑstʼrɑ
ასტრალური	ɑstʼrɑluri
ასტროლაბი	ɑstʼrɔlɑbi
ასტროლოგი	ɑstʼrɔlɔɡi
ასტროლოგია	ɑstʼrɔlɔɡiɑ
ასტრონომი	ɑstʼrɔnɔmi
ასტრონომია	ɑstʼrɔnɔmiɑ
ასტრონომიულად	ɑstʼrɔnɔmiulɑd
ასტრონომიული	ɑstʼrɔnɔmiuli
ასული	ɑsuli
ასუნსიონი	ɑsunsiɔni
ასურეთი	ɑsurɛtʰi
ასუსტებს	ɑsustʼɛbs
ასუფთავებს	ɑsupʰtʰɑvɛbs
ასფალტი	ɑspʰɑltʼi
ასფიქსია	ɑspʰikʰsiɑ
ასფოდელო	ɑspʰɔdɛlɔ
ასწავლის	ɑst͡sʼɑvlis
ასწლიანი	ɑst͡sʼliɑni
ასჯერ	ɑsd͡ʒɛr
ატავიზმი	ɑtʼɑvizmi
ატავისტური	ɑtʼɑvistʼuri
ატამი	ɑtʼɑmi
ატარებს	ɑtʼɑrɛbs
ატაშე	ɑtʼɑʃɛ
ატელიე	ɑtʼɛliɛ
ატენიანებს	ɑtʼɛniɑnɛbs
ატესტატი	ɑtʼɛstʼɑtʼi
ატიკური	ɑtʼikʼuri
ატიპურად	ɑtʼipʼurɑd
ატიპური	ɑtʼipʼuri
ატკაცუნებს	ɑtʼkʼɑt͡sunɛbs
ატლანტი	ɑtʼlɑntʼi
ატლასი	ɑtʼlɑsi
ატმოსფერო	ɑtʼmɔspʰɛrɔ
ატმოსფერული	ɑtʼmɔspʰɛruli
ატოლი	ɑtʼɔli
ატომი	ɑtʼɔmi
ატომური	ɑtʼɔmuri
ატრიალებს	ɑtʼriɑlɛbs
ატროფია	ɑtʼrɔpʰiɑ
აუ	ɑu
აუგი	ɑuɡi
აუდიტი	ɑuditʼi
აუდიტორი	ɑuditʼɔri
აუდიტორია	ɑuditʼɔriɑ
აუზით	ɑuzitʰ
აუზის	ɑuzis
აუზმა	ɑuzmɑ
აუზს	ɑuzs
აუთოებს	ɑutʰɔɛbs
აუმღვრეველი	ɑumɣvrɛvɛli
აუმღვრევლობა	ɑumɣvrɛvlɔbɑ
აურაცხელი	ɑurɑt͡sxɛli
აურზაური	ɑurzɑuri
აუტანელი	ɑutʼɑnɛli
