a	a˧˧
ba lo bảy liệu	ba˧˧lɔ˧˧băj˨˩˦liəw˨˩˨
ba làng an	ba˧˧laŋ˧˨aŋ˧˧
ba làng bảy chợ	ba˧˧laŋ˧˨băj˨˩˦cɤ˨˩˨
ba lá	ba˧˧la˦˥
ba láp	ba˧˧lap˦˥
ba lém	ba˧˧lɛm˦˥
ba lê	ba˧˧le˧˧
ba lòng	ba˧˧lɔŋ͡m˧˨
ba lô	ba˧˧lo˧˧
ba lông	ba˧˧loŋ͡m˧˧
ba lăng nhăng	ba˧˧lăŋ˧˧ɲăŋ˧˧
ba lơn	ba˧˧lɤŋ˧˧
ba lần bảy lượt	ba˧˧lɤ̆ŋ˧˨băj˨˩˦lɯək˨˩˨
ba lừa bảy lọc	ba˧˧lɯə˧˨băj˨˩˦lɔk͡p˨˩˨
ba má	ba˧˧ma˦˥
ba máu sáu cơn	ba˧˧măw˦˥ʂăw˦˥kɤŋ˧˧
ba mùn	ba˧˧muŋ͡m˧˨
ba mũi giáp công	ba˧˧muj˨˩˦jap˦˥koŋ͡m˧˧
ba mươi	ba˧˧mɯəj˧˧
ba mươi sáu chước	ba˧˧mɯəj˧˧ʂăw˦˥cɯək˦˥
ba mươi sáu cái nõn nường	ba˧˧mɯəj˧˧ʂăw˦˥kaj˦˥nɔŋ͡m˨˩˦nɯəŋ˧˨
ba mươi tết	ba˧˧mɯəj˧˧tet˦˥
ba mươi được ăn, mồng một tìm đến	ba˧˧mɯəj˧˧dɯək˨˩˨ăŋ˧˧moŋ͡m˧˨mok͡p˨˩˨tim˧˨den˦˥
ba mặt một lời	ba˧˧măk˨˩˨mok͡p˨˩˨lɤj˧˨
ba mớ	ba˧˧mɤ˦˥
ba mứa	ba˧˧mɯə˦˥
ba na	ba˧˧na˧˧
ba nam	ba˧˧nam˧˧
ba nang	ba˧˧naŋ˧˧
ba ngay	ba˧˧ŋăj˧˧
ba ngày	ba˧˧ŋăj˧˨
ba ngòi	ba˧˧ŋɔj˧˨
ba ngôi	ba˧˧ŋoj˧˧
ba ngạc	ba˧˧ŋak˨˩˨
ba nhất	ba˧˧ɲɤ̆k˦˥
ba phải	ba˧˧faj˨˩˦
ba que	ba˧˧wɛ˧˧
ba que xỏ lá	ba˧˧wɛ˧˧sɔ˨˩˦la˦˥
ba quyết tâm	ba˧˧wiɛt˦˥tɤ̆m˧˧
ba quân	ba˧˧wɤ̆ŋ˧˧
ba rem	ba˧˧ʐɛm˧˧
ba ri e	ba˧˧ʐi˧˧ɛ˧˧
ba rọi	ba˧˧ʐɔj˨˩˨
ba sao	ba˧˧ʂaw˧˧
ba sinh	ba˧˧ʂin˧˧
ba sinh hương lửa	ba˧˧ʂin˧˧hɯəŋ˧˧lɯə˨˩˦
ba soi	ba˧˧ʂɔj˧˧
ba sôi hai lạnh	ba˧˧ʂoj˧˧haj˧˧lan˨˩˨
ba sương một nắng	ba˧˧ʂɯəŋ˧˧mok͡p˨˩˨năŋ˦˥
ba sẵn sàng	ba˧˧ʂăŋ˨˩˦ʂaŋ˧˨
ba thu	ba˧˧tʰu˧˧
ba thành	ba˧˧tʰan˧˨
ba tháng	ba˧˧tʰaŋ˦˥
ba tháng mười ngày	ba˧˧tʰaŋ˦˥mɯəj˧˨ŋăj˧˨
ba tháng trông cây một ngày trông quả	ba˧˧tʰaŋ˦˥ʈoŋ͡m˧˧kɤ̆j˧˧mok͡p˨˩˨ŋăj˧˨ʈoŋ͡m˧˧wa˨˩˦
ba thê bảy thiếp	ba˧˧tʰe˧˧băj˨˩˦tʰip˦˥
ba thúng cũng vào một đấu	ba˧˧tʰuŋ͡m˦˥kuŋ͡m˨˩˦jaw˧˨mok͡p˨˩˨dɤ̆w˦˥
ba thắc	ba˧˧tʰăk˦˥
ba thứ quân	ba˧˧tʰɯ˦˥wɤ̆ŋ˧˧
ba thứ tóc	ba˧˧tʰɯ˦˥tɔk͡p˦˥
ba tiêu	ba˧˧tiəw˧˧
ba toong	ba˧˧tɔŋ͡m˧˧
ba toác	ba˧˧twak˦˥
ba trang	ba˧˧ʈaŋ˧˧
ba tri	ba˧˧ʈi˧˧
ba trinh	ba˧˧ʈin˧˧
ba trui	ba˧˧ʈuj˧˧
ba trá	ba˧˧ʈa˦˥
ba trăng	ba˧˧ʈăŋ˧˧
ba trại	ba˧˧ʈaj˨˩˨
ba trợn	ba˧˧ʈɤŋ˨˩˨
ba trợn ba trạc	ba˧˧ʈɤŋ˨˩˨ba˧˧ʈak˨˩˨
ba trợn ba trạo	ba˧˧ʈɤŋ˨˩˨ba˧˧ʈaw˨˩˨
ba tui	ba˧˧tuj˧˧
ba tuần	ba˧˧twɤ̆ŋ˧˨
ba tê	ba˧˧te˧˧
ba tô	ba˧˧to˧˧
ba tơ	ba˧˧tɤ˧˧
ba tấc lưỡi	ba˧˧tɤ̆k˦˥lɯəj˨˩˦
ba tầng	ba˧˧tɤ̆ŋ˧˨
ba vinh	ba˧˧jin˧˧
ba vuông bảy tròn	ba˧˧juəŋ˧˧băj˨˩˦ʈɔŋ͡m˧˨
ba vuông sánh với bảy tròn	ba˧˧juəŋ˧˧ʂan˦˥jɤj˦˥băj˨˩˦ʈɔŋ͡m˧˨
ba vành	ba˧˧jan˧˨
ba vành bảy vẻ	ba˧˧jan˧˨băj˨˩˦jɛ˨˩˦
ba vành sơn son	ba˧˧jan˧˨ʂɤŋ˧˧ʂɔŋ͡m˧˧
ba vì	ba˧˧ji˧˨
ba vòng	ba˧˧jɔŋ͡m˧˨
ba vùng chiến lược	ba˧˧juŋ͡m˧˨ciəŋ˦˥lɯək˨˩˨
ba vạ	ba˧˧ja˨˩˨
ba vạn chín nghìn	ba˧˧jaŋ˨˩˨cin˦˥ŋin˧˨
ba vạn sáu nghìn ngày	ba˧˧jaŋ˨˩˨ʂăw˦˥ŋin˧˨ŋăj˧˨
ba xa	ba˧˧sa˧˧
ba xuân	ba˧˧swɤ̆ŋ˧˧
ba xôi nhồi một chõ	ba˧˧soj˧˧ɲoj˧˨mok͡p˨˩˨cɔ˨˩˦
ba xạo	ba˧˧saw˨˩˨
ba điền	ba˧˧diəŋ˧˨
ba đào	ba˧˧daw˧˨
ba đình	ba˧˧din˧˨
ba đông	ba˧˧doŋ͡m˧˧
ba đảm đang	ba˧˧dam˨˩˦daŋ˧˧
ba đấng ba loài	ba˧˧dɤ̆ŋ˦˥ba˧˧lwaj˧˨
ba đầu sáu tay	ba˧˧dɤ̆w˧˨ʂăw˦˥tăj˧˧
ba đậu	ba˧˧dɤ̆w˨˩˨
ba đậu nam	ba˧˧dɤ̆w˨˩˨nam˧˧
ba đậu tây	ba˧˧dɤ̆w˨˩˨tɤ̆j˧˧
ba đồn	ba˧˧doŋ͡m˧˨
ba động	ba˧˧doŋ͡m˨˩˨
ba đời	ba˧˧dɤj˧˨
ba đời bảy họ	ba˧˧dɤj˧˨băj˨˩˦hɔ˨˩˨
ba-dan	ba˧˧-jaŋ˧˧
ba-dô-ca	ba˧˧-jo˧˧-ka˧˧
ba-dơ	ba˧˧-jɤ˧˧
ba-ga	ba˧˧-ɣa˧˧
ba-hi	ba˧˧-hi˧˧
ba-ke-lit	ba˧˧-kɛ˧˧-lit˧˧
ba-ke-lít	ba˧˧-kɛ˧˧-lit˦˥
ba-lát	ba˧˧-lat˦˥
ba-lê	ba˧˧-le˧˧
ba-lô	ba˧˧-lo˧˧
ba-lông	ba˧˧-loŋ͡m˧˧
ba-ren	ba˧˧-ʐɛŋ˧˧
ba-ri	ba˧˧-ʐi˧˧
ba-ri-e	ba˧˧-ʐi˧˧-ɛ˧˧
ba-ta	ba˧˧-ta˧˧
ba-tanh	ba˧˧-tan˧˧
ba-ti-nê	ba˧˧-ti˧˧-ne˧˧
ba-toong	ba˧˧-tɔŋ͡m˧˧
ba-trui, ba-tui	ba˧˧-ʈuj˧˧ba˧˧-tuj˧˧
ba-tui	ba˧˧-tuj˧˧
ba-tê	ba˧˧-te˧˧
ba-tê-sô	ba˧˧-te˧˧-ʂo˧˧
ba-tăng	ba˧˧-tăŋ˧˧
ba-xí ba-tú	ba˧˧-si˦˥ba˧˧-tu˦˥
ba-đờ-xuy	ba˧˧-dɤ˧˨-swi˧˧
bai	baj˧˧
bai bải	baj˧˧baj˨˩˦
bai miệng	baj˧˧miəŋ˨˩˨
bam cửa	bam˧˧kɯə˨˩˦
ban	baŋ˧˧
ban bí thư	baŋ˧˧bi˦˥tʰɯ˧˧
ban bệ	baŋ˧˧be˨˩˨
ban bố	baŋ˧˧bo˦˥
ban chiều	baŋ˧˧ciəw˧˨
ban chấp hành	baŋ˧˧cɤ̆p˦˥han˧˨
ban chấp uỷ	baŋ˧˧cɤ̆p˦˥wi˨˩˦
ban chỉ huy	baŋ˧˧ci˨˩˦hwi˧˧
ban cua	baŋ˧˧kuə˧˧
ban công	baŋ˧˧koŋ͡m˧˧
ban cấp	baŋ˧˧kɤ̆p˦˥
ban giám hiệu	baŋ˧˧jam˦˥hiəw˨˩˨
ban giám đốc	baŋ˧˧jam˦˥dok͡p˦˥
ban gỉ sắt	baŋ˧˧ɣi˨˩˦ʂăk˦˥
ban hành	baŋ˧˧han˧˨
ban hồng	baŋ˧˧hoŋ͡m˧˨
ban khen	baŋ˧˧xɛŋ˧˧
ban lao	baŋ˧˧law˧˧
ban leo	baŋ˧˧leo˧˧
ban long	baŋ˧˧lɔŋ͡m˧˧
ban mai	baŋ˧˧maj˧˧
ban miêu	baŋ˧˧miəw˧˧
ban ngày	baŋ˧˧ŋăj˧˨
ban ngày ban mặt	baŋ˧˧ŋăj˧˨baŋ˧˧măk˨˩˨
ban nhật	baŋ˧˧ɲɤ̆k˨˩˨
ban nãy	baŋ˧˧năj˨˩˦
ban phát	baŋ˧˧fat˦˥
ban sáng	baŋ˧˧ʂaŋ˦˥
ban sơ	baŋ˧˧ʂɤ˧˧
ban sớm	baŋ˧˧ʂɤm˦˥
ban thưởng	baŋ˧˧tʰɯəŋ˨˩˦
ban thứ	baŋ˧˧tʰɯ˦˥
ban trưa	baŋ˧˧ʈɯə˧˧
ban trắng	baŋ˧˧ʈăŋ˦˥
ban tặng	baŋ˧˧tăŋ˨˩˨
ban tối	baŋ˧˧toj˦˥
ban vàng	baŋ˧˧jaŋ˧˨
ban xuất huyết	baŋ˧˧swɤ̆k˦˥hwiək˦˥
ban ân	baŋ˧˧ɤ̆ŋ˧˧
ban đào	baŋ˧˧daw˧˨
ban đêm	baŋ˧˧dem˧˧
ban đầu	baŋ˧˧dɤ̆w˧˨
ban đỏ	baŋ˧˧dɔ˨˩˦
ban ơn	baŋ˧˧ɤŋ˧˧
ban-công	baŋ˧˧-koŋ͡m˧˧
ban-giô	baŋ˧˧-jo˧˧
ban-me	baŋ˧˧-mɛ˧˧
bang	baŋ˧˧
bang biện	baŋ˧˧biəŋ˨˩˨
bang gia	baŋ˧˧ja˧˧
bang giao	baŋ˧˧jaw˧˧
bang trưởng	baŋ˧˧ʈɯəŋ˨˩˦
bang trợ	baŋ˧˧ʈɤ˨˩˨
bang tá	baŋ˧˧ta˦˥
banh	ban˧˧
bao	baw˧˧
bao biếm	baw˧˧bim˦˥
bao biện	baw˧˧biəŋ˨˩˨
bao bì	baw˧˧bi˧˨
bao bọc	baw˧˧bɔk͡p˨˩˨
bao bố	baw˧˧bo˦˥
bao cao su	baw˧˧kaw˧˧ʂu˧˧
bao cao-su	baw˧˧kaw˧˧-ʂu˧˧
bao che	baw˧˧cɛ˧˧
bao chiếm	baw˧˧cim˦˥
bao chầy	baw˧˧cɤ̆j˧˨
bao chừ	baw˧˧cɯ˧˨
bao cấp	baw˧˧kɤ̆p˦˥
bao dai	baw˧˧jaj˧˧
bao dong	baw˧˧jɔŋ͡m˧˧
bao dung	baw˧˧juŋ͡m˧˧
bao dung hột cải rộng rãi trôn kim	baw˧˧juŋ͡m˧˧hok͡p˨˩˨kaj˨˩˦ʐoŋ͡m˨˩˨ʐaj˨˩˦ʈoŋ͡m˧˧kim˧˧
bao giờ	baw˧˧jɤ˧˨
bao gói	baw˧˧ɣɔj˦˥
bao gồm	baw˧˧ɣom˧˨
bao hoa	baw˧˧hwa˧˧
bao hàm	baw˧˧ham˧˨
bao hình	baw˧˧hin˧˨
bao la	baw˧˧la˧˧
bao la thiên địa	baw˧˧la˧˧tʰiəŋ˧˧diə˨˩˨
bao lan	baw˧˧laŋ˧˧
bao lâu	baw˧˧lɤ̆w˧˧
bao lâu nay	baw˧˧lɤ̆w˧˧năj˧˧
bao lăm	baw˧˧lăm˧˧
bao lơn	baw˧˧lɤŋ˧˧
bao mua	baw˧˧muə˧˧
bao nhiêu	baw˧˧ɲiəw˧˧
bao nài	baw˧˧naj˧˨
bao nả	baw˧˧na˨˩˦
bao nỡ	baw˧˧nɤ˨˩˦
bao phấn	baw˧˧fɤ̆ŋ˦˥
bao phủ	baw˧˧fu˨˩˦
bao quanh	baw˧˧wan˧˧
bao quát	baw˧˧wat˦˥
bao quản	baw˧˧waŋ˨˩˦
bao sá	baw˧˧ʂa˦˥
bao sân	baw˧˧ʂɤ̆ŋ˧˧
bao tay	baw˧˧tăj˧˧
bao thơ	baw˧˧tʰɤ˧˧
bao thầu	baw˧˧tʰɤ̆w˧˨
bao tiêu	baw˧˧tiəw˧˧
bao trùm	baw˧˧ʈum˧˨
bao tượng	baw˧˧tɯəŋ˨˩˨
bao tải	baw˧˧taj˨˩˦
bao tời	baw˧˧tɤj˧˨
bao tử	baw˧˧tɯ˨˩˦
bao vây	baw˧˧jɤ̆j˧˧
bao vây kinh tế	baw˧˧jɤ̆j˧˧kin˧˧te˦˥
bao xa	baw˧˧sa˧˧
bao xiết	baw˧˧siək˦˥
bao đồng	baw˧˧doŋ͡m˧˨
bay	băj˧˧
bay biến	băj˧˧biəŋ˦˥
bay bướm	băj˧˧bɯm˦˥
bay bổng	băj˧˧boŋ͡m˨˩˦
bay chuyền	băj˧˧cwiəŋ˧˨
bay hơi	băj˧˧hɤj˧˧
bay hồn bạt vía	băj˧˧hoŋ͡m˧˨bat˨˩˨jiə˦˥
bay la	băj˧˧la˧˧
bay la bay chuyền	băj˧˧la˧˧băj˧˧cwiəŋ˧˨
bay liệng	băj˧˧liəŋ˨˩˨
bay là	băj˧˧la˧˨
bay lượn	băj˧˧lɯəŋ˨˩˨
bay lả bay la	băj˧˧la˨˩˦băj˧˧la˧˧
bay màu	băj˧˧măw˧˨
bay mùi	băj˧˧muj˧˨
bay nhảy	băj˧˧ɲăj˨˩˦
bay đầu	băj˧˧dɤ̆w˧˨
bay-on-nét	băj˧˧-ɔŋ͡m˧˧-nɛt˦˥
be	bɛ˧˧
be be	bɛ˧˧bɛ˧˧
be bé	bɛ˧˧bɛ˦˥
be bét	bɛ˧˧bɛt˦˥
be con chạch	bɛ˧˧kɔŋ͡m˧˧cat˨˩˨
be he	bɛ˧˧hɛ˧˧
be thuyền	bɛ˧˧tʰwiəŋ˧˨
be-ri-li	bɛ˧˧-ʐi˧˧-li˧˧
bem	bɛm˧˧
bem bép	bɛm˧˧bɛp˦˥
ben	bɛŋ˧˧
ben-den	bɛŋ˧˧-jɛŋ˧˧
ben-tô-nít	bɛŋ˧˧-to˧˧-nit˦˥
beng	bɛŋ˧˧
beng beng	bɛŋ˧˧bɛŋ˧˧
beo	beo˧˧
beo béo	beo˧˧beo˦˥
bi	bi˧˧
bi ai	bi˧˧aj˧˧
bi ba bi bô	bi˧˧ba˧˧bi˧˧bo˧˧
bi bô	bi˧˧bo˧˧
bi ca	bi˧˧ka˧˧
bi chí	bi˧˧ci˦˥
bi cảm	bi˧˧kam˨˩˦
bi da	bi˧˧ja˧˧
bi hoan	bi˧˧hwaŋ˧˧
bi hoài	bi˧˧hwaj˧˨
bi hài	bi˧˧haj˧˨
bi hài kịch	bi˧˧haj˧˨kit˨˩˨
bi hùng	bi˧˧huŋ͡m˧˨
bi khúc	bi˧˧xuk͡p˦˥
bi kí	bi˧˧ki˦˥
bi kí học	bi˧˧ki˦˥hɔk͡p˨˩˨
bi ký	bi˧˧ki˦˥
bi kịch	bi˧˧kit˨˩˨
bi li	bi˧˧li˧˧
bi luỵ	bi˧˧lwi˨˩˨
bi lụy	bi˧˧luj˨˩˨
bi quan	bi˧˧waŋ˧˧
bi sầu	bi˧˧ʂɤ̆w˧˨
bi thiết	bi˧˧tʰiək˦˥
bi thu	bi˧˧tʰu˧˧
bi thương	bi˧˧tʰɯəŋ˧˧
bi thảm	bi˧˧tʰam˨˩˦
bi tráng	bi˧˧ʈaŋ˦˥
bi văn	bi˧˧jăŋ˧˧
bi đup	bi˧˧dup˧˧
bi đát	bi˧˧dat˦˥
bi đình	bi˧˧din˧˨
bi đông	bi˧˧doŋ͡m˧˧
bi-a	bi˧˧-a˧˧
bi-da	bi˧˧-ja˧˧
bi-da-ma	bi˧˧-ja˧˧-ma˧˧
bi-dăng-tin	bi˧˧-jăŋ˧˧-tin˧˧
bi-ki-ni	bi˧˧-ki˧˧-ni˧˧
bi-tum	bi˧˧-tum˧˧
bi-ăng-tin	bi˧˧-ăŋ˧˧-tin˧˧
bi-đông	bi˧˧-doŋ͡m˧˧
bia	biə˧˧
bia bọt	biə˧˧bɔk͡p˨˩˨
bia chai	biə˧˧caj˧˧
bia danh	biə˧˧jan˧˧
bia hơi	biə˧˧hɤj˧˧
bia hộp	biə˧˧hop˨˩˨
bia lon	biə˧˧lɔŋ͡m˧˧
bia miệng	biə˧˧miəŋ˨˩˨
bia tươi	biə˧˧tɯəj˧˧
bia đá bảng vàng	biə˧˧da˦˥baŋ˨˩˦jaŋ˧˨
bia đá tượng đồng	biə˧˧da˦˥tɯəŋ˨˩˨doŋ͡m˧˨
bia đỡ đạn	biə˧˧dɤ˨˩˦daŋ˨˩˨
bin	bin˧˧
bin đinh	bin˧˧din˧˧
bin-đinh	bin˧˧-din˧˧
binh	bin˧˧
binh biến	bin˧˧biəŋ˦˥
binh bị	bin˧˧bi˨˩˨
binh bộ	bin˧˧bo˨˩˨
binh bộ thượng thư	bin˧˧bo˨˩˨tʰɯəŋ˨˩˨tʰɯ˧˧
binh chế	bin˧˧ce˦˥
binh chủng	bin˧˧cuŋ͡m˨˩˦
binh cách	bin˧˧kat˦˥
binh công xưởng	bin˧˧koŋ͡m˧˧sɯəŋ˨˩˦
binh cơ	bin˧˧kɤ˧˧
binh dịch	bin˧˧jit˨˩˨
binh gia	bin˧˧ja˧˧
binh giới	bin˧˧jɤj˦˥
binh hoạ	bin˧˧hwa˨˩˨
binh hoả	bin˧˧hwa˨˩˦
binh hùng tướng giỏi	bin˧˧huŋ͡m˧˨tɯəŋ˦˥jɔj˨˩˦
binh hùng tướng mạnh	bin˧˧huŋ͡m˧˨tɯəŋ˦˥man˨˩˨
binh khí	bin˧˧xi˦˥
binh khố	bin˧˧xo˦˥
binh lính	bin˧˧lin˦˥
binh lương	bin˧˧lɯəŋ˧˧
binh lược	bin˧˧lɯək˨˩˨
binh lửa	bin˧˧lɯə˨˩˦
binh lực	bin˧˧lɯk˨˩˨
binh mã	bin˧˧ma˨˩˦
binh nghiệp	bin˧˧ŋip˨˩˨
binh ngũ	bin˧˧ŋu˨˩˦
binh nhu	bin˧˧ɲu˧˧
binh nhung	bin˧˧ɲuŋ͡m˧˧
binh nhì	bin˧˧ɲi˧˨
binh nhất	bin˧˧ɲɤ̆k˦˥
binh pháp	bin˧˧fap˦˥
binh phí	bin˧˧fi˦˥
binh phục	bin˧˧fuk͡p˨˩˨
binh quyền	bin˧˧wiɛŋ˧˨
binh sĩ	bin˧˧ʂi˨˩˦
binh sự	bin˧˧ʂɯ˨˩˨
binh thuyền	bin˧˧tʰwiəŋ˧˨
binh thư	bin˧˧tʰɯ˧˧
binh thế	bin˧˧tʰe˦˥
binh trạm	bin˧˧ʈam˨˩˨
binh tình	bin˧˧tin˧˨
binh uy	bin˧˧wi˧˧
binh vận	bin˧˧jɤ̆ŋ˨˩˨
binh vụ	bin˧˧ju˨˩˨
binh xưởng	bin˧˧sɯəŋ˨˩˦
binh đao	bin˧˧daw˧˧
binh đao khói lửa	bin˧˧daw˧˧xɔj˦˥lɯə˨˩˦
binh đoàn	bin˧˧dwaŋ˧˨
binh đội	bin˧˧doj˨˩˨
biên	biəŋ˧˧
biên bản	biəŋ˧˧baŋ˨˩˦
biên chép	biəŋ˧˧cɛp˦˥
biên chú	biəŋ˧˧cu˦˥
biên chế	biəŋ˧˧ce˦˥
biên cương	biəŋ˧˧kɯəŋ˧˧
biên cảnh	biəŋ˧˧kan˨˩˦
biên dạng	biəŋ˧˧jaŋ˨˩˨
biên dịch	biəŋ˧˧jit˨˩˨
biên giang	biəŋ˧˧jaŋ˧˧
biên giới	biəŋ˧˧jɤj˦˥
biên hoà	biəŋ˧˧hwa˧˨
biên khu	biəŋ˧˧xu˧˧
biên khảo	biəŋ˧˧xaw˨˩˦
biên lai	biəŋ˧˧laj˧˧
biên mậu	biəŋ˧˧mɤ̆w˨˩˨
biên nhận	biəŋ˧˧ɲɤ̆ŋ˨˩˨
biên niên	biəŋ˧˧niəŋ˧˧
biên niên sử	biəŋ˧˧niəŋ˧˧ʂɯ˨˩˦
biên phòng	biəŋ˧˧fɔŋ͡m˧˨
biên phương	biəŋ˧˧fɯəŋ˧˧
biên quan	biəŋ˧˧waŋ˧˧
biên soạn	biəŋ˧˧ʂwaŋ˨˩˨
biên sơn	biəŋ˧˧ʂɤŋ˧˧
biên thuật	biəŋ˧˧tʰwɤ̆k˨˩˨
biên thuỳ	biəŋ˧˧tʰwi˧˨
biên thành	biəŋ˧˧tʰan˧˨
biên thùy	biəŋ˧˧tʰuj˧˨
biên tu	biəŋ˧˧tu˧˧
biên tái	biəŋ˧˧taj˦˥
biên tập	biəŋ˧˧tɤ̆p˨˩˨
biên tập viên	biəŋ˧˧tɤ̆p˨˩˨jiəŋ˧˧
biên tịch	biəŋ˧˧tit˨˩˨
biên uỷ	biəŋ˧˧wi˨˩˦
biên uỷ viên	biəŋ˧˧wi˨˩˦jiəŋ˧˧
biên viễn	biəŋ˧˧jiəŋ˨˩˦
biên đình	biəŋ˧˧din˧˨
biên đạo	biəŋ˧˧daw˨˩˨
biên độ	biəŋ˧˧do˨˩˨
biên đội	biəŋ˧˧doj˨˩˨
biên ải	biəŋ˧˧aj˨˩˦
biêng biếc	biəŋ˧˧biək˦˥
biêt	biək˧˧
biếc	biək˦˥
biếm	bim˦˥
biếm hoạ	bim˦˥hwa˨˩˨
biếm họa	bim˦˥hwa˨˩˨
biếm quyền	bim˦˥wiɛŋ˧˨
biếm truất	bim˦˥ʈwɤ̆k˦˥
biến	biəŋ˦˥
biến báo	biəŋ˦˥baw˦˥
biến chuyển	biəŋ˦˥cwiəŋ˨˩˦
biến chất	biəŋ˦˥cɤ̆k˦˥
biến chế	biəŋ˦˥ce˦˥
biến chủng	biəŋ˦˥cuŋ͡m˨˩˦
biến chứng	biəŋ˦˥cɯŋ˦˥
biến cách	biəŋ˦˥kat˦˥
biến cải	biəŋ˦˥kaj˨˩˦
biến cảm	biəŋ˦˥kam˨˩˦
biến cố	biəŋ˦˥ko˦˥
biến di	biəŋ˦˥ji˧˧
biến diễn	biəŋ˦˥jiəŋ˨˩˦
biến dạng	biəŋ˦˥jaŋ˨˩˨
biến dị	biəŋ˦˥ji˨˩˨
biến dịch	biəŋ˦˥jit˨˩˨
biến hoá	biəŋ˦˥hwa˦˥
biến hoá thần thông	biəŋ˦˥hwa˦˥tʰɤ̆ŋ˧˨tʰoŋ͡m˧˧
biến hình	biəŋ˦˥hin˧˨
biến loạn	biəŋ˦˥lwaŋ˨˩˨
biến ngôi	biəŋ˦˥ŋoj˧˧
biến nhiệt	biəŋ˦˥ɲiək˨˩˨
biến phân	biəŋ˦˥fɤ̆ŋ˧˧
biến sắc	biəŋ˦˥ʂăk˦˥
biến số	biəŋ˦˥ʂo˦˥
biến thiên	biəŋ˦˥tʰiəŋ˧˧
biến thái	biəŋ˦˥tʰaj˦˥
biến thân	biəŋ˦˥tʰɤ̆ŋ˧˧
biến thế	biəŋ˦˥tʰe˦˥
biến thế tự ngẫu	biəŋ˦˥tʰe˦˥tɯ˨˩˨ŋɤ̆w˨˩˦
biến thể	biəŋ˦˥tʰe˨˩˦
biến thể lục bát	biəŋ˦˥tʰe˨˩˦luk͡p˨˩˨bat˦˥
biến thể ngôn ngữ	biəŋ˦˥tʰe˨˩˦ŋoŋ͡m˧˧ŋɯ˨˩˦
biến thể từ	biəŋ˦˥tʰe˨˩˦tɯ˧˨
biến tiết	biəŋ˦˥tiək˦˥
biến trá	biəŋ˦˥ʈa˦˥
biến trở	biəŋ˦˥ʈɤ˨˩˦
biến tính	biəŋ˦˥tin˦˥
biến tướng	biəŋ˦˥tɯəŋ˦˥
biến tượng	biəŋ˦˥tɯəŋ˨˩˨
biến tấu	biəŋ˦˥tɤ̆w˦˥
biến tố	biəŋ˦˥to˦˥
biến tốc	biəŋ˦˥tok͡p˦˥
biến tốc kế	biəŋ˦˥tok͡p˦˥ke˦˥
biến áp	biəŋ˦˥ap˦˥
biến âm	biəŋ˦˥ɤ̆m˧˧
biến điệu	biəŋ˦˥diəw˨˩˨
biến đổi	biəŋ˦˥doj˨˩˦
biến động	biəŋ˦˥doŋ͡m˨˩˨
biến ảo	biəŋ˦˥aw˨˩˦
biếng	biəŋ˦˥
biếng chơi	biəŋ˦˥cɤj˧˧
biếng nhác	biəŋ˦˥ɲak˦˥
biếng nhắp	biəŋ˦˥ɲăp˦˥
biếng ăn	biəŋ˦˥ăŋ˧˧
biết	biək˦˥
biết bao	biək˦˥baw˧˧
biết bao mà kể	biək˦˥baw˧˧ma˧˨ke˨˩˦
biết bụng	biək˦˥buŋ͡m˨˩˨
biết cho	biək˦˥cɔ˧˧
biết chừng	biək˦˥cɯŋ˧˨
biết chừng nào	biək˦˥cɯŋ˧˨naw˧˨
biết có	biək˦˥kɔ˦˥
biết dường nào	biək˦˥jɯəŋ˧˨naw˧˨
biết gì	biək˦˥ɣi˧˨
biết lấy chi cân	biək˦˥lɤ̆j˦˥ci˧˧kɤ̆ŋ˧˧
biết mùi	biək˦˥muj˧˨
biết mùi chùi chẳng sạch	biək˦˥muj˧˨cuj˧˨căŋ˨˩˦ʂat˨˩˨
biết mấy	biək˦˥mɤ̆j˦˥
biết mặt biết người	biək˦˥măk˨˩˨biək˦˥ŋɯəj˧˨
biết người biết của	biək˦˥ŋɯəj˧˨biək˦˥kuə˨˩˦
biết người biết ta	biək˦˥ŋɯəj˧˨biək˦˥ta˧˧
biết rõ ruột gan	biək˦˥ʐɔ˨˩˦ʐuək˨˩˨ɣaŋ˧˧
biết sao	biək˦˥ʂaw˧˧
biết tay	biək˦˥tăj˧˧
biết tay ăn mặn thời chừa	biək˦˥tăj˧˧ăŋ˧˧măŋ˨˩˨tʰɤj˧˨cɯə˧˨
biết thân	biək˦˥tʰɤ̆ŋ˧˧
biết thân biết phận	biək˦˥tʰɤ̆ŋ˧˧biək˦˥fɤ̆ŋ˨˩˨
biết thóp	biək˦˥tʰɔp˦˥
biết thế	biək˦˥tʰe˦˥
biết thời biết thế	biək˦˥tʰɤj˧˨biək˦˥tʰe˦˥
biết thừa	biək˦˥tʰɯə˧˨
biết tiếng	biək˦˥tiəŋ˦˥
biết tỏng	biək˦˥tɔŋ͡m˨˩˦
biết tỏng tòng tong	biək˦˥tɔŋ͡m˨˩˦tɔŋ͡m˧˨tɔŋ͡m˧˧
biết việc	biək˦˥jiək˨˩˨
biết ý	biək˦˥i˦˥
biết điều	biək˦˥diəw˧˨
biết đâu	biək˦˥dɤ̆w˧˧
biết đâu chừng	biək˦˥dɤ̆w˧˧cɯŋ˧˨
