a	ɒ
agronómus	ɒɡronoːmuʃ
agronómusok	ɒɡronoːmuʃok
agy	ɒɟ
agya	ɒɟɒ
agyafúrt	ɒɟɒfuːrt
agyafúrtabb	ɒɟɒfuːrtɒbː
agyag	ɒɟɒɡ
agyaghadsereg	ɒɟɒkhɒt͡ʃːɛrɛɡ
agyaghadseregek	ɒɟɒkhɒt͡ʃːɛrɛɡɛk
agyagok	ɒɟɒɡok
agyak	ɒɟɒk
agyalapi	ɒɟɒlɒpi
agyar	ɒɟɒr
agyarak	ɒɟɒrɒk
agyarú	ɒɟɒruː
agyba	ɒɟbɒ
agyfélteke	ɒcfeːltɛkɛ
agyhalott	ɒchɒlotː
agyhalál	ɒchɒlaːl
agyhullám	ɒchulːaːm
agyhártya	ɒchaːrcɒ
agyhártyagyulladás	ɒchaːrcɒɟulːɒdaːʃ
agyhártyagyulladások	ɒchaːrcɒɟulːɒdaːʃok
agyhártyák	ɒchaːrcaːk
agyi	ɒɟi
agyideg	ɒɟidɛɡ
agyidegek	ɒɟidɛɡɛk
agykoponya	ɒckopoɲɒ
agykoponyák	ɒckopoɲaːk
agykárosodás	ɒckaːroʃodaːʃ
agykéreg	ɒckeːrɛɡ
agykérgek	ɒckeːrɡɛk
agyoncsap	ɒɟont͡ʃɒp
agyondicsér	ɒɟondit͡ʃeːr
agyonlő	ɒɟonløː
agyonszúr	ɒɟonsuːr
agyonvág	ɒɟoɱvaːɡ
agyonüt	ɒɟonyt
agyrázkódás	ɒɟraːskoːdaːʃ
agyrázkódások	ɒɟraːskoːdaːʃok
agyuk	ɒɟuk
agyvelőgyulladás	ɒɟvɛløːɟulːɒdaːʃ
agyvelőgyulladások	ɒɟvɛløːɟulːɒdaːʃok
agyvérzés	ɒɟveːrzeːʃ
agyvérzések	ɒɟveːrzeːʃɛk
agyú	ɒɟuː
agába	ɒɡaːbɒ
agában	ɒɡaːbɒn
agából	ɒɡaːboːl
agád	ɒɡaːd
agához	ɒɡaːɦoz
agái	ɒɡaːji
agáid	ɒɡaːjid
agáig	ɒɡaːjiɡ
agáik	ɒɡaːjik
agáim	ɒɡaːjim
agáink	ɒɡaːjiŋk
agáit	ɒɡaːjit
agáitok	ɒɡaːjitok
agája	ɒɡaːjɒ
agájuk	ɒɡaːjuk
agák	ɒɡaːk
agákat	ɒɡaːkɒt
agákba	ɒɡaːɡbɒ
agákban	ɒɡaːɡbɒn
agákból	ɒɡaːɡboːl
agákhoz	ɒɡaːkhoz
agákig	ɒɡaːkiɡ
agákkal	ɒɡaːkːɒl
agákká	ɒɡaːkːaː
agákként	ɒɡaːkːeːnt
agáknak	ɒɡaːknɒk
agáknál	ɒɡaːknaːl
agákon	ɒɡaːkon
agákra	ɒɡaːkrɒ
agákról	ɒɡaːkroːl
agáktól	ɒɡaːktoːl
agákért	ɒɡaːkeːrt
agám	ɒɡaːm
agán	ɒɡaːn
agának	ɒɡaːnɒk
agánk	ɒɡaːŋk
agánál	ɒɡaːnaːl
agár	ɒɡaːr
agára	ɒɡaːrɒ
agáról	ɒɡaːroːl
agát	ɒɡaːt
agátok	ɒɡaːtok
agától	ɒɡaːtoːl
agával	ɒɡaːvɒl
agává	ɒɡaːvaː
agáért	ɒɡaːjeːrt
ah	ɒx
aha	ɒhɒ
ahelyett	ɒɦɛjɛtː
ahhoz	ɒɦoz
ahogy	ɒɦoɟ
ahogyan	ɒɦoɟɒn
ahol	ɒɦol
ahonnan	ɒɦonːɒn
ahány	ɒɦaːɲ
ahányszor	ɒɦaːɲsor
aids	eːt͡s
aids	eːt͡sː
aikidó	ɒjikidoː
aikidók	ɒjikidoːk
aj	ɒj
ajak	ɒjɒk
ajakbalzsam	ɒjɒɡbɒlʒɒm
ajakbalzsamok	ɒjɒɡbɒlʒɒmok
ajakos	ɒjɒkoʃ
ajakrúzs	ɒjɒkruːʒ
ajakrúzsok	ɒjɒkruːʒok
ajakír	ɒjɒkiːr
ajk	ɒjk
ajka	ɒjkɒ
ajkad	ɒjkɒd
ajkai	ɒjkɒji
ajkaid	ɒjkɒjid
ajkaik	ɒjkɒjik
ajkaim	ɒjkɒjim
ajkaink	ɒjkɒjiŋk
ajkaitok	ɒjkɒjitok
ajkak	ɒjkɒk
ajkam	ɒjkɒm
ajkatok	ɒjkɒtok
ajkuk	ɒjkuk
ajkunk	ɒjkuŋk
ajkú	ɒjkuː
ajt	ɒjt
ajtó	ɒjtoː
ajtóba	ɒjtoːbɒ
ajtóban	ɒjtoːbɒn
ajtóból	ɒjtoːboːl
ajtóhoz	ɒjtoːɦoz
ajtóig	ɒjtoːjiɡ
ajtók	ɒjtoːk
ajtókat	ɒjtoːkɒt
ajtókba	ɒjtoːɡbɒ
ajtókban	ɒjtoːɡbɒn
ajtókból	ɒjtoːɡboːl
ajtókhoz	ɒjtoːkhoz
ajtókig	ɒjtoːkiɡ
ajtókkal	ɒjtoːkːɒl
ajtókká	ɒjtoːkːaː
ajtókként	ɒjtoːkːeːnt
ajtóknak	ɒjtoːknɒk
ajtóknál	ɒjtoːknaːl
ajtókon	ɒjtoːkon
ajtókra	ɒjtoːkrɒ
ajtókról	ɒjtoːkroːl
ajtóktól	ɒjtoːktoːl
ajtóként	ɒjtoːkeːnt
ajtókért	ɒjtoːkeːrt
ajtón	ɒjtoːn
ajtónak	ɒjtoːnɒk
ajtónál	ɒjtoːnaːl
ajtóra	ɒjtoːrɒ
ajtóról	ɒjtoːroːl
ajtós	ɒjtoːʃ
ajtót	ɒjtoːt
ajtótól	ɒjtoːtoːl
ajtóval	ɒjtoːvɒl
ajtóvá	ɒjtoːvaː
ajtóért	ɒjtoːjeːrt
ajvé	ɒjveː
ajz	ɒjz
ajzz	ɒjz
ajándék	ɒjaːndeːk
ajándéka	ɒjaːndeːkɒ
ajándékai	ɒjaːndeːkɒji
ajándékaid	ɒjaːndeːkɒjid
ajándékaik	ɒjaːndeːkɒjik
ajándékaim	ɒjaːndeːkɒjim
ajándékaink	ɒjaːndeːkɒjiŋk
ajándékaitok	ɒjaːndeːkɒjitok
ajándékba	ɒjaːndeːɡbɒ
ajándékban	ɒjaːndeːɡbɒn
ajándékbolt	ɒjaːndeːɡbolt
ajándékboltig	ɒjaːndeːɡboltiɡ
ajándékboltként	ɒjaːndeːɡboltkeːnt
ajándékboltnak	ɒjaːndeːɡboltnɒk
ajándékboltok	ɒjaːndeːɡboltok
ajándékboltokat	ɒjaːndeːɡboltokɒt
ajándékboltokig	ɒjaːndeːɡboltokiɡ
ajándékboltokkal	ɒjaːndeːɡboltokːɒl
ajándékboltokká	ɒjaːndeːɡboltokːaː
ajándékboltokként	ɒjaːndeːɡboltokːeːnt
ajándékboltoknak	ɒjaːndeːɡboltoknɒk
ajándékboltokért	ɒjaːndeːɡboltokeːrt
ajándékboltot	ɒjaːndeːɡboltot
ajándékbolttal	ɒjaːndeːɡboltɒl
ajándékbolttá	ɒjaːndeːɡboltaː
ajándékboltért	ɒjaːndeːɡbolteːrt
ajándékból	ɒjaːndeːɡboːl
ajándékhoz	ɒjaːndeːkhoz
ajándékig	ɒjaːndeːkiɡ
ajándékkal	ɒjaːndeːkːɒl
ajándékká	ɒjaːndeːkːaː
ajándékként	ɒjaːndeːkːeːnt
ajándéknak	ɒjaːndeːknɒk
ajándéknál	ɒjaːndeːknaːl
ajándékod	ɒjaːndeːkod
ajándékok	ɒjaːndeːkok
ajándékokat	ɒjaːndeːkokɒt
ajándékokba	ɒjaːndeːkoɡbɒ
ajándékokban	ɒjaːndeːkoɡbɒn
ajándékokból	ɒjaːndeːkoɡboːl
ajándékokhoz	ɒjaːndeːkokhoz
ajándékokig	ɒjaːndeːkokiɡ
ajándékokkal	ɒjaːndeːkokːɒl
ajándékokká	ɒjaːndeːkokːaː
ajándékokként	ɒjaːndeːkokːeːnt
ajándékoknak	ɒjaːndeːkoknɒk
ajándékoknál	ɒjaːndeːkoknaːl
ajándékokon	ɒjaːndeːkokon
ajándékokra	ɒjaːndeːkokrɒ
ajándékokról	ɒjaːndeːkokroːl
ajándékoktól	ɒjaːndeːkoktoːl
ajándékokért	ɒjaːndeːkokeːrt
ajándékom	ɒjaːndeːkom
ajándékon	ɒjaːndeːkon
ajándékot	ɒjaːndeːkot
ajándékotok	ɒjaːndeːkotok
ajándékoz	ɒjaːndeːkoz
ajándékozta	ɒjaːndeːkostɒ
ajándékozás	ɒjaːndeːkozaːʃ
ajándékozásig	ɒjaːndeːkozaːʃiɡ
ajándékozásként	ɒjaːndeːkozaːʃkeːnt
ajándékozásnak	ɒjaːndeːkozaːʃnɒk
ajándékozások	ɒjaːndeːkozaːʃok
ajándékozásokat	ɒjaːndeːkozaːʃokɒt
ajándékozásokig	ɒjaːndeːkozaːʃokiɡ
ajándékozásokkal	ɒjaːndeːkozaːʃokːɒl
ajándékozásokká	ɒjaːndeːkozaːʃokːaː
ajándékozásokként	ɒjaːndeːkozaːʃokːeːnt
ajándékozásoknak	ɒjaːndeːkozaːʃoknɒk
ajándékozásokért	ɒjaːndeːkozaːʃokeːrt
ajándékozással	ɒjaːndeːkozaːʃːɒl
ajándékozássá	ɒjaːndeːkozaːʃːaː
ajándékozást	ɒjaːndeːkozaːʃt
ajándékozásért	ɒjaːndeːkozaːʃeːrt
ajándékozó	ɒjaːndeːkozoː
ajándékra	ɒjaːndeːkrɒ
ajándékról	ɒjaːndeːkroːl
ajándéktárgy	ɒjaːndeːktaːrɟ
ajándéktárgyak	ɒjaːndeːktaːrɟɒk
ajándéktól	ɒjaːndeːktoːl
ajándékuk	ɒjaːndeːkuk
ajándékul	ɒjaːndeːkul
ajándékunk	ɒjaːndeːkuŋk
ajándékért	ɒjaːndeːkeːrt
ajánl	ɒjaːlː
ajánl	ɒjaːnl
ajánlalak	ɒjaːnlɒlɒk
ajánlani	ɒjaːnlɒni
ajánlanám	ɒjaːnlɒnaːm
ajánlat	ɒjaːnlɒt
ajánlata	ɒjaːnlɒtɒ
ajánlati	ɒjaːnlɒti
ajánlatkérő	ɒjaːnlɒtkeːrøː
ajánlatok	ɒjaːnlɒtok
ajánlatokat	ɒjaːnlɒtokɒt
ajánlatos	ɒjaːnlɒtoʃ
ajánlatosabb	ɒjaːnlɒtoʃɒbː
ajánlatot	ɒjaːnlɒtot
ajánlattevő	ɒjaːnlɒtːɛvøː
ajánld	ɒjaːld
ajánld	ɒjaːnld
ajánlhat	ɒjaːnlɦɒt
ajánlható	ɒjaːnlɦɒtoː
ajánlj	ɒjaːjː
ajánljuk	ɒjaːjːuk
ajánllak	ɒjaːnlɒk
ajánlom	ɒjaːnlom
ajánlott	ɒjaːnlotː
ajánlottabb	ɒjaːnlotːɒbː
ajánlva	ɒjaːnlvɒ
ajánlás	ɒjaːnlaːʃ
ajánlása	ɒjaːnlaːʃɒ
ajánlólevelek	ɒjaːnloːlɛvɛlɛk
ajánlólevél	ɒjaːnloːlɛveːl
akad	ɒkɒd
akadhat	ɒkɒthɒt
akadozik	ɒkɒdozik
akadsz	ɒkɒt͡sː
akadály	ɒkɒdaːj
akadálya	ɒkɒdaːjɒ
akadálymentes	ɒkɒdaːjmɛntɛʃ
akadályok	ɒkɒdaːjok
akadályokat	ɒkɒdaːjokɒt
akadályoz	ɒkɒdaːjoz
akadályozta	ɒkɒdaːjostɒ
akadályt	ɒkɒdaːjt
akadálytalan	ɒkɒdaːjtɒlɒn
akadálytalanabb	ɒkɒdaːjtɒlɒnɒbː
akadálytalanság	ɒkɒdaːjtɒlɒnʃaːɡ
akadálytalanul	ɒkɒdaːjtɒlɒnul
akadémia	ɒkɒdeːmijɒ
akadémiai	ɒkɒdeːmijɒji
akadémikus	ɒkɒdeːmikuʃ
akadémikusok	ɒkɒdeːmikuʃok
akadémiák	ɒkɒdeːmijaːk
akar	ɒkɒr
akarat	ɒkɒrɒt
akarata	ɒkɒrɒtɒ
akaraterő	ɒkɒrɒtɛrøː
akaraterők	ɒkɒrɒtɛrøːk
akaratok	ɒkɒrɒtok
akarattal	ɒkɒrɒtːɒl
akaratát	ɒkɒrɒtaːt
akard	ɒkɒrd
akarhat	ɒkɒrɦɒt
akarj	ɒkɒrʝ
akarja	ɒkɒrjɒ
akarjad	ɒkɒrjɒd
akarjak	ɒkɒrjɒk
akarjalak	ɒkɒrjɒlɒk
akarjam	ɒkɒrjɒm
akarjanak	ɒkɒrjɒnɒk
akarjatok	ɒkɒrjɒtok
akarjon	ɒkɒrjon
akarjuk	ɒkɒrjuk
akarjunk	ɒkɒrjuŋk
akarják	ɒkɒrjaːk
akarjál	ɒkɒrjaːl
akarjátok	ɒkɒrjaːtok
akarlak	ɒkɒrlɒk
akarna	ɒkɒrnɒ
akarnak	ɒkɒrnɒk
akarni	ɒkɒrni
akarnia	ɒkɒrnijɒ
akarniuk	ɒkɒrnijuk
akarnod	ɒkɒrnod
akarnom	ɒkɒrnom
akarnotok	ɒkɒrnotok
akarnunk	ɒkɒrnuŋk
akarná	ɒkɒrnaː
akarnád	ɒkɒrnaːd
akarnák	ɒkɒrnaːk
akarnál	ɒkɒrnaːl
akarnálak	ɒkɒrnaːlɒk
akarnám	ɒkɒrnaːm
akarnának	ɒkɒrnaːnɒk
akarnánk	ɒkɒrnaːŋk
akarnátok	ɒkɒrnaːtok
akarnék	ɒkɒrneːk
akarod	ɒkɒrod
akarok	ɒkɒrok
akarom	ɒkɒrom
akarsz	ɒkɒrs
akart	ɒkɒrt
akarta	ɒkɒrtɒ
akartad	ɒkɒrtɒd
akartak	ɒkɒrtɒk
akartalak	ɒkɒrtɒlɒk
akartam	ɒkɒrtɒm
akartatok	ɒkɒrtɒtok
akartok	ɒkɒrtok
akartuk	ɒkɒrtuk
akartunk	ɒkɒrtuŋk
akarták	ɒkɒrtaːk
akartál	ɒkɒrtaːl
akartátok	ɒkɒrtaːtok
akarunk	ɒkɒruŋk
akarva	ɒkɒrvɒ
akaró	ɒkɒroː
akassz	ɒkɒsː
akaszt	ɒkɒst
akasztani	ɒkɒstɒni
akasztok	ɒkɒstok
akasztás	ɒkɒstaːʃ
akasztások	ɒkɒstaːʃok
akasztó	ɒkɒstoː
akasztófa	ɒkɒstoːfɒ
akasztófahumor	ɒkɒstoːfɒɦumor
akasztófahumorok	ɒkɒstoːfɒɦumorok
akasztófák	ɒkɒstoːfaːk
akasztók	ɒkɒstoːk
akceleráció	ɒkt͡sɛlɛraːt͡sijoː
akcelerációk	ɒkt͡sɛlɛraːt͡sijoːk
akció	ɒkt͡sijoː
akciódús	ɒkt͡sijoːduːʃ
akciófilm	ɒkt͡sijoːfilm
akciófilmek	ɒkt͡sijoːfilmɛk
akciófilmje	ɒkt͡sijoːfilmjɛ
akcióink	ɒkt͡sijoːjiŋk
akcióinkról	ɒkt͡sijoːjiŋkroːl
akciók	ɒkt͡sijoːk
akciós	ɒkt͡sijoːʃ
akciót	ɒkt͡sijoːt
akcióterv	ɒkt͡sijoːtɛrv
akciótervek	ɒkt͡sijoːtɛrvɛk
akcióval	ɒkt͡sijoːvɒl
akcse	ɒkt͡ʃɛ
akcsék	ɒkt͡ʃeːk
akhilleusz	ɒkhilːɛus
aki	ɒki
akibe	ɒkibɛ
akiben	ɒkibɛn
akiből	ɒkibøːl
akid	ɒkid
akihez	ɒkiɦɛz
akiig	ɒkiiɡ
akije	ɒkijɛ
akijük	ɒkijyk
akik	ɒkik
akikbe	ɒkiɡbɛ
akikben	ɒkiɡbɛn
akikből	ɒkiɡbøːl
akiken	ɒkikɛn
akiket	ɒkikɛt
akikhez	ɒkikhɛz
akikig	ɒkikiɡ
akikkel	ɒkikːɛl
akikké	ɒkikːeː
akikként	ɒkikːeːnt
akiknek	ɒkiknɛk
akiknél	ɒkikneːl
akikre	ɒkikrɛ
akikről	ɒkikrøːl
akiktől	ɒkiktøːl
akiké	ɒkikeː
akiként	ɒkikeːnt
akikért	ɒkikeːrt
akim	ɒkim
akin	ɒkin
akinek	ɒkinɛk
akink	ɒkiŋk
akinél	ɒkineːl
akire	ɒkirɛ
akiről	ɒkirøːl
akit	ɒkit
akitek	ɒkitɛk
akitől	ɒkitøːl
akivel	ɒkivɛl
akivé	ɒkiveː
akié	ɒkijeː
akiért	ɒkijeːrt
akkor	ɒkːor
akkora	ɒkːorɒ
akkord	ɒkːord
akkordba	ɒkːordbɒ
akkordban	ɒkːordbɒn
akkordból	ɒkːordboːl
akkorddal	ɒkːordɒl
akkorddá	ɒkːordaː
akkordhoz	ɒkːorthoz
akkordig	ɒkːordiɡ
akkordja	ɒkːorɟɒ
akkordjai	ɒkːorɟɒji
akkordjaid	ɒkːorɟɒjid
akkordjaik	ɒkːorɟɒjik
akkordjaim	ɒkːorɟɒjim
akkordjaink	ɒkːorɟɒjiŋk
akkordjaitok	ɒkːorɟɒjitok
akkordjuk	ɒkːorɟuk
akkordként	ɒkːortkeːnt
akkordnak	ɒkːordnɒk
akkordnál	ɒkːordnaːl
akkordod	ɒkːordod
akkordok	ɒkːordok
akkordokat	ɒkːordokɒt
akkordokba	ɒkːordoɡbɒ
akkordokban	ɒkːordoɡbɒn
akkordokból	ɒkːordoɡboːl
akkordokhoz	ɒkːordokhoz
akkordokig	ɒkːordokiɡ
akkordokkal	ɒkːordokːɒl
akkordokká	ɒkːordokːaː
akkordokként	ɒkːordokːeːnt
akkordoknak	ɒkːordoknɒk
akkordoknál	ɒkːordoknaːl
akkordokon	ɒkːordokon
akkordokra	ɒkːordokrɒ
akkordokról	ɒkːordokroːl
akkordoktól	ɒkːordoktoːl
akkordokért	ɒkːordokeːrt
akkordom	ɒkːordom
akkordon	ɒkːordon
akkordot	ɒkːordot
akkordotok	ɒkːordotok
akkordra	ɒkːordrɒ
akkordról	ɒkːordroːl
akkordtól	ɒkːortoːl
akkordunk	ɒkːorduŋk
akkordért	ɒkːordeːrt
akkori	ɒkːori
akkorka	ɒkːorkɒ
akkorra	ɒkːorːɒ
akkreditál	ɒkrɛditaːl
akkreditált	ɒkrɛditaːlt
akkreditív	ɒkrɛditiːv
akkreditívek	ɒkrɛditiːvɛk
akkumulátor	ɒkumlaːtor
akkumulátor	ɒkːumulaːtor
akkumulátorok	ɒkumlaːtorok
akkumulátorok	ɒkːumulaːtorok
akként	ɒkːeːnt
akla	ɒklɒ
akna	ɒknɒ
aknamező	ɒknɒmɛzøː
aknamezők	ɒknɒmɛzøːk
aknád	ɒknaːd
aknái	ɒknaːji
aknáid	ɒknaːjid
aknáik	ɒknaːjik
aknáim	ɒknaːjim
aknáink	ɒknaːjiŋk
aknáitok	ɒknaːjitok
aknája	ɒknaːjɒ
aknájuk	ɒknaːjuk
aknák	ɒknaːk
aknám	ɒknaːm
aknánk	ɒknaːŋk
aknás	ɒknaːʃ
aknász	ɒknaːs
aknászok	ɒknaːsok
aknátok	ɒknaːtok
aknáz	ɒknaːz
akrobata	ɒkrobɒtɒ
akrobatika	ɒkrobɒtikɒ
akrobatikus	ɒkrobɒtikuʃ
akrobatikusabb	ɒkrobɒtikuʃɒbː
akrobatikák	ɒkrobɒtikaːk
akrobaták	ɒkrobɒtaːk
akrofóbia	ɒkrofoːbijɒ
akrofóbiák	ɒkrofoːbijaːk
akrosztichon	ɒkrostiɦon
akrosztichonok	ɒkrostiɦonok
aksi	ɒkʃi
akt	ɒkt
akta	ɒktɒ
aktaként	ɒktɒkeːnt
aktatáska	ɒktɒtaːʃkɒ
aktatáskák	ɒktɒtaːʃkaːk
aktivitás	ɒktivitaːʃ
aktivitások	ɒktivitaːʃok
aktivizál	ɒktivizaːl
aktivál	ɒktivaːl
aktiválni	ɒktivaːlni
aktiválás	ɒktivaːlaːʃ
aktok	ɒktok
aktualizáció	ɒktuɒlizaːt͡sijoː
aktualizációk	ɒktuɒlizaːt͡sijoːk
aktualizál	ɒktuɒlizaːl
aktus	ɒktuʃ
aktusok	ɒktuʃok
aktuális	ɒktuaːliʃ
aktuálisabb	ɒktuaːliʃɒbː
aktába	ɒktaːbɒ
aktában	ɒktaːbɒn
aktából	ɒktaːboːl
aktád	ɒktaːd
aktához	ɒktaːɦoz
aktái	ɒktaːji
aktáid	ɒktaːjid
aktáig	ɒktaːjiɡ
aktáik	ɒktaːjik
aktáim	ɒktaːjim
aktáink	ɒktaːjiŋk
aktáitok	ɒktaːjitok
aktája	ɒktaːjɒ
aktájuk	ɒktaːjuk
akták	ɒktaːk
aktákat	ɒktaːkɒt
aktákba	ɒktaːɡbɒ
aktákban	ɒktaːɡbɒn
aktákból	ɒktaːɡboːl
aktákhoz	ɒktaːkhoz
aktákig	ɒktaːkiɡ
aktákkal	ɒktaːkːɒl
aktákká	ɒktaːkːaː
aktákként	ɒktaːkːeːnt
aktáknak	ɒktaːknɒk
aktáknál	ɒktaːknaːl
aktákon	ɒktaːkon
aktákra	ɒktaːkrɒ
aktákról	ɒktaːkroːl
aktáktól	ɒktaːktoːl
aktákért	ɒktaːkeːrt
aktám	ɒktaːm
aktán	ɒktaːn
aktának	ɒktaːnɒk
aktánk	ɒktaːŋk
aktánál	ɒktaːnaːl
aktára	ɒktaːrɒ
aktáról	ɒktaːroːl
aktát	ɒktaːt
aktátok	ɒktaːtok
aktától	ɒktaːtoːl
aktával	ɒktaːvɒl
aktává	ɒktaːvaː
aktáért	ɒktaːjeːrt
aktínium	ɒktiːnijum
aktív	ɒktiːv
aktívabb	ɒktiːvɒbː
aktívabban	ɒktiːvɒbːɒn
aktívan	ɒktiːvɒn
akupunktúra	ɒkupuŋktuːrɒ
akusztikus	ɒkustikuʃ
akusztikusabb	ɒkustikuʃɒbː
akvamarin	ɒkvɒmɒrin
akvamarinon	ɒkvɒmɒrinon
akvarell	ɒkvɒrɛlː
akvarellek	ɒkvɒrɛlːɛk
akvarellfestő	ɒkvɒrɛlfɛʃtøː
akvarellfestők	ɒkvɒrɛlfɛʃtøːk
akvárium	ɒkvaːrijum
akác	ɒkaːt͡s
akácok	ɒkaːt͡sok
akácos	ɒkaːt͡soʃ
akácosok	ɒkaːt͡soʃok
akár	ɒkaːr
akárcsak	ɒkaːrt͡ʃɒk
akárha	ɒkaːrɦɒ
akárhogy	ɒkaːrɦoɟ
akárhogyan	ɒkaːrɦoɟɒn
akárhol	ɒkaːrɦol
akárhonnan	ɒkaːrɦonːɒn
akárhonnét	ɒkaːrɦonːeːt
akárhova	ɒkaːrɦovɒ
akárhová	ɒkaːrɦovaː
akárhány	ɒkaːrɦaːɲ
akárki	ɒkaːrki
akárkibe	ɒkaːrkibɛ
akárkiben	ɒkaːrkibɛn
akárkiből	ɒkaːrkibøːl
akárkicsoda	ɒkaːrkit͡ʃodɒ
akárkihez	ɒkaːrkiɦɛz
akárkiig	ɒkaːrkiiɡ
akárkik	ɒkaːrkik
akárkikbe	ɒkaːrkiɡbɛ
akárkikben	ɒkaːrkiɡbɛn
akárkikből	ɒkaːrkiɡbøːl
akárkiken	ɒkaːrkikɛn
akárkiket	ɒkaːrkikɛt
akárkikhez	ɒkaːrkikhɛz
akárkikig	ɒkaːrkikiɡ
akárkikkel	ɒkaːrkikːɛl
akárkikké	ɒkaːrkikːeː
akárkikként	ɒkaːrkikːeːnt
akárkiknek	ɒkaːrkiknɛk
akárkiknél	ɒkaːrkikneːl
akárkikre	ɒkaːrkikrɛ
akárkikről	ɒkaːrkikrøːl
akárkiktől	ɒkaːrkiktøːl
akárkiként	ɒkaːrkikeːnt
akárkikért	ɒkaːrkikeːrt
akárkin	ɒkaːrkin
akárkinek	ɒkaːrkinɛk
akárkinél	ɒkaːrkineːl
akárkire	ɒkaːrkirɛ
akárkiről	ɒkaːrkirøːl
akárkit	ɒkaːrkit
akárkitől	ɒkaːrkitøːl
akárkivel	ɒkaːrkivɛl
akárkivé	ɒkaːrkiveː
akárkié	ɒkaːrkijeː
akárkiért	ɒkaːrkijeːrt
akármeddig	ɒkaːrmɛdːiɡ
akármekkora	ɒkaːrmɛkːorɒ
akármelyik	ɒkaːrmɛjik
akármennyi	ɒkaːrmɛɲːi
akármerre	ɒkaːrmɛrːɛ
akármerre	ɒkɒːrmɛːrɛ
akármerről	ɒkaːrmɛrːøːl
akármi	ɒkaːrmi
akármiféle	ɒkaːrmifeːlɛ
akármikor	ɒkaːrmikor
akármilyen	ɒkaːrmijɛn
akó	ɒkoː
al	ɒl
alabástrom	ɒlɒbaːʃtrom
alabástromok	ɒlɒbaːʃtromok
alacsony	ɒlɒt͡ʃoɲ
alacsonyabb	ɒlɒt͡ʃoɲɒbː
alacsonyak	ɒlɒt͡ʃoɲɒk
alacsonyakat	ɒlɒt͡ʃoɲɒkɒt
alacsonyat	ɒlɒt͡ʃoɲɒt
aladár	ɒlɒdaːr
alagsor	ɒlɒkʃor
alagsora	ɒlɒkʃorɒ
alagsorai	ɒlɒkʃorɒji
alagsoraid	ɒlɒkʃorɒjid
alagsoraik	ɒlɒkʃorɒjik
alagsoraim	ɒlɒkʃorɒjim
alagsoraink	ɒlɒkʃorɒjiŋk
alagsoraitok	ɒlɒkʃorɒjitok
alagsorod	ɒlɒkʃorod
alagsorok	ɒlɒkʃorok
alagsorom	ɒlɒkʃorom
alagsorotok	ɒlɒkʃorotok
alagsoruk	ɒlɒkʃoruk
alagsorunk	ɒlɒkʃoruŋk
alagutak	ɒlɒɡutɒk
alagút	ɒlɒɡuːt
alak	ɒlɒk
alakba	ɒlɒɡbɒ
alakban	ɒlɒɡbɒn
alakból	ɒlɒɡboːl
alakhoz	ɒlɒkhoz
alakhű	ɒlɒkhyː
alaki	ɒlɒki
alakig	ɒlɒkiɡ
alakja	ɒlɒkjɒ
alakjai	ɒlɒkjɒji
alakjaid	ɒlɒkjɒjid
alakjaik	ɒlɒkjɒjik
alakjaim	ɒlɒkjɒjim
alakjaink	ɒlɒkjɒjiŋk
alakjaitok	ɒlɒkjɒjitok
alakjuk	ɒlɒkjuk
alakját	ɒlɒkjaːt
alakkal	ɒlɒkːɒl
alakká	ɒlɒkːaː
alakként	ɒlɒkːeːnt
alaknak	ɒlɒknɒk
alaknál	ɒlɒknaːl
alakod	ɒlɒkod
alakok	ɒlɒkok
alakokat	ɒlɒkokɒt
alakokba	ɒlɒkoɡbɒ
alakokban	ɒlɒkoɡbɒn
alakokból	ɒlɒkoɡboːl
alakokhoz	ɒlɒkokhoz
alakokig	ɒlɒkokiɡ
alakokkal	ɒlɒkokːɒl
alakokká	ɒlɒkokːaː
alakokként	ɒlɒkokːeːnt
alakoknak	ɒlɒkoknɒk
alakoknál	ɒlɒkoknaːl
alakokon	ɒlɒkokon
alakokra	ɒlɒkokrɒ
alakokról	ɒlɒkokroːl
alakoktól	ɒlɒkoktoːl
alakokért	ɒlɒkokeːrt
alakom	ɒlɒkom
alakon	ɒlɒkon
alakor	ɒlɒkor
alakot	ɒlɒkot
alakotok	ɒlɒkotok
alakra	ɒlɒkrɒ
alakról	ɒlɒkroːl
alaktalan	ɒlɒktɒlɒn
alaktalanság	ɒlɒktɒlɒnʃaːɡ
alaktalanságok	ɒlɒktɒlɒnʃaːɡok
alaktan	ɒlɒktɒn
alaktana	ɒlɒktɒnɒ
alaktanai	ɒlɒktɒnɒji
alaktanaid	ɒlɒktɒnɒjid
alaktanaik	ɒlɒktɒnɒjik
alaktanaim	ɒlɒktɒnɒjim
alaktanaink	ɒlɒktɒnɒjiŋk
alaktanaitok	ɒlɒktɒnɒjitok
alaktanod	ɒlɒktɒnod
alaktanok	ɒlɒktɒnok
alaktanom	ɒlɒktɒnom
alaktanotok	ɒlɒktɒnotok
alaktanuk	ɒlɒktɒnuk
alaktanunk	ɒlɒktɒnuŋk
alaktól	ɒlɒktoːl
alakul	ɒlɒkul
alakult	ɒlɒkult
alakulás	ɒlɒkulaːʃ
alakulása	ɒlɒkulaːʃɒ
alakulását	ɒlɒkulaːʃaːt
alakuló	ɒlɒkuloː
