ँ	ə̃
अलार्म	əl̪ɑːɾm
अलार्म	əl̪ɑːɾəm
अलाव	əl̪äːʋ
अलि	əl̪iː
अलिखित	əl̪ɪkʰɪt̪
अलीगढ	əl̪iːɡəɽʱ
अलीगढ़	əl̪iːɡəɽʱ
अलोना	əl̪oːn̪äː
अल्जीरिया	əl̪d͡ʒiːɾijäː
अल्टीमेटम	əl̪ʈiːmeːʈə̃m
अल्पकारी	əl̪pəkäːɾiː
अल्पसंख्यक	əl̪ps̪ə̃ŋkʰjək
अल्पावस्था	əl̪päːʋəs̪t̪ʰäː
अल्पाहार	əl̪päːɦäːɾ
अल्फ़ा	əl̪fäː
अल्फ़ा	əl̪pʰäː
अल्फ़ाज़	əl̪fäːz
अल्फ़ाज़	əl̪pʰäːd͡ʒ
अल्बम	əl̪bə̃m
अल्बानियन	əl̪bäːn̪ijə̃n̪
अल्बानिया	əl̪bäːn̪ijäː
अल्लाह	əl̪l̪äːɦ
अल्हड़	əl̪ɦəɽ
अवकलज	əʋkəl̪əd͡ʒ
अवकलन	əʋkəl̪ə̃n̪
अवकलनीय	əʋkəl̪ən̪iːjᵊ
अवक्षयण	əʋkʃəjə̃ɳ
अवक्षेपण	əʋkʃeːpə̃ɳ
अवगुण	əʋɡʊ̃ɳ
अवज्ञा	əʋəɡjäː
अवतल	əʋt̪əl̪
अवतार	əʋt̪äːɾ
अवधारण	əʋd̪ʱäːɾə̃ɳ
अवधारणा	əʋd̪ʱäːɾɳäː
अवनति	əʋn̪ət̪iː
अवपंक	əʋpə̃ŋk
अवयस्क	əʋəjəs̪k
अवलंब	əʋl̪ə̃mb
अवलोकन	əʋl̪oːkə̃n̪
अवशोषण	əʋʃoːʃə̃ɳ
अवशोषित	əʋʃoːʃɪt̪
अवसंरचना	əʋs̪ə̃ɾət͡ʃn̪äː
अवसर	əʋs̪əɾ
अवस्था	əʋəs̪t̪ʰäː
अवहेलना	əʋɦeːl̪n̪äː
अवांछित	əʋä̃ːn̪t͡ʃʰɪt̪
अवाई	əʋäːiː
अवाक्	əʋäːk
अवाम	əʋä̃ːm
अवार्ड	əʋäːɾɖ
अविकसित	əʋɪks̪ɪt̪
अविकारी	əʋɪkäːɾiː
अविचल	əʋɪt͡ʃəl̪
अविच्छिन्न	əʋɪt̚t͡ʃʰɪ̃n̪n̪ᵊ
अविनय	əʋɪn̪əj
अविनीत	əʋɪn̪iːt̪
अविलंब	əʋɪl̪ə̃mb
अविवाहित	əʋɪʋäːɦɪt̪
अविश्वास	əʋɪʃʋäːs̪
अविश्वासनीय	əʋɪʃʋäːs̪n̪iːjᵊ
अविस्मरणीय	əʋɪs̪məɾəɳiːjᵊ
अवैतनिक	ʋɛːt̪ən̪ɪk
अवोकाडो	əʋoːkäːɖoː
अव्यवस्था	əʋjəʋəs̪t̪ʰäː
अव्यावहारिक	əʋjäːʋɦäːɾɪk
अव्वल	əʋʋəl̪
अशांत	əʃä̃ːn̪t̪
अशांति	əʃä̃ːn̪t̪iː
अशान्ति	əʃä̃ːn̪t̪iː
अशिष्टता	əʃɪʃʈt̪äː
अशुद्धि	əʃʊd̪̚d̪ʱiː
अश्लील	əʃl̪iːl̪
अश्लीलता	əʃl̪iːl̪t̪äː
अश्विनी	əʃʋɪn̪iː
अष्टकोण	əʂʈkõːɳ
असंख्य	əs̪ə̃ŋkʰjᵊ
असंगत	əs̪ə̃ŋɡət̪
असंगति	əs̪ə̃ŋɡət̪iː
असंतुष्ट	əs̪ə̃n̪t̪ʊʂʈ
असंतोष	əs̪ə̃n̪t̪oːʃ
असंतोषजनक	əs̪ə̃n̪t̪oːʃd͡ʒən̪ək
असंभव	əs̪ə̃mbʱəʋ
असंभावित	əs̪ə̃mbʱäːʋɪt̪
असंवेदनशील	əs̪ə̃mweːd̪ə̃n̪ʃiːl̪
असंवैधानिक	əs̪ə̃mwɛːd̪ʱäːn̪ɪk
असत्य	əs̪ət̪jᵊ
असत्याभास	əs̪ət̪jäːbʱäːs̪
असफल	əs̪əpʰəl̪
असफलता	əs̪əpʰəl̪t̪äː
असबाब	əs̪bäːb
असभ्य	əs̪əbʱjᵊ
असभ्यता	əs̪əbʱjət̪äː
असम	əs̪ə̃m
असमंजस	əs̪əmə̃n̪d͡ʒəs̪
असमय	əs̪əməj
असमर्थ	əs̪əməɾt̪ʰ
असमर्थता	əs̪əməɾt̪ʰt̪äː
असमान	əs̪mä̃ːn̪
असमान	əs̪əmä̃ːn̪
असमानता	əs̪əmä̃ːn̪t̪äː
असमाप्त	əs̪əmäːpt̪
असमीकरण	əs̪əmiːkəɾə̃ɳ
असम्भव	əs̪ə̃mbʱəʋ
असर	əs̪əɾ
असल	əs̪əl̪
असलियत	əs̪l̪ijət̪
असली	əs̪l̪iː
असहमत	əs̪ɛɦmət̪
असहमति	əs̪ɛɦmət̪iː
असहयोग	əs̪ɛɦjoːɡ
असहाय	əs̪ɦäːj
असहिष्णु	əs̪əɦɪʃɳuː
असहिष्णुता	əs̪əɦɪʃɳʊt̪äː
असह्य	əs̪ɛɦjᵊ
असाढ़	əs̪äːɽʱ
असाधारण	əs̪äːd̪ʱäːɾə̃ɳ
असाध्य	əs̪äːd̪ʱjᵊ
असामयिक	əs̪äːməjɪk
असामाजिक	əs̪äːmäːd͡ʒɪk
असामान्य	əs̪äːmä̃ːn̪jᵊ
असार	əs̪äːɾ
असावधान	əs̪äːʋd̪ʱä̃ːn̪
असावधानता	əs̪äːʋd̪ʱä̃ːn̪t̪äː
असिस्टेंट	əs̪ɪs̪ʈẽːɳʈ
असीम	əs̪ĩːm
असीस	əs̪iːs̪
असुंदर	əsʊ̃n̪d̪əɾ
असुरक्षित	əs̪ʊɾəkʃɪt̪
असुविधा	əs̪ʊʋɪd̪ʱäː
असुविधाजनक	əs̪ʊʋɪd̪ʱäːd͡ʒən̪ək
असेंबली	əs̪ẽːmbl̪iː
असैनिक	əs̪ɛːn̪ɪk
अस्तबल	əs̪t̪əbəl̪
अस्तर	əs̪t̪əɾ
अस्तव्यस्त	əs̪t̪wjəs̪t̪
अस्तित्व	əs̪t̪ɪt̪wᵊ
अस्थमा	əs̪t̪ʰəmäː
अस्थायी	əs̪t̪ʰäːjiː
अस्थि	əs̪t̪ʰiː
अस्थिपंजर	əs̪t̪ʰɪpə̃n̪d͡ʒəɾ
अस्थिर	əs̪t̪ʰɪɾ
अस्थिरता	əs̪t̪ʰɪɾt̪äː
अस्पताल	əs̪pət̪äːl̪
अस्पताली	əs̪pət̪äːl̪iː
अस्पष्ट	əs̪pəʂʈ
अस्पष्टता	əs̪pəʃʈət̪äː
अस्पृश्य	əs̪pɾɪʃjᵊ
अस्पृश्यता	əs̪pɾɪʃjət̪äː
अस्मिता	əs̪mɪt̪äː
अस्वस्थ	əs̪ʋəs̪t̪ʰ
अस्वस्थता	əs̪ʋəs̪t̪ʰət̪äː
अस्वाभाविक	əs̪ʋäːbʱäːʋɪk
अस्वीकार	əs̪ʋiːkäːɾ
अस्वीकृत	əs̪ʋiːkɾɪt̪
अस्वीकृति	əs̪ʋiːkɾɪt̪iː
अस्सी	əs̪s̪iː
अहं	ɛɦɛ̃
अहं	ɛɦɛ̃m
अहंकार	ɛɦɛ̃ŋkäːɾ
अहबाब	ɛɦbäːb
अहम	ɛɦɛ̃m
अहमदाबाद	ɛɦməd̪äːbäːd̪
अहमियत	ɛɦmijət̪
अहवाल	ɛɦʋäːl̪
अहसास	ɛɦs̪äːs̪
अहाता	əɦäːt̪äː
अहिंदी	əɦɪ̃n̪d̪iː
अहिंसक	əɦɪ̃n̪s̪ək
अहिंसा	əɦɪ̃n̪s̪äː
अहिंसात्मक	əɦɪ̃n̪s̪äːt̪mək
अहिच्छत्र	əɦɪt̚t͡ʃʰət̪ɾᵊ
अहिनाह	əɦɪn̪äːɦ
अहिर्बुश्न	əɦɪɾbʊʃn̪ᵊ
अहिवात	əɦɪʋäːt̪
अहिवाद	əɦɪʋäːd̪
अहेरन	əɦeːɾə̃n̪
अहोभाग्य	əɦoːbʱäːɡjᵊ
आ	äː
आँकड़ा	ä̃ːkɽäː
आँख	ä̃ːkʰ
आँगन	ä̃ːɡə̃n̪
आँगनवाड़ी	ä̃ːŋɡə̃n̪wäːɽiː
आँच	ä̃ːt͡ʃ
आँचलिक	ä̃ːt͡ʃl̪ɪk
आँत	ä̃ːt̪
आँधी	ä̃ːn̪d̪ʱiː
आँसू	ä̃ːs̪uː
आंगन	ä̃ːɡə̃n̪
आंग्ल	ä̃ːŋɡl̪ᵊ
आंत	ä̃ːn̪t̪
आंतरिक	ä̃ːn̪t̪ɾɪk
आंदोलन	ä̃ːn̪d̪oːl̪ə̃n̪
आंधी	ä̃ːn̪d̪ʱiː
आंवला	ä̃ːmwl̪äː
आंशिक	ä̃ːn̪ʃɪk
आंसू	ä̃ːn̪s̪uː
आइंदा	äːɪ̃n̪d̪äː
आइंस्टीनियम	äːɪ̃n̪s̪ʈiːn̪ijə̃m
आइज़ोल	äːɪd͡ʒoːl̪
आइज़ोल	äːɪzoːl̪
आइसक्रीम	äːɪs̪kɾĩːm
आइसलैंड	äːɪs̪l̪ɛ̃ːɳɖ
आइस्ड	äːɪs̪ɖ
आई	äːiː
आईना	aːiːnaː
आईला	äːiːl̪äː
आउट	äːʊʈ
आक	äːk
आकर्षक	äːkəɾʃək
आकर्षण	äːkəɾʃə̃ɳ
आकर्षित	äːkəɾʃɪt̪
आकर्षी	äːkəɾʃiː
आकलन	äːkəl̪ə̃n̪
आकस्मिक	äːkəs̪mɪk
आक़ा	äːkäː
आक़ा	äːqäː
आकांक्षा	äːkä̃ːkʃäː
आकांक्षी	äːkä̃ːkʃiː
आकार	äːkäːɾ
आकाश	äːkäːʃ
आकाशगंगा	äːkäːʃɡə̃ŋɡäː
आकाशवाणी	äːkäːʃʋäːɳiː
आकाशी	äːkäːʃiː
आकृत	äːkɾɪt̪
आकृति	äːkɾɪt̪iː
आकृष्ट	äːkɾɪʂʈ
आक्रमण	äːkɾəmə̃ɳ
आक्रमणकारी	äːkɾəmə̃ɳkäːɾiː
आक्रामक	äːkɾäːmək
आक्रामकता	äːkɾäːməkt̪äː
आक्रोश	äːkɾoːʃ
आक्षेप	äːkʃeːp
आखरी	äːkʰɾiː
आखरी	äːxɾiː
आख़िर	äːkʰɪɾ
आख़िर	äːxɪɾ
आख़िरकार	äːkʰɪɾkäːɾ
आख़िरकार	äːxɪɾkäːɾ
आख़िरत	äːkʰɪɾət̪
आख़िरत	äːxɪɾət̪
आख़िरी	äːkʰɪɾiː
आख़िरी	äːkʰɾiː
आख़िरी	äːxɪɾiː
आख़िरी	äːxɾiː
आखातीज	äːkʰäːt̪iːd͡ʒ
आखिर	äːkʰɪɾ
आखिर	äːxɪɾ
आखिरी	äːkʰɪɾiː
आखेट	äːkʰeːʈ
आखेटक	äːkʰeːʈək
आग	äːɡ
आगंतुक	äːɡə̃n̪t̪ʊk
आगजनी	äːɡd͡ʒən̪iː
आगज़नी	äːɡd͡ʒən̪iː
आगज़नी	äːɡzən̪iː
आगमन	äːɡəmə̃n̪
आगरा	äːɡɾäː
आग़ा	äːɡäː
आग़ा	äːɣäː
आग़ाज़	äːɡäːd͡ʒ
आग़ाज़	äːɣäːz
आग़ोश	äːɡoːʃ
आग़ोश	äːɣoːʃ
आगा	äːɡäː
आगार	äːɡäːɾ
आगाह	äːɡäːɦ
आगाही	äːɡäːɦiː
आगे	äːɡeː
आग्नेय	äːɡn̪eːj
आग्नेयास्त्र	äːɡn̪eːjäːs̪t̪ɾᵊ
आग्रह	äːɡɾəɦ
आग्रहपूर्वक	äːɡɾɛɦpuːɾʋək
आघ	äːɡʱ
आघात	äːɡʱäːt̪
आघातपूर्ण	äːɡʱäːt̪puːɾɳ
आचरण	äːt͡ʃəɾə̃ɳ
आचार	äːt͡ʃäːɾ
आचार्य	äːt͡ʃäːɾjᵊ
आछा	äːt͡ʃʰäː
आज	äːd͡ʒ
आजमाइश	äːd͡ʒmäːɪʃ
आजमाना	äːd͡ʒmäːn̪äː
आजमाना	äːzmäːn̪äː
आज़माइश	äːd͡ʒmäːɪʃ
आज़माइश	äːzmäːɪʃ
आज़माना	äːd͡ʒmäːn̪äː
आज़माना	äːzmäːn̪äː
आज़र्बैजान	äːd͡ʒəɾbɛːd͡ʒä̃ːn̪
आज़र्बैजान	äːzəɾbɛːd͡ʒä̃ːn̪
आज़ाद	äːd͡ʒäːd̪
आज़ाद	äːzäːd̪
आज़ार	äːd͡ʒäːɾ
आज़ार	äːzäːɾ
आजाद	äːd͡ʒäːd̪
आजादी	äːd͡ʒäːd̪iː
आजीवन	äːd͡ʒiːʋə̃n̪
आजीविका	äːd͡ʒiːʋɪkäː
आज्ञा	äːɡjäː
आटा	äːʈäː
आटिचोक	äːʈɪt͡ʃoːk
आठ	äːʈʰ
आठवाँ	äːʈʰʋä̃ː
आडंबर	äːɖə̃mbəɾ
आडवाणी	äːɖwäːɳiː
आड़	äːɽ
आड़ा	äːɽäː
आड़ू	äːɽuː
आण्विक	ä̃ːɳwɪk
आतंकमय	äːt̪ə̃ŋkməj
आतंकवाद	äːt̪ə̃ŋkwäːd̪
आतंकवादी	äːt̪ə̃ŋkwäːd̪iː
आतंकित	äːt̪ə̃ŋkɪt̪
आततायी	äːt̪ət̪äːjiː
आतमीयता	äːt̪miːjt̪äː
आतिश	äːt̪ɪʃ
आतिशबाज़ी	äːt̪ɪʃbäːd͡ʒiː
आतिशबाज़ी	äːt̪ɪʃbäːziː
आतिशबाजी	äːt̪ɪʃbäːd͡ʒiː
आतिशबाजी	äːt̪ɪʃbäːziː
आतुर	äːt̪ʊɾ
आतुरता	äːt̪ʊɾt̪äː
आत्मकथा	äːt̪mᵊkət̪ʰäː
आत्मघात	äːt̪məɡʱäːt̪
आत्मघाती	äːt̪məɡʱäːt̪iː
आत्मज्ञान	äːt̪məɡjä̃ːn̪
आत्मत्याग	äːt̪mət̪jäːɡ
आत्मनिंदा	äːt̪mən̪ɪ̃n̪d̪äː
आत्मनिर्णय	äːt̪mən̪ɪɾɳəj
आत्मनिर्भर	äːt̪mən̪ɪɾbʱəɾ
आत्मनिर्भरता	äːt̪mən̪ɪɾbʱəɾt̪äː
आत्मप्रशंसा	äːt̪məpɾəʃə̃n̪s̪äː
आत्मबलिदान	äːt̪məbəl̪ɪd̪ä̃ːn̪
आत्मबोध	äːt̪məboːd̪ʱ
आत्मरक्षा	äːt̪məɾəkʃäː
आत्मविश्वास	äːt̪məʋɪʃʋäːs̪
आत्मसंतोष	äːt̪məs̪ə̃n̪t̪oːʃ
आत्मसंमान	äːt̪məs̪ə̃mmä̃ːn̪
आत्मसमर्पण	äːt̪mᵊs̪əməɾpə̃ɳ
आत्मसात	äːt̪məs̪äːt̪
आत्मसात्	äːt̪məs̪äːt̪
आत्मस्तुति	äːt̪məs̪t̪ʊt̪iː
आत्महत्या	äːt̪mᵊɦət̪jäː
आत्मा	äːt̪mäː
आत्माभिमान	äːt̪mäːbʱɪmä̃ːn̪
आत्मिक	äːt̪mɪk
आत्मीय	äːt̪miːjᵊ
आत्मीयता	äːt̪miːjt̪äː
आत्मोद्धार	äːt̪moːd̪̚d̪ʱäːɾ
आदत	äːd̪ət̪
आदतन	äːd̪ət̪ə̃n̪
आदम	äːd̪ə̃m
आदमी	äːd̪miː
आदर	äːd̪əɾ
आदरणीय	äːd̪əɾɳiːjᵊ
आदरपूर्वक	äːd̪əɾpuːɾʋək
आदर्श	äːd̪əɾʃ
आदा	äːd̪äː
आदान	äːd̪ä̃ːn̪
आदाब	äːd̪äːb
आदि	äːd̪iː
आदिभाषा	äːd̪ɪbʱäːʃäː
आदिम	äːd̪ɪ̃m
आदिवासी	äːd̪ɪʋäːs̪iː
आदी	äːd̪iː
आदेश	äːd̪eːʃ
आध	äːd̪ʱ
आधा	äːd̪ʱäː
आधार	äːd̪ʱäːɾ
आधारभूत	äːd̪ʱäːɾbʱuːt̪
आधारित	äːd̪ʱäːɾɪt̪
आधिक	äːd̪ʱɪk
आधिकारिक	äːd̪ʱɪkäːɾɪk
आधिक्य	äːd̪ʱɪkjᵊ
आधिपत्य	äːd̪ʱɪpət̪jᵊ
आधुनिक	äːd̪ʱʊn̪ɪk
आधुनिकतम	äːd̪ʱʊn̪ɪkt̪ə̃m
आधुनिकता	äːd̪ʱʊn̪ɪkt̪äː
आधुनिकीकरण	äːd̪ʱʊn̪ɪkiːkəɾə̃ɳ
आध्यात्मिक	äːd̪ʱjäːt̪mɪk
आन	ä̃ːn̪
आनंद	äːn̪ə̃n̪d̪
आनंददायी	äːn̪ə̃n̪d̪d̪äːjiː
आनंदमय	äːn̪ə̃n̪d̪məj
आनन	äːn̪ə̃n̪
आनरेरी	ä̃ːn̪ɾeːɾiː
आना	äːn̪äː
आनुवंशिकी	äːn̪ʊʋə̃n̪ʃɪkiː
आन्दोलन	ä̃ːn̪d̪oːl̪ə̃n̪
आप	äːp
आपका	äːpkäː
आपत्ति	äːpət̪̚t̪iː
आपत्तिजनक	äːpət̪̚t̪iːd͡ʒən̪ək
आपदा	äːpd̪äː
आपबीती	äːp̚biːt̪iː
आपस	äːpəs̪
आपसदारी	äːpəs̪d̪äːɾiː
आपसी	äːps̪iː
आपा	äːpäː
आपात	äːpäːt̪
आपातकाल	äːpäːt̪käːl̪
आपाधापी	äːpäːd̪ʱäːpiː
आपूर्ति	äːpuːɾt̪iː
आपेक्षिक	äːpeːkʃɪk
आप्रवास	äːpɾəʋäːs̪
आप्रवासी	äːpɾəʋäːs̪iː
आफत	äːpʰət̪
आफताब	äːft̪äːb
आफताब	äːpʰt̪äːb
आफ़त	äːfət̪
आफ़त	äːpʰət̪
आफ़ताब	äːft̪äːb
आफ़ताब	äːpʰt̪äːb
आफ़रीन	äːfɾĩːn̪
आफ़रीन	äːpʰɾĩːn̪
आफ़्रीदी	äːfɾiːd̪iː
आफ़्रीदी	äːpʰɾiːd̪iː
आफिस	äːpʰɪs̪
आब	äːb
आबकारी	äːbkäːɾiː
आबदस्त	äːbd̪əs̪t̪
आबरू	äːbɾuː
आबला	äːbl̪äː
आभास	äːbʱäːs̪
आभूषण	äːbʱuːʃə̃ɳ
आम	ä̃ːm
आमंत्रण	äːmə̃n̪t̪ɾə̃ɳ
आमंत्रित	äːmə̃n̪t̪ɾɪt̪
आमदनी	äːməd̪̚n̪iː
आमवात	ä̃ːmwäːt̪
आमाशय	äːmäːʃəj
आमिक्षा	äːmɪkʃäː
आमुख	äːmʊkʰ
आय	äːj
आयत	äːjət̪
आयतन	äːjt̪ə̃n̪
आयन	äːjə̃n̪
आयरलैंड	äːjəɾl̪ɛ̃ːɳɖ
आया	äːjäː
आयात	äːjäːt̪
आयातक	äːjäːt̪ək
आयातकर्ता	äːjäːt̪kəɾt̪äː
आयाम	äːjä̃ːm
आयु	äːjuː
आयुक्त	äːjʊkt̪
आयुर्विज्ञान	äːjʊɾʋɪɡjä̃ːn̪
आयुर्वेद	äːjʊɾʋeːd̪
आयोग	äːjoːɡ
आयोजन	äːjoːd͡ʒə̃n̪
आयोजित	äːjoːd͡ʒɪt̪
आरंभिक	äːɾə̃mbʱɪk
आरक्षण	äːɾəkʃə̃ɳ
आरज़ू	äːɾd͡ʒuː
आरज़ू	äːɾzuː
आरा	äːɾäː
आराम	äːɾä̃ːm
आराम	ɑːɾɑːm
आरामगाह	äːɾä̃ːmɡäːɦ
आरामदेह	äːɾä̃ːmd̪eːɦ
आरोग्य	äːɾoːɡjᵊ
आरोप	äːɾoːp
आर्जेंटीना	äːɾd͡ʒẽːɳʈiːn̪äː
आर्थिक	äːɾt̪ʰɪk
आर्थिकी	äːɾt̪ʰɪkiː
आर्द्र	äːɾd̪ɾᵊ
आर्मीनिया	äːɾmiːn̪ijäː
आर्मेनियन	äːɾmeːn̪ijə̃n̪
आर्मेनिया	äːɾmeːn̪ijäː
आर्य	äːɾjᵊ
आर्यन	äːɾjə̃n̪
आर्यमन	äːɾjəmə̃n̪
आलपीन	äːl̪pĩːn̪
आलप्पुष़ा	äːl̪əp̚pʊɭäː
आलम	äːl̪ə̃m
आलय	äːl̪əj
आलस	äːl̪əs̪
आलसी	äːl̪s̪iː
आलस्य	äːl̪əs̪jᵊ
आला	äːl̪äː
आलिम	äːl̪ɪ̃m
आलीशान	äːl̪iːʃä̃ːn̪
आलु	äːl̪uː
आलुक	äːl̪ʊk
आलू	äːl̪uː
आलेख	äːl̪eːkʰ
आलोचना	äːl̪oːt͡ʃn̪äː
आवंटन	äːʋə̃ɳʈə̃n̪
आवंटित	äːʋə̃ɳʈɪt̪
आवक	äːʋək
आवर्त	äːʋəɾt̪
आवर्धन	äːʋəɾd̪ʱə̃n̪
आवश्यक	äːʋəʃjək
आवश्यकता	äːʋəʃjəkt̪äː
आवाज	äːʋäːd͡ʒ
आवाज	äːʋäːz
आवाज़	äːʋäːd͡ʒ
आवाज़	äːʋäːz
आवाजाही	äːʋäːd͡ʒäːɦiː
आवारा	äːʋäːɾäː
आवाहन	äːʋäːɦə̃n̪
आविष्कार	äːʋɪʃkäːɾ
आवृत्ति	äːʋɾɪt̪̚t̪iː
आवेग	äːʋeːɡ
आवेदन	äːʋeːd̪ə̃n̪
आवेदनकर्ता	äːʋeːd̪ə̃n̪kəɾt̪äː
आवेश	äːʋeːʃ
आवेशित	äːʋeːʃɪt̪
आव्यूह	äːʋjuːɦ
आशंका	äːʃə̃ŋkäː
आशना	äːʃn̪äː
आशय	äːʃəj
आशा	äːʃäː
आशावाद	äːʃäːʋäːd̪
आशिक़	äːʃɪk
आशिक़	äːʃɪq
आशिक़मिज़ाज	äːʃɪkmɪd͡ʒäːd͡ʒ
आशिक़मिज़ाज	äːʃɪqmɪzäːd͡ʒ
आशिक़ी	äːʃɪkiː
आशिक़ी	äːʃɪqiː
आशियाना	äːʃijäːn̪äː
आशिष	äːʃɪʃ
आशीर्वाद	äːʃiːɾʋäːd̪
आशुलिपि	äːʃʊl̪ɪpiː
आश्चर्य	äːʃt͡ʃəɾjᵊ
आश्रम	äːʃɾə̃m
आश्रय	äːʃɾəj
आश्वासन	äːʃʋäːs̪ə̃n̪
आश्विन	äːʃʋɪ̃n̪
आषाढ़	äːʃäːɽʱ
आस	äːs̪
आसंका	äːs̪ə̃ŋkäː
आसंद	äːs̪ə̃n̪d̪
आसक्त	äːs̪əkt̪
आसन	äːs̪ə̃n̪
आसन्द	äːs̪ə̃n̪d̪
आसन्न	äːs̪ə̃n̪n̪ᵊ
आसमान	äːs̪mä̃ːn̪
आसमानी	äːs̪mäːn̪iː
आसरा	äːs̪ɾäː
आसवन	äːs̪əʋə̃n̪
आसानी	äːs̪äːn̪iː
आसाम	äːs̪ä̃ːm
आसामी	äːs̪äːmiː
आसार	äːs̪äːɾ
आस्ति	äːs̪t̪iː
आस्तिक	äːs̪t̪ɪk
आस्तीन	äːs̪t̪ĩːn̪
आस्था	äːs̪t̪ʰäː
आह	äːɦ
आहट	äːɦəʈ
आहत	äːɦət̪
आहरण	äːɦɾə̃ɳ
आहार	äːɦäːɾ
आहिस्ता	äːɦɪs̪t̪äː
आहिस्ता	äːɪs̪t̪äː
आहुति	äːɦʊt̪iː
इंक़लाब	ɪ̃n̪kəl̪äːb
इंक़लाब	ɪ̃n̪qəl̪äːb
इंक़िलाब	ɪ̃ŋkɪl̪äːb
इंक़िलाब	ɪ̃ɴqɪl̪äːb
इंकार	ɪ̃ŋkäːɾ
इंगन	ɪ̃ŋɡə̃n̪
इंगनी	ɪ̃ŋɡn̪iː
इंगलिस्तान	ɪ̃ŋɡl̪ɪs̪t̪ä̃ːn̪
इंग्लिश	ɪ̃ŋɡl̪ɪʃ
इंग्लैंड	ɪ̃ŋɡl̪ɛ̃ːɳɖ
इंच	ɪ̃n̪t͡ʃ
इंचियोन	ɪ̃n̪t͡ʃijõːn̪
इंजन	ɪ̃n̪d͡ʒə̃n̪
इंजीनियर	ɪ̃n̪d͡ʒiːn̪ijəɾ
इंजीनियरी	ɪ̃n̪d͡ʒiːn̪ijəɾiː
इंजील	ɪ̃n̪d͡ʒiːl̪
इंटरनेट	ɪ̃ɳʈəɾn̪eːʈ
इंटरफ़ेस	ɪ̃ɳʈəɾfeːs̪
इंटरफ़ेस	ɪ̃ɳʈəɾpʰeːs̪
इंटरव्यू	ɪ̃ɳʈəɾʋjuː
इंटेल	ɪ̃ɳʈeːl̪
इंट्यूबेशन	ɪ̃ɳʈjuːbeːʃə̃n̪
इंडस्ट्री	ɪ̃ɳɖəs̪ʈɾiː
इंडिया	ɪ̃ɳɖijäː
इंडोनेशियन	ɪ̃ɳɖoːn̪eːʃijə̃n̪
इंडोनेशिया	ɪ̃ɳɖoːn̪eːʃijäː
इंतक़ाम	ɪ̃n̪t̪əkä̃ːm
इंतक़ाम	ɪ̃n̪t̪əqä̃ːm
इंतक़ाल	ɪ̃n̪t̪əkäːl̪
इंतक़ाल	ɪ̃n̪t̪əqäːl̪
इंतकाल	ɪ̃n̪t̪əkäːl̪
इंतकाल	ɪ̃n̪t̪əqäːl̪
इंतख़ाब	ɪ̃n̪t̪əkʰäːb
इंतख़ाब	ɪ̃n̪t̪əxäːb
इंतज़ाम	ɪ̃n̪t̪əd͡ʒä̃ːm
इंतज़ाम	ɪ̃n̪t̪əzä̃ːm
इंतज़ार	ɪ̃n̪t̪əd͡ʒäːɾ
इंतज़ार	ɪ̃n̪t̪əzäːɾ
इंतहा	ɪ̃n̪t̪əɦäː
