ա	ɑ
անբովանդակ	ɑnbɔvɑndɑk
անգ	ɑŋɡ
անգամ	ɑŋkʰɑm
անգեղ	ɑŋɡɛʁ
անգի	ɑŋɡi
անգինա	ɑŋɡinɑ
անգիր	ɑŋɡiɾ
անգլերեն	ɑŋɡlɛɾɛn
անգլիա	ɑŋɡljɑ
անգլիական	ɑŋɡljɑkɑn
անգլիացի	ɑŋɡljɑt͡sʰi
անգլուհի	ɑŋɡluhi
անգղ	ɑŋɡəʁ
անգմոկիո	ɑŋɡmɔkiɔ
անգյալ	ɑŋɡjɑl
անգնահատելի	ɑŋɡənɑhɑtɛli
անգոլա	ɑŋɡɔlɑ
անգործ	ɑŋɡɔɾt͡s
անգործածելի	ɑŋɡɔɾt͡sɑt͡sɛli
անգրագետ	ɑŋɡəɾɑɡɛt
անգրագետ	ɑŋɡɾɑɡɛt
անդ	ɑnd
անդադար	ɑndɑtʰɑɾ
անդամ	ɑntʰɑm
անդամալուծել	ɑntʰɑmɑlut͡sɛl
անդամալուծություն	ɑntʰɑmɑlut͡sutʰjun
անդամալուծվել	ɑntʰɑmɑlut͡svɛl
անդամալույծ	ɑntʰɑmɑlujt͡s
անդամակից	ɑntʰɑmɑkit͡sʰ
անդաստակ	ɑndɑstɑk
անդաստան	ɑndɑstɑn
անդեորդ	ɑndɛɔɾtʰ
անդեր	ɑndɛɾ
անդիորդ	ɑndijɔɾtʰ
անդյա	ɑndjɑ
անդոհական	ɑndɔhɑkɑn
անդորա	ɑndɔɾɑ
անդորր	ɑndɔɾː
անդորրա	ɑndɔɾːɑ
անդորրագիր	ɑndɔɾːɑɡiɾ
անդուլ	ɑndul
անդունդ	ɑndund
անդունդք	ɑnduntkʰ
անդրադառնալ	ɑndɾɑdɑrnɑl
անդրանիկ	ɑndɾɑnik
անդրավարտիք	ɑndɾɑvɑɾtikʰ
անդրբայկալ	ɑndəɾbɑjkɑl
անդրեաս	ɑndɾɛɑs
անդրի	ɑndɾi
անդրիասյան	ɑndɾijɑsjɑn
անդրկովկաս	ɑndəɾkɔfkɑs
անդրկովկասյան	ɑndəɾkɔfkɑsjɑn
անդրկովկասցի	ɑndəɾkɔfkɑst͡sʰi
անդրհորդանան	ɑndəɾhɔɾdɑnɑn
անդրշիրիմյան	ɑndəɾʃiɾimjɑn
անդրոմաքե	ɑndɾɔmɑkʰɛ
անդրուար	ɑndɾuɑɾ
անդրուվար	ɑndɾuvɑɾ
անդրջրհեղեղյան	ɑndəɾd͡ʒəɾhɛʁɛʁjɑn
անեզական	ɑnɛzɑkɑn
անել	ɑnɛl
անելիք	ɑnɛlikʰ
անեծք	ɑnɛt͡skʰ
անեկդոտ	ɑnɛkdɔt
աներ	ɑnɛɾ
աներկյուղ	ɑnɛɾkjuʁ
աներկյուղաբար	ɑnɛɾkjuʁɑbɑɾ
աներկյուղանալ	ɑnɛɾkjuʁɑnɑl
աներկյուղություն	ɑnɛɾkjuʁutʰjun
աներձագ	ɑnɛɾd͡zɑkʰ
աներորդի	ɑnɛɾɔɾtʰi
անզգայաբար	ɑnzɡɑjɑbɑɾ
անզգայաբար	ɑnəzɡɑjɑbɑɾ
անզգայանալ	ɑnzɡɑjɑnɑl
անզգայանալ	ɑnəzɡɑjɑnɑl
անզգայացնել	ɑnzɡɑjɑt͡sʰnɛl
անզգայացնել	ɑnəzɡɑjɑt͡sʰnɛl
անզգայացում	ɑnzɡɑjɑt͡sʰum
անզգայացում	ɑnəzɡɑjɑt͡sʰum
անզգայացուցիչ	ɑnzɡɑjɑt͡sʰut͡sʰit͡ʃʰ
անզգայացուցիչ	ɑnəzɡɑjɑt͡sʰut͡sʰit͡ʃʰ
անզգայացվել	ɑnzɡɑjɑt͡sʰvɛl
անզգայացվել	ɑnəzɡɑjɑt͡sʰvɛl
անզգայորեն	ɑnzɡɑjɔɾɛn
անզգայորեն	ɑnəzɡɑjɔɾɛn
անզգայություն	ɑnzɡɑjutʰjun
անզգայություն	ɑnəzɡɑjutʰjun
անզոր	ɑnzɔɾ
անընդհատ	ɑnəntʰhɑt
անընդհատ	ɑnəntʰɑt
անթ	ɑntʰ
անթայր	ɑntʰɑjɾ
անթառամ	ɑntʰɑrɑm
անթարշամ	ɑntʰɑɾʃɑm
անթացուպ	ɑntʰɑt͡sʰup
անթեղ	ɑntʰɛʁ
անթերի	ɑntʰɛɾi
անթրոպոմորֆիզմ	ɑntʰɾɔpɔmɔɾfizm
անժաժ	ɑnʒɑʒ
անժելա	ɑnʒɛlɑ
անժու	ɑnʒu
անժուացի	ɑnʒuɑt͡sʰi
անի	ɑni
անիծ	ɑnit͡s
անիծել	ɑnit͡sɛl
անիծյալ	ɑnit͡sjɑl
անիմաստ	ɑnimɑst
անիշխանություն	ɑniʃχɑnutʰjun
անիոն	ɑnijɔn
անիսոն	ɑnisɔn
անիվ	ɑniv
անիրավ	ɑniɾɑv
անխելք	ɑnχɛlkʰ
անխնա	ɑnχənɑ
անծանոթ	ɑnt͡sɑnɔtʰ
անկախ	ɑŋkɑχ
անկախություն	ɑŋkɑχutʰjun
անկած	ɑŋkɑt͡s
անկանել	ɑŋkɑnɛl
անկանոն	ɑŋkɑnɔn
անկաշկանդ	ɑŋkɑʃkɑnd
անկասկած	ɑŋkɑskɑt͡s
անկարա	ɑŋkɑɾɑ
անկարելի	ɑŋkɑɾɛli
անկեղծություն	ɑŋkɛχt͡sutʰjun
անկյալ	ɑŋkjɑl
անկյուն	ɑŋkjun
անկողին	ɑŋkɔʁin
անկողմնակալ	ɑŋkɔʁmnɑkɑl
անկողմնակալություն	ɑŋkɔʁmnɑkɑlutʰjun
անկոս	ɑŋkɔs
անկում	ɑŋkum
անկուշտ	ɑŋkuʃt
անկված	ɑŋkvɑt͡s
անկտի	ɑŋkəti
անհաղթ	ɑnhɑχtʰ
անհաղթելի	ɑnhɑχtʰɛli
անհամ	ɑnhɑm
անհամբեր	ɑnhɑmpʰɛɾ
անհամեստ	ɑnhɑmɛst
անհամեստորեն	ɑnhɑmɛstɔɾɛn
անհամեստություն	ɑnhɑmɛstutʰjun
անհամերաշխություն	ɑnhɑmɛɾɑʃχutʰjun
անհայտ	ɑnhɑjt
անհանգիստ	ɑnhɑŋɡist
անհանգստանալ	ɑnhɑŋɡəstɑnɑl
անհապաղ	ɑnhɑpɑʁ
անհապաղելի	ɑnhɑpɑʁɛli
անհապաղորեն	ɑnhɑpɑʁɔɾɛn
անհաջողություն	ɑnhɑd͡ʒɔʁutʰjun
անհասանելի	ɑnhɑsɑnɛli
անհավանական	ɑnhɑvɑnɑkɑn
անհավատ	ɑnhɑvɑt
անհատ	ɑnhɑt
անհատակ	ɑnhɑtɑk
անհատականություն	ɑnhɑtɑkɑnutʰjun
անհեթեթ	ɑnhɛtʰɛtʰ
անհեթեթություն	ɑnhɛtʰɛtʰutʰjun
անհեռանկարային	ɑnhɛrɑnəkɑɾɑjin
անհետ	ɑnhɛt
անհետանալ	ɑnhɛtɑnɑl
անհերքելի	ɑnhɛɾkʰɛli
անհիմն	ɑnhimən
անհնազանդ	ɑnhənɑzɑnd
անհնազանդություն	ɑnhənɑzɑndutʰjun
անհնար	ɑnhənɑɾ
անհույս	ɑnhujs
անհուն	ɑnhun
անհրաժեշտ	ɑnhəɾɑʒɛʃt
անհրաժեշտ	ɑnɾɑʒɛʃt
անհրաժեշտություն	ɑnhəɾɑʒɛʃtutʰjun
անհրաժեշտություն	ɑnɾɑʒɛʃtutʰjun
անձ	ɑnd͡z
անձամբ	ɑnd͡zɑmpʰ
անձավ	ɑnd͡zɑv
անձեռնահաս	ɑnd͡zɛrnɑhɑs
անձեռնհաս	ɑnd͡zɛrənhɑs
անձեռնոցիկ	ɑnd͡zɛrnɔt͡sʰik
անձեռոց	ɑnd͡zɛrɔt͡sʰ
անձեռոցիկ	ɑnd͡zɛrɔt͡sʰik
անձինք	ɑnd͡ziŋkʰ
անձիք	ɑnd͡zikʰ
անձնագիր	ɑnd͡znɑɡiɾ
անձնակազմ	ɑnd͡znɑkɑzm
անձնական	ɑnd͡znɑkɑn
անձնանուն	ɑnd͡znɑnun
անձնավոր	ɑnd͡znɑvɔɾ
անձնատու	ɑnd͡znɑtu
անձնատվություն	ɑnd͡znɑtəvutʰjun
անձնեղ	ɑnd͡znɛʁ
անձնյա	ɑnd͡znjɑ
անձուկ	ɑnd͡zuk
անձրեւ	ɑnd͡zɾɛv
անձրեւանոց	ɑnd͡zɾɛvɑnɔt͡sʰ
անձրեւել	ɑnd͡zɾɛvɛl
անձրուկ	ɑnd͡zɾuk
անճար	ɑnt͡ʃɑɾ
անճարակ	ɑnt͡ʃɑɾɑk
անճոռնի	ɑnt͡ʃɔrni
անմահ	ɑnmɑh
անմահություն	ɑnmɑhutʰjun
անմարդաբնակ	ɑnmɑɾtʰɑbənɑk
անմեղ	ɑnmɛʁ
անմեղություն	ɑnmɛʁutʰjun
անմեռ	ɑnmɛr
անմեռական	ɑnmɛrɑkɑn
անմիաբանություն	ɑnmijɑbɑnutʰjun
անմիջաբար	ɑnmit͡ʃʰɑbɑɾ
անմիջական	ɑnmit͡ʃʰɑkɑn
անմիջականորեն	ɑnmit͡ʃʰɑkɑnɔɾɛn
անմիջականություն	ɑnmit͡ʃʰɑkɑnutʰjun
անմիջապես	ɑnmit͡ʃʰɑpɛs
անմիջնորդաբար	ɑnmit͡ʃʰnɔɾtʰɑbɑɾ
անմիս	ɑnmis
անմիտ	ɑnmit
անմնացորդ	ɑnmənɑt͡sʰɔɾtʰ
անմոռուկ	ɑnmɔruk
աննա	ɑnːɑ
աննամուս	ɑnːɑmus
աննկուն	ɑnːəkun
աննման	ɑnːəmɑn
աննպաստ	ɑnːəpɑst
աննվաճ	ɑnːəvɑt͡ʃ
անշարժ	ɑnʃɑɾʒ
անշեն	ɑnʃɛn
անշեջ	ɑnʃɛd͡ʒ
անշշուկ	ɑnʃəʃuk
անշուշտ	ɑnʃuʃt
անշուք	ɑnʃukʰ
անշրջելի	ɑnʃəɾd͡ʒɛli
անոդ	ɑnɔd
անոթ	ɑnɔtʰ
անոթի	ɑnɔtʰi
անոնք	ɑnɔŋkʰ
անորոշ	ɑnɔɾɔʃ
անորոշաբար	ɑnɔɾɔʃɑbɑɾ
անորոշակի	ɑnɔɾɔʃɑki
անորոշանալ	ɑnɔɾɔʃɑnɑl
անորոշելի	ɑnɔɾɔʃɛli
անորոշություն	ɑnɔɾɔʃutʰjun
անութ	ɑnutʰ
անույշ	ɑnujʃ
անուն	ɑnun
անուշ	ɑnuʃ
անուշաբույր	ɑnuʃɑbujɾ
անուշակ	ɑnuʃɑk
անուշահոտություն	ɑnuʃɑhɔtutʰjun
անուշապուր	ɑnuʃɑpuɾ
անուշավան	ɑnuʃɑvɑn
անուր	ɑnuɾ
անուրջ	ɑnuɾd͡ʒ
անպայման	ɑnpɑjmɑn
անպատասխանատու	ɑnpɑtɑsχɑnɑtu
անպատեհ	ɑnpɑtɛh
անպատրաստ	ɑnpɑtɾɑst
անպիտան	ɑnpitɑn
անջատ	ɑnd͡ʒɑt
անջատել	ɑnd͡ʒɑtɛl
անջրդի	ɑnd͡ʒəɾtʰi
անջրպետ	ɑnd͡ʒəɾpɛt
անսասան	ɑnsɑsɑn
անսովոր	ɑnsɔvɔɾ
անսպառ	ɑnspɑr
անսպասելիություն	ɑnspɑsɛliutʰjun
անսվաղ	ɑnsəvɑʁ
անվադող	ɑnvɑdɔʁ
անվախ	ɑnvɑχ
անվայել	ɑnvɑjɛl
անվանել	ɑnvɑnɛl
անվանի	ɑnvɑni
անվասայլակ	ɑnvɑsɑjlɑk
անվավեր	ɑnvɑvɛɾ
անվճար	ɑnvət͡ʃɑɾ
անվճռական	ɑnvət͡ʃrɑkɑn
անվճռականորեն	ɑnvət͡ʃrɑkɑnɔɾɛn
անվճռականություն	ɑnvət͡ʃrɑkɑnutʰjun
անվտանգ	ɑnvətɑŋɡ
անվտանգության	ɑnvətɑŋɡutʰjɑn
անվտանգություն	ɑnvətɑŋɡutʰjun
անվրդով	ɑnvəɾtʰɔv
անտանանարիվու	ɑntɑnɑnɑɾivu
անտանելի	ɑntɑnɛli
անտառ	ɑntɑr
անտառային	ɑntɑrɑjin
անտարբերություն	ɑntɑɾbɛɾutʰjun
անտարկտիկա	ɑntɑɾktikɑ
անտեղյակ	ɑntɛʁjɑk
անտեր	ɑntɛɾ
անտերունչ	ɑntɛɾunt͡ʃʰ
անտի	ɑnti
անտիգոնե	ɑntiɡɔnɛ
անտիկ	ɑntik
անտիոք	ɑntiɔkʰ
անտիոքացի	ɑntiɔkʰɑt͡sʰi
անտիոքյան	ɑntiɔkʰjɑn
անտիոքոս	ɑntiɔkʰɔs
անտիպ	ɑntip
անտիսթենես	ɑntistʰɛnɛs
անտիտավրոս	ɑntitɑvɾɔs
անտիրական	ɑntiɾɑkɑn
անտիցիկլոն	ɑntit͡sʰiklɔn
անտոնի	ɑntɔni
անտոնիոս	ɑntɔnjɔs
անտուն	ɑntun
անրադառնալ	ɑnɾɑdɑrnɑl
անրակ	ɑnɾɑk
անրջային	ɑnəɾd͡ʒɑjin
անց	ɑnt͡sʰ
անցած	ɑnt͡sʰɑt͡s
անցկացնել	ɑnt͡sʰkɑt͡sʰnɛl
անցյալ	ɑnt͡sʰjɑl
անցնել	ɑnt͡sʰnɛl
անցողական	ɑnt͡sʰɔʁɑkɑn
անցում	ɑnt͡sʰum
անցք	ɑnt͡sʰkʰ
անփողկապ	ɑnpʰɔχkɑp
անփույթ	ɑnpʰujtʰ
անքաղաքավարություն	ɑŋkʰɑʁɑkʰɑvɑɾutʰjun
անօգ	ɑnɔkʰ
անօգնական	ɑnɔkʰnɑkɑn
անօգուտ	ɑnɔkʰut
անօդաչու	ɑnɔtʰɑt͡ʃʰu
անօթեւան	ɑnɔtʰɛvɑn
աշակերտ	ɑʃɑkɛɾt
աշակերտուհի	ɑʃɑkɛɾtuhi
աշգաբատ	ɑʃɡɑbɑt
աշխաբադ	ɑʃχɑbɑd
աշխատակազմ	ɑʃχɑtɑkɑzm
աշխատակից	ɑʃχɑtɑkit͡sʰ
աշխատանք	ɑʃχɑtɑŋkʰ
աշխատասեր	ɑʃχɑtɑsɛɾ
աշխատավարձ	ɑʃχɑtɑvɑɾt͡sʰ
աշխատել	ɑʃχɑtɛl
աշխատող	ɑʃχɑtɔʁ
աշխարհ	ɑʃχɑɾ
աշխարհաբար	ɑʃχɑɾɑbɑɾ
աշխարհագրական	ɑʃχɑɾɑɡɾɑkɑn
աշխարհագրություն	ɑʃχɑɾɑɡɾutʰjun
աշխարհակալ	ɑʃχɑɾɑkɑl
աշխարհահայացք	ɑʃχɑɾɑhɑjɑt͡sʰkʰ
աշխարհահռչակ	ɑʃχɑɾɑhərt͡ʃʰɑk
աշխարհամաս	ɑʃχɑɾɑmɑs
աշխարհայացք	ɑʃχɑɾhɑjɑt͡sʰkʰ
աշխարհային	ɑʃχɑɾɑjin
աշխարհաքաղաքական	ɑʃχɑɾɑkʰɑʁɑkʰɑkɑn
աշխարհաքաղաքացի	ɑʃχɑɾɑkʰɑʁɑkʰɑt͡sʰi
աշխեն	ɑʃχɛn
աշխույժ	ɑʃχujʒ
աշկարա	ɑʃkɑɾɑ
աշոտ	ɑʃɔt
աշոտյան	ɑʃɔtjɑn
աշորա	ɑʃɔɾɑ
աշուղ	ɑʃuʁ
աշուն	ɑʃun
աշտանակ	ɑʃtɑnɑk
աշտարակ	ɑʃtɑɾɑk
աշտե	ɑʃtɛ
աշտուճ	ɑʃtut͡ʃ
աուդիտոր	ɑuditɔɾ
աութսորսինգ	ɑutʰsɔɾsiŋɡ
աուլիս	ɑulis
աչ	ɑt͡ʃʰ
աչալուրջ	ɑt͡ʃʰɑluɾd͡ʒ
աչեղ	ɑt͡ʃʰɛʁ
աչիկ	ɑt͡ʃʰik
աչք	ɑt͡ʃʰkʰ
աչքաթող	ɑt͡ʃʰkʰɑtʰɔʁ
աչքածակ	ɑt͡ʃʰkʰɑt͡sɑk
ապա	ɑpɑ
ապաբախտ	ɑpɑbɑχt
ապագա	ɑpɑɡɑ
ապաթարց	ɑpɑtʰɑɾt͡sʰ
ապակառուցողական	ɑpɑkɑrut͡sʰɔʁɑkɑn
ապակատար	ɑpɑkɑtɑɾ
ապակի	ɑpɑki
ապահարզան	ɑpɑhɑɾzɑn
ապահով	ɑpɑhɔv
ապահովագրություն	ɑpɑhɔvɑɡɾutʰjun
ապահովագրում	ɑpɑhɔvɑɡɾum
ապահովանալ	ɑpɑhɔvɑnɑl
ապահովացնել	ɑpɑhɔvɑt͡sʰnɛl
ապահովել	ɑpɑhɔvɛl
ապահովեցնել	ɑpɑhɔvɛt͡sʰnɛl
ապահովություն	ɑpɑhɔvutʰjun
ապահովում	ɑpɑhɔvum
ապահովվել	ɑpɑhɔvːɛl
ապամեա	ɑpɑmɛɑ
ապաշխարել	ɑpɑʃχɑɾɛl
ապաշրջափակել	ɑpɑʃəɾd͡ʒɑpʰɑkɛl
ապաշրջափակում	ɑpɑʃəɾd͡ʒɑpʰɑkum
ապառաժ	ɑpɑrɑʒ
ապառնի	ɑpɑrni
ապառք	ɑpɑrkʰ
ապաստան	ɑpɑstɑn
ապավեն	ɑpɑvɛn
ապավինել	ɑpɑvinɛl
ապատ	ɑpɑt
ապար	ɑpɑɾ
ապարան	ɑpɑɾɑn
ապարանջան	ɑpɑɾɑnd͡ʒɑn
ապարանցի	ɑpɑɾɑnt͡sʰi
ապարանք	ɑpɑɾɑŋkʰ
ապարատ	ɑpɑɾɑt
ապարոշ	ɑpɑɾɔʃ
ապացույց	ɑpɑt͡sʰujt͡sʰ
ապացուցանել	ɑpɑt͡sʰut͡sʰɑnɛl
ապացուցել	ɑpɑt͡sʰut͡sʰɛl
ապացուցում	ɑpɑt͡sʰut͡sʰum
ապացուցվել	ɑpɑt͡sʰut͡sʰvɛl
ապաքեն	ɑpɑkʰɛn
ապաքինել	ɑpɑkʰinɛl
ապե	ɑpɛ
ապենինյան	ɑpɛninjɑn
ապենիններ	ɑpɛninːɛɾ
ապեր	ɑpɛɾ
ապերախտ	ɑpɛɾɑχt
ապերախտություն	ɑpɛɾɑχtutʰjun
ապերջանիկ	ɑpɛɾd͡ʒɑnik
ապիկ	ɑpik
ապիկար	ɑpikɑɾ
ապիկի	ɑpiki
ապիրատ	ɑpiɾɑt
ապհ	ɑpəhə
ապշել	ɑpʃɛl
ապոլլոն	ɑpɔlɔn
ապոլոնիա	ɑpɔlɔnjɑ
ապուլիա	ɑpuljɑ
ապուխտ	ɑpuχt
ապուշ	ɑpuʃ
ապուր	ɑpuɾ
ապպիանոս	ɑpːijɑnɔs
ապպիոս	ɑpːijɔs
ապսպրել	ɑpəspɾɛl
ապստամբ	ɑpstɑmb
ապստամբ	ɑpəstɑmb
ապստամբել	ɑpəstɑmbɛl
ապստամբություն	ɑpəstɑmbutʰjun
ապտակ	ɑptɑk
ապտակել	ɑptɑkɛl
ապրանք	ɑpɾɑŋkʰ
ապրանքագիր	ɑpɾɑŋkʰɑɡiɾ
ապրել	ɑpɾɛl
ապրես	ɑpɾɛs
ապրեսյան	ɑpɾɛsjɑn
ապրիլ	ɑpɾil
ապրիլյան	ɑpɾiljɑn
ապրշում	ɑpəɾʃum
ապրուստ	ɑpɾust
ապօրինի	ɑpɔɾini
աջ	ɑt͡ʃʰ
աջաբ	ɑd͡ʒɑb
աջաբսանդալ	ɑd͡ʒɑpʰsɑndɑl
աջակցել	ɑt͡ʃʰɑkt͡sʰɛl
աջարական	ɑd͡ʒɑɾɑkɑn
աջարացի	ɑd͡ʒɑɾɑt͡sʰi
աջարիա	ɑd͡ʒɑɾjɑ
աջափսանդալ	ɑd͡ʒɑpʰsɑndɑl
աջլիկ	ɑt͡ʃʰlik
աջող	ɑd͡ʒɔʁ
առ	ɑr
առագաստ	ɑrɑɡɑst
առագաստանավ	ɑrɑɡɑstɑnɑv
առած	ɑrɑt͡s
առակ	ɑrɑk
առակախոս	ɑrɑkɑχɔs
առայժմ	ɑrɑjʒəm
առանձին	ɑrɑnd͡zin
առանձնյակ	ɑrɑnd͡znjɑk
առանց	ɑrɑnt͡sʰ
առանցք	ɑrɑnt͡sʰkʰ
առանցքային	ɑrɑnt͡sʰkʰɑjin
առապար	ɑrɑpɑɾ
առաջ	ɑrɑt͡ʃʰ
առաջաբան	ɑrɑt͡ʃʰɑbɑn
առաջադեմ	ɑrɑt͡ʃʰɑdɛm
առաջադիմական	ɑrɑt͡ʃʰɑdimɑkɑn
առաջադիմել	ɑrɑt͡ʃʰɑdimɛl
առաջադիմություն	ɑrɑt͡ʃʰɑdimutʰjun
առաջադիմում	ɑrɑt͡ʃʰɑdimum
առաջադրանք	ɑrɑt͡ʃʰɑdɾɑŋkʰ
առաջավոր	ɑrɑt͡ʃʰɑvɔɾ
առաջավորասիական	ɑrɑt͡ʃʰɑvɔɾɑsjɑkɑn
առաջատար	ɑrɑt͡ʃʰɑtɑɾ
առաջարկ	ɑrɑt͡ʃʰɑɾk
առաջարկել	ɑrɑt͡ʃʰɑɾkɛl
առաջարկություն	ɑrɑt͡ʃʰɑɾkutʰjun
առաջացում	ɑrɑt͡ʃʰɑt͡sʰum
առաջընթաց	ɑrɑt͡ʃʰəntʰɑt͡sʰ
առաջիկա	ɑrɑt͡ʃʰikɑ
առաջին	ɑrɑt͡ʃʰin
առաջնային	ɑrɑt͡ʃʰnɑjin
առաջնեկ	ɑrɑt͡ʃʰnɛk
առաջնորդ	ɑrɑt͡ʃʰnɔɾtʰ
առաջնորդել	ɑrɑt͡ʃʰnɔɾtʰɛl
առաջնություն	ɑrɑt͡ʃʰnutʰjun
առասան	ɑrɑsɑn
առասպել	ɑrɑspɛl
առաստաղ	ɑrɑstɑʁ
առավել	ɑrɑvɛl
առավելագույն	ɑrɑvɛlɑɡujn
առավելություն	ɑrɑvɛlutʰjun
առավոտ	ɑrɑvɔt
առավոտադեմ	ɑrɑvɔtɑdɛm
առավոտականչ	ɑrɑvɔtɑkɑnt͡ʃʰ
առավոտանալ	ɑrɑvɔtɑnɑl
առավոտանց	ɑrɑvɔtɑnt͡sʰ
առավոտյան	ɑrɑvɔtjɑn
առատ	ɑrɑt
առատության	ɑrɑtutʰjɑn
առատություն	ɑrɑtutʰjun
առատուկ	ɑrɑtuk
առարկա	ɑrɑɾkɑ
առարկայություն	ɑrɑɾkɑjutʰjun
առաքել	ɑrɑkʰɛl
առաքելյան	ɑrɑkʰɛljɑn
առաքելություն	ɑrɑkʰɛlutʰjun
առաքինաբար	ɑrɑkʰinɑbɑɾ
առաքինի	ɑrɑkʰini
առաքինություն	ɑrɑkʰinutʰjun
առաքյալ	ɑrɑkʰjɑl
առաքում	ɑrɑkʰum
առեղ	ɑrɛʁ
առեղծված	ɑrɛχt͡svɑt͡s
առերես	ɑrɛɾɛs
առերեսել	ɑrɛɾɛsɛl
առերեսում	ɑrɛɾɛsum
առերեսվել	ɑrɛɾɛsvɛl
առեւանգել	ɑrɛvɑŋɡɛl
առեւանգում	ɑrɛvɑŋɡum
առեւտուր	ɑrɛftuɾ
առեւտրային	ɑrɛftɾɑjin
առզել	ɑrzɛl
առէջ	ɑrɛt͡ʃʰ
առէջք	ɑrɛt͡ʃʰkʰ
առթիվ	ɑrtʰiv
առիթ	ɑritʰ
առինջ	ɑrind͡ʒ
առիք	ɑrikʰ
առլյուծ	ɑrljut͡s
առկա	ɑrkɑ
առկախ	ɑrkɑχ
առկախել	ɑrkɑχɛl
առկախուկ	ɑrkɑχuk
առկախվել	ɑrkɑχvɛl
առկայծ	ɑrkɑjt͡s
առկայծել	ɑrkɑjt͡sɛl
առկայծում	ɑrkɑjt͡sum
առկայծուն	ɑrkɑjt͡sun
առկայծվել	ɑrkɑjt͡svɛl
առկայություն	ɑrkɑjutʰjun
առկայուն	ɑrkɑjun
առհավատչեք	ɑrhɑvɑtt͡ʃʰɛkʰ
առհավատչյա	ɑrhɑvɑtt͡ʃʰjɑ
առհարյուր	ɑrhɑɾjuɾ
առձեռն	ɑrd͡zɛrən
առյուծ	ɑrjut͡s
առն	ɑrən
առնական	ɑrnɑkɑn
առնանդամ	ɑrnɑntʰɑm
առնել	ɑrnɛl
առնետ	ɑrnɛt
առնետավազք	ɑrnɛtɑvɑskʰ
առնմանություն	ɑrnəmɑnutʰjun
առնո	ɑrnɔ
առնչություն	ɑrənt͡ʃʰutʰjun
առնվազն	ɑrnəvɑzn
առշերտ	ɑrʃɛɾt
առոգանել	ɑrɔɡɑnɛl
առոգանություն	ɑrɔɡɑnutʰjun
առոգել	ɑrɔkʰɛl
առոգել	ɑrɔɡɛl
առողջ	ɑrɔχt͡ʃʰ
առողջանալ	ɑrɔχt͡ʃʰɑnɑl
առողջարան	ɑrɔχt͡ʃʰɑɾɑn
առողջարար	ɑrɔχt͡ʃʰɑɾɑɾ
առողջացնել	ɑrɔχt͡ʃʰɑt͡sʰnɛl
առողջություն	ɑrɔχt͡ʃʰutʰjun
առորմի	ɑrɔɾmi
առու	ɑru
առումիներեն	ɑruminɛɾɛn
առույգ	ɑrujɡ
առուշանյան	ɑruʃɑnjɑn
առջեւ	ɑrt͡ʃʰɛv
առվույտ	ɑrvujt
առտու	ɑrtu
ասած	ɑsɑt͡s
ասատուր	ɑsɑtuɾ
ասատրյան	ɑsɑtəɾjɑn
ասացվածք	ɑsɑt͡sʰvɑt͡skʰ
ասել	ɑsɛl
ասեղ	ɑsɛʁ
ասիա	ɑsjɑ
ասիական	ɑsjɑkɑn
ասլանյան	ɑslɑnjɑn
ասկալոն	ɑskɑlɔn
ասկանիոս	ɑskɑnijɔs
ասկետիզմ	ɑskɛtizm
ասմարա	ɑsmɑɾɑ
ասմերա	ɑsmɛɾɑ
ասորեստան	ɑsɔɾɛstɑn
ասորերեն	ɑsɔɾɛɾɛn
ասորի	ɑsɔɾi
ասորիք	ɑsɔɾikʰ
ասոցացնել	ɑsɔt͡sʰɑt͡sʰnɛl
ասոցիացիա	ɑsɔt͡sʰjɑt͡sʰjɑ
ասուլիս	ɑsulis
ասուն	ɑsun
ասուպ	ɑsup
ասուրերեն	ɑsuɾɛɾɛn
ասպազեն	ɑspɑzɛn
ասպազենք	ɑspɑzɛŋkʰ
ասպականի	ɑspɑkɑni
ասպահան	ɑspɑhɑn
ասպանդակ	ɑspɑndɑk
ասպաստան	ɑspɑstɑn
ասպատակ	ɑspɑtɑk
ասպար	ɑspɑɾ
ասպարեզ	ɑspɑɾɛz
ասպետ	ɑspɛt
ասպետական	ɑspɛtɑkɑn
ասպիրանտ	ɑspiɾɑnt
ասպնջական	ɑspənd͡ʒɑkɑn
ասսամ	ɑsːɑm
ասսամի	ɑsːɑmi
ասվեղ	ɑsvɛʁ
ասվի	ɑsvi
ասվյա	ɑsvjɑ
աստանա	ɑstɑnɑ
աստատ	ɑstɑt
աստեղաբան	ɑstɛʁɑbɑn
աստեղաբանություն	ɑstɛʁɑbɑnutʰjun
աստերոիդ	ɑstɛɾɔid
աստիճան	ɑstit͡ʃɑn
աստիճանավոր	ɑstit͡ʃɑnɑvɔɾ
աստիճաններ	ɑstit͡ʃɑnːɛɾ
աստղ	ɑstəʁ
աստղաբան	ɑstʁɑbɑn
աստղաբաշխություն	ɑstʁɑbɑʃχutʰjun
աստղաբույլ	ɑstʁɑbujl
աստղագիտություն	ɑstʁɑɡitutʰjun
աստղագնաց	ɑstʁɑɡənɑt͡sʰ
աստղագուշակություն	ɑstʁɑɡuʃɑkutʰjun
աստղադիտակ	ɑstʁɑditɑk
աստղադիտարան	ɑstʁɑditɑɾɑn
աստղակերպ	ɑstʁɑkɛɾp
աստղանման	ɑstʁɑnəmɑn
աստղաֆիզիկա	ɑstʁɑfizikɑ
