guztientzako	ɡus̻tˈient͡s̻akˌo
sareari	s̺aɾˈeaɾˌi
bolbora	bolβˈoɾˌa
hainbeste	a͡ɪnbˈes̺tˌe
konfigurazioa	konfˈiɣuɾas̻ioˌa
iturburua	itˈuɾβuɾuˌa
hornitutako	oɾnˈitutakˌo
txikitik	t͡ʃikˈitˌik
Jokaera	ɟokˈaeɾˌa
gurdia	ɡuɾðˈiˌa
adiskidetasunak	aðˈis̺kiðetas̺unˌak
debekuak	deβˈekuˌak
eskua	es̺kˈuˌa
banatua	banˈatuˌa
kaleen	kalˈeˌen
Juliana	xuljˈana
krisiari	kɾis̺ˈiaɾˌi
Izenburua	is̻ˈenbuɾuˌa
elkarren	elkˈarˌen
ikuslea	ikˈus̺leˌa
Holandako	olˈandakˌo
eratara	eɾˈataɾˌa
ohi	ˈoi
programazio	pɾoɣɾˈamas̻iˌo
deuseztu	de͡ʊs̺ˈes̻tˌu
kurduak	kuɾðˈuˌak
eran	eɾˈan
Matematikoki	matˈematikokˌi
zapatagintza	s̻apˈataɣint͡s̻ˌa
Guraso	ɡuɾˈas̺ˌo
koloreko	kolˈoɾekˌo
salduko	s̺alðˈukˌo
Orreagako	orˈeaɣakˌo
trebatu	tɾeβˈatˌu
alemaniarrek	alˈemaniarˌek
biluzia	biʎˈus̻iˌa
objektuei	obɟˈektuˌe͡ɪ
zorrotzagoak	s̻orˈot͡s̻aɣoˌak
arloa	aɾlˈoˌa
gizonaren	ɡis̻ˈonaɾˌen
berezitasuna	beɾˈes̻itas̺unˌa
lodia	loðˈiˌa
Hauek	ˈa͡ʊek
Haro	ˈaɾo
likidoa	likˈiðoˌa
Gobernuaren	ɡoβˈeɾnuaɾˌen
Pila	pˈiʎa
orokorren	oɾˈokorˌen
Batuan	batˈuˌan
auzora	a͡ʊs̻ˈoɾˌa
organoak	oɾɣˈanoˌak
Euskadi	e͡ʊs̺kˈaðˌi
biltzea	bilt͡s̻ˈeˌa
lengoaia	lenɡˈoa͡ɪˌa
itsatsi	it͡s̺ˈat͡s̺ˌi
espezifiko	es̺pˈes̻ifikˌo
harritsua	arˈit͡s̺uˌa
Martxoaren	maɾt͡ʃˈoaɾˌen
hitzaldi	it͡s̻ˈalðˌi
ikaragarrizko	ikˈaɾaɣaris̻kˌo
lekuan	lekˈuˌan
zigorrik	s̻iɣˈorˌik
Taldearen	talðˈeaɾˌen
Enperadorearen	enpˈeɾaðoɾeaɾˌen
Zerbitzu	s̻eɾβˈit͡s̻ˌu
ziurtatu	s̻iˈuɾtatˌu
Telebistak	telˈeβis̺tˌak
loturan	lotˈuɾˌan
metodoa	metˈoðoˌa
faxista	faʃˈis̺tˌa
zehaztea	s̻eˈas̻teˌa
adarretatik	aðˈaretatˌik
Cassibile	kas̺s̺ˈiβiʎˌe
Izar	is̻ˈaɾ
ingurunea	inɡˈuɾuneˌa
Inperioko	inpˈeɾiokˌo
sendotasuna	s̺endˈotas̺unˌa
Bergara	beɾɣˈaɾˌa
erreakzioak	erˈeaks̻ioˌak
Indigenen	indˈiɣenˌen
ikasita	ikˈas̺itˌa
gehiegirik	ɡe͡ɪˈeɣiɾˌik
libratzeko	liβɾˈat͡s̻ekˌo
epe	ˈepe
Figura	fiɣˈuɾˌa
osagaien	os̺ˈaɣa͡ɪˌen
KO	ko
gordinik	ɡoɾðˈiɲˌik
motela	motˈelˌa
sindikal	s̺indˈikˌal
mendekatu	mendˈekatˌu
sarrerako	s̺arˈeɾakˌo
Oihuka	o͡ɪˈukˌa
Nagusiek	naɣˈus̺iˌek
Seinale	s̺e͡ɪɲˈalˌe
Hotza	ˈot͡s̻a
kritikoen	kɾitˈikoˌen
orokorra	oɾˈokorˌa
basatietan	bas̺ˈatietˌan
Carol	kaɾˈol
kostu	kˈos̺tu
funtsik	funt͡s̺ˈik
Eskailera	es̺kˈa͡ɪʎeɾˌa
Bergarako	beɾɣˈaɾakˌo
lotuz	lotˈus̻
definitu	defˈiɲitˌu
hoteleko	otˈelekˌo
galtze	ɡˈalt͡s̻e
erreserbak	erˈes̺eɾβˌak
Burdinazko	buɾðˈiɲas̻kˌo
antibiotikoak	antˈiβiotikoˌak
zeremoniak	s̻eɾˈemoniˌak
pertsonatik	peɾt͡s̺ˈonatˌik
gehieneko	ɡe͡ɪˈenekˌo
harkaitzen	aɾkˈa͡ɪt͡s̻ˌen
Rugby	rˈuɡβjj
itxia	it͡ʃˈiˌa
liratekeela	liɾˈatekeelˌa
Digital	diɣˈitˌal
FC	ˌefes̻ˈe
Uda	ˈuða
pasatzerakoan	pas̺ˈat͡s̻eɾakoˌan
jendearekin	ɟendˈeaɾekˌin
lekukotasunak	lekˈukotas̺unˌak
Line	lˈiɲe
onespena	onˈes̺penˌa
uharterik	uˈaɾteɾˌik
furgoneta	fuɾɣˈonetˌa
sinplifikatzeko	s̺inplˈifikat͡s̻ekˌo
enbrioi	enbɾˈiˌo͡ɪ
jokoen	ɟokˈoˌen
ontzia	ont͡s̻ˈiˌa
krimenaren	kɾimˈenaɾˌen
estela	es̺tˈelˌa
obligazioak	oβlˈiɣas̻ioˌak
Tenplu	tˈenplu
altuenak	altˈuenˌak
ziklo	s̻ˈiklo
Irujo	iɾˈujˌo
guruinak	ɡuɾˈuiɲˌak
hutsarte	ut͡s̺ˈaɾtˌe
esnekiak	es̺nˈekiˌak
badaiteke	baðˈa͡ɪtekˌe
ikuspegiak	ikˈus̺peɣiˌak
PP	pˌepˈe
neskalaguna	nes̺kˈalaɣunˌa
Zubi	s̻ˈuβi
karratuaren	karˈatuaɾˌen
orria	orˈiˌa
greban	ɡɾeβˈan
konputazio	konpˈutas̻iˌo
erreaktiboak	erˈeaktiβoˌak
sentipena	s̺entˈipenˌa
lurretik	lurˈetˌik
eszenatokia	es̺s̻ˈenatokiˌa
pareta	paɾˈetˌa
Sailaren	s̺a͡ɪʎˈaɾˌen
hartan	aɾtˈan
kolaboratzailea	kolˈaβoɾat͡s̻a͡ɪʎeˌa
gaiekin	ɡa͡ɪˈekˌin
enparantza	enpˈaɾant͡s̻ˌa
hitzeman	it͡s̻ˈemˌan
kondenatuak	kondˈenatuˌak
Bizkaian	bis̻kˈa͡ɪˌan
detekta	detˈektˌa
Egunkaria	eɣˈunkaɾiˌa
nafar	nafˈaɾ
Industriak	indˈus̺tɾiˌak
Umorea	umˈoɾeˌa
hedatuko	eðˈatukˌo
bikingoen	bikˈinɡoˌen
bazterreko	bas̻tˈerekˌo
besoan	bes̺ˈoˌan
agerpena	aɣˈeɾpenˌa
biltzen	bilt͡s̻ˈen
Islandiako	is̺lˈandiakˌo
periodikoan	peɾˈioðikoˌan
aginduz	aɣˈindˌus̻
goardia	ɡoˈaɾðiˌa
lehenengoan	leˈenenɡoˌan
atmosferikoa	atmˈos̺feɾikoˌa
Health	eˈalt
pinu	pˈiɲu
ganberako	ɡanbˈeɾakˌo
zaharkituta	s̻aˈaɾkitutˌa
sentimentala	s̺entˈimentalˌa
elkartuta	elkˈaɾtutˌa
pertsonen	peɾt͡s̺ˈonˌen
luke	lˈuke
lasterketa	las̺tˈeɾketˌa
erroldaren	erˈolðaɾˌen
udalari	uðˈalaɾˌi
etekin	etˈekˌin
gutun	ɡutˈun
arrokaren	arˈokaɾˌen
ingurumenean	inɡˈuɾumeneˌan
Berezitasun	beɾˈes̻itas̺ˌun
bitar	bitˈaɾ
Hantxe	ˈant͡ʃe
diegu	diˈeɣˌu
berberean	beɾβˈeɾeˌan
Batzarrak	bat͡s̻ˈarˌak
maitemindurik	ma͡ɪtˈeminduɾˌik
Komiki	komˈikˌi
erasotua	eɾˈas̺otuˌa
zaharrak	s̻aˈarˌak
entrenatzeko	entɾˈenat͡s̻ekˌo
poliziarekin	polˈis̻iaɾekˌin
abeslariak	aβˈes̺laɾiˌak
mendizale	mendˈis̻alˌe
ohikoenetako	oˈikoenetakˌo
Ayala	ajjˈalˌa
garrantziaren	ɡarˈant͡s̻iaɾˌen
ezagunetariko	es̻ˈaɣunetaɾikˌo
kautxua	ka͡ʊt͡ʃˈuˌa
hamarkadetako	amˈaɾkaðetakˌo
Elkarrekintza	elkˈarekint͡s̻ˌa
Atenasko	atˈenas̺kˌo
deformazioa	defˈoɾmas̻ioˌa
Revue	reβˈuˌe
Zaldi	s̻ˈalði
beltzekin	belt͡s̻ˈekˌin
ligako	liɣˈakˌo
entrenatzen	entɾˈenat͡s̻ˌen
errutina	erˈutiɲˌa
berrian	berˈiˌan
baitzitzaien	ba͡ɪt͡s̻ˈit͡s̻a͡ɪˌen
Hildakoen	ilðˈakoˌen
McDonald	ˌemes̻ˈeðonˈald
landarediaren	landˈaɾeðiaɾˌen
Patxi	pˈat͡ʃi
maila	mˈa͡ɪʎa
sortzean	s̺oɾt͡s̻ˈeˌan
zitezkeenak	s̻itˈes̻keenˌak
gehienezko	ɡe͡ɪˈenes̻kˌo
patua	pˈatuˌa
bera	bˈeɾa
balioztatu	balˈios̻tatˌu
zero	s̻ˈeɾo
esferiko	es̺fˈeɾikˌo
lekualdatzen	lekˈualðat͡s̻ˌen
Trenbideak	tɾenbˈiðeˌak
Cartagenako	kaɾtˈaɣenakˌo
ospetsuaren	os̺pˈet͡s̺uaɾˌen
simulazio	s̺imˈulas̻iˌo
Remo	rˈemo
hurbilen	uɾβˈiʎˌen
jantzietan	ɟant͡s̻ˈietˌan
axola	aʃˈolˌa
joango	ɟoˈanɡˌo
auto	ˈa͡ʊto
mugitzean	muɣˈit͡s̻eˌan
harresian	arˈes̺iˌan
Kanpo	kˈanpo
Lengoaia	lenɡˈoa͡ɪˌa
baldin	balðˈin
Beti	bˈeti
egonkor	eɣˈonkˌoɾ
demografikoa	demˈoɣɾafikoˌa
goretsi	ɡoɾˈet͡s̺ˌi
Deuna	dˈe͡ʊna
aipatzekoak	a͡ɪpˈat͡s̻ekoˌak
iraultzak	iɾˈa͡ʊlt͡s̻ˌak
originalean	oɾˈiɣiɲaleˌan
kontserbazio	kont͡s̺ˈeɾβas̻iˌo
zurezkoa	s̻uɾˈes̻koˌa
gauzaren	ɡa͡ʊs̻ˈaɾˌen
estreinatu	es̺tɾˈe͡ɪɲatˌu
andereño	andˈeɾeɲˌo
Gerra	ɡˈera
angina	anɡˈiɲˌa
maillot	ma͡ɪʎˈot
Borrokan	borˈokˌan
Gose	ɡˈos̺e
domeinua	domˈe͡ɪɲuˌa
orduetan	oɾðˈuetˌan
eurek	e͡ʊɾˈek
Errealitatean	erˈealitateˌan
kongresu	konɡɾˈes̺ˌu
pasabide	pas̺ˈaβiðˌe
tresnarik	tɾes̺nˈaɾˌik
dielako	diˈelakˌo
Johann	ɟoˈann
hiztegiak	is̻tˈeɣiˌak
Gehienbat	ɡe͡ɪˈenbˌat
primeran	pɾimˈeɾˌan
sostengatzen	s̺os̺tˈenɡat͡s̻ˌen
Fakultatea	fakˈultateˌa
mintegiak	mintˈeɣiˌak
malaria	malˈaɾiˌa
logika	loɣˈikˌa
Sebastián	s̺ˌeβas̺tiˈan
karaktere	kaɾˈakteɾˌe
pilotalekuan	piʎˈotalekuˌan
berezirik	beɾˈes̻iɾˌik
kolaboratzaile	kolˈaβoɾat͡s̻a͡ɪʎˌe
Monte	mˈonte
Bakea	bakˈeˌa
olerkariak	olˈeɾkaɾiˌak
inbertitzeko	inbˈeɾtit͡s̻ekˌo
Gorputz	ɡoɾpˈut͡s̻
bikoteen	bikˈoteˌen
itzulpenak	it͡s̻ˈulpenˌak
oilo	ˈo͡ɪʎo
txekiar	t͡ʃekˈiˌaɾ
Bar	bˈaɾ
jatea	ɟatˈeˌa
altuan	altˈuˌan
egoteari	eɣˈoteaɾˌi
okupazioa	okˈupas̻ioˌa
espazial	es̺pˈas̻iˌal
deuseztatzea	de͡ʊs̺ˈes̻tat͡s̻eˌa
Album	ˈalβum
Johnek	ɟonˈek
ezeztatzen	es̻ˈes̻tat͡s̻ˌen
kokalekuak	kokˈalekuˌak
ipuin	ipˈuˌin
ikusleak	ikˈus̺leˌak
lehorteak	leˈoɾteˌak
zezala	s̻es̻ˈalˌa
alargunak	alˈaɾɣunˌak
dezaten	des̻ˈatˌen
tradizioak	tɾaðˈis̻ioˌak
sarietarako	s̺aɾˈietaɾakˌo
tragedia	tɾaɣˈeðiˌa
urtetako	uɾtˈetakˌo
operatibo	opˈeɾatiβˌo
Eskozia	es̺kˈos̻iˌa
matxista	mat͡ʃˈis̺tˌa
argumentuak	aɾɣˈumentuˌak
argindarra	aɾɣˈindarˌa
planoa	planˈoˌa
saihestu	s̺a͡ɪˈes̺tˌu
eskuan	es̺kˈuˌan
Ivan	iβˈan
etxaldea	et͡ʃˈalðeˌa
kurbak	kuɾβˈak
kontinenteko	kontˈiɲentekˌo
Company	kompˈanjj
unibertsoaren	unˈiβeɾt͡s̺oaɾˌen
gramoko	ɡɾamˈokˌo
noiz	nˈo͡ɪs̻
anaien	anˈa͡ɪˌen
erreinua	erˈe͡ɪɲuˌa
mugetatik	muɣˈetatˌik
Angelu	anɡˈelˌu
erraketista	erˈaketis̺tˌa
Arteko	aɾtˈekˌo
Burdina	buɾðˈiɲˌa
Plana	plˈana
desagertzen	des̺ˈaɣeɾt͡s̻ˌen
mina	mˈiɲa
Erreginak	erˈeɣiɲˌak
poetiko	poˈetikˌo
Mikelek	mikˈelˌek
bainuak	ba͡ɪɲˈuˌak
bakoitzaren	bakˈo͡ɪt͡s̻aɾˌen
Asteroide	as̺tˈeɾo͡ɪðˌe
original	oɾˈiɣiɲˌal
Ustekabean	us̺tˈekaβeˌan
heriotzari	eɾˈiot͡s̻aɾˌi
ustezko	us̺tˈes̻kˌo
sutsuak	s̺ut͡s̺ˈuˌak
azterketek	as̻tˈeɾketˌek
Norbait	noɾβˈa͡ɪt
hezurrak	es̻ˈurˌak
besoa	bes̺ˈoˌa
hartza	ˈaɾt͡s̻a
distantziaren	dis̺tˈant͡s̻iaɾˌen
deskribatzen	des̺kɾˈiβat͡s̻ˌen
ezarria	es̻ˈariˌa
zuzentzea	s̻us̻ˈent͡s̻eˌa
Lunga	lˈunɡa
baraila	baɾˈa͡ɪʎˌa
Angelo	anɡˈelˌo
ziharduten	s̻iˈaɾðutˌen
idealen	iðˈealˌen
mapak	mapˈak
Institutuaren	ins̺tˈitutuaɾˌen
pasadizoak	pas̺ˈaðis̻oˌak
ederrez	eðˈerˌes̻
gabeziaren	ɡaβˈes̻iaɾˌen
Irungo	iɾˈunɡˌo
maketak	makˈetˌak
irabaztean	iɾˈaβas̻teˌan
geldoak	ɡelðˈoˌak
gidari	ɡiðˈaɾˌi
Tokioko	tokˈiokˌo
ri	rˈi
erortzen	eɾˈoɾt͡s̻ˌen
oroitarazten	oɾˈo͡ɪtaɾas̻tˌen
bankari	bankˈaɾˌi
Jainkoek	ɟa͡ɪnkˈoˌek
Bang	bˈanɡ
eremuek	eɾˈemuˌek
barrikadak	barˈikaðˌak
harremanean	arˈemaneˌan
Santuaren	s̺antˈuaɾˌen
Lasterketa	las̺tˈeɾketˌa
Language	lanɡˈuaɣˌe
zatitzat	s̻atˈit͡s̻ˌat
Erein	eɾˈe͡ɪn
hasieratik	as̺ˈieɾatˌik
hasiera	as̺ˈieɾˌa
interpretazio	intˈeɾpɾetas̻iˌo
hornitua	oɾnˈituˌa
kubo	kˈuβo
sexualen	s̺eks̺ˈualˌen
famili	famˈiʎˌi
iritsi	iɾˈit͡s̺ˌi
asaldatu	as̺ˈalðatˌu
delitua	delˈituˌa
iritsiko	iɾˈit͡s̺ikˌo
Andra	ˈandɾa
aitzindarietako	a͡ɪt͡s̻ˈindaɾietakˌo
ustea	us̺tˈeˌa
bihurri	biˈurˌi
enperadore	enpˈeɾaðoɾˌe
auzunea	a͡ʊs̻ˈuneˌa
emankortasun	emˈankoɾtas̺ˌun
pasa	pˈas̺a
komunitateen	komˈunitateˌen
gorputzari	ɡoɾpˈut͡s̻aɾˌi
heren	eɾˈen
adibidetzat	aðˈiβiðet͡s̻ˌat
arintzen	aɾˈint͡s̻ˌen
aniztasuna	anˈis̻tas̺unˌa
Fluido	fluˈiðˌo
iturri	itˈurˌi
oinarrituta	o͡ɪɲˈaritutˌa
mihia	miˈiˌa
horrela	orˈelˌa
eratua	eɾˈatuˌa
Hondartza	ondˈaɾt͡s̻ˌa
gordez	ɡoɾðˈes̻
zatiak	s̻atˈiˌak
Hirurek	iɾˈuɾˌek
neurria	ne͡ʊrˈiˌa
Horietan	ˈoɾiˌetan
marinelen	maɾˈiɲelˌen
baziren	bas̻ˈiɾˌen
Bravo	bɾˈaβo
eraikin	eɾˈa͡ɪkˌin
estatutu	es̺tˈatutˌu
batetatik	batˈetatˌik
jaisteko	ɟa͡ɪs̺tˈekˌo
Gazteria	ɡas̻tˈeɾiˌa
Davis	daβˈis̺
Goghen	ɡoɣˈen
idatziriko	iðˈat͡s̻iɾikˌo
musikaletan	mus̺ˈikaletˌan
gabe	ɡˈaβe
tzat	t͡s̻ˈat
IX	ˈiʃ
ordainpeko	oɾðˈa͡ɪnpekˌo
listu	lˈis̺tu
Marten	maɾtˈen
itzulpengintzan	it͡s̻ˈulpenɡint͡s̻ˌan
Time	tˈime
onddoak	onɟˈoˌak
Erregeen	erˈeɣeˌen
Collegen	koʎˈeɣˌen
Bilbon	bilβˈon
efizientzia	efˈis̻ient͡s̻iˌa
Luke	lˈuke
lantegietan	lantˈeɣietˌan
zenbakizko	s̻enbˈakis̻kˌo
azpiko	as̻pˈikˌo
Barbara	baɾβˈaɾˌa
alerta	alˈeɾtˌa
makinak	makˈiɲˌak
Ekintza	ekˈint͡s̻ˌa
beiragintza	be͡ɪɾˈaɣint͡s̻ˌa
historiografiaren	is̺tˈoɾioɣɾafiaɾˌen
liburuek	liβˈuɾuˌek
garraiatzen	ɡarˈa͡ɪat͡s̻ˌen
Eskolara	es̺kˈolaɾˌa
goraipatzen	ɡoɾˈa͡ɪpat͡s̻ˌen
ingururen	inɡˈuɾuɾˌen
nortasunak	noɾtˈas̺unˌak
Airlines	a͡ɪɾlˈiɲˌes̺
bakarrenetakoa	bakˈarenetakoˌa
Teatro	teˈatɾˌo
mezularia	mes̻ˈulaɾiˌa
egituraz	eɣˈituɾˌas̻
Bizantziar	bis̻ˈant͡s̻iˌaɾ
agiri	aɣˈiɾˌi
kaleak	kalˈeˌak
heriotzen	eɾˈiot͡s̻ˌen
Service	s̺eɾβˈiθˌe
berak	beɾˈak
jakinak	ɟakˈiɲˌak
Langile	lanɡˈiʎˌe
Itsasontzi	it͡s̺ˈas̺ont͡s̻ˌi
zabalkunde	s̻aβˈalkundˌe
erabakiz	eɾˈaβakˌis̻
gaztelera	ɡas̻tˈeleɾˌa
internazionalak	intˈeɾnas̻ionalˌak
aukerarik	a͡ʊkˈeɾaɾˌik
marinelek	maɾˈiɲelˌek
iztai	ˈis̻ta͡ɪ
telesailak	telˈes̺a͡ɪʎˌak
etenak	etˈenˌak
pila	pˈiʎa
hiztun	is̻tˈun
Sarietan	s̺aɾˈietˌan
Korronte	korˈontˌe
zaharrei	s̻aˈarˌe͡ɪ
bazituzten	bas̻ˈitus̻tˌen
Azokan	as̻ˈokˌan
gehiegizko	ɡe͡ɪˈeɣis̻kˌo
Elizalde	elˈis̻alðˌe
Shawn	s̺aˈun
debuta	deβˈutˌa
errepide	erˈepiðˌe
dozena	dos̻ˈenˌa
karisma	kaɾˈis̺mˌa
Lego	lˈeɣo
ibaira	iβˈa͡ɪɾˌa
ibar	iβˈaɾ
Ligak	liɣˈak
egokiagoak	eɣˈokiaɣoˌak
ikuslearen	ikˈus̺leaɾˌen
ekuatorean	ekˈuatoɾeˌan
prestatutako	pɾes̺tˈatutakˌo
lagunduta	laɣˈundutˌa
erauzten	eɾˈa͡ʊs̻tˌen
SS	ˌes̺eˈes̺e
ekonomikoak	ekˈonomikoˌak
meza	mˈes̻a
ordenatzeko	oɾðˈenat͡s̻ekˌo
Banks	bˈanks̺
zegokienez	s̻eɣˈokienˌes̻
Barka	bˈaɾka
komandoak	komˈandoˌak
Protagonista	pɾotˈaɣonis̺tˌa
eskuinean	es̺kˈuiɲeˌan
luzerako	lus̻ˈeɾakˌo
tauletan	ta͡ʊlˈetˌan
non	nˈon
Kultura	kultˈuɾˌa
mendiari	mendˈiaɾˌi
kontzeju	kont͡s̻ˈejˌu
buruz	buɾˈus̻
gerratik	ɡerˈatˌik
kazetariek	kas̻ˈetaɾiˌek
Duncan	dunkˈan
lantoki	lantˈokˌi
partaideen	paɾtˈa͡ɪðeˌen
onena	onˈenˌa
zihoazela	s̻ixˈoas̻elˌa
zerrendetan	s̻erˈendetˌan
segurua	s̺eɣˈuɾuˌa
antzerkia	ant͡s̻ˈeɾkiˌa
konponketak	konpˈonketˌak
miatu	miˈatˌu
Daily	dˈa͡ɪljj
pentsatuz	pent͡s̺ˈatˌus̻
bilatzeko	biʎˈat͡s̻ekˌo
horiekin	ˈoɾiˌekin
jarraituak	ɟarˈa͡ɪtuˌak
hesi	ˈes̺i
filmatu	filmˈatˌu
tenpluaren	tenplˈuaɾˌen
parekoak	paɾˈekoˌak
biribilduak	biɾˈiβilðuˌak
atetik	atˈetˌik
larruak	larˈuˌak
Prozesu	pɾos̻ˈes̺ˌu
protagonista	pɾotˈaɣonis̺tˌa
printzeen	pɾint͡s̻ˈeˌen
Ikusmen	ikˈus̺mˌen
lasaitzen	las̺ˈa͡ɪt͡s̻ˌen
Gerran	ɡerˈan
esklusiboak	es̺klˈus̺iβoˌak
bihurgune	biˈuɾɣunˌe
amaierara	amˈa͡ɪeɾaɾˌa
antzematen	ant͡s̻ˈematˌen
apaindurik	apˈa͡ɪnduɾˌik
ezkutua	es̻kˈutuˌa
Zumaian	s̻umˈa͡ɪˌan
teknologien	teknˈoloɣiˌen
jotzeko	ɟot͡s̻ˈekˌo
Navarre	naβˈarˌe
militarren	miʎˈitarˌen
independentean	indˈependenteˌan
Goizean	ɡo͡ɪs̻ˈeˌan
herritartasuna	erˈitaɾtas̺unˌa
Bertatik	beɾtˈatˌik
bilakaerak	biʎˈakaeɾˌak
eder	eðˈeɾ
norbaiti	noɾβˈa͡ɪtˌi
Thor	tˈoɾ
izpiritu	is̻pˈiɾitˌu
Ozeano	os̻ˈeanˌo
ETAko	ˈetˌako
bileretan	biʎˈeɾetˌan
hainbat	a͡ɪnbˈat
erreserban	erˈes̺eɾβˌan
gehien	ɡe͡ɪˈen
saiakeran	s̺a͡ɪˈakeɾˌan
ibaiertzean	iβˈa͡ɪeɾt͡s̻eˌan
testuinguruan	tes̺tˈuinɡuɾuˌan
lasaitasuna	las̺ˈa͡ɪtas̺unˌa
matxinoak	mat͡ʃˈiɲoˌak
horietarako	ˈoɾiˌetaɾˌako
behartua	beˈaɾtuˌa
erretiratu	erˈetiɾatˌu
Etorkizunean	etˈoɾkis̻uneˌan
Behatoki	beˈatokˌi
metalurgia	metˈaluɾɣiˌa
altuagoak	altˈuaɣoˌak
arloak	aɾlˈoˌak
zinemari	s̻iɲˈemaɾˌi
Indira	indˈiɾˌa
txikiz	t͡ʃikˈis̻
Milanen	miʎˈanˌen
astronauta	as̺tɾˈona͡ʊtˌa
babesean	baβˈes̺eˌan
nazioak	nas̻ˈioˌak
Amaieran	amˈa͡ɪeɾˌan
jarraiki	ɟarˈa͡ɪkˌi
beltzeko	belt͡s̻ˈekˌo
Chicago	t͡ʃikˈaɣˌo
Azpimarratu	as̻pˈimaratˌu
Eguzkitik	eɣˈus̻kitˌik
hurbiltasuna	uɾβˈiltas̺unˌa
ezagut	es̻ˈaɣˌut
nabarmenenak	naβˈaɾmenenˌak
abstenitu	abs̺tˈenitˌu
dizkiona	dis̻kˈionˌa
Zuhaitzaren	s̻uˈa͡ɪt͡s̻aɾˌen
ausaz	a͡ʊs̺ˈas̻
Ederra	eðˈerˌa
berezkoak	beɾˈes̻koˌak
askoko	as̺kˈokˌo
artistikoak	aɾtˈis̺tikoˌak
Amerikara	amˈeɾikaɾˌa
gurpilak	ɡuɾpˈiʎˌak
argitalpenak	aɾɣˈitalpenˌak
multzoen	mult͡s̻ˈoˌen
Frantziari	fɾant͡s̻ˈiaɾˌi
egoeren	eɣˈoeɾˌen
handitzea	andˈit͡s̻eˌa
telebistako	telˈeβis̺takˌo
badator	baðˈatˌoɾ
altxatu	alt͡ʃˈatˌu
Kupula	kupˈulˌa
kritikarien	kɾitˈikaɾiˌen
burdinaren	buɾðˈiɲaɾˌen
Diskaren	dis̺kˈaɾˌen
museoen	mus̺ˈeoˌen
kritikaria	kɾitˈikaɾiˌa
Esperientzia	es̺pˈeɾient͡s̻iˌa
sakrifizio	s̺akɾˈifis̻iˌo
desberdintasun	des̺βˈeɾðintas̺ˌun
Bautista	ba͡ʊtˈis̺tˌa
Erreferentzia	erˈefeɾent͡s̻iˌa
likatsu	likˈat͡s̺ˌu
kg	kˌaɣˈe
armaren	aɾmˈaɾˌen
besoetan	bes̺ˈoetˌan
Baserriko	bas̺ˈerikˌo
Madrila	maðɾˈiʎˌa
Erretiroa	erˈetiɾoˌa
Gobernuko	ɡoβˈeɾnukˌo
Idazlea	iðˈas̻leˌa
heldutako	elðˈutakˌo
ziona	s̻iˈonˌa
Krisi	kɾˈis̺i
anarkia	anˈaɾkiˌa
zurezkoak	s̻uɾˈes̻koˌak
hotzean	ot͡s̻ˈeˌan
batengandik	batˈenɡandˌik
azpigenero	as̻pˈiɣeneɾˌo
herrialdeekin	erˈialðeekˌin
dabiltzan	daβˈilt͡s̻ˌan
sufrea	s̺ufɾˈeˌa
esango	es̺ˈanɡˌo
zegoenez	s̻eɣˈoenˌes̻
satelite	s̺atˈelitˌe
larritasunaren	larˈitas̺unaɾˌen
Luis	luˈis̺
erregularra	erˈeɣularˌa
Udan	uðˈan
desegitea	des̺ˈeɣiteˌa
uxatzeko	uʃˈat͡s̻ekˌo
hargatik	aɾɣˈatˌik
gorrotatzen	ɡorˈotat͡s̻ˌen
mugetan	muɣˈetˌan
zaiona	s̻a͡ɪˈonˌa
udalerrietan	uðˈalerietˌan
ideiarekin	iðˈe͡ɪaɾekˌin
espektroak	es̺pˈektɾoˌak
aginduen	aɣˈinduˌen
txikia	t͡ʃikˈiˌa
Harri	ˈari
Jeanne	ɟeˈannˌe
komertzio	komˈeɾt͡s̻iˌo
pertsonaien	peɾt͡s̺ˈona͡ɪˌen
gertaerak	ɡeɾtˈaeɾˌak
nirekin	nˈiɾekˌin
alarguna	alˈaɾɣunˌa
español	es̺pˈaɲˌol
hormek	oɾmˈek
anonimoak	anˈonimoˌak
astekarian	as̺tˈekaɾiˌan
Bestea	bes̺tˈeˌa
zonaldea	s̻onˈalðeˌa
gramatikaren	ɡɾamˈatikaɾˌen
irizpide	iɾˈis̻piðˌe
Araba	aɾˈaβˌa
proposamena	pɾopˈos̺amenˌa
goitizen	ɡo͡ɪtˈis̻ˌen
zerrendatu	s̻erˈendatˌu
bisonte	bis̺ˈontˌe
demagun	demˈaɣˌun
sarreren	s̺arˈeɾˌen
Antoine	antˈo͡ɪɲˌe
faltagatik	faltˈaɣatˌik
Eraikin	eɾˈa͡ɪkˌin
Saiya	s̺ˈa͡ɪjja
zapuzten	s̻apˈus̻tˌen
akabatzeko	akˈaβat͡s̻ekˌo
gailuaren	ɡa͡ɪʎˈuaɾˌen
Epaile	epˈa͡ɪʎˌe
Auzitegiak	a͡ʊs̻ˈiteɣiˌak
onura	onˈuɾˌa
Indarra	indˈarˌa
nitrogeno	nitɾˈoɣenˌo
daudelako	da͡ʊðˈelakˌo
sekuentzia	s̺ekˈuent͡s̻iˌa
diskurtso	dis̺kˈuɾt͡s̺ˌo
eskaileraren	es̺kˈa͡ɪʎeɾaɾˌen
norantza	noɾˈant͡s̻ˌa
arrastoak	arˈas̺toˌak
