астрономија	astronǒmija
одисеја	odisěːja
страхопоштовање	straxopoʃtoʋǎːɲe
проводити	proʋǒditi
некомпетентан	nekompetěntan
северни	sêʋeːrniː
лити	lîti
шамарчина	ʃamǎrt͡ʃina
маца	mǎːt͡sa
унитаристички	unitarǐstit͡ʃki
јужњак	jûʒɲaːk
неодговоран	nêodɡoʋoːran
шпајсцимер	ʃpâjst͡simer
безбоштво	bězboʃtʋo
репрезентација	reprezentǎːt͡sija
божји	bôʒjiː
опасност	opǎːsnoːst
крвити	křʋiti
егоистички	eɡoǐstitʃkiː
забуљити	zabǔːʎiti
праотац	praǒtat͡s
дјевојчуљак	djeʋojt͡ʃǔːʎak
осматрати	osmǎːtrati
значење	znǎːt͡ʃeːɲe
козина	kôzina
хуситски	xǔsiːtskiː
крцкати	kr̂t͡skati
непринципијелан	nêprint͡sipijeːlan
сладор	slâːdor
лајаво	lâjaʋo
испитати	ispǐːtati
кафтан	kǎftan
опијат	opǐjaːt
онде	ǒːnde
десно	dêsno
неутрино	neutrǐːno
омогућавати	omoɡut͡ɕǎːʋati
пљеснивост	pʎěsniʋoːst
меланом	melǎnoːm
незахвалник	nêzaxʋaːlniːk
етологија	etolǒɡija
забелешка	zâbeleʃka
риједак	rjěːdak
вујичић	ʋujit͡ʃit͡ɕ
сатрапски	sǎtrapskiː
шнешлагер	ʃnêːʃlaːɡer
самун	sǎmuːn
људина	ʎǔdina
руски	rûskiː
стандардизација	standardizǎːt͡sija
трансфер	trǎnsfeːr
занимљиво	zanǐmʎiʋo
мрак	mrâːk
застрети	zǎstreːti
ангажиран	anɡǎʒiːran
јаре	jâre
котац	kǒtat͡s
кречана	kret͡ʃǎna
замерати	zaměːrati
прелетети	prelěteti
трицикл	trit͡sǐkl
признавати	priznǎːʋati
превасходно	prevǎsxodno
одавде	ôdaːʋde
листић	lǐstit͡ɕ
дркати	dr̂kati
фразеологија	frazeolǒɡija
кривоног	kriʋǒnoɡ
раздвојив	razdʋǒjiʋ
преферирати	preferǐːrati
конгенијалан	kônɡenijaːlan
мутавац	mûtaʋat͡s
национализам	nat͡sionalǐzam
онемогућивати	onemoɡut͡ɕǐːʋati
вртлар	ʋr̂tlaːr
ковница	kǒːʋnit͡sa
тумачити	tumǎːt͡ʃiti
пробуђивати	probud͡ʑǐːʋati
храст	xrâːst
мирноћа	mirnǒt͡ɕa
купатило	kǔpatilo
биљождер	bîʎoʒder
амбиваленција	ambiʋalěnt͡sija
обиман	ôbiːman
иједанпут	ijedǎnput
прашан	prǎːʃan
јошт	jôʃt
млинар	mlînaːr
мријети	mrjêːti
зевнути	zěːʋnuti
новосађанин	noʋosǎːdʑanin
заштитни	zǎːʃtitniː
киклопски	kǐklopski
клевета	klěʋeta
презалогајивати	prezaloɡajǐːʋati
мило	mîlo
серум	sěːrum
четири	t͡ʃětiri
талибан	talǐbaːn
додиривати	dodirǐːʋati
сутрашњица	sǔtraʃɲit͡sa
свесрдан	sʋěsrdan
свезати	sʋěːzati
гледатељ	ɡlědateʎ
згрејавати	zɡrejǎːʋati
кромпир	krǒmpiːr
заценути	zat͡sěːnuti
човечан	t͡ʃôʋet͡ʃan
осећати	ǒset͡ɕati
козмологија	kozmolǒɡija
саблажњивати	sablaʒɲǐːʋati
цвјетати	t͡sʋjětati
јебачица	jebǎt͡ʃit͡sa
которанин	kôtoranin
пријепис	prjěːpis
осетити	ǒsetiti
крематоријски	kremǎtoːriːjskiː
чиновник	t͡ʃinǒʋniːk
комплет	kǒmplet
лемати	lěːmati
криптополитички	kriptopolǐtit͡ʃkiː
разлагати	razlǎːɡati
сала	sǎla
личност	lît͡ʃnoːst
дршка	dr̂ʃka
стрепња	strěːpɲa
настанити	nastǎːniti
индијански	indǐjaːnskiː
грабуље	ɡrâbuʎe
трампити	trâmpiti
диктаторски	dǐktaːtorskiː
поверавати	poʋerǎːʋati
косовски	kôːsoʋski
позирати	pozǐːrati
платац	plǎːtat͡s
октобар	ǒktoːbar
прегријавати	preɡrijǎːʋati
вавијек	ʋâʋijek
мандолина	mandolǐːna
регулативан	rêɡulatiːʋan
исмијавати	ismijǎːʋati
провокација	proʋokǎːt͡sija
деспотски	děspotski
електромагнетни	elektromǎɡneːtniː
конопља	kǒnopʎa
свладавати	sʋladǎːʋati
санскртски	sǎnskrtskiː
обзорје	ǒbzoːrje
провјеравати	proʋjerǎːʋati
латинички	latǐnit͡ʃkiː
одзив	ôdziːʋ
баздјети	bǎzdjeti
попити	pǒpiti
упркос	ûsprkos
одбити	ǒdbiti
извана	izʋǎna
правоваљан	praʋoʋǎʎaːn
телчић	tělt͡ʃit͡ɕ
пишати	pǐʃati
сјеверноамерички	sjeʋernoaměrit͡ʃkiː
прегледност	prěːɡlednoːst
поднаслов	podnǎːsloʋ
мултилатерализам	multilateralǐzam
формација	formǎːt͡sija
левант	lěʋant
присуствовати	prǐsustʋoʋati
клати	klâti
н	n
непокретан	nêpokreːtan
додавати	dodǎːʋati
будалчина	budǎlt͡ʃina
бичевалац	bit͡ʃěʋalat͡s
џак	d͡ʒâːk
апологетика	apoloɡětika
обновити	obnǒʋiti
неуравнотежен	neuraʋnǒteːʒen
галантно	ɡalǎntno
двојбен	dʋǒjben
лутња	lǔːtɲa
чекић	t͡ʃěkit͡ɕ
негодовати	něɡodoʋati
јагњад	jâɡɲaːd
требити	trěːbiti
тузла	tûzla
решив	rěʃiʋ
гушити	ɡǔːʃiti
званичан	zʋǎnit͡ʃan
асонанца	asǒnaːnt͡sa
безгласно	bězɡlasno
пакосно	pâkosno
некрст	někrst
ћер	t͡ɕêːr
кошенил	koʃěnil
традиционализам	tradit͡sionalǐzam
имела	iměla
наиме	nǎime
домишљати	domǐːʃʎati
подићи	pǒditɕi
суицид	suǐt͡siːd
длака	dlâka
астрофизичар	astrofǐzit͡ʃaːr
обједовати	ǒbjedoʋati
мементо	memento
кемичарка	kěmit͡ʃaːrka
шалваре	ʃǎlʋare
карпуза	kǎrpuza
обиљежавати	obiʎeʒǎːʋati
кришом	krîːʃom
бекхенд	bêkxend
претрпјети	pretřːpjeti
папар	pâpar
испричавати	isprit͡ʃǎːʋati
рукомет	rûkomeːt
вјенчаница	ʋjent͡ʃǎnit͡sa
питом	pǐtom
обедовати	ǒbedoʋati
завиђати	zaʋǐːd͡ʑati
сеизмолошки	seizmǒloʃki
послуга	pôsluɡa
укорењивати	ukoreɲǐːʋati
тропосфера	troposfěːra
тоталитарист	totalitǎrist
несамостално	nêsamostaːlno
окруживати	okruʒǐːʋati
схватати	sxʋâtati
покорно	pôkoːrno
хитрост	xîtroːst
суптилно	sûptiːlno
мужар	mǔʒaːr
архиђакон	ǎrxid͡ʑakon
обухватити	obǔxʋatiti
ложити	lǒʒiti
насмијавати	nasmijǎːʋati
демилитаризација	demilitarizǎːt͡sija
точан	tôt͡ʃan
зацељивати	zat͡seʎǐːʋati
федералистички	federalǐstit͡ʃki
тарифни	tǎriːfniː
сакупити	sǎkupiti
красти	krâsti
разбој	rǎːzboːj
ми	mîː
мутав	mûtaʋ
задуживати	zaduʒǐːʋati
еуропа	eurǒːpa
подмуклост	pǒdmuːkloːst
заточеник	zatot͡ʃěniːk
изљев	ǐzʎeʋ
индонезијски	indǒneːziːjskiː
разносач	raznǒsaːt͡ʃ
промешкољити	promeʃkǒʎiti
опћина	ôpt͡ɕina
кувар	kûʋaːr
одсада	ǒdsada
мамица	mâmit͡sa
кћи	kt͡ɕîː
непомирљив	nepomǐrʎiʋ
колона	kolǒːna
перихел	perǐxel
муљав	mûʎaʋ
бодрост	bôdroːst
чарн	t͡ʃarn
зрнатост	zřnatoːst
проламати	prolǎːmati
протеривати	proterǐːʋati
бич	bît͡ʃ
лексикограф	leksikǒɡraf
путописац	putopǐːsat͡s
матрица	matrǐt͡sa
скрушено	skrûːʃeno
зарадити	zarǎːditi
редом	rêːdom
рушити	rûʃiti
севати	sěːʋati
војислав	ʋǒjislaʋ
одбрамбени	ǒdbrambeniː
шанац	ʃânat͡s
бесавесно	besǎːʋesno
ишта	îʃta
англикан	anɡlǐkaːn
седимент	sedǐment
хладноратовски	xladnorǎtoʋski
клин	klîn
садржајан	sâdrʒaːjan
микроскопски	mîkroskopskiː
комбинатор	kombǐnaːtor
номадски	nǒmadski
формулирати	formulǐːrati
разноситељ	raznǒsiteʎ
потписати	potpǐːsati
бесавестан	besǎːʋestan
рачић	rǎt͡ʃit͡ɕ
неуставно	nêustaːʋno
утрнути	utřːnuti
кодекс	kǒdeks
сабијати	sabǐːjati
млатилица	mlǎtilit͡sa
бифтек	bǐftek
блатити	blâtiti
војништво	ʋojnǐːʃtʋo
нијесмо	nijěːsmo
ковчежина	kǒʋt͡ʃeʒina
испасти	ǐspasti
галебица	ɡâlebit͡sa
лисица	lǐsit͡sa
одморан	ôdmoːran
скрпати	skr̂pati
горети	ɡǒreti
догађати	doɡǎːd͡ʑati
кримен	krîːmen
роба	rôba
потражити	potrǎːʒiti
промашивати	promaʃǐːʋati
лајати	lâjati
радикализам	radikalǐzam
имунолошки	imunǒloʃki
идентичан	iděntit͡ʃan
непоузданост	nêpouzdaːnoːst
јединство	jedǐːnstʋo
алтруизам	altruǐzam
примитивно	prîmitiːʋno
масер	mǎseːr
вјенчић	ʋjěnt͡ʃit͡ɕ
преспавати	prespǎːʋati
спавачица	spaʋǎt͡ʃit͡sa
непрактичност	neprǎktit͡ʃnoːst
тисутњик	tîsutɲiːk
триангулирати	trianɡulǐːrati
кондензација	kondenzǎːt͡sija
пресећи	prěset͡ɕi
капљица	kâpʎit͡sa
темељни	têmeːʎniː
обдан	ôbdaːn
грива	ɡrîʋa
безобзирност	bezobzǐːrnoːst
превозити	preʋǒziti
ветеринарка	ʋeterǐnaːrka
афродизијак	afrodǐzijak
задубљивати	zadubʎǐːʋati
спис	spîs
слоновски	slǒnoʋskiː
полубрат	polǔbrat
егзотеричан	eɡzotěrit͡ʃan
резиме	rezǐmeː
рудети	rǔːdeti
претеривати	preterǐːʋati
манипулација	manipulǎːt͡sija
ветрењаст	ʋêtreɲast
лишај	lîʃaːj
лисичине	lîsit͡ʃine
хобист	xǒbist
модификација	modifikǎːt͡sija
гурнути	ɡûrnuti
пакао	pǎkao
зејтин	zějtiːn
сумњичав	sǔmɲit͡ʃaʋ
бодрити	bǒdriti
литургијски	litǔrɡiːjskiː
варга	ʋâːrɡa
објективност	objektǐːʋnoːst
дипломат	diplǒmat
никарагванац	nikaraɡʋǎːnat͡s
усудити	usǔːditi
тајна	tâːjna
сенилан	sêniːlan
шетач	ʃětaːt͡ʃ
уображен	uǒbraːʒen
разоткривати	razotkrǐːʋati
фармаколог	farmakǒloɡ
кијамет	kijǎːmet
тврдокоран	tʋr̂dokoːran
празан	prǎːzan
поштоватељ	poʃtǒʋateʎ
квартални	kʋǎrtaːlniː
бубњар	bǔbɲaːr
син	sîːn
мелиорација	meliorǎːt͡sija
ручно	rût͡ʃno
предавати	predǎːʋati
клобучар	klǒbut͡ʃaːr
нити	nîti
теозофски	teǒzofskiː
плаветан	plâʋetan
категоричан	kateɡǒrit͡ʃan
поручник	pǒrut͡ʃniːk
буљина	bǔʎina
сто	stôː
несиметричност	nesimětrit͡ʃnoːst
бездан	bězdan
работник	rǎbotniːk
козмополитизам	kozmopolitǐzam
мешкољити	meʃkǒʎiti
аутсајдер	autsǎjder
кројити	krǒjiti
једак	jêdak
углавном	uɡlǎʋnoːm
репарација	reparǎːt͡sija
чађ	t͡ʃâːd͡ʑ
уврежити	uʋrěːʒiti
одавати	odǎːʋati
палатални	pâlataːlniː
очекивати	ot͡ʃekǐːʋati
одобравати	odobrǎːʋati
нагађати	naɡǎːd͡ʑati
узроковати	ǔːzrokoʋati
поп	pôp
околина	ǒkolina
икавски	ǐːkaʋskiː
фигуративан	fîɡuratiːʋan
ригидан	rîɡidaːn
мишљење	mîʃʎeːɲe
компас	kǒmpas
латерално	lâteraːlno
продоран	prǒːdoːran
савитљивост	saʋǐtʎiʋoːst
послушно	pôsluːʃno
трогласник	trǒɡlasniːk
штекер	ʃtêker
нелојално	nêlojaːlno
сједало	sjêdalo
божански	boʒǎnskiː
артист	ǎrtist
тежиште	têʒiːʃte
поверити	pǒʋeriti
стеван	stêʋaːn
тактилан	tǎktiːlan
смјењивати	smjeɲǐːʋati
бријеме	brijěme
литица	lǐtit͡sa
букет	bǔkeːt
ићи	ǐt͡ɕi
удаљеност	ǔdaːʎenoːst
налазник	nǎlazniːk
абецедар	abet͡sědaːr
изолиран	izǒliːran
имперфективан	împerfektiːʋan
сусрет	sǔsret
распознатљив	raspoznǎtʎiʋ
покер	pǒker
дисидентски	disǐdentskiː
предизборни	prêdizboːrniː
водомер	ʋôdomeːr
англистички	anɡlǐstit͡ʃkiː
ковачница	kǒʋaːt͡ʃnit͡sa
рођен	rôd͡ʑen
казаљка	kǎzaːʎka
пословање	posloʋǎːɲe
уставно	ǔstaːʋno
фуриозан	fûrioːzan
главни	ɡlǎʋniː
шпрунг	ʃprûnɡ
порушити	pǒruʃiti
далековидно	dalekǒʋidno
бестселер	bestsěler
ветеран	ʋetěraːn
тикван	tǐkʋan
грам	ɡrâm
зец	zêːt͡s
фисија	fǐːsija
хедонистички	xedonǐstitʃkiː
агитирати	aɡitǐːrati
проба	prǒːba
коштац	kǒʃtat͡s
карловац	kâːrloʋat͡s
принцип	prǐnt͡siːp
неувјерљиво	neuʋjěrʎiʋo
пластеник	plastěniːk
дрвље	dr̂ːʋʎe
прускиња	prûskiɲa
лакоуман	lâkouːman
летјети	lětjeti
ада	ǎda
инспекцијски	inspěkt͡siːjskiː
дим	dîm
наслеђивати	nasled͡ʑǐːʋati
изнуда	îznuda
беспомоћан	bêspomot͡ɕan
циклички	tsǐklitʃkiː
удовица	udǒʋit͡sa
бокал	bǒkaːl
заложити	zalǒʒiti
рудар	rǔdaːr
покоран	pôkoːran
тамилски	tǎmiːlskiː
зафрканција	zafrkǎnt͡sija
исмијати	ismǐjati
аристократкиња	aristǒkratkiɲa
ажур	ǎʒuːr
намакати	namǎːkati
испилити	ispǐːliti
бестиднички	běstidnit͡ʃki
дијалог	dijǎloɡ
дванаесторица	dʋanaestǒrit͡sa
таласаст	talǎsast
узајаман	ûzajaːman
зимовиште	zǐmoʋiːʃte
ожиљак	ǒʒiʎak
пубертетски	puběrteːtski
чујно	t͡ʃûːjno
љубавни	ʎǔːbaːʋniː
идиотизам	idiotǐzam
специфично	spet͡sǐfit͡ʃno
према	prêma
низанка	nîzaːnka
својеглаво	sʋojěɡlaʋo
плашт	plâːʃt
нејасно	nějasno
свадљивац	sʋǎdʎiʋat͡s
зрикавац	zrǐːkaʋat͡s
редак	rěːdak
бенгалски	běnɡaːlskiː
вјерник	ʋjêːrniːk
абхаз	ǎbxaːz
пољска	pôʎskaː
оквир	ǒkʋiːr
одмјереност	ǒdmjerenoːst
враг	ʋrâːɡ
мезопотамија	mezopotâːmija
фелација	felǎːt͡sija
појмити	pǒːjmiti
пристран	prǐstran
потом	pǒtoːm
континуиран	kontinǔiːran
објахати	ǒbjaxati
успјети	ǔspjeti
плаветнило	plaʋětnilo
махнути	mǎːxnuti
мрмљати	mřmʎati
крчажић	krt͡ʃǎʒit͡ɕ
осорно	ôsoːrno
терористички	terorǐstitʃki
пчелар	pt͡ʃělaːr
френетичан	frenětit͡ʃan
испорука	îsporuka
глобално	ɡlǒbaːlno
господство	ɡospǒdstʋo
конгресни	kǒnɡresniː
одрасти	ǒdraːsti
тренирати	trenǐːrati
правник	prâːʋniːk
словјенски	slǒʋjeːnski
промишљен	prǒmiʃʎen
