აღმოუფხვრელი	ɑɣmɔupʰxvrɛli
ზამთარი	zɑmtʰɑri
სიტყვაზე	sitʼqʼvɑzɛ
ქვევრი	kʰvɛvri
სადაფი	sɑdɑpʰi
ოლიგარქია	ɔliɡɑrkʰiɑ
ბელგიური	bɛlɡiuri
პაემანნო	pʼɑɛmɑnnɔ
სამედიცინო	sɑmɛdit͡sinɔ
კოჭა	kʼɔt͡ʃʼɑ
ცოტამატა	t͡sɔtʼɑmɑtʼɑ
კეისარი	kʼɛisɑri
შუამავლობა	ʃuɑmɑvlɔbɑ
ამიაკი	ɑmiɑkʼi
დიდაქტიკური	didɑkʰtʼikʼuri
არსით	ɑrsitʰ
უარსაყოფი	uɑrsɑqʼɔpʰi
ნათესაობა	nɑtʰɛsɑɔbɑ
ნიდერლანდები	nidɛrlɑndɛbi
ულმობლობა	ulmɔblɔbɑ
ბარომეტრული	bɑrɔmɛtʼruli
აფრიკული	ɑpʰrikʼuli
დედამ	dɛdɑm
წყალბადი	t͡sʼqʼɑlbɑdi
კონუსი	kʼɔnusi
იცით	it͡sitʰ
მისაქციელი	misɑkʰt͡siɛli
მოდური	mɔduri
მედიდურად	mɛdidurɑd
წურბელა	t͡sʼurbɛlɑ
ენა	ɛnɑ
დამწუხრებული	dɑmt͡sʼuxrɛbuli
ორგანიზმი	ɔrɡɑnizmi
ერთდროულად	ɛrtʰdrɔulɑd
ინტეგრაცია	intʼɛɡrɑt͡siɑ
ბროკოლი	brɔkʼɔli
ახველებს	ɑxvɛlɛbs
არგენტინის	ɑrɡɛntʼinis
მოკვალთული	mɔkʼvɑltʰuli
თავადი	tʰɑvɑdi
დიალექტიკური	diɑlɛkʰtʼikʼuri
გასავლიანი	ɡɑsɑvliɑni
სალამური	sɑlɑmuri
სანდრა	sɑndrɑ
თავდაყირა	tʰɑvdɑqʼirɑ
უპირატესად	upʼirɑtʼɛsɑd
კარმა	kʼɑrmɑ
ციცავ	t͡sit͡sɑv
ნეიტრალიტეტი	nɛitʼrɑlitʼɛtʼi
ტარა	tʼɑrɑ
ინდაური	indɑuri
საცნობად	sɑt͡snɔbɑd
მზარეული	mzɑrɛuli
კილი	kʼili
ფსიქოთერაპია	pʰsikʰɔtʰɛrɑpʼiɑ
რო	rɔ
კატორღა	kʼɑtʼɔrɣɑ
გაზვიადება	ɡɑzviɑdɛbɑ
კომპოზიტორი	kʼɔmpʼɔzitʼɔri
მუსიკას	musikʼɑs
ანტივირუსი	ɑntʼivirusi
პუნქტუალურად	pʼunkʰtʼuɑlurɑd
ტენტი	tʼɛntʼi
ძვრა	d͡zvrɑ
ელეგანტური	ɛlɛɡɑntʼuri
ტროპიკულად	tʼrɔpʼikʼulɑd
სამარისებური	sɑmɑrisɛburi
ცხარე	t͡sxɑrɛ
რეზონატორი	rɛzɔnɑtʼɔri
შესაბამისად	ʃɛsɑbɑmisɑd
მხოლოდ	mxɔlɔd
კაპიტულაცია	kʼɑpʼitʼulɑt͡siɑ
ნანახი	nɑnɑxi
პარალელიზმი	pʼɑrɑlɛlizmi
შეუბრალებელი	ʃɛubrɑlɛbɛli
გამრყვნელად	ɡɑmrqʼvnɛlɑd
პრეტენდენტი	pʼrɛtʼɛndɛntʼi
მოდულაცია	mɔdulɑt͡siɑ
მოლუსკი	mɔluskʼi
საცეცხლური	sɑt͡sɛt͡sxluri
თანაბარი	tʰɑnɑbɑri
ბელტი	bɛltʼi
ხუმრობით	xumrɔbitʰ
ირაკლი	irɑkʼli
დაკრძალავს	dɑkʼrd͡zɑlɑvs
ანგლიციზმი	ɑnɡlit͡sizmi
პედიატრია	pʼɛdiɑtʼriɑ
შინაურად	ʃinɑurɑd
ვიღაც	viɣɑt͡s
ინდიანა	indiɑnɑ
ექსპონენტურად	ɛkʰspʼɔnɛntʼurɑd
სახე	sɑxɛ
ძნა	d͡znɑ
მუზარადი	muzɑrɑdi
კლასიცისტი	kʼlɑsit͡sistʼi
გადატვირთული	ɡɑdɑtʼvirtʰuli
იეროგლიფი	iɛrɔɡlipʰi
მოსწავლე	mɔst͡sʼɑvlɛ
მაშინ	mɑʃin
დაუგეგმავი	dɑuɡɛɡmɑvi
მეპაიე	mɛpʼɑiɛ
ცეცხლოვანი	t͡sɛt͡sxlɔvɑni
სემინარი	sɛminɑri
ქრისტე	kʰristʼɛ
თხუნელა	tʰxunɛlɑ
უზრუნველად	uzrunvɛlɑd
აქსიომა	ɑkʰsiɔmɑ
ხეკოლა	xɛkʼɔlɑ
სასქესო	sɑskʰɛsɔ
პალო	pʼɑlɔ
სიფრიფანა	sipʰripʰɑnɑ
გაფუჭებული	ɡɑpʰut͡ʃʼɛbuli
უსირცხვილობა	usirt͡sxvilɔbɑ
დამარცვლა	dɑmɑrt͡svlɑ
გამალებული	ɡɑmɑlɛbuli
ნერვიული	nɛrviuli
ახლანდელი	ɑxlɑndɛli
დედამიწის	dɛdɑmit͡sʼis
ბაკალავრი	bɑkʼɑlɑvri
სურს	surs
ეფუზია	ɛpʰuziɑ
გამართულობა	ɡɑmɑrtʰulɔbɑ
ლიტვა	litʼvɑ
უზარმაზარი	uzɑrmɑzɑri
დატბორილად	dɑtʼbɔrilɑd
მეტრო	mɛtʼrɔ
დევი	dɛvi
ფილანტროპიულად	pʰilɑntʼrɔpʼiulɑd
ბაქიაობა	bɑkʰiɑɔbɑ
არაადეკვატური	ɑrɑɑdɛkʼvɑtʼuri
ყისმათი	qʼismɑtʰi
რებუსი	rɛbusi
აეროზოლი	ɑɛrɔzɔli
ურწმუნო	urt͡sʼmunɔ
გვირილა	ɡvirilɑ
პრეტენზიულად	pʼrɛtʼɛnziulɑd
ლოგარითმულად	lɔɡɑritʰmulɑd
პატრიკი	pʼɑtʼrikʼi
ხულიგნური	xuliɡnuri
ქოში	kʰɔʃi
მოვლის	mɔvlis
კოტორაანთკარი	kʼɔtʼɔrɑɑntʰkʼɑri
სამშობლო	sɑmʃɔblɔ
დაუბრუნდება	dɑubrundɛbɑ
უდიერობა	udiɛrɔbɑ
ფსიქოლოგიური	pʰsikʰɔlɔɡiuri
ჟიპიტაური	ʒipʼitʼɑuri
სამფეხა	sɑmpʰɛxɑ
ტიული	tʼiuli
მემონტაჟე	mɛmɔntʼɑʒɛ
გავარვარებულად	ɡɑvɑrvɑrɛbulɑd
ფოსტა	pʰɔstʼɑ
ათესვინებს	ɑtʰɛsvinɛbs
უზენაესი	uzɛnɑɛsi
იფეთქავს	ipʰɛtʰkʰɑvs
გასტრიტი	ɡɑstʼritʼi
არათითი	ɑrɑtʰitʰi
უმეგობრობა	umɛɡɔbrɔbɑ
დედიშობილა	dɛdiʃɔbilɑ
თამაშგარე	tʰɑmɑʃɡɑrɛ
წარჩინებული	t͡sʼɑrt͡ʃinɛbuli
სამართებელი	sɑmɑrtʰɛbɛli
კარიერისტი	kʼɑriɛristʼi
ბორბალა	bɔrbɑlɑ
ჩაძირული	t͡ʃɑd͡ziruli
ბალანსი	bɑlɑnsi
პირმშო	pʼirmʃɔ
უფეთქავს	upʰɛtʰkʰɑvs
საბჭოთი	sɑbt͡ʃʼɔtʰi
ცრუ	t͡sru
აკურატულად	ɑkʼurɑtʼulɑd
უნიფიკაცია	unipʰikʼɑt͡siɑ
ლაცაბიძე	lɑt͡sɑbid͡zɛ
ეტლი	ɛtʼli
ნავსადგურს	nɑvsɑdɡurs
არგო	ɑrɡɔ
თვითმპყრობლურად	tʰvitʰmpʼqʼrɔblurɑd
უქაღალდო	ukʰɑɣɑldɔ
ქალაბიჭა	kʰɑlɑbit͡ʃʼɑ
დაფარვა	dɑpʰɑrvɑ
განრისხებულად	ɡɑnrisxɛbulɑd
ამოცანა	ɑmɔt͡sɑnɑ
ფოტო	pʰɔtʼɔ
ლივრეა	livrɛɑ
აკვნებად	ɑkʼvnɛbɑd
ვიგინდარა	viɡindɑrɑ
პუნქტუალობა	pʼunkʰtʼuɑlɔbɑ
ნიკოლოზ	nikʼɔlɔz
მეტისმეტად	mɛtʼismɛtʼɑd
შარდი	ʃɑrdi
სოვერენი	sɔvɛrɛni
თბილად	tʰbilɑd
ბრაგვანი	brɑɡvɑni
ჯარბი	d͡ʒɑrbi
ტრაკი	tʼrɑkʼi
ფიცარნაგი	pʰit͡sɑrnɑɡi
გადასვლა	ɡɑdɑsvlɑ
აეხსნა	ɑɛxsnɑ
მანქანა	mɑnkʰɑnɑ
სუზანი	suzɑni
პრიმიტივისტი	pʼrimitʼivistʼi
გამოატანს	ɡɑmɔɑtʼɑns
კავშირად	kʼɑvʃirɑd
რქაწითელი	rkʰɑt͡sʼitʰɛli
ქრისტესისხლა	kʰristʼɛsisxlɑ
მწიფე	mt͡sʼipʰɛ
სენსაციონალიზმი	sɛnsɑt͡siɔnɑlizmi
ჭუჭყი	t͡ʃʼut͡ʃʼqʼi
უზრდელობა	uzrdɛlɔbɑ
ყურანი	qʼurɑni
მოდგმა	mɔdɡmɑ
წყალსადენი	t͡sʼqʼɑlsɑdɛni
კონტრაბანდა	kʼɔntʼrɑbɑndɑ
კვრა	kʼvrɑ
მაგ	mɑɡ
დაზგა	dɑzɡɑ
ოქრომა	ɔkʰrɔmɑ
ტფილისი	tʼpʰilisi
ინგლისის	inɡlisis
მოქნილად	mɔkʰnilɑd
მტყუანი	mtʼqʼuɑni
მელოდიურად	mɛlɔdiurɑd
მხიე	mxiɛ
სიწმინდე	sit͡sʼmindɛ
იარდი	iɑrdi
სინამდვილეში	sinɑmdvilɛʃi
ცელი	t͡sɛli
ოპორტუნისტი	ɔpʼɔrtʼunistʼi
დროგამოშვებით	drɔɡɑmɔʃvɛbitʰ
კეთილი	kʼɛtʰili
ნიშა	niʃɑ
სიმფონიური	simpʰɔniuri
ავტოსტოპი	ɑvtʼɔstʼɔpʼi
ფილმის	pʰilmis
თვარა	tʰvɑrɑ
აწვრილებს	ɑt͡sʼvrilɛbs
კუ	kʼu
ბოთე	bɔtʰɛ
ოქსფორდი	ɔkʰspʰɔrdi
უტილიტარისტი	utʼilitʼɑristʼi
გვშია	ɡvʃiɑ
კონფლიქტი	kʼɔnpʰlikʰtʼi
ქაოტური	kʰɑɔtʼuri
ევროპას	ɛvrɔpʼɑs
ველურობა	vɛlurɔbɑ
ბიოლოგიური	biɔlɔɡiuri
განრიგი	ɡɑnriɡi
წინწამოწეული	t͡sʼint͡sʼɑmɔt͡sʼɛuli
აკრძალვითად	ɑkʼrd͡zɑlvitʰɑd
უნებლიეთ	unɛbliɛtʰ
ესკალატორი	ɛskʼɑlɑtʼɔri
მინიატურა	miniɑtʼurɑ
ინფორმატიულად	inpʰɔrmɑtʼiulɑd
ხეხავს	xɛxɑvs
გასულიერება	ɡɑsuliɛrɛbɑ
მოაჯირი	mɔɑd͡ʒiri
მდებარეობა	mdɛbɑrɛɔbɑ
ტროპიკი	tʼrɔpʼikʼi
ყინვა	qʼinvɑ
ლეტალური	lɛtʼɑluri
დამარცხებული	dɑmɑrt͡sxɛbuli
უღირსი	uɣirsi
გარდაცვალებად	ɡɑrdɑt͡svɑlɛbɑd
ნემსი	nɛmsi
სატირა	sɑtʼirɑ
უშეცდომო	uʃɛt͡sdɔmɔ
ულვაშებიანი	ulvɑʃɛbiɑni
გადახრილი	ɡɑdɑxrili
ბომბავს	bɔmbɑvs
ცხოვრების	t͡sxɔvrɛbis
მუგუზალი	muɡuzɑli
კომპოსტერი	kʼɔmpʼɔstʼɛri
აურაცხელი	ɑurɑt͡sxɛli
იმპიჩმენტი	impʼit͡ʃmɛntʼi
გარდერობი	ɡɑrdɛrɔbi
გურიით	ɡuriitʰ
გზამ	ɡzɑm
ბუღალტერია	buɣɑltʼɛriɑ
საძილე	sɑd͡zilɛ
ერესი	ɛrɛsi
ქაჯი	kʰɑd͡ʒi
ციურიხი	t͡siurixi
წყლულები	t͡sʼqʼlulɛbi
გამოსაცდელი	ɡɑmɔsɑt͡sdɛli
პროფილაქტიკა	pʼrɔpʰilɑkʰtʼikʼɑ
ხორხსარქველი	xɔrxsɑrkʰvɛli
ჰერმეტულად	hɛrmɛtʼulɑd
ანგელოზი	ɑnɡɛlɔzi
პროგრესული	pʼrɔɡrɛsuli
ერეტიკოსი	ɛrɛtʼikʼɔsi
ყველი	qʼvɛli
მსოფლიომ	msɔpʰliɔm
პოლარიზაცია	pʼɔlɑrizɑt͡siɑ
სკანდიუმი	skʼɑndiumi
კენარი	kʼɛnɑri
პროზელიტი	pʼrɔzɛlitʼi
საზრიანობა	sɑzriɑnɔbɑ
ნავსადგურმა	nɑvsɑdɡurmɑ
სიროფი	sirɔpʰi
კვადრატი	kʼvɑdrɑtʼi
სასწაული	sɑst͡sʼɑuli
დისპეფსია	dispʼɛpʰsiɑ
საჩუქარი	sɑt͡ʃukʰɑri
ხანჯალი	xɑnd͡ʒɑli
გამატარეთ	ɡɑmɑtʼɑrɛtʰ
ბულდოზერი	buldɔzɛri
უდროო	udrɔɔ
ფსკერი	pʰskʼɛri
ირიდიუმი	iridiumi
სავაჭრო	sɑvɑt͡ʃʼrɔ
დაწყებითი	dɑt͡sʼqʼɛbitʰi
ღერძი	ɣɛrd͡zi
კლასიკოსი	kʼlɑsikʼɔsi
ზეფირი	zɛpʰiri
კიჩოზე	kʼit͡ʃɔzɛ
ვერ	vɛr
ხელსაქმე	xɛlsɑkʰmɛ
ალპინისტი	ɑlpʼinistʼi
ფეხსაცმელი	pʰɛxsɑt͡smɛli
ღრმად	ɣrmɑd
მდიდრული	mdidruli
რაიონი	rɑiɔni
მამაცი	mɑmɑt͡si
ფარგალი	pʰɑrɡɑli
ოსტატობა	ɔstʼɑtʼɔbɑ
სანაპირო	sɑnɑpʼirɔ
უსიამოვნო	usiɑmɔvnɔ
მეურნეობრივი	mɛurnɛɔbrivi
დამარწმუნებლად	dɑmɑrt͡sʼmunɛblɑd
ჭაბუკი	t͡ʃʼɑbukʼi
საგურამო	sɑɡurɑmɔ
ანგარიში	ɑnɡɑriʃi
ჯიგრაშენი	d͡ʒiɡrɑʃɛni
ყითა	qʼitʰɑ
გააწიწმატებს	ɡɑɑt͡sʼit͡sʼmɑtʼɛbs
მლოცვარე	mlɔt͡svɑrɛ
დახვრეტა	dɑxvrɛtʼɑ
მოცურავე	mɔt͡surɑvɛ
დაზიანებული	dɑziɑnɛbuli
ხუხულა	xuxulɑ
სარგებლობა	sɑrɡɛblɔbɑ
პროკურორი	pʼrɔkʼurɔri
მეტივე	mɛtʼivɛ
კალამბური	kʼɑlɑmburi
მნიშვნელოვნად	mniʃvnɛlɔvnɑd
კალაპოტი	kʼɑlɑpʼɔtʼi
გრძივი	ɡrd͡zivi
ტრუხა	tʼruxɑ
საზოგადო	sɑzɔɡɑdɔ
ჩვეული	t͡ʃvɛuli
ამუზია	ɑmuziɑ
დისტილაცია	distʼilɑt͡siɑ
სიმწარე	simt͡sʼɑrɛ
მანევრი	mɑnɛvri
წამოიწყებს	t͡sʼɑmɔit͡sʼqʼɛbs
ტკიპა	tʼkʼipʼɑ
იასამნისფერი	iɑsɑmnispʰɛri
უეჭველობა	uɛt͡ʃʼvɛlɔbɑ
ეკლესიამ	ɛkʼlɛsiɑm
ანტიბიოტიკი	ɑntʼibiɔtʼikʼi
აღჭურვილობა	ɑɣt͡ʃʼurvilɔbɑ
პოლარული	pʼɔlɑruli
ლეღვი	lɛɣvi
ტემბრი	tʼɛmbri
გრიგალი	ɡriɡɑli
კანდიდატი	kʼɑndidɑtʼi
მენთოლი	mɛntʰɔli
ელემენტარული	ɛlɛmɛntʼɑruli
აღარ	ɑɣɑr
დინამიზმი	dinɑmizmi
ასუფთავებს	ɑsupʰtʰɑvɛbs
სტაბილურად	stʼɑbilurɑd
ესპარცეტი	ɛspʼɑrt͡sɛtʼi
მეგალითური	mɛɡɑlitʰuri
ფილაკვანი	pʰilɑkʼvɑni
ხვრელი	xvrɛli
სანიტარული	sɑnitʼɑruli
ატროფია	ɑtʼrɔpʰiɑ
მარტით	mɑrtʼitʰ
კატაბარდა	kʼɑtʼɑbɑrdɑ
ატრიალებს	ɑtʼriɑlɛbs
მამრი	mɑmri
ავხორცობა	ɑvxɔrt͡sɔbɑ
სესია	sɛsiɑ
სიკვდილი	sikʼvdili
აკუსტიკური	ɑkʼustʼikʼuri
თავლა	tʰɑvlɑ
ანთრაციტი	ɑntʰrɑt͡sitʼi
ობი	ɔbi
ნატურმორტი	nɑtʼurmɔrtʼi
ზაფხულმა	zɑpʰxulmɑ
სიბნელე	sibnɛlɛ
რობოტი	rɔbɔtʼi
მაჭარი	mɑt͡ʃʼɑri
ტიპოგრაფია	tʼipʼɔɡrɑpʰiɑ
მოკლე	mɔkʼlɛ
შემბრალებელი	ʃɛmbrɑlɛbɛli
აზიმუტი	ɑzimutʼi
ვაგონი	vɑɡɔni
ამომწურავად	ɑmɔmt͡sʼurɑvɑd
მონოგამია	mɔnɔɡɑmiɑ
ნიკოლი	nikʼɔli
აბაიშვილი	ɑbɑiʃvili
ვოლტი	vɔltʼi
ალერსი	ɑlɛrsi
საბავშვო	sɑbɑvʃvɔ
თეოლოგიური	tʰɛɔlɔɡiuri
არსებები	ɑrsɛbɛbi
ტყნაური	tʼqʼnɑuri
ჩადის	t͡ʃɑdis
ხინკალი	xinkʼɑli
ფეხსაცმლის	pʰɛxsɑt͡smlis
ორიანი	ɔriɑni
ინკუბატორი	inkʼubɑtʼɔri
მაყუთი	mɑqʼutʰi
გაქვს	ɡɑkʰvs
გოგოები	ɡɔɡɔɛbi
სწორედ	st͡sʼɔrɛd
ფერმა	pʰɛrmɑ
ხავერდოვანი	xɑvɛrdɔvɑni
ფონეტიკოსი	pʰɔnɛtʼikʼɔsi
უგემური	uɡɛmuri
ბმა	bmɑ
აქატი	ɑkʰɑtʼi
მორევი	mɔrɛvi
ამბობს	ɑmbɔbs
ალოე	ɑlɔɛ
ეჯი	ɛd͡ʒi
ზათქი	zɑtʰkʰi
შუაში	ʃuɑʃi
აძლევს	ɑd͡zlɛvs
სერიოზულობა	sɛriɔzulɔbɑ
ერევანი	ɛrɛvɑni
დაასრულებს	dɑɑsrulɛbs
უგრძნობლად	uɡrd͡znɔblɑd
ხველება	xvɛlɛbɑ
მოგვიანებით	mɔɡviɑnɛbitʰ
კაური	kʼɑuri
გრიფონი	ɡripʰɔni
ზოგჯერ	zɔɡd͡ʒɛr
ყვავილი	qʼvɑvili
დავითნი	dɑvitʰni
საკმარისად	sɑkʼmɑrisɑd
შორეული	ʃɔrɛuli
ბუნგალო	bunɡɑlɔ
გამოითქმოდა	ɡɑmɔitʰkʰmɔdɑ
ერთადერთი	ɛrtʰɑdɛrtʰi
კრეჭს	kʼrɛt͡ʃʼs
ბრა	brɑ
რევოლუცია	rɛvɔlut͡siɑ
დავლური	dɑvluri
ცერემონიალი	t͡sɛrɛmɔniɑli
მქრქალი	mkʰrkʰɑli
არასრულად	ɑrɑsrulɑd
ალი	ɑli
დაიპყრობს	dɑipʼqʼrɔbs
აცეტატი	ɑt͡sɛtʼɑtʼi
მოუქნელად	mɔukʰnɛlɑd
გვერდად	ɡvɛrdɑd
მაგნატი	mɑɡnɑtʼi
არმცოდნე	ɑrmt͡sɔdnɛ
მაისურა	mɑisurɑ
შეუსრულებელი	ʃɛusrulɛbɛli
ინტერესი	intʼɛrɛsi
დასაჯერებელი	dɑsɑd͡ʒɛrɛbɛli
გადის	ɡɑdis
ჰიდრავლიკურად	hidrɑvlikʼurɑd
პოლიტიკა	pʼɔlitʼikʼɑ
უწესრიგოდ	ut͡sʼɛsriɡɔd
გარგარი	ɡɑrɡɑri
სექციებით	sɛkʰt͡siɛbitʰ
მდებარეობს	mdɛbɑrɛɔbs
ამომჭმელი	ɑmɔmt͡ʃʼmɛli
წვრილად	t͡sʼvrilɑd
კარის	kʼɑris
უხერხული	uxɛrxuli
ავსტრალია	ɑvstʼrɑliɑ
კრისტალი	kʼristʼɑli
გოგირდი	ɡɔɡirdi
ოთხმაგი	ɔtʰxmɑɡi
ანტარქტიკული	ɑntʼɑrkʰtʼikʼuli
ბეირუთი	bɛirutʰi
გადაწყვეტს	ɡɑdɑt͡sʼqʼvɛtʼs
დეკლამაცია	dɛkʼlɑmɑt͡siɑ
ყურძენი	qʼurd͡zɛni
შაშიაშვილი	ʃɑʃiɑʃvili
აუქციონი	ɑukʰt͡siɔni
ათენური	ɑtʰɛnuri
ხსნის	xsnis
მიაყოლეთ	miɑqʼɔlɛtʰ
მობილიზაცია	mɔbilizɑt͡siɑ
ფრესკა	pʰrɛskʼɑ
მადაგასკარი	mɑdɑɡɑskʼɑri
ზამბახი	zɑmbɑxi
