높으락낮으락하다	no̞pʰɯɾa̠ŋna̠d͡ʑɯɾa̠kʰa̠da̠
화해시키다	ɸwa̠ɦɛ̝ɕʰikçida̠
사돈댁	sʰa̠do̞ndɛ̝k̚
춘만	t͡ɕʰunma̠n
졸졸거리다	t͡ɕo̞ɭd͡ʑo̞ɭɡʌ̹ɾida̠
두면	tumjʌ̹n
이레	iɾe̞
독립국가연합	to̞ŋnip̚k͈uk̚k͈a̠jʌ̹nɦa̠p̚
버릊거리다	pʌ̹ɾɯt̚k͈ʌ̹ɾida̠
참외	t͡ɕʰa̠mø̞,t͡ɕʰa̠mwe̞
노래방	no̞ɾɛ̝ba̠ŋ
방해되다	pa̠ŋɦɛ̝dø̞da̠,pa̠ŋɦɛ̝dwe̞da̠
평음	pʰjʌ̹ŋɯm
농장	no̞ŋd͡ʑa̠ŋ
하리망당히	ha̠ɾima̠ŋda̠ŋʝi
멱수	mjʌ̹ks͈u
빙식단구	piŋɕʰik̚t͈a̠nɡu
시럽다	ɕʰiɾʌ̹p̚t͈a̠
종대	t͡ɕo̞ŋdɛ̝
영영	jʌ̹ŋjʌ̹ŋ
세탁기	sʰe̞tʰa̠k̚k͈i
애	ɛ̝
가관절증	ˈka̠ːɡwa̠nd͡ʑʌ̹ɭt͡ɕ͈ɯŋ
처치하다	t͡ɕʰʌ̹t͡ɕʰiɦa̠da̠
창고	t͡ɕʰa̠ŋɡo̞
강뚱	ka̠ŋt͈uŋ
명도신청	mjʌ̹ŋdo̞ɕʰint͡ɕʰʌ̹ŋ
소택지	sʰo̞tʰɛ̝k̚t͡ɕ͈i
판뜩	pʰa̠nt͈ɯk̚
우그리다	uɡɯɾida̠
서열화되다	sʰʌ̹jʌ̹ɾβwa̠dø̞da̠,sʰʌ̹jʌ̹ɾβwa̠dwe̞da̠
얼밋얼밋하다	ʌ̹ɭmidʌ̹ɭmitʰa̠da̠
옛이야기	je̞ɕʰija̠ɡi
바가각거리다	pa̠ɡa̠ɡa̠k̚k͈ʌ̹ɾida̠
아랫입술	a̠ɾɛ̝ɕʰips͈uɭ
생득적	sʰɛ̝ŋdɯk̚t͡ɕ͈ʌ̹k̚
미납자	mina̠p̚t͡ɕ͈a̠
암거래상	a̠mɡʌ̹ɾɛ̝sʰa̠ŋ
화하다	ɸwa̠ɦa̠da̠
공손	ko̞ŋsʰo̞n
자드락자드락하다	t͡ɕa̠dɯɾa̠k̚t͡ɕ͈a̠dɯɾa̠kʰa̠da̠
판형	pʰa̠nʝjʌ̹ŋ
구형돌가재	kuʝjʌ̹ŋdo̞ɭɡa̠d͡ʑɛ̝
교전국	kjod͡ʑʌ̹nɡuk̚
보조동사	po̞d͡ʑo̞do̞ŋsʰa̠
기단	kida̠n
자연식품	t͡ɕa̠jʌ̹nɕʰik̚pʰum
판단중지	pʰa̠nda̠nd͡ʑuŋd͡ʑi
석필석	sʰʌ̹k̚pʰiɭsʰʌ̹k̚
식물표본	ɕʰiŋmuɭpʰjobo̞n
씽긋이	ɕ͈iŋɡɯɕʰi
벌차기	pʌ̹ɭt͡ɕʰa̠ɡi
자포자기되다	t͡ɕa̠pʰo̞d͡ʑa̠ɡidø̞da̠,t͡ɕa̠pʰo̞d͡ʑa̠ɡidwe̞da̠
삼계탕	sʰa̠mɡje̞tʰa̠ŋ,sʰa̠mɡe̞tʰa̠ŋ
추출	t͡ɕʰut͡ɕʰuɭ
존	t͡ɕo̞n
양복장	ja̠ŋbo̞k̚t͡ɕ͈a̠ŋ
판제	pʰa̠nd͡ʑe̞
자행되다	t͡ɕa̠ɦɛ̝ŋdø̞da̠,t͡ɕa̠ɦɛ̝ŋdwe̞da̠
물증	muɭd͡ʑɯŋ
숙덜숙덜하다	sʰuk̚t͈ʌ̹ɭsʰuk̚t͈ʌ̹ɾɦa̠da̠
바리캉	pa̠ɾikʰa̠ŋ
친정어머니	t͡ɕʰind͡ʑʌ̹ŋʌ̹mʌ̹ni
바그극대다	pa̠ɡɯɡɯk̚t͈ɛ̝da̠
수지연필	sʰud͡ʑijʌ̹npʰiɭ
차끈차끈하다	t͡ɕʰa̠k͈ɯnt͡ɕʰa̠k͈ɯnɦa̠da̠
방울뱀	pa̠ŋuɭbɛ̝m
저벅하다	t͡ɕʌ̹bʌ̹kʰa̠da̠
능글능글하다	nɯŋɡɯɭɭɯŋɡɯɾɦa̠da̠
바람맞이	pa̠ɾa̠mma̠d͡ʑi
매매결혼	mɛ̝mɛ̝ɡjʌ̹ɾβo̞n
분합하다	punɦa̠pʰa̠da̠
엔간	e̞nɡa̠n
타협	tʰa̠ʝjʌ̹p̚
사무처	sʰa̠mut͡ɕʰʌ̹
토관직	tʰo̞ɡwa̠nd͡ʑik̚
자빠트리다	t͡ɕa̠p͈a̠tʰɯɾida̠
제판	t͡ɕe̞pʰa̠n
복사대비	po̞ks͈a̠dɛ̝bi
팔팔 올림픽 고속도로	pʰa̠ɭpʰa̠ɭo̞ɭʎimpʰik̚ko̞sʰo̞k̚t͈o̞ɾo̞
다리헤염	ta̠ɾiɦe̞jʌ̹m
대여업	tɛ̝jʌ̹ʌ̹p̚
집광기	t͡ɕip̚k͈wa̠ŋɡi
면도하다	mjʌ̹ndo̞ɦa̠da̠
한중간	ha̠nd͡ʑuŋɡa̠n
웨이트리스	we̞itʰɯɾisʰɯ
화닥닥대다	ɸwa̠da̠k̚t͈a̠k̚t͈ɛ̝da̠
분방	punba̠ŋ
홍대하다	ɸʷo̞ŋdɛ̝ɦa̠da̠
연개	jʌ̹nɡɛ̝
돈유	to̞ɲju
쟁취하다	t͡ɕɛ̝ŋt͡ɕʰɥiɦa̠da̠,t͡ɕɛ̝ŋt͡ɕʰyɦa̠da̠
타랑거리다	tʰa̠ɾa̠ŋɡʌ̹ɾida̠
랍치되다	ɾa̠p̚t͡ɕʰidø̞da̠,ɾa̠p̚t͡ɕʰidwe̞da̠
찰나	t͡ɕʰa̠ɭɭa̠
씰룩	ɕ͈iɭɭuk̚
고만	ko̞ma̠n
솔로몬제도	sʰo̞ɭɭo̞mo̞nd͡ʑe̞do̞
시방정토	ɕʰiba̠ŋd͡ʑʌ̹ŋtʰo̞
대선	tɛ̝sʰʌ̹n
견유학파	kjʌ̹ɲjuɦa̠k̚pʰa̠
개나리	kɛ̝na̠ɾi
탈칵거리다	tʰa̠ɭkʰa̠k̚k͈ʌ̹ɾida̠
대뚝대뚝하다	tɛ̝t͈uk̚t͈ɛ̝t͈ukʰa̠da̠
깐딱거리다	k͈a̠nt͈a̠k̚k͈ʌ̹ɾida̠
먹이다	mʌ̹ɡida̠
유통경제	jutʰo̞ŋɡjʌ̹ŋd͡ʑe̞
종합경제	t͡ɕo̞ŋɦa̠p̚k͈jʌ̹ŋd͡ʑe̞
궤변학파	kwe̞bjʌ̹nɦa̠k̚pʰa̠
켈트족	kʰe̞ɭtʰɯd͡ʑo̞k̚
젊은	t͡ɕʌ̹ɭmɯn
벌씸벌씸하다	pʌ̹ɭɕ͈imbʌ̹ɭɕ͈imɦa̠da̠
오롱조롱하다	o̞ɾo̞ŋd͡ʑo̞ɾo̞ŋɦa̠da̠
예까쩨린부르그	je̞k͈a̠t͡ɕ͈e̞ɾinbuɾɯɡɯ
조몰락거리다	t͡ɕo̞mo̞ɭɭa̠k̚k͈ʌ̹ɾida̠
대여되다	tɛ̝jʌ̹dø̞da̠,tɛ̝jʌ̹dwe̞da̠
골가랑하다	ko̞ɭɡa̠ɾa̠ŋɦa̠da̠
쓰다듬다	s͈ɯda̠dɯmda̠
멜버른	me̞ɭbʌ̹ɾɯn
포장비	pʰo̞d͡ʑa̠ŋbi
경배하다	kjʌ̹ŋbɛ̝ɦa̠da̠
찬기	t͡ɕʰa̠nɡi
생명록	sʰɛ̝ŋmjʌ̹ŋno̞k̚
유행성이하선염	juɦɛ̝ŋsʰʌ̹ŋiɦa̠sʰʌ̹ɲjʌ̹m
엄준하다	ʌ̹md͡ʑunɦa̠da̠
톨라당톨라당	tʰo̞ɭɭa̠da̠ŋtʰo̞ɭɭa̠da̠ŋ
대교	tɛ̝ɡjo
경도풍	kjʌ̹ŋdo̞pʰuŋ
대한	tɛ̝ɦa̠n
눅다	nuk̚t͈a̠
민생주의	minsʰɛ̝ŋd͡ʑuɰi
차량	t͡ɕʰa̠ɾja̠ŋ
주름살	t͡ɕuɾɯmsʰa̠ɭ
마케도니아	ma̠kʰe̞do̞nia̠
권속	kwʌ̹nsʰo̞k̚
꼬약	k͈o̞ja̠k̚
중자음	t͡ɕuŋd͡ʑa̠ɯm
전념	t͡ɕʌ̹nɲjʌ̹m
반둥건둥하다	pa̠nduŋɡʌ̹nduŋɦa̠da̠
칙령	t͡ɕʰiŋɲjʌ̹ŋ
신학교	ɕʰinɦa̠k̚k͈jo
망	ma̠ŋ
고롱대다	ko̞ɾo̞ŋdɛ̝da̠
뒤적	tɥid͡ʑʌ̹k̚,tyd͡ʑʌ̹k̚
미우다	miuda̠
사기단	sʰa̠ɡida̠n
통일하다	tʰo̞ŋiɾɦa̠da̠
매실주	mɛ̝ɕʰiɭd͡ʑu
찌꿍하다	t͡ɕ͈ik͈uŋɦa̠da̠
부리부리하다	puɾibuɾiɦa̠da̠
랑독	ɾa̠ŋdo̞k̚
유니콘	junikʰo̞n
느슨히	nɯsʰɯnʝi
부글	puɡɯɭ
갸울딱갸울딱	kja̠uɭt͈a̠k̚k͈ja̠uɭt͈a̠k̚
대령	tɛ̝ɾjʌ̹ŋ
어따	ʌ̹t͈a̠
절망	t͡ɕʌ̹ɭma̠ŋ
거벅거리다	kʌ̹bʌ̹k̚k͈ʌ̹ɾida̠
부질없다	pud͡ʑiɾʌ̹p̚t͈a̠
생기판	sʰɛ̝ŋɡipʰa̠n
근멸	kɯnmjʌ̹ɭ
사박대다	sʰa̠ba̠k̚t͈ɛ̝da̠
책꽂이	t͡ɕʰɛ̝k̚k͈o̞d͡ʑi
꿈질꿈질하다	k͈umd͡ʑiɭk͈umd͡ʑiɾɦa̠da̠
전출자	t͡ɕʌ̹nt͡ɕʰuɭd͡ʑa̠
호뜰호뜰	ɸʷo̞t͈ɯɾβo̞t͈ɯɭ
소리	sʰo̞ɾi
집필진	t͡ɕip̚pʰiɭd͡ʑin
설명적	sʰʌ̹ɭmjʌ̹ŋd͡ʑʌ̹k̚
수제천	sʰud͡ʑe̞t͡ɕʰʌ̹n
밤싸라기	pa̠ms͈a̠ɾa̠ɡi
본적지	po̞nd͡ʑʌ̹k̚t͡ɕ͈i
사뿐거리다	sʰa̠p͈unɡʌ̹ɾida̠
엽차	jʌ̹p̚t͡ɕʰa̠
달짝지근히	ta̠ɭt͡ɕ͈a̠k̚t͡ɕ͈iɡɯnʝi
능소능대	nɯŋsʰo̞nɯŋdɛ̝
아서라	a̠sʰʌ̹ɾa̠
아귀다툼	a̠ɡɥida̠tʰum,a̠ɡyda̠tʰum
촌평	t͡ɕʰo̞npʰjʌ̹ŋ
동어반복	to̞ŋʌ̹ba̠nbo̞k̚
씨물쌔물하다	ɕ͈imuɭs͈ɛ̝muɾɦa̠da̠
관찰부	kwa̠nt͡ɕʰa̠ɭbu
미몽	mimo̞ŋ
가바야키	ka̠ba̠ja̠kçi
튀기	tʰɥiɡi,tʰyɡi
봄베기	po̞mbe̞ɡi
바람맞다	pa̠ɾa̠mma̠t̚t͈a̠
만료되다	ma̠ɭʎjodø̞da̠,ma̠ɭʎjodwe̞da̠
자기중심주의	t͡ɕa̠ɡid͡ʑuŋɕʰimd͡ʑuɰi
제기	t͡ɕe̞ɡi
오물	o̞muɭ
초원	t͡ɕʰo̞wʌ̹n
한창나이	ha̠nt͡ɕʰa̠ŋna̠i
신경	ɕʰinɡjʌ̹ŋ
보리막걸리	po̞ɾima̠k̚k͈ʌ̹ɭʎi
핵자기	hɛ̝k̚t͡ɕ͈a̠ɡi
우둘푸둘하다	uduɭpʰuduɾɦa̠da̠
꼬독하다	k͈o̞do̞kʰa̠da̠
변상	pjʌ̹nsʰa̠ŋ
얽둑얽둑	ʌ̹k̚t͈uɡʌ̹k̚t͈uk̚
근담보	kɯnda̠mbo̞
우동	udo̞ŋ
구풀구풀하다	kupʰuɭɡupʰuɾɦa̠da̠
미분명	mibunmjʌ̹ŋ
신문지	ɕʰinmund͡ʑi
양자	ja̠ŋd͡ʑa̠
횡단비행	hø̞ŋda̠nbiɦɛ̝ŋ,ɸwe̞ŋda̠nbiɦɛ̝ŋ
담용	ta̠mjoŋ
체관	t͡ɕʰe̞ɡwa̠n
도구	to̞ɡu
인쇄기	insʰwɛ̝ɡi
매시근하다	mɛ̝ɕʰiɡɯnɦa̠da̠
구제비	kud͡ʑe̞bi
경칭	kjʌ̹ŋt͡ɕʰiŋ
위원회	ɥiwʌ̹nɦø̞,ɥiwʌ̹nβwe̞,ywʌ̹nɦø̞,ywʌ̹nβwe̞
사산율	sʰa̠sʰa̠ɲjuɭ
엉절엉절	ʌ̹ŋd͡ʑʌ̹ɾʌ̹ŋd͡ʑʌ̹ɭ
판각본	pʰa̠nɡa̠k̚p͈o̞n
전통주의	t͡ɕʌ̹ntʰo̞ŋd͡ʑuɰi
땅딸막	t͈a̠ŋt͈a̠ɭma̠k̚
도무지	to̞mud͡ʑi
서양철학	sʰʌ̹ja̠ŋt͡ɕʰʌ̹ɾɦa̠k̚
고속철도	ko̞sʰo̞k̚t͡ɕʰʌ̹ɭdo̞
개우뚱개우뚱	kɛ̝ut͈uŋɡɛ̝ut͈uŋ
애도하다	ɛ̝do̞ɦa̠da̠
위임통치	ɥiimtʰo̞ŋt͡ɕʰi,yimtʰo̞ŋt͡ɕʰi
덜걱이다	tʌ̹ɭɡʌ̹ɡida̠
터펄대다	tʰʌ̹pʰʌ̹ɭdɛ̝da̠
된서리	tø̞nsʰʌ̹ɾi,twe̞nsʰʌ̹ɾi
등압	tɯŋa̠p̚
당원질	ta̠ŋwʌ̹nd͡ʑiɭ
복직	po̞k̚t͡ɕ͈ik̚
승수	sʰɯŋsʰu
구미납	kumina̠p̚
찌그덕찌그덕	t͡ɕ͈iɡɯdʌ̹k̚t͡ɕ͈iɡɯdʌ̹k̚
천연색텔레비전	t͡ɕʰʌ̹ɲjʌ̹nsʰɛ̝k̚tʰe̞ɭɭe̞bid͡ʑʌ̹n
송전선	sʰo̞ŋd͡ʑʌ̹nsʰʌ̹n
서글프다	sʰʌ̹ɡɯɭpʰɯda̠
연민	jʌ̹nmin
신이포	ɕʰinipʰo̞
렌즈	ɾe̞nd͡ʑɯ
일직사령	iɭd͡ʑiks͈a̠ɾjʌ̹ŋ
부드등부드등	pudɯdɯŋbudɯdɯŋ
평인	pʰjʌ̹ŋin
달까닥하다	ta̠ɭk͈a̠da̠kʰa̠da̠
치통	t͡ɕʰitʰo̞ŋ
몸낮추어피하기	mo̞mna̠t̚t͡ɕʰuʌ̹pʰiɦa̠ɡi
목괴포장	mo̞k̚k͈ø̞pʰo̞d͡ʑa̠ŋ,mo̞k̚k͈we̞pʰo̞d͡ʑa̠ŋ
식료	ɕʰiŋɲjo
호들호들	ɸʷo̞dɯɾβo̞dɯɭ
훈요십조	ɸʷuɲjoɕʰip̚t͡ɕ͈o̞
투덕	tʰudʌ̹k̚
적나라하다	t͡ɕʌ̹ŋna̠ɾa̠ɦa̠da̠
가하다	ka̠ɦa̠da̠
급경사	kɯp̚k͈jʌ̹ŋsʰa̠
헌금	hʌ̹nɡɯm
음복	ɯmbo̞k̚
깔때기염	k͈a̠ɭt͈ɛ̝ɡijʌ̹m
벼랑	pjʌ̹ɾa̠ŋ
고부랑길	ko̞buɾa̠ŋɡiɭ
피아니스트	pʰia̠nisʰɯtʰɯ
나마가시	na̠ma̠ɡa̠ɕʰi
들멍들멍하다	tɯɭmʌ̹ŋdɯɭmʌ̹ŋɦa̠da̠
가쯘히	ka̠t͡ɕ͈ɯnʝi
발끈거리다	pa̠ɭk͈ɯnɡʌ̹ɾida̠
호스티스	ɸʷo̞sʰɯtʰisʰɯ
흡입요법	xɯbibjobʌ̹p̚
사기횡령	sʰa̠ɡiɦø̞ŋɲjʌ̹ŋ,sʰa̠ɡiβwe̞ŋɲjʌ̹ŋ
뻔뻔	p͈ʌ̹np͈ʌ̹n
가뜩하다	ka̠t͈ɯkʰa̠da̠
방중	pa̠ŋd͡ʑuŋ
해수욕장	hɛ̝sʰujok̚t͡ɕ͈a̠ŋ
몽상가	mo̞ŋsʰa̠ŋɡa̠
예술미	je̞sʰuɭmi
추산	t͡ɕʰusʰa̠n
군국	kunɡuk̚
맹꽁맹꽁	mɛ̝ŋk͈o̞ŋmɛ̝ŋk͈o̞ŋ
택시	tʰɛ̝kɕ͈i
갸우스름	kja̠usʰɯɾɯm
복선화음	po̞ks͈ʌ̹nβwa̠ɯm
안창	a̠nt͡ɕʰa̠ŋ
목낭청조	mo̞ŋna̠ŋt͡ɕʰʌ̹ŋd͡ʑo̞
명판	mjʌ̹ŋpʰa̠n
폄박	pʰjʌ̹mba̠k̚
팩스	pʰɛ̝ks͈ɯ
부근	puɡɯn
음률	ɯmɲjuɭ
초가	t͡ɕʰo̞ɡa̠
독립기념일	to̞ŋnip̚k͈iɲjʌ̹miɭ
꽈들꽈들하다	k͈wa̠dɯɭk͈wa̠dɯɾɦa̠da̠
당서	ta̠ŋsʰʌ̹
하사관	ha̠sʰa̠ɡwa̠n
붙이	put͡ɕʰi
울먹하다	uɭmʌ̹kʰa̠da̠
조착조착하다	t͡ɕo̞t͡ɕʰa̠k̚t͡ɕ͈o̞t͡ɕʰa̠kʰa̠da̠
자못	t͡ɕa̠mo̞t̚
터울	tʰʌ̹uɭ
횡간	hø̞ŋɡa̠n,ɸwe̞ŋɡa̠n
풀럭	pʰuɭɭʌ̹k̚
찡얼	t͡ɕ͈iŋʌ̹ɭ
갖은	ka̠d͡ʑɯn
명중탄	mjʌ̹ŋd͡ʑuŋtʰa̠n
몌별	mje̞bjʌ̹ɭ,me̞bjʌ̹ɭ
대우주	tɛ̝ud͡ʑu
압류하다	a̠mɲjuɦa̠da̠
특가	tʰɯk̚k͈a̠
순압대기	sʰuna̠p̚t͈ɛ̝ɡi
쌈빡쌈빡하다	s͈a̠mp͈a̠ks͈a̠mp͈a̠kʰa̠da̠
마저	ma̠d͡ʑʌ̹
최고	t͡ɕʰø̞ɡo̞,t͡ɕʰwe̞ɡo̞
씰기죽대다	ɕ͈iɭɡid͡ʑuk̚t͈ɛ̝da̠
갈갈대다	ka̠ɭɡa̠ɭdɛ̝da̠
극약	kɯɡja̠k̚
게걸	ke̞ɡʌ̹ɭ
수익체감	sʰuik̚t͡ɕʰe̞ɡa̠m
자만하다	t͡ɕa̠ma̠nɦa̠da̠
경인	kjʌ̹ŋin
어판장	ʌ̹pʰa̠nd͡ʑa̠ŋ
적폐	t͡ɕʌ̹k̚pʰje̞,t͡ɕʌ̹k̚pʰe̞
허부룩이	hʌ̹buɾuɡi
괴석	kø̞sʰʌ̹k̚,kwe̞sʰʌ̹k̚
문물	munmuɭ
아웅아웅	a̠uŋa̠uŋ
허들	hʌ̹dɯɭ
폭위	pʰo̞ɡɥi,pʰo̞ɡy
천연염료	t͡ɕʰʌ̹ɲjʌ̹ɲjʌ̹mɲjo
과보호	kwa̠bo̞βo̞
시설맞다	ɕʰisʰʌ̹ɭma̠t̚t͈a̠
씰긋쌜긋하다	ɕ͈iɭɡɯt̚s͈ɛ̝ɭɡɯtʰa̠da̠
둥실	tuŋɕʰiɭ
나르다	na̠ɾɯda̠
대성	tɛ̝sʰʌ̹ŋ
징병제도	t͡ɕiŋbjʌ̹ŋd͡ʑe̞do̞
구매력	kumɛ̝ɾjʌ̹k̚
아제르바이잔	a̠d͡ʑe̞ɾɯba̠id͡ʑa̠n
승멱순	sʰɯŋmjʌ̹ks͈un
면허세	mjʌ̹nɦʌ̹sʰe̞
높이다	no̞pʰida̠
방사능	pa̠ŋsʰa̠nɯŋ
위문	ɥimun,ymun
끼룩거리다	k͈iɾuk̚k͈ʌ̹ɾida̠
덜거덩	tʌ̹ɭɡʌ̹dʌ̹ŋ
간뎅이	ka̠nde̞ŋi
일색	iɭsʰɛ̝k̚
종아리뼈	t͡ɕo̞ŋa̠ɾip͈jʌ̹
움쩍하다	umt͡ɕ͈ʌ̹kʰa̠da̠
화다닥거리다	ɸwa̠da̠da̠k̚k͈ʌ̹ɾida̠
현재일기	çjʌ̹nd͡ʑɛ̝iɭɡi
희다	çida̠
서삼촌	sʰʌ̹sʰa̠mt͡ɕʰo̞n
만필	ma̠npʰiɭ
승순	sʰɯŋsʰun
돌연	to̞ɾjʌ̹n
심약하다	ɕʰimja̠kʰa̠da̠
자분거리다	t͡ɕa̠bunɡʌ̹ɾida̠
궐석	kwʌ̹ɭsʰʌ̹k̚
덩싯거리다	tʌ̹ŋɕʰit̚k͈ʌ̹ɾida̠
간병	ka̠nbjʌ̹ŋ
평경	pʰjʌ̹ŋɡjʌ̹ŋ
교토 시	kjotʰo̞ɕʰi
관장기	kwa̠nd͡ʑa̠ŋɡi
일용	iɾjoŋ
오물쪼물하다	o̞muɭt͡ɕ͈o̞muɾɦa̠da̠
잠농	t͡ɕa̠mno̞ŋ
산란무통	sʰa̠ɭɭa̠nmutʰo̞ŋ
장유유서	t͡ɕa̠ŋjujusʰʌ̹
수리	sʰuɾi
쌀래	s͈a̠ɭɭɛ̝
답사	ta̠ps͈a̠
아스피린	a̠sʰɯpʰiɾin
가엄	ka̠ʌ̹m
신자	ɕʰind͡ʑa̠
코발트	kʰo̞ba̠ɭtʰɯ
직설법	t͡ɕiks͈ʌ̹ɭbʌ̹p̚
자궁병	t͡ɕa̠ɡuŋbjʌ̹ŋ
두숙류	tusʰuŋɲju
한칼	ha̠nkʰa̠ɭ
오지끈자끈하다	o̞d͡ʑik͈ɯnd͡ʑa̠k͈ɯnɦa̠da̠
수소폭탄	sʰusʰo̞pʰo̞k̚tʰa̠n
짜랑하다	t͡ɕ͈a̠ɾa̠ŋɦa̠da̠
금석학	kɯmsʰʌ̹kʰa̠k̚
바끄러움	pa̠k͈ɯɾʌ̹um
박신박신	pa̠kɕ͈inba̠kɕ͈in
냠냠	ɲja̠mɲja̠m
모선	mo̞sʰʌ̹n
달싹꿍	ta̠ɭs͈a̠k̚k͈uŋ
바사삭바사삭	pa̠sʰa̠sʰa̠k̚p͈a̠sʰa̠sʰa̠k̚
까딱	k͈a̠t͈a̠k̚
잔당	t͡ɕa̠nda̠ŋ
구붓	kubut̚
오래되다	o̞ɾɛ̝dø̞da̠,o̞ɾɛ̝dwe̞da̠
보퉁이	po̞tʰuŋi
똥값	t͈o̞ŋɡa̠p̚
코릿코릿	kʰo̞ɾit̚kʰo̞ɾit̚
태환은행	tʰɛ̝βwa̠nɯnɦɛ̝ŋ
중과부적	t͡ɕuŋɡwa̠bud͡ʑʌ̹k̚
억눌리다	ʌ̹ŋnuɭʎida̠
태양전파	tʰɛ̝ja̠ŋd͡ʑʌ̹npʰa̠
정소	t͡ɕʌ̹ŋsʰo̞
자포자기하다	t͡ɕa̠pʰo̞d͡ʑa̠ɡiɦa̠da̠
봉피	po̞ŋpʰi
목탄	mo̞k̚tʰa̠n
선뜻	sʰʌ̹nt͈ɯt̚
밝은띠 에코	pa̠ɭɡɯnt͈ie̞kʰo̞
쉽다	ʃʰɥip̚t͈a̠,ʃʰyp̚t͈a̠
극음악	kɯɡɯma̠k̚
평시봉쇄	pʰjʌ̹ŋɕʰibo̞ŋsʰwɛ̝
전래어	t͡ɕʌ̹ɭɭɛ̝ʌ̹
방탄복	pa̠ŋtʰa̠nbo̞k̚
블루오션	pɯɭɭuo̞ɕʰjʌ̹n
화물	ɸwa̠muɭ
고부슴히	ko̞busʰɯmʝi
찬부	t͡ɕʰa̠nbu
구급책	kuɡɯp̚t͡ɕʰɛ̝k̚
테러	tʰe̞ɾʌ̹
배신하다	pɛ̝ɕʰinɦa̠da̠
시들대다	ɕʰidɯɭdɛ̝da̠
등장하다	tɯŋd͡ʑa̠ŋɦa̠da̠
찰파닥	t͡ɕʰa̠ɭpʰa̠da̠k̚
경화증	kjʌ̹ŋβwa̠d͡ʑɯŋ
이행하다	iɦɛ̝ŋɦa̠da̠
반대하다	pa̠ndɛ̝ɦa̠da̠
선행	sʰʌ̹nɦɛ̝ŋ
좋아	t͡ɕo̞a̠
참여하다	t͡ɕʰa̠mjʌ̹ɦa̠da̠
아로새겨지다	a̠ɾo̞sʰɛ̝ɡjʌ̹d͡ʑida̠
휘청하다	hɥit͡ɕʰʌ̹ŋɦa̠da̠,hyt͡ɕʰʌ̹ŋɦa̠da̠
염치머리	jʌ̹mt͡ɕʰimʌ̹ɾi
과용	kwa̠joŋ
마주잡기	ma̠d͡ʑud͡ʑa̠p̚k͈i
낙향	na̠kçja̠ŋ
누벨깔레도니	nube̞ɭk͈a̠ɭɭe̞do̞ni
별반	pjʌ̹ɭba̠n
백엽주	pɛ̝ɡjʌ̹p̚t͡ɕ͈u
언더핸드	ʌ̹ndʌ̹ɦɛ̝ndɯ
한참	ha̠nt͡ɕʰa̠m
중경상	t͡ɕuŋɡjʌ̹ŋsʰa̠ŋ
아그	a̠ɡɯ
실레지아어	ɕʰiɭɭe̞d͡ʑia̠ʌ̹
사물대다	sʰa̠muɭdɛ̝da̠
꼬르륵하다	k͈o̞ɾɯɾɯkʰa̠da̠
가실가실	ka̠ɕʰiɭɡa̠ɕʰiɭ
방화하다	pa̠ŋβwa̠ɦa̠da̠
즐겁다	t͡ɕɯɭɡʌ̹p̚t͈a̠
대번에	tɛ̝bʌ̹ne̞
식민	ɕʰiŋmin
발현하다	pa̠ɾʝjʌ̹nɦa̠da̠
골프	ko̞ɭpʰɯ
현토	çjʌ̹ntʰo̞
음훈	ɯmβun
플라이어	pʰɯɭɭa̠iʌ̹
카타르	kʰa̠tʰa̠ɾɯ
옥상	o̞ks͈a̠ŋ
필수	pʰiɭsʰu
얼른	ʌ̹ɭɭɯn
리본	ɾibo̞n
만끽	ma̠nk͈ik̚
식초	ɕʰik̚t͡ɕʰo̞
때때중	t͈ɛ̝t͈ɛ̝d͡ʑuŋ
대란	tɛ̝ɾa̠n
나팔바지	na̠pʰa̠ɭba̠d͡ʑi
찌직대다	t͡ɕ͈id͡ʑik̚t͈ɛ̝da̠
기술적	kisʰuɭd͡ʑʌ̹k̚
합	ha̠p̚
공시당상	ko̞ŋɕʰida̠ŋsʰa̠ŋ
꺼머멀쑥	k͈ʌ̹mʌ̹mʌ̹ɭs͈uk̚
관념적	kwa̠nɲjʌ̹md͡ʑʌ̹k̚
배수진	pɛ̝sʰud͡ʑin
근신하다	kɯnɕʰinɦa̠da̠
개울딱하다	kɛ̝uɭt͈a̠kʰa̠da̠
닭개장	ta̠ɭk͈ɛ̝d͡ʑa̠ŋ
서운하다	sʰʌ̹unɦa̠da̠
레아	ɾe̞a̠
문필가	munpʰiɭɡa̠
별칭	pjʌ̹ɭt͡ɕʰiŋ
쌀긋이	s͈a̠ɭɡɯɕʰi
면무인색	mjʌ̹nmuinsʰɛ̝k̚
고분자	ko̞bund͡ʑa̠
토호반	tʰo̞βo̞ba̠n
제사	t͡ɕe̞sʰa̠
거북목	kʌ̹buŋmo̞k̚
울거덕울거덕하다	uɭɡʌ̹dʌ̹ɡuɭɡʌ̹dʌ̹kʰa̠da̠
종식하다	t͡ɕo̞ŋɕʰikʰa̠da̠
억척스레	ʌ̹k̚t͡ɕʰʌ̹ks͈ɯɾe̞
나지다	na̠d͡ʑida̠
블랙홀	pɯɭɭɛ̝kʰo̞ɭ
면례	mjʌ̹ɭʎje̞,mjʌ̹ɭɭe̞
대재벌	tɛ̝d͡ʑɛ̝bʌ̹ɭ
표상	pʰjosʰa̠ŋ
산소요법	sʰa̠nsʰo̞jobʌ̹p̚
