производстволарны	projzwodstwoɫɑrnˈɯ
продуктлар	produqtɫˈɑr
Һәркөнне	hærkœnnˈe
кайберәүләрне	qɒjberæwlærnˈe
таныштыручы	tɒnɯʃtɯruɕˈɯ
иудаизм	iwdˈɑjzm
әтиләренә	ætilærenˈæ
педагогны	pedɑʁoʁnˈɯ
иммунитет	immunitˈet
саубуллашырга	sɑwbuɫɫɑʃɯrʁˈɑ
Батыров	bɒtɯrˈow
җәннәттән	ʑænnættˈæn
солыхы	soɫɯxˈɯ
тенденциясе	tendentsijæsˈe
тартам	tɒrtˈɒm
Программа	proʁrɑmmˈɑ
пунктлар	punqtɫˈɑr
сугышчыларының	suʁɯʃɕɯɫɑrɯnˈɯŋ
арадашлык	ɒrɒdɑʃɫˈɯq
Ош	ˈoʃ
туганнарын	tuʁɑnnɑrˈɯn
күрәгә	kyræɣˈæ
үзегезне	yzeɣeznˈe
коткаручылар	qotqɑruɕɯɫˈɑr
Харитонова	xɒritonowˈɑ
январьда	jɑnwɑrʔdˈɑ
алырлармы	ɒɫɯrɫɑrmˈɯ
маңкорт	mɒŋqˈort
Баулыдан	bɑwɫɯdˈɑn
сәясәтчеләрнең	sæjæsætɕelærnˈeŋ
Рәмзил	ræmzˈil
булачакмы	buɫɑɕɑqmˈɯ
активлашкан	ɒqtiwɫɑʃqˈɑn
оныттыра	onɯttɯrˈɑ
Хәерле	xeːrlˈe
эмблемасы	emblemɑsˈɯ
исемендәге	isemendæɣˈe
пәйгамбәребезнең	pæjʁɑmbærebeznˈeŋ
машиналарында	mɒʃinɑɫɑrɯndˈɑ
шәмаил	ʃæmˈɑjɫ
кайнатма	qɒjnɒtmˈɑ
Агачларны	ɒʁɒɕɫɑrnˈɯ
үтенгән	yteŋɣˈæn
техникумнары	texniqumnɑrˈɯ
сыгып	sɯʁˈɯp
киресен	kiresˈen
икона	iqonˈɑ
Әсәдуллина	æsæduɫɫinˈɑ
бәрә	bærˈæ
җыелмалары	ʑɯeɫmɑɫɑrˈɯ
маҗаралы	mɒʑɒrɑɫˈɯ
белемсез	belemsˈez
сюрпризлар	sjyrprizɫˈɑr
түгелгән	tyɣelɣˈæn
урыным	urɯnˈɯm
тоткач	totqˈɑɕ
булачагы	buɫɑɕɑʁˈɯ
Әхмәди	æxmædˈi
котлауларны	qotɫɑwɫɑrnˈɯ
Коләхметов	qoɫæxmetˈow
хыялланмый	xɯjɑɫɫɑnmˈɯj
Бүгеннән	byɣennˈæn
таз	tˈɒz
подполковнигы	podpoɫqowniʁˈɯ
конторасында	qontorɑsɯndˈɑ
Набукко	nɒbuqqˈo
теплоход	tepɫoxˈod
студенткасы	studentqɑsˈɯ
Чуваш	ɕuwˈɑʃ
Мюнхенда	mjyŋxendˈɑ
башына	bɒʃɯnˈɑ
әдипләр	ædiplˈær
йоклар	joqɫˈɑr
сорашкан	sorɑʃqˈɑn
Йөрәгемдә	jœræɣemdˈæ
Дарина	dɒrinˈɑ
пальто	pɒɫʔtˈo
казалары	qɒzɒɫɑrˈɯ
учетка	uɕetqˈɑ
Ленинның	leninnˈɯŋ
атасак	ɒtɒsˈɑq
запаслары	zɒpɒsɫɑrˈɯ
үҗәтлек	yʑætlˈek
Басу	bɒsˈu
киләсе	kilæsˈe
берәмлеккә	beræmlekkˈæ
абзар	ɒbzˈɒr
шап	ʃˈɒp
ялкынсыну	jɑɫqɯnsɯnˈu
омтылганнар	omtɯɫʁɑnnˈɑr
Уругвай	uruʁwˈɑj
кыенлаша	qɯenɫɑʃˈɑ
диюе	dijyˈe
җырлаулары	ʑɯrɫɑwɫɑrˈɯ
адымнарны	ɒdɯmnɑrnˈɯ
агымы	ɒʁɯmˈɯ
раслаганча	rɒsɫɒʁɑnɕˈɑ
ярты	jɑrtˈɯ
Сарайның	sɒrɒjnˈɯŋ
абхаз	ɒbxˈɒz
гранаталар	ʁrɒnɒtɑɫˈɑr
Манас	mɒnˈɒs
хәбәрчеләренең	xæbærɕelærenˈeŋ
Узып	uzˈɯp
буйсындырган	bujsɯndɯrʁˈɑn
Багдадтан	bɒʁdɒdtˈɑn
димим	dimˈim
стела	steɫˈɑ
чыкмыйлар	ɕɯqmɯjɫˈɑr
яктылыкка	jɑqtɯɫɯqqˈɑ
елны	jɯɫnˈɯ
алмаштырыла	ɒɫmɒʃtɯrɯɫˈɑ
Курсларга	qursɫɑrʁˈɑ
кердең	kerdˈeŋ
үгет	yɣˈet
иде	idˈe
кайгыртсын	qɒjʁɯrtsˈɯn
сорауларыбызга	sorɑwɫɑrɯbɯzʁˈɑ
җиңүчесе	ʑiŋyɕesˈe
җырлыйбыз	ʑɯrɫɯjbˈɯz
ачканнар	ɒɕqɒnnˈɑr
Назиров	nɒzirˈow
формаларга	formɑɫɑrʁˈɑ
күренешләр	kyreneʃlˈær
калдырганнар	qɒɫdɯrʁɑnnˈɑr
мөнбәргә	mœnbærɣˈæ
королева	qoroɫewˈɑ
Савинов	sɑwinˈow
бомбага	bombɑʁˈɑ
карыйсы	qɒrɯjsˈɯ
төркемгә	tœrkemɣˈæ
итүем	ityˈem
хастыр	xɒstˈɯr
күрсәтәсең	kyrsætæsˈeŋ
үткәрүгә	ytkæryɣˈæ
секциясенә	sektsijæsenˈæ
яуладык	jɑwɫɑdˈɯq
өстебездә	œstebezdˈæ
Әзербәйҗан	æzerbæjʑˈɑn
атлый	ɒtɫˈɯj
атаң	ɒtˈɒŋ
клубны	qɫubnˈɯ
кабинетны	qɒbinetnˈɯ
исемнәреннән	isemnærennˈæn
туктатуын	tuqtɑtuˈɯn
күренмәс	kyrenmˈæs
климатын	klimɑtˈɯn
тапшырачаклар	tɒpʃɯrɑɕɑqɫˈɑr
күңелем	kyŋelˈem
алачакбыз	ɒɫɒɕɑqbˈɯz
юата	juɑtˈɑ
багышлый	bɒʁɯʃɫˈɯj
Белгород	beɫʁorˈod
беләндер	belændˈer
тектерергә	tektererɣˈæ
динле	dinlˈe
Либиягә	libijæɣˈæ
хәсрәткә	xæsrætkˈæ
сәламлим	sæɫɑmɫˈim
танышулар	tɒnɯʃuɫˈɑr
чорыннан	ɕorɯnnˈɑn
каналлар	qɒnɒɫɫˈɑr
гольф	ʁˈoɫʔf
Җәмгысы	ʑæmʁɯsˈɯ
акциясенең	ɒqtsijæsenˈeŋ
шигыйлар	ʃiʁɯjɫˈɑr
күрсәтүен	kyrsætyˈen
очрашканнан	oɕrɑʃqɑnnˈɑn
калмаса	qɒɫmɒsˈɑ
Зәлифә	zælifˈæ
хупламады	xupɫɑmɑdˈɯ
өйрәнәсең	œjrænæsˈeŋ
укытучылык	uqɯtuɕɯɫˈɯq
Әнәк	ænˈæk
халәттә	xɒɫættˈæ
хаклы	xɒqɫˈɯ
билгесенә	bilɣesenˈæ
сызлый	sɯzɫˈɯj
үземдә	yzemdˈæ
үрдәк	yrdˈæk
бүлекчәсенең	bylekɕæsenˈeŋ
йөрергә	jœrerɣˈæ
метафоралар	metɑforɑɫˈɑr
чыгаручы	ɕɯʁɑruɕˈɯ
сумманың	summɑnˈɯŋ
юнәлтте	jynælttˈe
Фәез	fˈeːz
фильмнарда	fiɫʔmnɑrdˈɑ
яла	jɑɫˈɑ
кораблары	qorɑbɫɑrˈɯ
уңышларны	uŋɯʃɫɑrnˈɯ
губернаторларны	ʁubernɑtorɫɑrnˈɯ
өшегән	œʃeɣˈæn
Рәгъде	ræɣʔdˈe
Латыйп	ɫɒtˈɯjp
белмәгән	belmæɣˈæn
Климов	klimˈow
чумасы	ɕumɑsˈɯ
саклануга	sɒqɫɒnuʁˈɑ
Алимов	ɒɫimˈow
Корманов	qormɑnˈow
чәе	ɕˈeː
нишләде	niʃlædˈe
яшелчәләргә	jæʃelɕælærɣˈæ
Садыков	sɒdɯqˈow
беләнме	belænmˈe
ятуларын	jɑtuɫɑrˈɯn
Алексеева	ɒɫekseewˈɑ
Үзәккә	yzækkˈæ
милләтеннән	millætennˈæn
Лаборатория	ɫɒborɑtorijˈæ
уеннарда	uennɑrdˈɑ
номерларына	nomerɫɑrɯnˈɑ
эләктергәннәр	elækterɣænnˈær
полосалар	poɫosɑɫˈɑr
Хөкүмәт	xœkymˈæt
күрәсең	kyræsˈeŋ
эндәшергә	endæʃerɣˈæ
чөеп	ɕœˈep
төртте	tœrttˈe
югы	juʁˈɯ
яманы	jɑmɑnˈɯ
Иртәгә	irtæɣˈæ
пышылдады	pɯʃɯɫdɑdˈɯ
күбрәктер	kybræktˈer
Синсез	sinsˈez
югалганнар	juʁɑɫʁɑnnˈɑr
җыенганнар	ʑɯeŋʁɑnnˈɑr
хисләрнең	xislærnˈeŋ
өстән	œstˈæn
киртә	kirtˈæ
Разин	rɒzˈin
Хәнифә	xænifˈæ
белештем	beleʃtˈem
булдырганда	buɫdɯrʁɑndˈɑ
Казлар	qɒzɫˈɒr
шешәләргә	ʃeʃælærɣˈæ
Томан	tomˈɑn
әйләнгәч	æjlæŋɣˈæɕ
дистәдән	distædˈæn
аерылышты	ɒerɯɫɯʃtˈɯ
ролик	roɫˈik
комда	qomdˈɑ
дөреслеге	dœresleɣˈe
катнашмаячак	qɒtnɒʃmɑjɑɕˈɑq
Швеция	ʃwetsijˈæ
Гасырлар	ʁɒsɯrɫˈɑr
Шәфыйков	ʃæfɯjqˈow
Сез	sˈez
Люксембург	ljyksembˈurʁ
инвесторларның	inwestorɫɑrnˈɯŋ
карарларының	qɒrɒrɫɑrɯnˈɯŋ
тынычсыз	tɯnɯɕsˈɯz
позициясенә	pozitsijæsenˈæ
илле	illˈe
башлыча	bɒʃɫɯɕˈɑ
музеена	muzeenˈɑ
яныбызда	jɑnɯbɯzdˈɑ
Рух	rˈux
Минзәләдә	minzælædˈæ
якынаюы	jɑqɯnɑjuˈɯ
журналистлардан	ʒurnɑɫistɫɑrdˈɑn
хәтерен	xæterˈen
килограммлы	kiɫoʁrɑmmɫˈɯ
истәлегендә	istæleɣendˈæ
халәте	xɒɫætˈe
әңгәмәсен	æŋɣæmæsˈen
Әүхәди	æwxædˈi
калучы	qɒɫuɕˈɯ
дошманның	doʃmɑnnˈɯŋ
урманнары	urmɑnnɑrˈɯ
чакырылучыларның	ɕɒqɯrɯɫuɕɯɫɑrnˈɯŋ
кертелүе	kertelyˈe
җиләкләрне	ʑilæklærnˈe
графикасын	ʁrɒfiqɑsˈɯn
хәйлә	xæjlˈæ
Имештер	imeʃtˈer
чөгендереннән	ɕœɣenderennˈæn
депутатлык	deputɑtɫˈɯq
Акмулла	ɒqmuɫɫˈɑ
җиз	ʑˈiz
конкурсантлар	qonqursɑntɫˈɑr
катнашучылар	qɒtnɒʃuɕɯɫˈɑr
үтмәгәндер	ytmæɣændˈer
Шуширмә	ʃuʃirmˈæ
Нуриевка	nuriewqˈɑ
рәвешеннән	ræweʃennˈæn
илдәге	ildæɣˈe
Авылдашлары	ɑwɯɫdɑʃɫɑrˈɯ
уйлаганда	ujɫɑʁɑndˈɑ
укылышлы	uqɯɫɯʃɫˈɯ
Галимовка	ʁɒɫimowqˈɑ
номерда	nomerdˈɑ
Доклад	doqɫˈɑd
укыганны	uqɯʁɑnnˈɯ
абыйларның	ɒbɯjɫɑrnˈɯŋ
эвакуатор	ewɑquɑtˈor
мәхәлләгә	mæxællæɣˈæ
авиакомпанияләре	ɑwiɑqompɑnijælærˈe
мөгаллимлек	mœʁɑɫɫimlˈek
тәрбияләнгән	tærbijælæŋɣˈæn
җайланды	ʑɒjɫɒndˈɯ
ышана	ɯʃɑnˈɑ
дәреслекне	dæresleknˈe
өйлә	œjlˈæ
Референдум	referendˈum
Фәймә	fæjmˈæ
Шунсын	ʃunsˈɯn
Бөтенроссия	bœtenrossijˈæ
үзенчәлекләренә	yzenɕæleklærenˈæ
Фалёнки	fɒɫjonqˈi
Хыянәт	xɯjænˈæt
комплексларына	qompɫeqsɫɑrɯnˈɑ
февральдән	fewrɑɫʔdˈæn
флаглары	fɫɒʁɫɒrˈɯ
дзюдо	dzjudˈo
Нагуманов	nɒʁumɑnˈow
фәннәрдә	fænnærdˈæ
торучы	toruɕˈɯ
Панкратов	pɒnqrɒtˈow
кыямәт	qɯjæmˈæt
Сыктывкар	sɯqtɯwqˈɑr
турысына	turɯsɯnˈɑ
далаларында	dɒɫɒɫɑrɯndˈɑ
малкайлар	mɒɫqɒjɫˈɑr
тусын	tusˈɯn
тундра	tundrˈɑ
төшенчәне	tœʃenɕænˈe
салсак	sɒɫsˈɒq
Венгриядә	weŋɣrijædˈæ
җыенмавын	ʑɯenmɑwˈɯn
Картлар	qɒrtɫˈɒr
китмәячәк	kitmæjæɕˈæk
кодеинлы	qodejnɫˈɯ
таләбенә	tɒɫæbenˈæ
суырып	suɯrˈɯp
Әҗмәкәй	æʑmækˈæj
карчыкны	qɒrɕɯqnˈɯ
шигырьләрнең	ʃiʁɯrʔɫærnˈeŋ
бияләр	bijælˈær
әүвәле	æwwælˈe
ген	ɣˈen
программаларыннан	proʁrɑmmɑɫɑrɯnnˈɑn
аталучы	ɒtɒɫuɕˈɯ
ункөнлеге	unqœnleɣˈe
тупладылар	tupɫɑdɯɫˈɑr
түти	tytˈi
конгрессы	qoŋʁressˈɯ
бернәрсәдән	bernærsædˈæn
учеты	uɕetˈɯ
бухгалтерлык	buxʁɑɫterɫˈɯq
тормышыгыз	tormɯʃɯʁˈɯz
волонтерлыкка	woɫonterɫɯqqˈɑ
тарату	tɒrɒtˈu
ирләрен	irlærˈen
күрсәтәбез	kyrsætæbˈez
калышкан	qɒɫɯʃqˈɑn
прокурорның	proqurornˈɯŋ
Казанның	qɒzɒnnˈɯŋ
МВД	ˌemwˌedˈe
җаваплылыгын	ʑɑwɑpɫɯɫɯʁˈɯn
Миркасыйм	mirqɑsˈɯjm
ТВТ	tˌewˌetˈe
астын	ɒstˈɯn
очсызракка	oɕsɯzrɑqqˈɑ
Рәми	ræmˈi
Ташкичү	tɒʃqiɕˈy
алдынгыларга	ɒɫdɯŋʁɯɫɑrʁˈɑ
сыннарын	sɯnnɑrˈɯn
әлмәтлеләрнең	ælmætlelærnˈeŋ
баруымны	bɒruɯmnˈɯ
Тук	tˈuq
информатикадан	informɑtiqɑdˈɑn
җимешләреннән	ʑimeʃlærennˈæn
ватарга	wɒtɒrʁˈɑ
кочаклашып	qoɕɑqɫɑʃˈɯp
мәсьәләләрнең	mæsʔælælærnˈeŋ
поэмалар	poemɑɫˈɑr
зарларын	zɒrɫɒrˈɯn
аерылышулар	ɒerɯɫɯʃuɫˈɑr
файдалануын	fɒjdɒɫɑnuˈɯn
тормышны	tormɯʃnˈɯ
алмаштырган	ɒɫmɒʃtɯrʁˈɑn
кебекләр	kebeklˈær
үзгәрсә	yzɣærsˈæ
Чайковский	ɕɒjqowsqˈij
протестлар	protestɫˈɑr
полиграф	poɫiʁrˈɑf
интенсив	intensˈiw
әйтәбез	æjtæbˈez
чыгарбыз	ɕɯʁɑrbˈɯz
начармы	nɒɕɒrmˈɯ
чыгарылуына	ɕɯʁɑrɯɫuɯnˈɑ
таблицасының	tɒbɫitsɑsɯnˈɯŋ
фермерның	fermernˈɯŋ
Филармониядә	fiɫɑrmonijædˈæ
диләр	dilˈær
бастырасы	bɒstɯrɑsˈɯ
Башлаган	bɒʃɫɒʁˈɑn
проектының	proeqtɯnˈɯŋ
туендырырга	tuendɯrɯrʁˈɑ
законына	zɒqonɯnˈɑ
конкурс	qonqˈurs
Бариева	bɒriewˈɑ
боерыгын	boerɯʁˈɯn
юнәлткән	jynæltkˈæn
генераллар	ɣenerɑɫɫˈɑr
Ленинградны	leniŋʁrɑdnˈɯ
минутында	minutɯndˈɑ
күләмнән	kylæmnˈæn
утырышыннан	utɯrɯʃɯnnˈɑn
узышчылары	uzɯʃɕɯɫɑrˈɯ
характерына	xɒrɒqterɯnˈɑ
Макаров	mɒqɒrˈow
бөтенрусия	bœtenrusijˈæ
борынгыдан	borɯŋʁɯdˈɑn
назәрәте	nɒzærætˈe
Исеменнән	isemennˈæn
пропагандалау	propɑʁɑndɑɫˈɑw
майлап	mɒjɫˈɒp
өлгергәнлек	œlɣerɣænlˈek
үзгәрүе	yzɣæryˈe
кисәкне	kisæknˈe
Миңнебаев	miŋnebɑˈew
Рушат	ruʃˈɑt
буладыр	buɫɑdˈɯr
Матросов	mɒtrosˈow
теләктәшлеген	telæktæʃleɣˈen
Укмас	uqmˈɑs
Оештыру	oeʃtɯrˈu
эффект	effˈekt
кыланышы	qɯɫɑnɯʃˈɯ
җәеп	ʑˈeːp
җәрәхәтләре	ʑæræxætlærˈe
поэмасының	poemɑsɯnˈɯŋ
педагогларының	pedɑʁoʁɫɑrɯnˈɯŋ
кадәренчә	qɒdærenɕˈæ
семинарда	seminɑrdˈɑ
комын	qomˈɯn
бәйләнеп	bæjlænˈep
Нәкъ	nˈækʔ
әлсерәп	ælserˈæp
докторы	doqtorˈɯ
ватаныбыз	wɒtɒnɯbˈɯz
кедр	kˈedr
Эгей	eɣˈej
урман	urmˈɑn
ачыкларга	ɒɕɯqɫɑrʁˈɑ
Амалия	ɒmɒɫijˈæ
мохтәриятләре	moxtærijætlærˈe
чыксак	ɕɯqsˈɑq
плацдарм	pɫɒtsdˈɒrm
Грециягә	ɣretsijæɣˈæ
ташуда	tɒʃudˈɑ
аллага	ɒɫɫɒʁˈɑ
Александров	ɒɫeqsɑndrˈow
бирелеше	bireleʃˈe
күбесеннән	kybesennˈæn
Тырышкан	tɯrɯʃqˈɑn
бәйләме	bæjlæmˈe
китабында	kitɑbɯndˈɑ
узабыз	uzɑbˈɯz
Февральнең	fewrɑɫʔnˈeŋ
җайлана	ʑɒjɫɒnˈɑ
тәкъвимендә	tækʔwimendˈæ
узалар	uzɑɫˈɑr
тыелмаган	tɯeɫmɑʁˈɑn
Карлос	qɒrɫˈos
килмешәк	kilmeʃˈæk
Шәймиевны	ʃæjmiewnˈɯ
изоляторында	izoɫjɑtorɯndˈɑ
белмәвен	belmæwˈen
көләсе	kœlæsˈe
күпчелеген	kypɕeleɣˈen
Вашингтонга	wɒʃiŋʁtoŋʁˈɑ
февраленнән	fewrɑɫennˈæn
театрыбыз	teɑtrɯbˈɯz
колачларга	qoɫɑɕɫɑrʁˈɑ
фотоларга	fotoɫɑrʁˈɑ
белмәгәннәре	belmæɣænnærˈe
экологиясе	eqoɫoʁijæsˈe
китмим	kitmˈim
сүндерергә	syndererɣˈæ
тамашалары	tɒmɒʃɑɫɑrˈɯ
Дьяченко	dʔjæɕenqˈo
әһелен	æhelˈen
сукмагыннан	suqmɑʁɯnnˈɑn
күчергәндә	kyɕerɣændˈæ
әйберләр	æjberlˈær
Пчеловод	pɕeɫowˈod
Арзан	ɒrzˈɒn
пешергән	peʃerɣˈæn
Авербух	ɑwerbˈux
туйдыру	tujdɯrˈu
караоке	qɒrɒoqˈe
Әлбәттә	ælbættˈæ
Җылылык	ʑɯɫɯɫˈɯq
чәчәкләрнең	ɕæɕæklærnˈeŋ
оештыруның	oeʃtɯrunˈɯŋ
урынының	urɯnɯnˈɯŋ
кабинетларына	qɒbinetɫɑrɯnˈɑ
докладчы	doqɫɑdɕˈɯ
берлекне	berleknˈe
рухыбызны	ruxɯbɯznˈɯ
бөртеккә	bœrtekkˈæ
аңлатуда	ɒŋɫɒtudˈɑ
аптырап	ɒptɯrˈɑp
квартеты	qwɒrtetˈɯ
шәһәребезгә	ʃæhærebezɣˈæ
финанслый	finɑnsɫˈɯj
ятасың	jɑtɑsˈɯŋ
исәпләү	isæplˈæw
арзанлы	ɒrzɒnɫˈɯ
кайталар	qɒjtɒɫˈɑr
капиталының	qɒpitɑɫɯnˈɯŋ
рәтләрдә	rætlærdˈæ
диагностика	diɑʁnostiqˈɑ
уйландырырга	ujɫɑndɯrɯrʁˈɑ
йортын	jortˈɯn
тугрысында	tuʁrɯsɯndˈɑ
ярашлы	jɑrɑʃɫˈɯ
төзәтәләр	tœzætælˈær
колхозының	qoɫxozɯnˈɯŋ
котырта	qotɯrtˈɑ
Мираж	mirˈɑʒ
әтиләребез	ætilærebˈez
Актай	ɒqtˈɒj
Иванов	iwɑnˈow
оясына	ojɑsɯnˈɑ
атладык	ɒtɫɒdˈɯq
объектка	obʔeqtqˈɑ
Нафиков	nɒfiqˈow
кияүдәге	kijæwdæɣˈe
Тукайны	tuqɑjnˈɯ
татарчаны	tɒtɒrɕɑnˈɯ
Ивдель	iwdˈelʔ
газеталарның	ʁɒzetɑɫɑrnˈɯŋ
охшашлыклар	oxʃɑʃɫɯqɫˈɑr
Намуссыз	nɒmussˈɯz
булма	buɫmˈɑ
ташламады	tɒʃɫɒmɑdˈɯ
каралганча	qɒrɒɫʁɑnɕˈɑ
парламентны	pɒrɫɒmentnˈɯ
коллекцияләрен	qoɫɫektsijælærˈen
кышлый	qɯʃɫˈɯj
аягыма	ɒjɑʁɯmˈɑ
кайнатылган	qɒjnɒtɯɫʁˈɑn
институтны	institutnˈɯ
фин	fˈin
формадан	formɑdˈɑn
камыры	qɒmɯrˈɯ
берәмлекләр	beræmleklˈær
яңгырата	jɑŋʁɯrɑtˈɑ
куян	qujˈɑn
чыганакта	ɕɯʁɑnɑqtˈɑ
официант	ofitsiˈɑnt
мартыннан	mɒrtɯnnˈɑn
юбилярлар	jybiljærɫˈɑr
җирлеген	ʑirleɣˈen
максатына	mɒqsɒtɯnˈɑ
Әбу	æbˈu
йөзүчеләр	jœzyɕelˈær
сайттан	sɒjttˈɒn
Актриса	ɒqtrisˈɑ
чабышларын	ɕɒbɯʃɫɑrˈɯn
комитетта	qomitettˈɑ
реконструкцияләргә	reqonstruqtsijælærɣˈæ
йолдызларына	joɫdɯzɫɑrɯnˈɑ
сериясен	serijæsˈen
Татинвестгражданпроект	tɒtinwestʁrɑʒdɑnproˈekt
таныштыру	tɒnɯʃtɯrˈu
куллана	quɫɫɑnˈɑ
Урыс	urˈɯs
кулланылачак	quɫɫɑnɯɫɑɕˈɑq
илебезгә	ilebezɣˈæ
Уразаның	urɑzɑnˈɯŋ
мөшрик	mœʃrˈik
милекчеләргә	milekɕelærɣˈæ
өлешләргә	œleʃlærɣˈæ
Миндияр	mindijˈær
өметләнде	œmetlændˈe
сүзенә	syzenˈæ
Институтны	institutnˈɯ
гаҗәпләнмәгез	ʁɒʑæplænmæɣˈez
тәгаенлиләр	tæʁɑenlilˈær
штат	ʃtˈɒt
әзерләнәчәк	æzerlænæɕˈæk
авыруларына	ɑwɯruɫɑrɯnˈɑ
күнегүләре	kyneɣylærˈe
Яблоко	jɑbɫoqˈo
аерылырга	ɒerɯɫɯrʁˈɑ
кемнәрне	kemnærnˈe
митингларга	mitiŋʁɫɑrʁˈɑ
канатына	qɒnɒtɯnˈɑ
фотоальбом	fotoɑɫʔbˈom
Литва	litwˈɑ
яңгыратты	jɑŋʁɯrɑttˈɯ
теоретик	teoretˈik
тузанлы	tuzɑnɫˈɯ
Галиулла	ʁɒɫiwɫɫˈɑ
культуралары	quɫʔturɑɫɑrˈɯ
Якупов	jɑqupˈow
экспертизасы	ekspertizɑsˈɯ
Егерменче	jeɣermenɕˈe
имин	imˈin
композиторлары	qompozitorɫɑrˈɯ
кагыйдәләргә	qɒʁɯjdælærɣˈæ
идеяләрне	idejælærnˈe
күченде	kyɕendˈe
йортыңда	jortɯŋdˈɑ
Евразиянең	jɯwrɑzijænˈeŋ
Юлтимер	jyltimˈer
түгелдер	tyɣeldˈer
котлады	qotɫɑdˈɯ
Молодая	moɫodɑjˈɑ
ошамады	oʃɑmɑdˈɯ
бишектә	biʃektˈæ
җөмләләрне	ʑœmlælærnˈe
барачагына	bɒrɒɕɑʁɯnˈɑ
Рәфис	ræfˈis
итүе	ityˈe
сыйныфыннан	sɯjnɯfɯnnˈɑn
Бүлек	bylˈek
Күлле	kyllˈe
токмач	toqmˈɑɕ
Организмга	orʁɑnizmʁˈɑ
Хәрәкәтнең	xærækætnˈeŋ
кылмый	qɯɫmˈɯj
шагыйрьләр	ʃɒʁɯjrʔɫˈær
репрессияләнә	repressijælænˈæ
аяклы	ɒjɑqɫˈɯ
кухня	quxnjˈɑ
кайтмаячак	qɒjtmɒjɑɕˈɑq
комачаулаган	qomɑɕɑwɫɑʁˈɑn
гәүдәләндерелә	ɣæwdælænderelˈæ
пәйгамбәрләргә	pæjʁɑmbærlærɣˈæ
служба	sɫuʒbˈɑ
ныгытылган	nɯʁɯtɯɫʁˈɑn
каерылып	qɒerɯɫˈɯp
сайтларының	sɒjtɫɒrɯnˈɯŋ
аңлатыладыр	ɒŋɫɒtɯɫɑdˈɯr
узелы	uzeɫˈɯ
сорамады	sorɑmɑdˈɯ
бәрәңгеләрне	bæræŋɣelærnˈe
кылганда	qɯɫʁɑndˈɑ
дала	dɒɫˈɒ
төшем	tœʃˈem
тапшырыр	tɒpʃɯrˈɯr
түшәмнән	tyʃæmnˈæn
буйсындыра	bujsɯndɯrˈɑ
хөрлек	xœrlˈek
бүленү	bylenˈy
бомбардир	bombɑrdˈir
көчлесе	kœɕlesˈe
йөкләү	jœklˈæw
ведомствога	wedomstwoʁˈɑ
кызлардан	qɯzɫɑrdˈɑn
Республикадагы	respubɫiqɑdɑʁˈɯ
осталыкта	ostɑɫɯqtˈɑ
Клубның	qɫubnˈɯŋ
калдыкларыннан	qɒɫdɯqɫɑrɯnnˈɑn
хәйләгә	xæjlæɣˈæ
оештырудан	oeʃtɯrudˈɑn
хуҗалыкларның	xuʑɑɫɯqɫɑrnˈɯŋ
колакларына	qoɫɑqɫɑrɯnˈɑ
Җиңүчегә	ʑiŋyɕeɣˈæ
