gibraltarski	ɡǐbraltarskiː
okarina	okarǐːna
peške	pêʃkeː
đerdek	d͡ʑěrdek
rudnički	rûːdnit͡ʃkiː
ocenjivati	ot͡seɲǐːʋati
nacionalist	nat͡sionǎlist
som	sôm
obmana	ôbmana
bazati	bǎːzati
plamen	plâmeːn
glosar	ɡlǒsaːr
nenapučen	nenǎpuːt͡ʃen
zagar	zǎɡaːr
frikcija	frǐkt͡sija
usklik	ûskliːk
šestorica	ʃestǒrit͡sa
beštima	běʃtiːma
zaradi	zâradi
sinergija	siněrɡija
nacionalistički	natsionalǐstitʃki
irelevantan	ireleʋǎntan
adolescentica	adolěst͡sentit͡sa
šišmiš	ʃǐʃmiʃ
veterina	ʋeterǐːna
ejakulat	ejakǔlaːt
sigmund	sǐɡmund
kavkaski	kǎʋkaskiː
epohalan	êpoxaːlan
svadba	sʋǎdba
dostignuti	dǒstiɡnuti
dogmatski	dǒɡmatski
otvarač	otʋǎraːt͡ʃ
milo	mîlo
hinduizam	xinduǐzam
racionalistički	rat͡sionalǐstit͡ʃkiː
korov	kǒːroʋ
luksemburški	lǔksemburʃkiː
plitak	plǐːtak
geografski	ɡeǒɡrafski
ismijavati	ismijǎːʋati
transkripcija	transkrǐpt͡sija
bandoglavost	bandǒɡlaʋoːst
raskalašen	raskǎlaːʃen
zabunjivati	zabuɲǐːʋati
predvodnički	prědʋodnit͡ʃki
feministički	feminǐstitʃkiː
rodski	rôdski
neznanje	neznǎːɲe
balaviti	bâlaʋiti
prestolonaslednik	prestolonǎːsledniːk
ikavizam	ikaʋǐzam
zjenični	zjěnit͡ʃniː
dekorativno	dêkoratiːʋno
koga	kǒɡa
zbilja	zbǐːʎa
omladinac	omladǐːnat͡s
apatično	apǎtit͡ʃno
sos	sôːs
vulicza	vuːlitsa
nečujan	nêt͡ʃuːjan
vući	ʋûːt͡ɕi
probojan	prǒːboːjan
nečastan	nêt͡ʃastan
antički	ǎntit͡ʃkiː
proceniti	prot͡sěːniti
turpijati	turpǐjati
kita	kîta
crći	t͡sr̂t͡ɕi
neizbježno	nêizbjeːʒno
venecija	ʋěneːt͡sija
bolesnički	bolěsniːt͡ʃki
špisbirger	ʃpîːsbirɡer
razboritost	rǎːzboritoːst
bikovski	bǐkoʋskiː
uskratiti	uskrǎːtiti
karboksilan	kârboksiːlan
prenositi	prenǒsiti
populistički	populǐstitʃkiː
preseći	prěset͡ɕi
kvar	kʋâːr
čedomorka	t͡ʃedǒmoːrka
ispitni	ǐspitniː
prisnost	prîsnoːst
mušica	mǔʃit͡sa
gostoljubivost	ɡostoʎǔbiʋoːst
elokventan	elokʋěntan
orkestar	ǒrkestar
lobanja	lǒbanja
jediniti	jedǐːniti
porok	pǒrok
kapica	kâpit͡sa
skameniti	skâmeniti
drebank	drěːbank
razbojnica	rǎːzbojnit͡sa
pučki	pûːtʃkiː
sedost	sěːdoːst
smeti	smêti
žabica	ʒâbit͡sa
filogeneza	filoɡěneza
općina	ôpt͡ɕina
korota	kǒrota
spačka	spât͡ʃka
sljepoočnica	sʎepoǒt͡ʃnit͡sa
vrpčast	ʋr̂pt͡ʃast
slatkorječivo	slatkorjět͡ʃiʋo
zabetonirati	zabetonǐːrati
plemić	plêmit͡ɕ
kolaž	kǒlaːʒ
seoba	seǒba
astronautika	astronaǔtika
doprinositi	doprinǒsiti
tableta	tablěta
šunjati	ʃǔːɲati
besplodno	běsplodno
ćosavac	t͡ɕôsaʋat͡s
subliman	sûbliːman
dreka	drêka
neotesanka	neotesǎːnka
obići	ǒbiːt͡ɕi
krplja	kr̂pʎa
preplivavati	prepliʋǎːʋati
predlog	prěːdloɡ
pakovati	pâkoʋati
ljubica	ʎûbit͡sa
zdenac	zděːnat͡s
malopre	mâlopre
napustiti	napǔstiti
izagnati	izǎɡnati
kokodakati	kokodǎːkati
pristupačnost	prîstupaːt͡ʃnoːst
nezvan	nêzʋaːn
janjetina	jǎɲetina
antikomunistički	antikomunǐstit͡ʃki
biseksualnost	biseksuǎːlnoːst
onemogućavati	onemoɡut͡ɕǎːʋati
raspad	rǎːspad
ponavljati	ponǎːʋʎati
zdepast	zdêpast
bodljika	bǒdʎika
novozelanđanin	noʋozelǎːnd͡ʑanin
raspadati	rǎspadati
upasti	ǔpasti
sezona	sezǒːna
tvrditi	tʋřːditi
kostrena	kostrěna
šnit	ʃnît
blokirati	blokǐːrati
sakatost	sǎkatoːst
tabla	tǎːbla
naočare	nâot͡ʃaːre
dizajner	dizǎjner
centralni	t͡sěntraːlniː
privremeno	prǐʋremeno
overa	ôʋera
ozlediti	ozlěːditi
matica	mâtit͡sa
kultura	kultǔːra
svetkovina	sʋětkoʋina
svesrdno	sʋěsrdno
pokvarenost	pǒkʋaːrenoːst
zubina	zǔbina
tikva	tîkʋa
rajski	râːjskiː
olimpijski	olǐmpiːjski
regulacija	reɡulǎːt͡sija
speći	spêt͡ɕi
skandinavac	skandinǎːʋat͡s
kraljevički	krǎːʎeʋit͡ʃkiː
plivački	plǐʋaːtʃkiː
sljedba	sʎědba
soliti	sǒliti
društven	drûʃtʋen
ispravan	îspraːʋan
potpisnik	pǒtpisniːk
uništivost	unǐʃtiʋoːst
špajskarta	ʃpâjskarta
nepresušnost	nêpresuːʃnoːst
hispanistika	xispanǐstika
arabijski	arǎːbiːjskiː
holokaust	xolokǎust
badnjak	bâdɲaːk
užurbavati	uʒurbǎːʋati
šolja	ʃǒːʎa
smještati	smjěːʃtati
rječnik	rjêːt͡ʃniːk
krhkost	kr̂xkoːst
turski	tǔrskiː
pošast	pôʃaːst
četnik	t͡ʃetnik
plebejka	plěbeːjka
udavača	udǎʋat͡ʃa
div	dîʋ
sprdnja	spřːdɲa
jur	jûːr
srijeda	srjěːda
travanjski	trâːʋaɲskiː
kozina	kôzina
osuđenički	osudʑěniːtʃkiː
veoma	ʋěoma
bezazlen	bezǎzlen
istražitelj	istrǎʒiteʎ
iber	ǐːber
zavidan	zǎːʋidan
zablejati	zablěːjati
krčmetina	krt͡ʃmětina
talenat	tǎlenat
presudan	prêsudan
sparta	spâːrta
melodrama	mêlodraːma
saksija	sǎksija
uposlenik	uposlěniːk
nemoguće	nêmoɡuːt͡ɕe
maćeha	mât͡ɕexa
dug	dûɡ
luda	lûda
godina	ɡôdina
sivkast	sîʋkast
salinizacija	salinizǎːt͡sija
princip	prǐnt͡siːp
vres	ʋrêːs
nekomercijalan	nêkomert͡sijaːlan
nemoralno	nêmoraːlno
badava	badǎʋa
umaknuti	umǎknuti
klitoris	klǐtoːris
nesavitljiv	nesaʋǐtʎiʋ
prisutan	prîsutan
poslušnik	pǒsluːʃniːk
suvremenik	sǔʋremeniːk
amalgam	amǎlɡaːm
krajcarica	krǎjt͡sarit͡sa
život	ʒǐʋot
kreta	krěːta
statist	stǎtist
razvratnica	rǎːzʋratnit͡sa
snabdevati	snabděːʋati
primereno	prǐmereno
doslednost	dǒslednoːst
cvijet	t͡sʋijêːt
trljati	třːʎati
riječni	rijêːt͡ʃniː
izbježiv	izbjěʒiʋ
rezbariti	rezbǎːriti
brigadirka	briɡǎdiːrka
dvar	dʋar
sedeti	sěːdeti
membrana	membrǎːna
primeniti	priměːniti
abdomenski	abdǒːmenskiː
nesposoban	nêsposoban
anketirati	anketǐːrati
istarski	îstarski
citologija	t͡sitolǒɡija
salicilni	sâlit͡siːlniː
redikul	rědiːkul
aspekt	ǎspekt
senzualan	sênzuːalan
dobar	dôbar
spasilac	spǎsilat͡s
drukčije	drǔkt͡ʃijeː
alkoholizirati	alkoxolizǐːrati
novosađanka	noʋǒsadʑanka
findžan	fǐnd͡ʒaːn
provaljivati	proʋaʎǐːʋati
kurvinski	kǔrʋiːnski
prepoznatljiv	prepoznǎtʎiʋ
krabljica	krâbʎit͡sa
drznuti	dr̂znuti
opredjeljivati	opredjeʎǐːʋati
pravovjeran	prâʋoʋjeːran
dopustiv	dopǔstiʋ
kesa	kêsa
uzrujavati	uzrujǎːʋati
jadno	jâdno
krampus	krǎmpus
žderonja	ʒděːroɲa
buking	bǔkinɡ
lunaran	lǔnaːran
budžetirati	bud͡ʒetǐːrati
podoknica	pǒdoknit͡sa
pomesti	pǒmesti
osoban	ǒsoban
sjevernoafrički	sjeʋernoǎfrit͡ʃkiː
greda	ɡrěːda
signeta	siɡněta
rudar	rǔdaːr
pružiti	prûʒiti
huliganski	xûliɡaːnskiː
izvodiv	izʋǒdiʋ
antonomazija	antonomǎːzija
principijelan	prînt͡sipijeːlan
fondacija	fondǎːt͡sija
odvažno	ôdʋaːʒno
natopiti	natǒpiti
blebetuša	blebětuʃa
dekagram	dêkaɡram
prokrstariti	prokrstǎːriti
spisateljica	spisatěʎit͡sa
autoportret	autopǒrtreːt
ljupkost	ʎûpkoːst
košuta	kǒʃuta
templarski	těmplaːrskiː
kontrastivan	kôntrastiːʋan
nadahnjivati	nadaxɲǐːʋati
đogat	d͡ʑôɡat
financijski	finǎntsiːjski
kapirati	kapǐːrati
zaštitnica	zǎːʃtitnit͡sa
naposljetku	naposʎěːtku
aritmetički	aritmětitʃki
jaganjac	jâɡaɲat͡s
šnicl	ʃnǐt͡sl
pametno	pâmetno
bučati	bǔːt͡ʃati
kronično	krǒnit͡ʃno
aproksimativan	âproksimatiːʋan
pivo	pîːʋo
admiralitet	admiralǐteːt
kljun	kʎûːn
gomila	ɡǒmila
bunt	bǔnt
trapav	trâpaʋ
posjetitelj	posjětiteʎ
nevjernik	něʋjeːrniːk
fosforni	fôsfoːrniː
ćosav	t͡ɕôsaʋ
komentirati	komentǐːrati
štirak	ʃtǐːrak
bezimenost	bězimenoːst
svjestan	sʋjêstan
nesvestan	něsʋestan
pojati	pojati
hipotenuza	xipotenǔːza
djelati	djêlati
teozofski	teǒzofskiː
mafijaš	mafǐjaːʃ
slijep	sljêːp
slišati	slîʃati
nenametljiv	nenamětʎiʋ
švalja	ʃʋâʎa
pasti	pâːsti
ćelija	t͡ɕělija
primjećivati	primjet͡ɕǐːʋati
mnogi	mnôɡiː
probirati	probǐːrati
umrijeti	ǔmrjeːti
zove	zǒːʋe
grba	ɡr̂ba
kupatilo	kupâtilo
nameravati	namerǎːʋati
sarajlijski	sarǎjliːjskiː
osiguranje	osiɡurǎːɲe
krakov	krâkoʋ
satelit	satěliːt
istovjetan	istǒʋjetan
štikati	ʃtîkati
karbonat	karbǒnaːt
cijevka	t͡sijêːʋka
konjanik	kôɲaniːk
dužnosnica	dǔːʒnosnit͡sa
virologija	ʋirolǒɡija
strejtaš	strêjtaːʃ
znati	znâti
sredozemlje	srêdozeːmʎe
natrag	nâtraːɡ
češati	t͡ʃěʃati
rigidnost	riɡǐːdnoːst
konkurent	konkǔrent
sačinjavati	sat͡ʃiɲǎːʋati
budu	bûdu
bitan	bîtan
taksimetar	tǎksimetar
popuniti	pǒpuniti
kupiti	kǔːpiti
tokom	tôːkom
osam	ôsam
superlativ	sûperlatiːʋ
šaren	ʃǎren
matrijarhat	matrijǎrxaːt
zemljište	zêmʎiːʃte
lončarski	lǒnt͡ʃaːrskiː
jagmiti	jǎɡmiti
sprovesti	sprǒʋesti
panteizam	panteǐzam
konfesija	konfěsija
detelina	dêtelina
jegulja	jěɡuʎa
kelt	kêlt
avitaminoza	aʋitaminǒːza
ledac	lêdat͡s
nagrditi	naɡřːditi
prostorno	prǒːstorno
mauzolej	mauzǒlej
vrisnuti	ʋrǐːsnuti
šiparica	ʃipǎrit͡sa
prezirati	prězirati
bataljun	batǎʎuːn
šlapa	ʃlâpa
kola	kôːla
etiopija	etiǒpija
ženskar	ʒěnskaːr
platinski	plâtinskiː
divljački	dǐʋʎaːtʃkiː
fudbal	fûdbaːl
galantan	ɡalǎntan
gordo	ɡôːrdo
snop	snôp
bratoubojstvo	bratoǔboːjstʋo
aforistički	aforǐstit͡ʃkiː
hobotnica	xǒbotnit͡sa
kartati	kâːrtati
imovinski	ǐmoʋinski
novajlija	noʋǎjlija
embrio	êmbrio
devetka	děʋeːtka
ubrizgati	ǔbrizɡati
telegrafija	teleɡrǎfija
stepen	stêpeːn
cimnuti	t͡sîmnuti
dogmatski	dǒɡmatskiː
prisjećati	prǐsjet͡ɕati
narcizam	nart͡sǐzam
čama	t͡ʃǎːma
povremeno	pǒʋremeno
nesvršeni	něsʋrːʃeniː
protjerivati	protjerǐːʋati
omalen	ômalen
radikalac	radikǎːlat͡s
premašiti	prěmaʃiti
kauzalan	kâuzaːlan
prkos	přkos
izgledati	izɡlěːdati
pijanino	pijǎniːno
divji	dǐʋjiː
gojenac	ɡôjenat͡s
bilateralan	bîlateraːlan
superiorno	sûperioːrno
razvaliti	razʋǎːliti
slabić	slǎbiːt͡ɕ
plavook	plaʋǒok
hemofilija	xemofǐlija
nekada	nêkada
šaptati	ʃǎptati
bockati	bôt͡skati
zadirkivati	zadirkǐːʋati
sintetički	sintětitʃkiː
sila	sîla
sabljica	sâbʎit͡sa
benevolentan	beneʋolěntan
nepromijenjen	neprǒmijeːɲen
proklijati	proklǐjati
rival	rǐʋaːl
voštar	ʋǒʃtaːr
ekavski	ěːkaʋski
posebice	pǒːsebit͡seː
samozadovoljavati	samozadoʋoʎǎːʋati
pokvarenjački	pokʋarěɲaːtʃki
izbaviti	ǐzbaʋiti
zasmetati	zasměːtati
jatak	jâtak
neznabožac	neznabǒːʒat͡s
igla	ǐɡla
vesalce	ʋesǎːlt͡se
vulkan	ʋǔlkaːn
podvala	pôdʋala
autosugestija	autosuɡěstija
besmislen	běsmislen
raspoloviti	raspolǒʋiti
stražar	strǎʒaːr
potkopati	potkǒpati
podnositi	podnǒsiti
patriotizam	patriotǐzam
izbalansirati	izbalansǐːrati
dijagnoza	dijaɡnǒːza
latica	lâtit͡sa
leopard	lêopaːrd
njegovati	ɲêɡoʋati
gluhan	ɡlǔxan
usmjeravati	usmjerǎːʋati
industrijski	indǔstriːjskiː
podsuknja	pǒdsukɲa
šmir	ʃmîːr
šnurbarthelter	ʃnûːrbaːrtxelter
dupence	dupěːnt͡se
napeći	nǎpet͡ɕi
brakolomstvo	brakolǒːmstʋo
klizaljka	klǐːzaːʎka
ali	âli
neograničen	neoɡrǎnit͡ʃen
muževan	mûʒeːʋan
šarm	ʃârm
gost	ɡôːst
vadičep	ʋǎdit͡ʃep
senzacija	senzǎːt͡sija
oslobodilački	oslobǒdilatʃki
siže	sǐʒeː
ornitologija	ornitolǒɡija
šlajm	ʃlâjm
fonetički	fonětit͡ʃkiː
jelo	jêlo
mošnice	môʃnit͡se
ženeva	ʒeněːʋa
inozemstvo	inozěːmstʋo
neslužben	něsluʒben
istupiti	istǔːpiti
cijenjen	t͡sijêːɲen
drag	drâːɡ
anda	andaː
voštan	ʋǒʃtan
nadživeti	nad͡ʒǐːʋeti
šuljati	ʃǔːʎati
strah	strâːx
sjeverozapad	sjeʋerozǎːpad
objelodanjivati	objelodaɲǐːʋati
kolektivizacija	kolektiʋizǎːt͡sija
bojati	bǒjati
suhoća	suxǒt͡ɕa
sofija	sǒfija
vještina	ʋjeʃtǐna
sestrić	sêstrit͡ɕ
larpurlartizam	larpurlartǐzam
pun	pûn
panslavizam	panslaʋǐzam
trgnuti	tr̂ɡnuti
obuvati	obǔːʋati
poželjeti	poʒěʎeti
osvećivati	osʋet͡ɕǐːʋati
pomladak	pǒmladak
devet	dêʋet
automehaničar	automexǎnit͡ʃaːr
nesu	něːsu
neurološki	neurǒloʃki
školstvo	ʃkǒlstʋo
zavredeti	zaʋrěːdeti
iguman	îɡumaːn
drugačiji	druɡǎt͡ʃijiː
fonetski	fǒnetskiː
sitničavo	sǐtnit͡ʃaʋo
aktivacija	aktiʋǎːt͡sija
igdje	îɡdje
ginekološki	ɡinekǒloʃkiː
skarabej	skarǎbej
mjesečno	mjêset͡ʃno
skorbut	skǒrbut
iskrica	îskrit͡sa
maharadža	mâxarad͡ʒa
neproduktivnost	neproduktǐːʋnoːst
grana	ɡrǎːna
saharoza	saxarǒːza
karikatura	karikatǔːra
nastati	nǎstati
prodavalac	prodǎʋalat͡s
teror	těroːr
umeti	ǔmeti
uputstvo	upǔtstʋo
boginja	bǒɡiɲa
dopisnica	dǒpisnit͡sa
nadijevati	nadjěːʋati
presahnuti	presǎxnuti
porozan	pôroːzan
pridonositi	pridonǒsiti
rastvarati	rastʋǎːrati
krčmiti	kr̂t͡ʃmiti
krivudati	kriʋǔdati
jedinstvo	jedǐːnstʋo
nazivnik	nǎːziːʋniːk
medijator	medǐjatoːr
mešovit	meʃǒʋit
sjahivati	sjaxǐːʋati
nekog	nêkoɡ
manjinski	mǎɲiːnskiː
kazalo	kǎzalo
filogenija	filoɡěːnija
podudarnost	podudǎːrnoːst
kvalifikacija	kʋalifikǎːt͡sija
terapija	terǎpija
londonski	lǒndoːnskiː
divljak	dǐʋʎaːk
globiti	ɡlǒbiti
izdašan	îzdaːʃan
nedokaziv	nedokǎziʋ
radijalan	râdijaːlan
rod	rôd
iscjelitelj	ist͡sjěliteʎ
kapriciozno	kâprit͡sioːzno
pripovijetka	prîpoʋijeːtka
sajamski	sǎːjamski
verziran	ʋěrziːran
njurgavac	ɲûrɡaʋat͡s
jednoboštvo	jednǒboʃtʋo
jedrenjača	jedrěɲat͡ʃa
zabunkerirati	zabunkerǐːrati
vrtložan	ʋřtloʒan
upućivati	uput͡ɕǐːʋati
klanac	klǎːnat͡s
brodogradnja	brodoɡrǎːdɲa
smežurati	smeʒǔrati
izgradnja	izɡrǎːdɲa
jezivo	jěziʋo
škrob	ʃkrôb
nerazvijen	nerazʋǐjen
nerazdvojiv	nerazdʋǒjiʋ
škurija	ʃkǔrija
glomaznost	ɡlômaːznoːst
intuitivan	întuitiːʋan
tuširati	tuʃǐːrati
štambilj	ʃtambiʎ
soja	sǒːja
kime	kǐːme
komirati	komǐːrati
međutim	med͡ʑǔtiːm
svrbež	sʋřːbeʒ
linearnost	lineǎːrnoːst
uvenuti	uʋěnuti
pansion	pansǐoːn
spajati	spǎːjati
zaštitništvo	zǎːʃtitniːʃtʋo
hazardni	xǎzardniː
kapitulacija	kapitulǎːt͡sija
dopisnik	dǒpisniːk
zavoljeti	zaʋǒʎeti
okivati	okǐːʋati
banditski	bǎndiːtski
turpija	tǔrpija
lovočuvar	loʋot͡ʃǔʋaːr
heljda	xêʎda
obnova	ôbnoʋa
prevremen	preʋremen
pripisati	pripǐːsati
flertovati	flêrtoʋati
bojiti	bǒjiti
lirizam	lirǐzam
jasen	jâseːn
detinjast	dětiɲast
cinički	tsǐnitʃkiː
invazijski	ǐnʋaːziːjskiː
tiskovina	tǐskoʋina
valjda	ʋǎʎda
krimski	krîːmskiː
zalizati	zalǐːzati
takozvani	takǒzʋaːniː
zacerekati	zat͡serěkati
taj	tâːj
saglediv	saɡlědiʋ
krma	kr̂ma
sajamski	sǎːjamskiː
udovčev	udǒːʋt͡ʃeʋ
ukrasiti	ukrǎːsiti
carski	tsâːrskiː
nikaragvanac	nikaraɡʋǎːnat͡s
arhaik	arxǎik
nedavno	nêdaːʋno
gundelj	ɡǔndeʎ
prostorija	prostǒrija
pripitomljivati	pripitomʎǐːʋati
nagovor	nâɡoʋoːr
primamljivati	primamʎǐːʋati
naglavce	naɡlǎʋt͡seː
izmlatiti	izmlǎːtiti
služiti	slǔːʒiti
riskantan	riskǎntan
krabuljni	krǎbuːʎniː
miloš	mîloʃ
ugodan	ûɡodan
izmjeriv	izmjěriʋ
izmaknuti	izmǎknuti
adresar	adrěsaːr
voljeti	ʋǒʎeti
individuum	indiʋǐːduum
kotlovnica	kǒtloːʋnit͡sa
krajnost	krǎːjnoːst
odjel	ǒdjel
želja	ʒêʎa
šahist	ʃǎxist
bećar	bět͡ɕaːr
potkopavati	potkopǎːʋati
kivno	kîːʋno
adaptacija	adaptǎːt͡sija
nepovratno	nêpoʋraːtno
izdavač	izdǎʋaːt͡ʃ
predavač	predǎʋaːt͡ʃ
razbaštiniti	razbǎːʃtiniti
navrat	nǎːʋrat
mađarski	mâdʑarskiː
krenuti	krěːnuti
redžeb	rěd͡ʒeb
zaostajati	zaǒstajati
deda	dêda
riđobrad	rid͡ʑǒbrad
obespraviti	obesprǎːʋiti
blebetati	blebětati
zanemariti	zanemǎːriti
skrušen	skrûːʃen
vitalno	ʋîtaːlno
heroina	xeroǐːna
neprofesionalan	nêprofesionaːlan
pet	pêːt
remiza	remǐːza
sustignuti	sǔstiɡnuti
džudo	d͡ʒûdo
nadviti	nǎdʋiti
žigolo	ʒîɡolo
menadžer	měnad͡ʒer
silovitost	silǒʋitoːst
čupati	t͡ʃǔpati
ganutljiv	ɡanǔtʎiʋ
bašta	bǎːʃta
komunikativno	kômunikatiːʋno
dizajn	dǐzajn
panonija	pǎnoːnija
težak	těːʒak
zalogajnica	zaloɡǎːjnit͡sa
euforičan	eufǒrit͡ʃan
proširivati	proʃirǐːʋati
uvriježiti	uʋrijěːʒiti
lončar	lǒnt͡ʃaːr
mera	mêra
zibati	zǐːbati
štucer	ʃtǔt͡ser
ptičurina	ptit͡ʃǔrina
medvedica	mědʋedit͡sa
aroma	arǒːma
razrjeđivač	razrjed͡ʑǐʋaːt͡ʃ
prigušivač	priɡuʃǐʋaːt͡ʃ
cigareta	t͡siɡarěta
ganac	ɡǎːnat͡s
pribor	prǐːbor
prozivati	prozǐːʋati
omotati	omǒtati
magnetski	mǎɡneːtski
veranda	ʋěraːnda
surov	sǔroʋ
odstranjivati	odstraɲǐːʋati
slamnat	slǎmnat
inventivno	înʋentiːʋno
sinagoga	sinaɡǒːɡa
inspekcijski	inspěkt͡siːjskiː
prozni	prôːzniː
trijumfirati	trijumfǐːrati
sudžuk	sǔd͡ʒuk
matar	mâtar
multiplikator	multiplǐkaːtor
neprisutan	něprisutan
pokidati	pǒkidati
odmicati	ǒdmit͡sati
zlokob	zlôkoːb
iskašljati	iskǎʃʎati
mora	môːra
podgrijati	pǒdɡrijati
dahnuti	dǎxnuti
ždrebac	ʒdrěːbat͡s
dojdek	dǒjdek
negativan	nêɡatiːʋan
sugestija	suɡěstija
podsmijeh	pôdsmijeːx
striptiz	strǐptiːz
kritičan	krǐtit͡ʃan
uganda	ǔɡaːnda
klošar	klǒʃaːr
zagonetka	zâɡoneːtka
idealizacija	idealizǎːt͡sija
kenjac	kěːɲat͡s
rasistički	rasǐstit͡ʃkiː
moskovski	mǒskoʋskiː
praksa	prâksa
destinacija	destinǎːt͡sija
penjač	pěɲaːt͡ʃ
razumljivo	razǔmʎiʋo
neuverljiv	neuʋěrʎiʋ
siledžija	silěd͡ʒija
preambula	prěambula
proćućivati	prot͡ɕut͡ɕǐːʋati
srebrn	srêbrn
poštovatelj	poʃtǒʋateʎ
krhko	kr̂xko
vešač	ʋěʃaːt͡ʃ
krokodilski	krokǒdilskiː
adekvatnost	adekʋǎːtnoːst
raspon	rǎːspon
podići	pǒditɕi
vojničina	ʋojnǐt͡ʃina
razmnožavati	razmnoʒǎːʋati
razumnost	râzuːmnoːst
vešt	ʋêʃt
rukovodilac	rukoʋǒdilat͡s
obdan	ôbdaːn
kreirati	kreǐːrati
fuj	fuj
dveri	dʋêːri
teocentričan	teot͡sěntrit͡ʃan
uvid	ǔʋid
propovedaonica	propoʋedaǒːnit͡sa
nečem	nêt͡ʃem
provalnica	prǒʋaːlnit͡sa
poljakinja	poʎǎkiɲa
lignja	lîɡɲa
pandža	pâːnd͡ʒa
śeđeti	ɕěd͡ʑeti
organizacija	orɡanizǎːt͡sija
profesija	profěsija
posredovati	pǒsredoʋati
podvostručiti	podʋǒstrut͡ʃiti
odlediti	odlěditi
poznati	pǒznati
ispuhati	ispǔːxati
mlat	mlâːt
razređivač	razred͡ʑǐʋaːt͡ʃ
dodirivati	dodirǐːʋati
kriptopolitički	kriptopolǐtit͡ʃki
posjet	pôsjet
veselica	ʋesělit͡sa
dešnjakinja	deʃɲǎkiɲa
vanka	ʋâːnka
sujeveran	sûjeʋeːran
pasulj	pǎsuːʎ
idiotstvo	idiǒtstʋo
tradicija	trǎdiːt͡sija
gusjenica	ɡûsjenit͡sa
bojažljiv	bojǎʒʎiʋ
obestan	ôbeːstan
odmetnik	ǒdmetniːk
kompetentno	kompetěntno
čujno	t͡ʃûːjno
klaviristica	klaʋǐristit͡sa
betula	bêtula
istraživački	istraʒǐʋaːt͡ʃkiː
monotono	mônotoːno
tajanstveno	tajǎnstʋeno
aplikacija	aplikǎːt͡sija
usisač	usǐsaːt͡ʃ
pojasniti	pojǎsniti
unuk	ǔnuk
spavalo	spǎːʋalo
obistiniti	ǒbistiniti
košara	kǒʃara
proizvesti	proǐzʋesti
nepravilan	nêpraʋiːlan
pohvaliti	poxʋǎːliti
agnostičar	aɡnǒstit͡ʃaːr
agrostologija	aɡrostolǒɡija
timar	tǐmaːr
obris	ôbriːs
gospođa	ɡôspod͡ʑa
promet	prǒːmet
profitabilno	prôfitabiːlno
alpe	âːlpe
pantljika	pǎntʎika
dlakav	dlâkaʋ
patološki	patǒloʃki
pluralistički	pluralǐstit͡ʃkiː
etimologija	etimolǒɡija
podrugnuti	pǒdruɡnuti
kus	kûːs
pobeliti	poběːliti
smotati	smǒtati
besmrtnički	běsmrtnit͡ʃki
oblačina	oblǎt͡ʃina
buzet	bǔzet
mrviti	mr̂ʋiti
falset	fǎlset
izražavati	izraʒǎːʋati
rasformirati	rasformǐːrati
temeljni	têmeːʎniː
šparoga	ʃpǎroɡa
obrnuti	obřːnuti
žerav	ʒěraːʋ
lajav	lâjaʋ
dom	dôːm
maloljetan	maloʎětan
abaiti	abaiti
nesit	nêsit
uplašiti	ǔplaʃiti
hirovitost	xirǒʋitoːst
fatalistički	fatalǐstit͡ʃkiː
križovac	krǐːʒoʋat͡s
asimilacija	asimilǎːt͡sija
kozmopolitski	kozmopǒliːtski
zaudarati	zaǔdarati
platno	plǎːtno
povod	pǒʋod
sredina	sredǐna
carevna	t͡sâreːʋna
nepredviđen	neprědʋid͡ʑen
urotnik	ǔrotniːk
pristajati	prǐstajati
eksport	ěksport
listopadni	lîstopaːdniː
đavo	d͡ʑâʋoː
navaliti	naʋǎːliti
diviti	dǐːʋiti
domaćin	domǎt͡ɕin
imunološki	imunǒloʃki
prošetati	proʃěːtati
leksikograf	leksikǒɡraf
hijerarhijski	xijerǎrxiːjski
cetinje	t͡sětiɲe
svesti	sʋêsti
odlomiti	odlǒmiti
šlifer	ʃlǐfer
prisetiti	prǐsetiti
podnijeti	pǒdnjeːti
apolitički	apolǐtitʃkiː
primjena	prîmjena
autorstvo	autǒːrstʋo
jal	jâːl
konsekutivno	kônsekutiːʋno
lažnost	lâʒnoːst
državljanka	dřʒaʋʎaːnka
imenjak	îmeɲaːk
transformirati	transformǐːrati
tajmer	tǎjmer
markiz	mǎrkiːz
prelazan	prěːlazan
džihad	d͡ʒǐxaːd
proždrljivac	proʒdřʎiʋat͡s
furiozan	fûrioːzan
karijes	kâːrijes
bezosećajnost	bezoset͡ɕǎːjnoːst
suknja	sûkɲa
mirta	mîːrta
tutanj	tûːtaɲ
pešice	pêʃit͡seː
ideogram	ideǒɡram
pigment	pǐɡment
glumiti	ɡlǔːmiti
makadamski	mǎkadamskiː
granata	ɡranǎːta
opći	ôpt͡ɕiː
nekadašnji	nêkadaʃɲiː
železo	ʒělezo
kama	kâma
čileanski	t͡ʃilěaːnskiː
ptičji	ptît͡ʃjiː
bajta	bâːjta
adneks	ǎdneks
ugrijati	ǔɡrijati
mješovit	mjeʃǒʋit
belasati	belǎsati
skraćenica	skrâːt͡ɕenit͡sa
mladenac	mlǎdenat͡s
pripreman	prîpreːman
fakirski	fǎkiːrskiː
ujna	ûːjna
kozjetina	kǒzjetina
kradljivac	krǎdʎiʋat͡s
stalež	stǎːleʒ
falus	fâlus
inćun	ǐnt͡ɕuːn
neosoban	nêosoban
