hokimiyatiga	hˌɑkymˌyjætˈyɡæ
koʻtarilishi	kˌotæɾyɫˈyʃy
tovushi	tɑʋˈʊʃy
viloyatlaridagi	ʋˌyɫɑjˌætlæɾydˈæɡy
minerallashgan	mˌyneɾæɫlˈæʃɡæn
Odamlar	ɑdˈæmlæɾ
doir	dˈɑyɾ
Mamlakat	mæmlˈækæt
avtomobilsozlik	ˌæʋtɑmˌɑbyɫsˈɑzɫyk
Ili	ˈyɫy
turishga	tʊɾˈyʃɡæ
vazifasidan	ʋˌæzyfˌæsˈydæn
qolgan	qˈɑɫɡæn
ozodlikdan	ˌɑzɑdɫˈykdæn
miqdoriy	myqdˈɑɾyj
turdan	tˈʊɾdæn
romanlarida	ɾˌɑmænlæɾˈydæ
chopiq	t͡Sˈɑpyq
dostonlarni	dˌɑstɑnlˈæɾny
oraligʻida	ˌɑɾæɫyʁˈydæ
emish	ˈemyʃ
balandligi	bˌælændɫˈyɡy
yordamchisi	jˌɑɾdæmt͡Sˈysy
sharoitiga	ʃˌæɾɑytˈyɡæ
oti	ˈɑty
shartlari	ʃæɾtlˈæɾy
Qishi	qˈyʃy
dunyosida	dˌʊnjɑsˈydæ
noib	nˈɑyb
tartibsiz	tæɾtˈybsyz
anjomlari	ˌænd͡ʒɑmlˈæɾy
xonalari	χˌɑnælˈæɾy
zulmga	zˈʊɫmɡæ
fakultet	fˌækˈʊɫtet
qiyin	qˈyjyn
xizmatchi	χyzmˈætt͡Sy
xalq	χˈæɫq
biofizika	bˌyɑfˌyzˈykæ
oʻtlardan	otlˈæɾdæn
oʻlik	ˈoɫyk
asbobsozlik	ˌæsbɑbsˈɑzɫyk
materiya	mˌæteɾˈyjæ
atomlarning	ˌætɑmlˈæɾnyŋ
Bahodir	bæhˈɑdyɾ
odamlarga	ˌɑdæmlˈæɾɡæ
evolyutsiya	ˌeʋɑɫjʊtsˈyjæ
yuqadi	jʊqˈædy
Arxeologiya	ˌæɾχeˌɑɫɑɡˈyjæ
Soʻnggi	sˈoŋɡy
boshlanishidan	bˌɑʃlænyʃˈydæn
silos	sˈyɫɑs
bilib	bˈyɫyb
fanlarining	fˌænlæɾˈynyŋ
oilasining	ˌɑylæsˈynyŋ
qalin	qˈæɫyn
imkoni	ymkˈɑny
hamkorlikda	hˌæmkɑɾɫˈykdæ
oila	ɑˈylæ
metodi	metˈɑdy
intining	yntˈynyŋ
berilliy	beɾˈyɫɫyj
ulanib	ʊlˈænyb
oʻsib	ˈosyb
yodgorlik	jɑdɡˈɑɾɫyk
vulqon	ʋˈʊɫqɑn
qismlarida	qˌysmlæɾˈydæ
Sin	sˈyn
kasallik	kæsˈæɫɫyk
qoidalarini	qˌɑydˌælæɾˈyny
tarixchilari	tˌæɾyχt͡Sylˈæɾy
Oʻrta	ˈoɾtæ
nomlar	nˈɑmlæɾ
xalqlarda	χæɫqlˈæɾdæ
foydalanuvchilar	fˌɑjdælˌænʊʋt͡Sˈylæɾ
yozuvchisi	jˌɑzʊʋt͡Sˈysy
koʻrilgan	koɾˈyɫɡæn
Ispaniyaning	ˌyspænyjˈænyŋ
ishida	yʃˈydæ
davrlarda	dæʋɾlˈæɾdæ
Darvin	dˈæɾʋyn
tipik	tˈypyk
bunday	bˈʊndæj
sulolasiga	sˌʊɫɑlæsˈyɡæ
qirq	qˈyɾq
gazetalar	ɡˌæzetˈælæɾ
Iroq	ˈyɾɑq
farmoniga	fˌæɾmɑnˈyɡæ
simlar	sˈymlæɾ
biologik	bˌyɑɫˈɑɡyk
versiyalari	ʋˌeɾsyjælˈæɾy
unda	ˈʊndæ
dars	dˈæɾs
Yulduzlar	jʊɫdˈʊzlæɾ
dahshatli	dæhʃˈætɫy
komik	kˈɑmyk
kengaytirdi	kˌeŋæjtˈyɾdy
tuksiz	tˈʊksyz
Gavayi	ɡæʋˈæjy
bagʻirlari	bˌæʁyɾlˈæɾy
markazlaridan	mˌæɾkæzlæɾˈydæn
metallarni	mˌetæɫlˈæɾny
qavati	qæʋˈæty
asariga	ˌæsæɾˈyɡæ
xususiyatlari	χˌʊsʊsˌyjætlˈæɾy
ifodasi	yfˌɑdˈæsy
yoʻlning	jˈoɫnyŋ
emal	ˈemæɫ
shakllanishi	ʃˌækɫlænˈyʃy
ekilgan	ekˈyɫɡæn
atmosferasi	ˌætmɑsfˌeɾˈæsy
muhtoj	mˈʊhtɑd͡ʒ
koʻrishga	koɾˈyʃɡæ
doʻsti	dˈosty
hamkorligi	hˌæmkɑɾɫˈyɡy
baholangan	bˌæhɑlˈæŋæn
zot	zˈɑt
oʻchoq	ˈot͡Sɑq
kishi	kˈyʃy
boshlandi	bɑʃlˈændy
Tuzilishi	tˌʊzyɫˈyʃy
narsalarni	nˌæɾsælˈæɾny
tamoyil	tæmˈɑjyɫ
jinslariga	d͡ʒˌynslæɾˈyɡæ
hokazo	hɑkˈæzɑ
Saylov	sˈæjɫɑʋ
tizim	tˈyzym
aniqlashdan	ˌænyqlˈæʃdæn
bosh	bˈɑʃ
zarur	zˈæɾʊɾ
moslamalar	mˌɑslæmˈælæɾ
muhimdir	mʊhˈymdyɾ
yahshi	jˈæhʃy
pufagi	pʊfˌæɡy
toʻrt	tˈoɾt
Tuxumdan	tʊχˈʊmdæn
Buxoriy	bʊχˈɑɾyj
rejissyorlik	ɾˌed͡ʒyssjˈɑɾɫyk
bajara	bæd͡ʒˈæɾæ
davolashga	dˌæʋɑlˈæʃɡæ
xato	χˈætɑ
hukmronligining	hˌʊkmɾɑnɫyɡˈynyŋ
uzok	ˈʊzɑk
kiritdi	kyɾˈytdy
uskunalar	ˌʊskʊnˈælæɾ
Fermi	fˌeɾmy
homila	hɑmˈylæ
shimolidagi	ʃˌymɑɫydˈæɡy
Koʻpgina	kopɡˈynæ
Baykal	bˈæjkæɫ
Rose	ɾˈɑse
neftning	nˈeftnˌyŋ
Kengash	kˈeŋæʃ
Kavkazning	kæʋkˈæznyŋ
reaksiyasini	ɾˌeæksˌyjæsˈyny
institutda	ˌynstytˈʊtdæ
voqelikni	ʋˌɑqeɫˈykny
shaharchasi	ʃˌæhæɾt͡Sˈæsy
Moskva	mˈɑskʋæ
sogʻlom	sˈɑʁɫɑm
ovqatlar	ɑʋqˈætlæɾ
Temir	tˈemyɾ
uyroʻzgʻor	ʊjɾˈozʁɑɾ
markazida	mˌæɾkæzˈydæ
yubordi	jʊbˈɑɾdy
ogʻishi	ɑʁˈyʃy
huquqshunoslik	hˌʊqʊqʃʊnˈɑsɫyk
raketalar	ɾˌæketˈælæɾ
faoliyatining	fˌæɑɫˌyjætˈynyŋ
koʻchirib	kot͡Sˈyɾyb
xodim	χˈɑdym
kirishildi	kˌyɾyʃˈyɫdy
oʻyib	ˈojyb
cheklanmagan	t͡Sˌeklænmˈæɡæn
mavzularda	mˌæʋzʊlˈæɾdæ
manbasi	mænbˈæsy
voqealarning	ʋˌɑqeælˈæɾnyŋ
Kristall	kɾˈystæɫɫ
Pop	pˈɑp
obrazlari	ˌɑbɾæzlˈæɾy
kuzatish	kʊzˈætyʃ
kuchli	kˈʊt͡Sɫy
toʻliqsiz	toɫˈyqsyz
Rost	ɾˈɑst
milliard	myɫɫˈyæɾd
vazifalar	ʋˌæzyfˌælæɾ
yugurish	jʊɡˈʊɾyʃ
Hayvonlarning	hˌæjʋɑnlˈæɾnyŋ
ajdodlari	ˌæd͡ʒdɑdlˈæɾy
Buyrak	bˈʊjɾæk
aytdi	ˈæjtdy
boʻlishiga	bˌoɫyʃˈyɡæ
Bobo	bˈɑbɑ
shim	ʃˈym
mavzudagi	mˌæʋzʊdˈæɡy
eltuvchi	eɫtˈʊʋt͡Sy
hayotida	hˌæjɑtˈydæ
Tokio	tɑkˈyɑ
foto	fˌɑtɑ
ashula	æʃˈʊlæ
pishib	pˈyʃyb
tuk	tˈʊk
kechinmalari	kˌet͡Synmælˈæɾy
suvi	sˈʊʋy
boʻladigan	bˌolædˈyɡæn
egri	ˈeɡɾy
portretlari	pˌɑɾtɾetlˈæɾy
Tuprogʻi	tʊpɾˈɑʁy
jarrohlik	d͡ʒæɾɾˈɑhɫyk
takror	tˈækɾɑɾ
Qurtlari	qʊɾtlˈæɾy
natijasidir	nˌætyd͡ʒæsˈydyɾ
Gap	ɡˈæp
tip	tˈyp
sanitariya	sˌænytæɾˈyjæ
Yuz	jˈʊz
kuylari	kʊjlˈæɾy
matematikaning	mˌætemˌætykˈænyŋ
transport	tɾˈænspɑɾt
hujjatlarda	hˌʊd͡ʒd͡ʒætlˈæɾdæ
kurort	kˈʊɾɑɾt
hisoblanardi	hˌysɑblænˈæɾdy
uslubiy	ʊsɫˈʊbyj
tuzilmasi	tˌʊzyɫmˈæsy
Politsiya	pˌɑɫytsˈyjæ
qavatida	qˌæʋætˈydæ
tubiga	tʊbˈyɡæ
yakin	jˈækyn
mezolit	mezˈɑɫyt
eritib	eɾˈytyb
Shaharga	ʃæhˈæɾɡæ
tamaki	tæmˈæky
sudga	sˈʊdɡæ
Seylon	sˈejɫɑn
haqida	hæqˌydæ
avvaliga	ˌæʋʋæɫˈyɡæ
tomoshabin	tˌɑmɑʃˈæbyn
Yuk	jˈʊk
maydondagi	mˌæjdɑndˈæɡy
xotiralari	χˌɑtyɾælˈæɾy
Turkiyaga	tˌʊɾkyjˈæɡæ
izchil	ˈyzt͡Syɫ
ruhidagi	ɾˌʊhydˈæɡy
Yassaviy	jæssˈæʋyj
chuqur	t͡Sˈʊqʊɾ
vaqtini	ʋæqtˈyny
gravitatsion	ɡɾˌæʋytætsˈyɑn
ziddiyat	zyddˈyjæt
ongi	ˈɑŋy
boshlaridagi	bˌɑʃlæɾydˈæɡy
yechimi	jet͡Sˈymy
huquqlariga	hˌʊqʊqlæɾˈyɡæ
hissasini	hˌyssæsˈyny
sovitish	sɑʋˈytyʃ
tanishadi	tˌænyʃˈædy
tabobat	tæbˈɑbæt
sinfga	sˈynfɡˌæ
Islomning	ysɫˈɑmnyŋ
darajadagi	dˌæɾæd͡ʒædˈæɡy
boriladigan	bˌɑɾylædˈyɡæn
ishlarida	ˌyʃlæɾˈydæ
nomzodlar	nɑmzˈɑdlæɾ
fizikaning	fˌyzykˈænyŋ
marten	mˈæɾten
turkiycha	tʊɾkˈyjt͡Sæ
oʻzlashgan	ozlˈæʃɡæn
xalqlarga	χæɫqlˈæɾɡæ
nomida	nɑmˈydæ
tibbiy	tˈybbyj
mart	mˈæɾt
Logan	ɫˈɑɡæn
oʻzgartiradi	ˌozɡæɾtyɾˈædy
tayyorlandi	tˌæjjɑɾlˈændy
matnini	mætnˈyny
tomirlar	tɑmˈyɾlæɾ
qoʻmondonlik	qˌomɑndˈɑnɫyk
oqlash	ˈɑqlæʃ
chiqqanidan	t͡Sˌyqqænˈydæn
shoirlari	ʃˌɑyɾlˈæɾy
Eng	ˈeŋ
tengsizlik	teŋsˈyzɫyk
qaytdi	qˈæjtdy
qoidalarga	qˌɑydælˈæɾɡæ
nay	nˈæj
turlarining	tˌʊɾlæɾˈynyŋ
monografiya	mˌɑnɑɡɾæfˌyjæ
tinch	tˈynt͡S
soʻzga	sˈozɡæ
fashistlar	fˌæʃˈystlæɾ
sohilida	sˌɑhyɫˈydæ
tana	tˈænæ
mustaqillikka	mˌʊstæqyɫɫˈykkæ
kechdi	kˈet͡Sdy
mana	mˈænæ
armiya	æɾmˈyjæ
urushlari	ˌʊɾʊʃlˈæɾy
Napoleon	nˌæpɑlˈeɑn
bular	bˌʊlæɾ
chiqarila	t͡Sˌyqæɾˈylæ
Radioaktiv	ɾˌædyɑˈæktyʋ
janubidagi	d͡ʒˌænʊbydˈæɡy
Rustam	ɾˈʊstæm
monastiri	mˌɑnæstˈyɾy
hidli	hˈydɫy
belgilari	bˌeɫɡylˈæɾy
Ergash	ˈeɾɡæʃ
darajaga	dˌæɾæd͡ʒˈæɡæ
taqaladi	tˌæqælˈædy
atletika	ˌætletˈykæ
qoʻyib	qˈojyb
statistik	stætˈystyk
dinining	dynˈynyŋ
qonunlariga	qˌɑnʊnlæɾˈyɡæ
ustaxonasi	ˌʊstæχɑnˈæsy
investitsiya	ˌynʋestytsˈyjæ
Koʻpchilik	kopt͡Sˈyɫyk
antiklinal	ˌæntykɫˈynæɫ
yilliklarda	jˌyɫɫyklˈæɾdæ
yoshidan	jɑʃˈydæn
martda	mˈæɾtdæ
kerakligi	kˌeɾækɫˈyɡy
soʻzlarda	sozlˈæɾdæ
umurtqa	ʊmˈʊɾtqæ
chex	t͡Sˈeχ
tomonida	tˌɑmɑnˈydæ
Garchi	ɡˈæɾt͡Sy
ulardagi	ˌʊlæɾdˈæɡy
ohaktosh	ɑhˈæktɑʃ
raqamli	ɾæqˈæmɫy
kvadrat	kʋˈædɾæt
xonligining	χˌɑnɫyɡˈynyŋ
pastda	pˌæstdæ
Normal	nˈɑɾmæɫ
sistematik	sˌystemˈætyk
informatsiya	ynfˌɑɾmætsˈyjæ
Rossiyadan	ɾˌɑssyjˈædæn
Biroq	bˈyɾɑq
beradilar	bˌeɾædˈylæɾ
suyagi	sʊjˈæɡy
respublikada	ɾˌespʊbɫykˈædæ
foydalanilmoqda	fˌɑjdælˌænyɫmˈɑqdæ
Manguberdi	mˌæŋʊbˈeɾdy
holatini	hˌɑlætˈyny
boyliklar	bɑjɫˈyklæɾ
qilinganda	qˌyɫyŋˈændæ
izolyatsiya	ˌyzɑɫjætsˈyjæ
armiyasi	ˌæɾmyjˈæsy
nurlari	nʊɾlˈæɾy
muzeylari	mˌʊzejlˈæɾy
oʻsimliklari	ˌosymɫyklˈæɾy
tik	tˈyk
keltiradi	kˌeɫtyɾˈædy
izlab	ˈyzlæb
yaylov	jˈæjɫɑʋ
boyitish	bɑjˈytyʃ
shoir	ʃˈɑyɾ
olsa	ˈɑɫsæ
modellar	mɑdˈeɫlæɾ
shoirning	ʃɑˈyɾnyŋ
boshqalari	bˌɑʃqælˈæɾy
muhitdagi	mˌʊhytdˈæɡy
Panjob	pˈænd͡ʒɑb
Nafis	nˈæfˌys
qizi	qˈyzy
tushunilgan	tˌʊʃʊnˈyɫɡæn
oʻrganadi	ˌoɾɡænˈædy
genlarning	ɡenlˈæɾnyŋ
qutisi	qʊtˈysy
tadqiqotlarga	tˌædqyqɑtlˈæɾɡæ
chiqqandan	t͡Syqqˈændæn
vaziyatdan	ʋˌæzyjˈætdæn
dedveyt	dˈedʋejt
yaxshiroq	jæχʃˈyɾɑq
boshqaruvi	bˌɑʃqæɾˈʊʋy
fikri	fˌykɾy
tasdiqlash	tæsdˈyqlæʃ
Davosi	dæʋˈɑsy
Matematik	mˌætemˈætyk
Ey	ˈej
yozishda	jɑzˈyʃdæ
hissa	hˈyssæ
barham	bˈæɾhæm
poliz	pˈɑɫyz
kelingan	keɫˈyŋæn
nurlarning	nʊɾlˈæɾnyŋ
Aholisi	ˌæhɑɫˈysy
koʻtarilgan	kˌotæɾˈyɫɡæn
plato	plˈætɑ
taqsimlangan	tˌæqsymlˈæŋæn
uchuvchan	ʊt͡Sˈʊʋt͡Sæn
shakliga	ʃækɫˈyɡæ
dini	dˈyny
jismoniy	d͡ʒysmˈɑnyj
kiyib	kˈyjyb
orttirilgan	ˌɑɾttyɾˈyɫɡæn
harajatlari	hˌæɾæd͡ʒætlˈæɾy
guvohlik	ɡʊʋˈɑhɫyk
nizolar	nyzˈɑlæɾ
jinslarini	d͡ʒˌynslæɾˈyny
kelinayotgan	kˌeɫynæjˈɑtɡæn
turmushga	tʊɾmˈʊʃɡæ
ital	ˈytæɫ
sinov	sˈynɑʋ
psixologiyasi	psˌyχɑɫˌɑɡyjˈæsy
reja	ɾˈed͡ʒæ
transporti	tɾænspˈɑɾty
sohani	sɑhˈæny
begim	bˈeɡym
vanna	ʋˈænnæ
Xivada	χyʋˈædæ
lampalar	læmpˈælæɾ
individlar	ˌyndyʋˈydlæɾ
qiyinlashadi	qˌyjynlæʃˈædy
Filippin	fˌyɫˈyppyn
oʻsishi	osˈyʃy
ilonlar	yɫˈɑnlæɾ
qatnashgan	qætnˈæʃɡæn
maqola	mæqˈɑlæ
massasining	mˌæssæsˈynyŋ
haykali	hæjkˈæɫy
bukilmalar	bˌʊkyɫmˈælæɾ
amaldorlar	ˌæmæɫdˈɑɾlæɾ
dunyoviy	dʊnjˈɑʋyj
yakunlanadi	jˌækʊnlænˈædy
kompaniyasining	kˌɑmpænˌyjæsˈynyŋ
quruklikda	qˌʊɾʊkɫˈykdæ
uslubiga	ˌʊsɫʊbˈyɡæ
Xurosonda	χˌʊɾɑsˈɑndæ
paytlarida	pˌæjtlæɾˈydæ
hokimlik	hɑkˈymɫyk
Nyuton	njˈʊtɑn
natijada	nˌætyd͡ʒˈædæ
ekinlari	ˌekynlˈæɾy
dub	dˈʊb
ва	ʋˈæ
gazning	ɡˈæznyŋ
sarflanadi	sæɾflˌænˈædy
oʻlcham	ˈoɫt͡Sæm
Oyoq	ˈɑjɑq
boʻlishidir	bˌoɫyʃˈydyɾ
vorisi	ʋɑɾˈysy
palatasi	pˌælætˈæsy
Aholisining	ˌæhɑɫysˈynyŋ
togʻlardagi	tˌɑʁlæɾdˈæɡy
haykalchalar	hˌæjkæɫt͡Sˈælæɾ
minerali	mˌyneɾˈæɫy
afsonalar	æfsˌɑnˈælæɾ
qilganda	qyɫɡˈændæ
razryadli	ɾæzɾjˈædɫy
aralashuvi	ˌæɾælæʃˈʊʋy
Turli	tˈʊɾɫy
jurnalida	d͡ʒˌʊɾnæɫˈydæ
tiklash	tˈyklæʃ
ozgina	ɑzɡˈynæ
umumlashtirish	ˌʊmʊmlæʃtˈyɾyʃ
kongressi	kɑŋɾˈessy
azotli	æzˈɑtɫy
oʻyini	ojˈyny
K	kˈa
Nobel	nˈɑbeɫ
toʻlanadi	tˌolænˈædy
Adabiyoti	ˌædæbyjˈɑty
Istanbul	ystˈænbʊɫ
baliq	bˈæɫyq
tushunib	tʊʃˈʊnyb
Bobil	bˈɑbyɫ
chiroyli	t͡Syɾˈɑjɫy
bosgan	bˈɑsɡæn
muomalada	mˌʊɑmælˈædæ
lavozimi	lˌæʋɑzˈymy
qiya	qˈyjæ
soʻzi	sˈozy
elchilar	eɫt͡Sˈylæɾ
Holid	hˈɑɫyd
Hozirda	hɑzˈyɾdæ
ovqat	ˈɑʋqæt
milodning	myɫˈɑdnyŋ
Qozoq	qˈɑzɑq
yurtlari	jʊɾtlˈæɾy
qumoq	qˈʊmɑq
asli	ˈæsɫy
Boburnoma	bˌɑbʊɾnˈɑmæ
politexnika	pˌɑɫyteχnˈykæ
punktlari	pʊnktlˈæɾy
Manchester	mænt͡Sˈesteɾ
kasaba	kæsˈæbæ
tabiatan	tˌæbyˈætæn
toʻliq	tˈoɫyq
xohlagan	χɑhlˈæɡæn
tomir	tˈɑmyɾ
yozishicha	jˌɑzyʃˈyt͡Sæ
olganlar	ɑɫɡˈænlæɾ
shakllarini	ʃˌækɫlæɾˈyny
oʻziga	ozˈyɡæ
afsonaviy	æfsˌɑnˈæʋyj
mulkning	mˈʊɫknyŋ
borishiga	bˌɑɾyʃˈyɡæ
jarayonlarda	d͡ʒˌæɾæjɑnlˈæɾdæ
olishga	ɑɫˈyʃɡæ
tarixida	tˌæɾyχˈydæ
ila	ˈylæ
zarra	zˈæɾɾæ
viloyatiga	ʋˌyɫɑjætˈyɡæ
ssenariy	ssenˈæɾyj
qismlari	qysmlˈæɾy
protein	pɾɑtˈeyn
yalligʻlanish	jˌæɫɫyʁlˈænyʃ
stomatologiya	stˌɑmætˌɑɫɑɡˈyjæ
sayohat	sæjˈɑhæt
ustiga	ʊstˈyɡæ
olishlari	ˌɑɫyʃlˈæɾy
kancha	kˈænt͡Sæ
nazariyasiga	nˌæzæɾˌyjæsˈyɡæ
koʻpi	kˈopy
Ismoil	ysmˈɑyɫ
yutadi	jʊtˈædy
Ilk	ˈyɫk
tokzor	tˈɑkzɑɾ
Yogʻin	jˈɑʁyn
avtomobili	ˌæʋtɑmɑbˈyɫy
tumanlarida	tˌʊmænlæɾˈydæ
erituvchilarda	ˌeɾytˌʊʋt͡Sylˈæɾdæ
oqim	ˈɑqym
bahorda	bæhˈɑɾdæ
metrajli	metɾˈæd͡ʒɫy
oksidlab	ɑksˈydlæb
tugagach	tʊɡˈæɡæt͡S
shahardagi	ʃˌæhæɾdˈæɡy
musika	mʊsˈykæ
topishiga	tˌɑpyʃˈyɡæ
tuzilishga	tˌʊzyɫˈyʃɡæ
mujassamoti	mˌʊd͡ʒæssæmˈɑty
bodom	bˈɑdɑm
eshitgan	eʃˈytɡæn
mamlakatlar	mˌæmlækˈætlæɾ
Nasafiy	næsˈæfˌyj
tadbirlarini	tˌædbyɾlæɾˈyny
yoʻqolib	joqˈɑɫyb
joy	d͡ʒˈɑj
Hindixitoy	hˌyndyχˈytɑj
ehtimoli	ˌehtymˈɑɫy
oʻldirilgan	ˌoɫdyɾˈyɫɡæn
SSSRning	ˌesˌesˈesɾnˈyŋ
bitgan	bˈytɡæn
masalasida	mˌæsælæsˈydæ
temirbeton	tˌemyɾbˈetɑn
konstruksiyalar	kˌɑnstɾʊksyjˈælæɾ
tuproqlarda	tˌʊpɾɑqlˈæɾdæ
muqaddima	mˌʊqæddˈymæ
zavodlar	zæʋˈɑdlæɾ
olishiga	ˌɑɫyʃˈyɡæ
detallar	detˈæɫlæɾ
bajarilishini	bˌæd͡ʒæɾˌyɫyʃˈyny
Osmon	ˈɑsmɑn
apparat	æppˈæɾæt
egalarining	ˌeɡælæɾˈynyŋ
gruzin	ɡɾˈʊzyn
Sherobod	ʃeɾˈɑbɑd
mazhab	mˈæzhæb
tabiatning	tˌæbyˈætnyŋ
tuklar	tˈʊklæɾ
beda	bˈedæ
hujjatlarni	hˌʊd͡ʒd͡ʒætlˈæɾny
inkor	ˈynkɑɾ
toʻpgul	tˈopɡʊɫ
shugʻullanadigan	ʃˌʊʁʊɫlˌænædˈyɡæn
Bunga	bˈʊŋæ
Miya	mˈyjæ
S	ˈes
latta	lˈættæ
javobgarlikka	d͡ʒˌæʋɑbɡæɾɫˈykkæ
Kondagi	kɑndˈæɡy
mintaqadagi	mˌyntæqædˈæɡy
posyolkasi	pˌɑsjɑɫkˈæsy
oʻzgartirishlar	ˌozɡæɾtyɾˈyʃlæɾ
fevral	fˌeʋɾæɫ
Markaziy	mæɾkˈæzyj
ustuvor	ʊstˈʊʋɑɾ
Mensa	mˈensæ
chegarasi	t͡Sˌeɡæɾˈæsy
jamoasini	d͡ʒˌæmɑæsˈyny
borganlar	bɑɾɡˈænlæɾ
Odam	ˈɑdæm
viloyatlari	ʋˌyɫɑjætlˈæɾy
Osiyodan	ˌɑsyjˈɑdæn
hukmdor	hˈʊkmdɑɾ
janrlarda	d͡ʒænɾlˈæɾdæ
baxsh	bˈæχʃ
dasturlari	dˌæstʊɾlˈæɾy
suyuqlik	sʊjˈʊqɫyk
fransuzlar	fɾˌænsˈʊzlæɾ
Qadimdan	qædˈymdæn
usta	ˈʊstæ
Qisqa	qˈysqæ
hududlaridan	hˌʊdʊdlæɾˈydæn
chaqiradi	t͡Sˌæqyɾˈædy
magmatik	mæɡmˈætyk
moʻrt	mˈoɾt
majmuasi	mˌæd͡ʒmʊˈæsy
siqib	sˈyqyb
davlatlarda	dˌæʋlætlˈæɾdæ
olgʻa	ˈɑɫʁæ
kompozitori	kˌɑmpɑzytˈɑɾy
taqsimot	tæqsˈymɑt
mukofotlari	mˌʊkɑfˌɑtlˈæɾy
qosil	qˈɑsyɫ
spirtli	spˈyɾtɫy
qaram	qˈæɾæm
kollejida	kˌɑɫled͡ʒˈydæ
qahramonning	qˌæhɾæmˈɑnnyŋ
ordeni	ɑɾdˈeny
Portugaliya	pˌɑɾtʊɡæɫˈyjæ
valent	ʋˈælent
Gamburg	ɡˈæmbʊɾɡ
zaruriy	zæɾˈʊɾyj
Yozuvchi	jɑzˈʊʋt͡Sy
sababdan	sæbˈæbdæn
materiallar	mˌæteɾyˈæɫlæɾ
halqa	hˈæɫqæ
sozlar	sˈɑzlæɾ
ato	ˈætɑ
qoʻmondon	qomˈɑndɑn
ratusha	ɾætˈʊʃæ
qishloqlarda	qˌyʃɫɑqlˈæɾdæ
davlatlar	dæʋlˈætlæɾ
boʻysundirilgan	bˌojsʊndyɾˈyɫɡæn
oʻzlashtirilgan	ˌozlæʃtyɾˈyɫɡæn
kislorodga	kˌysɫɑɾˈɑdɡæ
velosiped	ʋˌeɫɑsˈyped
siqilgan	syqˈyɫɡæn
koʻkrak	kˈokɾæk
aholisini	ˌæhɑɫysˈyny
Oʻrtacha	oɾtˈæt͡Sæ
gazi	ɡˈæzy
Moldova	mɑɫdˈɑʋæ
tipli	tˈypɫy
sanoatini	sˌænɑætˈyny
Qonun	qˈɑnʊn
Vizantiya	ʋˌyzæntˈyjæ
Terisi	teɾˈysy
professional	pɾɑfˌessyˈɑnæɫ
issiq	ˈyssyq
qurilmalarda	qˌʊɾyɫmælˈæɾdæ
yetadi	jetˈædy
shoira	ʃɑˈyɾæ
bemalol	bemˈæɫɑɫ
yogʻochga	jɑʁˈɑt͡Sɡæ
qismlarini	qˌysmlæɾˈyny
rollarni	ɾɑɫlˈæɾny
qoʻyilishi	qˌojyɫˈyʃy
repertuarini	ɾˌepeɾtˌʊæɾˈyny
Darvishali	dˌæɾʋyʃˈæɫy
boʻlsada	boɫsˈædæ
Dengiz	dˈeŋyz
tikiladi	tˌykylˈædy
nitrat	nˈytɾæt
tugʻiladi	tˌʊʁylˈædy
posho	pˈɑʃɑ
muhandisi	mˌʊhændˈysy
shoxi	ʃˈɑχy
Uygʻur	ˈʊjʁʊɾ
astasekin	ˌæstæsˈekyn
viloyatda	ʋˌyɫɑjˈætdæ
qoʻzgʻalish	qozʁˈæɫyʃ
tashrif	tˈæʃɾyf
Quyi	qˈʊjy
sogʻligʻini	sˌɑʁɫyʁˈyny
uygʻur	ˈʊjʁʊɾ
turar	tˈʊɾæɾ
tezlatish	tezlˈætyʃ
tahriri	tæhɾˈyɾy
qoloq	qˈɑɫɑq
shakllanadi	ʃˌækɫlænˈædy
dastlab	dˈæstlæb
meteorologik	mˌeteˌɑɾɑɫˈɑɡyk
yoshlik	jˈɑʃɫyk
shimol	ʃˈymɑɫ
Yevropada	jˌeʋɾɑpˈædæ
natija	nætˈyd͡ʒæ
birikib	byɾˈykyb
toshloq	tˈɑʃɫɑq
davlatdan	dæʋlˈætdæn
toʻlgan	tˈoɫɡæn
toʻsib	tˈosyb
qiymatga	qyjmˈætɡæ
osh	ˈɑʃ
kasalxonaga	kˌæsæɫχɑnˈæɡæ
masjidi	mæsd͡ʒˈydy
dinlar	dˈynlæɾ
uglevodorod	ˌʊɡleʋɑdˈɑɾɑd
koʻrsatdi	koɾsˈætdy
korxonada	kˌɑɾχɑnˈædæ
chaqirgan	t͡Sæqˈyɾɡæn
sulolasidan	sˌʊɫɑlæsˈydæn
Infeksiya	ynfˌeksˈyjæ
boshqargan	bɑʃqˈæɾɡæn
foydalanuvchi	fˌɑjdælænˈʊʋt͡Sy
obrazi	ɑbɾˈæzy
shahridan	ʃæhɾˈydæn
Temuriylar	tˌemʊɾˈyjlæɾ
oʻgʻitlar	oʁˈytlæɾ
repertuaridan	ɾˌepeɾtˌʊæɾˈydæn
rivojlantirishda	ɾˌyʋɑd͡ʒlˌæntyɾˈyʃdæ
mustamlakachilari	mˌʊstæmlˌækæt͡Sylˈæɾy
rejalarini	ɾˌed͡ʒælæɾˈyny
loyqa	ɫˈɑjqæ
shiori	ʃyˈɑɾy
musulmonlarning	mˌʊsʊɫmɑnlˈæɾnyŋ
kirill	kˈyɾyɫɫ
kuch	kˈʊt͡S
aylantiriladi	ˌæjlæntˌyɾylˈædy
