जलसा	d͡ʒəl̪s̪äː
राइफ़ल	ɾäːɪpʰəl̪
किस्म	qɪs̪m
रात्रि	ɾäːt̪ɾiː
आत्मकथा	äːt̪mᵊkət̪ʰäː
काफी	käːpʰiː
दुस्साहस	d̪ʊs̪s̪äːɦəs̪
शिष्या	ʃɪʃjäː
पाशुपत	päːʃʊpət̪
अपराध	əpɾäːd̪ʱ
बहुफलक	bɔɦɔpʰəl̪ək
राजवंश	ɾäːd͡ʒʋə̃n̪ʃ
ज़िन्दगी	d͡ʒɪ̃n̪d̪əɡiː
चांपानेर	t͡ʃä̃ːpäːn̪eːɾ
मतदान	mət̪̚d̪ä̃ːn̪
मौसम	mɔːs̪ə̃m
दुर्गन्ध	d̪ʊɾɡə̃n̪d̪ʱ
क्योंकि	kjõːŋkiː
सबूत	s̪əbuːt̪
ख़ैरियत	kʰɛːɾijət̪
पियक्कड़	pijək̚kəɽ
लिफ़ाफ़ा	l̪ɪfäːfäː
षट्कोण	ʃəʈkõːɳ
आख़िरकार	äːkʰɪɾkäːɾ
उपलब्ध	ʊpl̪əbd̪ʱ
क़िस्त	qɪs̪t̪
जनप्रतिनिधित्व	d͡ʒə̃n̪pɾət̪ɪn̪ɪd̪ʱɪt̪wᵊ
झनझन	d͡ʒʱə̃n̪d͡ʒʱə̃n̪
बेक़रार	beːkəɾäːɾ
विनिमय	ʋɪn̪ɪməj
सौंह	s̪ɔ̃ːɦ
पांच	pä̃ːt͡ʃ
मुल्ला	mʊl̪l̪äː
बाँटना	bä̃ːʈn̪äː
मंदी	mə̃n̪d̪iː
बीजांड	biːd͡ʒä̃ːɳɖ
आलसी	äːl̪s̪iː
सारथी	s̪äːɾət̪ʰiː
व्याख्याता	ʋjäːkʰjäːt̪äː
पिछड़ा	pɪt͡ʃʰɽäː
रोज़ा	ɾoːd͡ʒäː
दक्ष	d̪əkʃ
निरंतर	n̪ɪɾə̃n̪t̪əɾ
हीजड़ा	ɦiːd͡ʒɽäː
संदूक़चा	s̪ə̃n̪d̪uːqt͡ʃäː
कुरूपता	kʊɾuːpt̪äː
घुसपैठ	ɡʱʊs̪pɛːʈʰ
फ़साना	fəs̪äːn̪äː
ग़ोता	ɣoːt̪äː
सिलवट	s̪ɪl̪ʋəʈ
इब्राहीम	ɪbɾäːɦĩːm
अच्छापन	ət̚t͡ʃʰäːpə̃n̪
आँख	ä̃ːkʰ
मसल	məs̪əl̪
मुँहमाँगा	mʊ̃ɦmä̃ːŋɡäː
आत्माभिमान	äːt̪mäːbʱɪmä̃ːn̪
बरतन	bəɾt̪ə̃n̪
अनुभव	ən̪ʊbʱəʋ
ग़ुस्सा	ɣʊs̪s̪äː
विशेषता	ʋɪʃeːʃt̪äː
आयुक्त	äːjʊkt̪
बनमानुस	bə̃n̪mäːn̪ʊs̪
पौदा	pɔːd̪äː
जितना	d͡ʒɪt̪̚n̪äː
बख़रा	bəxɾäː
आना	äːn̪äː
हृदयहीन	ɦɾɪd̪əjɦĩːn̪
हिमालय	ɦɪmɑːlɛ
वर्षा	ʋəɾʃäː
विद्युन्मय	ʋɪd̪jʊ̃n̪məj
आवेदन	äːʋeːd̪ə̃n̪
छिहत्तर	t͡ʃʰɪɦət̪̚t̪əɾ
पंडाल	pə̃ɳɖäːl̪
प्रतिनिधि	pɾət̪ɪn̪ɪd̪ʱiː
प्रत्याशी	pɾət̪jäːʃiː
हस्ताक्षर	ɦəs̪t̪äːkʃəɾ
शिक्षाविद्	ʃɪkʃäːʋɪd̪
मानवविज्ञान	mäːn̪əʋʋɪɡjä̃ːn̪
सम्मिश्रण	s̪ə̃mmɪʃɾə̃ɳ
बच्चा	bət̚t͡ʃäː
शेख़ूपुरा	ʃeːkʰuːpʊɾäː
स्तंभ	s̪t̪ə̃mbʱ
नवाज़	n̪əʋäːd͡ʒ
सवार	s̪əʋäːɾ
ख़ैरात	kʰɛːɾäːt̪
गूंगा	ɡũːŋɡäː
कान्ति	kä̃ːn̪t̪iː
बग़दाद	bəɡd̪äːd̪
दंत	d̪ə̃n̪t̪
वक्ता	ʋəkt̪äː
गुनना	ɡʊ̃n̪n̪äː
बेतुका	beːt̪ʊkäː
चौकस	t͡ʃɔːkəs̪
हाँ	ɦä̃ː
सूर्यकान्ति	s̪uːɾjəkä̃ːn̪t̪iː
चाँटा	t͡ʃä̃ːʈäː
नक़्शा	n̪əkʃäː
अंधेरा	ə̃n̪d̪ʱeːɾäː
सिया	s̪ijäː
बिरयानी	bɪɾjäːn̪iː
राजेश	ɾäːd͡ʒeːʃ
राज	ɾäːd͡ʒ
नक़द	n̪əkəd̪
अँगरेज़ी	ə̃ŋɡɾeːziː
कमर्शियल	kəməɾʃijəl̪
जोरदार	d͡ʒoːɾd̪äːɾ
पूंजीवाद	pũːn̪d͡ʒiːʋäːd̪
मसख़री	məs̪xəɾiː
शाणा	ʃäːɳäː
हिन्दवी	ɦɪ̃n̪d̪wiː
चित्रकारी	t͡ʃɪt̪ɾəkäːɾiː
सामी	s̪äːmiː
आचरण	äːt͡ʃəɾə̃ɳ
चढ़ना	t͡ʃəɽʱn̪äː
हालत	ɦäːl̪ət̪
ग्यारह	ɡjäːɾäː
अरोरा	əɾoːɾäː
खीरा	kʰiːɾäː
भाषिक	bʱäːʃɪk
देहकान	d̪eːɦkä̃ːn̪
बिलौटा	bɪl̪ɔːʈäː
निबंध	n̪ɪbə̃n̪d̪ʱ
संपत्ति	s̪ə̃mpət̪̚t̪iː
कलंक	kəl̪ə̃ŋk
लागत	l̪äːɡət̪
शिक्षामित्र	ʃɪkʃäːmɪt̪ɾᵊ
शक्की	ʃək̚kiː
दरिंदा	d̪əɾɪ̃n̪d̪äː
चौंकाना	t͡ʃɔ̃ːŋkäːn̪äː
मायने	mäːjn̪eː
वनों	ʋən̪õː
कत्ल	kət̪l̪
तहत	t̪ɛɦɛt̪
कंठमाला	kə̃ɳʈʰmäːl̪äː
मोहलत	mɔɦl̪ət̪
हसरत	ɦəs̪ɾət̪
मुजरिम	mʊd͡ʒɾɪ̃m
राजधानी	ɾäːd͡ʒd̪ʱäːn̪iː
प्रवाह	pɾəʋäːɦ
नज़रिया	n̪əzəɾijäː
रेलगाड़ी	ɾeːl̪ɡäːɽiː
बाबत	bäːbət̪
राजनीतिक	ɾäːd͡ʒn̪iːt̪ɪk
समीप	s̪əmiːp
व्यथा	ʋjət̪ʰäː
अंधविश्वास	ə̃n̪d̪ʱʋɪʃʋäːs̪
जिन	d͡ʒɪ̃n̪
मछली	mət͡ʃʰl̪iː
प्रतिलोम	pɾət̪ɪl̪õːm
मानना	mä̃ːn̪n̪äː
मक़बरा	məqbəɾäː
पिल्ला	pɪl̪l̪äː
हैसियत	ɦɛːs̪ijət̪
बाघ	bäːɡʱ
लताड़ना	l̪ət̪äːɽn̪äː
उखड़ना	ʊkʰəɽn̪äː
काँस	kä̃ːs̪
दिखाई	d̪ɪkʰäːiː
पतंगबाज़ी	pət̪ə̃ŋɡbäːziː
ग़ुब्बारा	ɣʊb̚bäːɾäː
मुतअल्लिक़	mʊt̪əəl̪l̪ɪq
सामुदायिक	s̪äːmʊd̪äːjɪk
छापाख़ाना	t͡ʃʰäːpäːkʰäːn̪äː
पट्टा	pəʈ̚ʈäː
अग्निपरीक्षा	əɡn̪ɪpəɾiːkʃäː
जादूगर	d͡ʒäːd̪uːɡəɾ
पौराणिक	pɔːɾäːɳɪk
रक्षा	ɾəkʃäː
निकारागुआ	n̪ɪkäːɾäːɡʊäː
उपनेत्र	ʊpn̪eːt̪ɾᵊ
दाब	d̪äːb
ख़्वाहिश	xäːɦɪʃ
सिंहाली	s̪ɪ̃ɦäːl̪iː
तिक्की	t̪ɪk̚kiː
डिल्डो	ɖɪl̪ɖoː
महँगाई	mɛɦɛ̃ŋɡäːiː
शजरा	ʃəd͡ʒɾäː
भोजनालय	bʱoːd͡ʒn̪äːl̪əj
ऋणाग्र	ɾɪɳäːɡɾᵊ
सुविख्यात	s̪ʊʋɪkʰjäːt̪
मूसल	muːs̪əl̪
सिलपट	s̪ɪl̪pəʈ
धनिया	d̪ʱən̪ijäː
भाभी	bʱäːbʱiː
इन्हें	ɪ̃n̪ɦẽː
अनपढ़	ə̃n̪pəɽʱ
मीठा	miːʈʰäː
औषधीय	ɔːʃd̪ʱiːjᵊ
आदिभाषा	äːd̪ɪbʱäːʃäː
नियुक्त	n̪ijʊkt̪
माँसाहारी	mä̃ːs̪äːɦäːɾiː
हवालात	ɦəʋäːl̪äːt̪
मूलाक्षर	muːl̪äːkʃəɾ
अनुगृहीत	ən̪ʊɡɾɪɦiːt̪
पारित	päːɾɪt̪
आजीविका	äːd͡ʒiːʋɪkäː
छननी	t͡ʃʰə̃n̪n̪iː
पाचन	päːt͡ʃə̃n̪
नानी	n̪äːn̪iː
इकत्तीस	ɪkət̪̚t̪iːs̪
नम्र	n̪ə̃mɾᵊ
मखानी	məkʰäːn̪iː
निष्पक्ष	n̪ɪʃpəkʃ
समाचार	s̪əmäːt͡ʃäːɾ
सूजन	s̪uːd͡ʒə̃n̪
डिब्बा	ɖɪb̚bäː
सहेजना	s̪əɦeːd͡ʒn̪äː
ऐरन	ɛːɾə̃n̪
महावत	məɦäːʋət̪
बुज़दिल	bʊd͡ʒd̪ɪl̪
गलत	ɡəl̪ət̪
भंजक	bʱə̃n̪d͡ʒək
धमकाना	d̪ʱə̃mkäːn̪äː
खिलौना	kʰɪl̪ɔːn̪äː
कंकड़	kə̃ŋkəɽ
दिवस	d̪ɪʋəs̪
जिसमें	d͡ʒɪs̪mẽː
स्पेनी	s̪peːn̪iː
बहना	bɛɦn̪äː
नक़ाबपोश	n̪əqäːb̚poːʃ
अभिलेख	əbʱɪl̪eːkʰ
नग़मा	n̪əɣmäː
प्राक्कथन	pɾäːk̚kət̪ʰə̃n̪
मछुआरा	mət͡ʃʰʊäːɾäː
कन्नड़	kə̃n̪n̪əɽᵊ
हज़्म	ɦəzə̃m
लड़ाका	l̪əɽäːkäː
रगड़ना	ɾəɡəɽn̪äː
संयमिनी	s̪ə̃n̪jəmɪn̪iː
नटखट	n̪əʈkʰəʈ
मन	mə̃n̪
शिकम	ʃɪkə̃m
फूलदान	pʰuːl̪d̪ä̃ːn̪
जोतना	d͡ʒoːt̪̚n̪äː
साम	s̪ä̃ːm
बुआ	bʊäː
यज्ञकर्ता	jəɡjəkəɾt̪äː
कंगन	kə̃ŋɡə̃n̪
मीन	mĩːn̪
स्कूल	s̪kuːl̪
बुसान	bʊs̪ä̃ːn̪
भोला	bʱoːl̪äː
धनाग्र	d̪ʱən̪äːɡɾᵊ
नाइजीरिया	n̪äːɪd͡ʒiːɾijäː
आवश्यक	äːʋəʃjək
दुरुस्त	d̪ʊɾʊs̪t̪
ज़हर	d͡ʒɛɦɛɾ
मिमियाना	mɪmijäːn̪äː
समकालीन	s̪ə̃mkäːl̪ĩːn̪
सुस्ताना	s̪ʊs̪t̪äːn̪äː
नानू	n̪äːn̪uː
लड़ना	l̪əɽn̪äː
ग़ुब्बारा	ɡʊb̚bäːɾäː
मछलीपालन	mət͡ʃʰl̪iːpäːl̪ə̃n̪
कसाई	qəs̪äːiː
मसनद	məs̪n̪əd̪
मुहाजिर	mʊɦäːd͡ʒɪɾ
विकिपीडिया	ʋɪkɪpiːɖijäː
जंगजू	d͡ʒə̃ŋɡd͡ʒuː
सफ़र	s̪əpʰəɾ
ताड़ी	t̪äːɽiː
पुरज़ा	pʊɾzäː
ऊनी	uːn̪iː
हड़ताली	ɦəɽt̪äːl̪iː
भेंट	bʱẽːɳʈ
अंग्रेज़ी	ə̃ŋɡɾeːd͡ʒiː
बंदरगाह	bə̃n̪d̪əɾɡäːɦ
मदिरा	məd̪ɪɾäː
असीम	əs̪ĩːm
मस	məs̪
ऑर्थोडॉक्सी	ɔɾt̪ʰoːɖɔks̪iː
मोहताज	moːɦt̪äːd͡ʒ
ऊदबिलाव	uːd̪bɪl̪äːʋ
मुद्दा	mʊd̪̚d̪äː
भला	bʱəl̪äː
ग़ोताख़ोर	ɣoːt̪äːxoːɾ
दिमाग़	d̪ɪmäːɣ
ख़ुशआमदीद	xʊʃəä̃ːmd̪iːd̪
नाखून	n̪äːkʰũːn̪
राष्ट्र	ɾäːʃʈɾᵊ
ललकार	l̪əl̪käːɾ
आग़ाज़	äːɣäːz
अंगूठी	ə̃ŋɡuːʈʰiː
प्रयोगकर्ता	pɾəjoːɡkəɾt̪äː
आश्वासन	äːʃʋäːs̪ə̃n̪
सूती	s̪uːt̪iː
क़ाहिरा	qäːɦɪɾäː
उमंग	ʊmə̃ŋɡ
ईमान	iːmä̃ːn̪
दरवाज़ा	d̪əɾʋäːd͡ʒäː
किशोरा	kɪʃoːɾäː
चेला	t͡ʃeːl̪äː
अपव्यय	əpwjəj
अंकल	ə̃ŋkəl̪
जन्मभूमि	d͡ʒə̃n̪mᵊbʱuːmiː
दुपट्टा	d̪ʊpəʈ̚ʈäː
जिना	d͡ʒɪn̪äː
खटाई	kʰəʈäːiː
अधिकतम	əd̪ʱɪkt̪ə̃m
मेंडक	mẽːɳɖək
उपसमुच्चय	ʊpəs̪mʊt̚t͡ʃəj
आपाधापी	äːpäːd̪ʱäːpiː
बचाना	bət͡ʃäːn̪äː
नहलाना	n̪ɛɦl̪äːn̪äː
गुलदस्ता	ɡʊl̪d̪əs̪t̪äː
नारायण	n̪äːɾäːjə̃ɳ
ध्वन्यात्मक	d̪ʱʋə̃n̪jäːt̪mək
तंज़ीम	t̪ə̃zĩːm
ओटावा	oːʈäːʋäː
धनबाद	d̪ʱə̃n̪bäːd̪
पारदर्शी	päːɾd̪əɾʃiː
मतलब	mət̪l̪əb
गूंज	ɡũːn̪d͡ʒ
जोड़ना	d͡ʒoːɽn̪äː
ख़ैरियत	xɛːɾijət̪
वर्णविपर्यास	ʋəɾɳəʋɪpəɾjäːs̪
अस्सी	əs̪s̪iː
इत्यादि	ɪt̪jäːd̪iː
दर्पण	d̪əɾpə̃ɳ
कम्युनिज़्म	kə̃mjʊn̪ɪzmᵊ
बढ़ावा	bəɽʱäːʋäː
ख़ातून	kʰäːt̪ũːn̪
पुनर्निर्धारण	pʊn̪əɾn̪ɪɾd̪ʱäːɾə̃ɳ
ज़्यादातर	zjäːd̪äːt̪əɾ
जाट	d͡ʒäːʈ
निर्मित	n̪ɪɾmɪt̪
मौन	mɔ̃ːn̪
श्रोता	ʃɾoːt̪äː
मुसल्ला	mʊs̪əl̪l̪äː
बार	bäːɾ
अट्ठा	əʈ̚ʈʰäː
अशांति	əʃä̃ːn̪t̪iː
दहन	d̪ɛɦɛ̃n̪
चाट	t͡ʃäːʈ
कालू	käːl̪uː
अमावस	əmäːʋəs̪
धारा	d̪ʱäːɾäː
घुसपैठिया	ɡʱʊs̪pɛːʈʰijäː
प्रस्तुत	pɾəs̪t̪ʊt̪
धूआँ	d̪ʱuːä̃ː
भरण	bʱəɾə̃ɳ
आलोचना	äːl̪oːt͡ʃn̪äː
समष्टि	s̪əməʃʈiː
सैकण्ड	s̪ɛːkə̃ɳɖ
विनिपेग	ʋɪn̪ɪpeːɡ
अवकलन	əʋkəl̪ə̃n̪
सज्जित	s̪əd̚d͡ʒɪt̪
छाँव	t͡ʃʰä̃ːʋ
सर्वनाम	s̪əɾʋən̪ä̃ːm
नाहर	n̪äːɦəɾ
पचहत्तर	pət͡ʃʰət̪̚t̪əɾ
मुश्ताक़	mʊʃt̪äːk
अदालत	əd̪äːl̪ət̪
सट्टेबाज़ी	s̪əʈ̚ʈeːbäːd͡ʒiː
सस्तापन	s̪əs̪t̪äːpə̃n̪
नवजात	n̪əʋd͡ʒäːt̪
आघात	äːɡʱäːt̪
बैरा	bɛːɾäː
सट्टेबाज़	s̪əʈ̚ʈeːbäːd͡ʒ
पौन	pɔ̃ːn̪
इतवार	ɪt̪wäːɾ
दूरलेख	d̪uːɾl̪eːkʰ
ऐसी	ɛːs̪iː
मिज़ाज	mɪd͡ʒäːd͡ʒ
संप्रभु	s̪ə̃mpɾəbʱuː
ध्वजा	d̪ʱʋəd͡ʒäː
सबील	s̪əbiːl̪
लोगो	l̪oːɡoː
नाती	n̪äːt̪iː
आजमाना	äːzmäːn̪äː
सरकंडा	s̪əɾkə̃ɳɖäː
बाबर	bäːbəɾ
राम	ɾä̃ːm
निगम	n̪ɪɡə̃m
बन्दूक	bə̃n̪d̪uːk
खैरात	xɛːɾäːt̪
हँसना	ɦə̃s̪n̪äː
मायूसी	mäːjuːs̪iː
मद्देनज़र	məd̪̚d̪eːn̪əd͡ʒəɾ
प्रतियोगिता	pɾət̪ijoːɡɪt̪äː
वर्गहीन	ʋəɾɡɦĩːn̪
प्रबंधक	pɾəbə̃n̪d̪ʱək
रखवाल	ɾəkʰʋäːl̪
भाड़ा	bʱäːɽäː
भाजन	bʱäːd͡ʒə̃n̪
उंस	ʊ̃n̪s̪
नेल्लोर	n̪eːl̪l̪oːɾ
नर्तक	n̪əɾt̪ək
देखादेखी	d̪eːkʰäːd̪eːkʰiː
नुकसान	n̪ʊks̪ä̃ːn̪
तुम	t̪ʊ̃m
उनहत्तर	ʊ̃n̪ɦət̪̚t̪əɾ
लफ़ंगा	l̪əfə̃ŋɡäː
भगनासा	bʱəɡn̪äːs̪äː
डायरी	ɖäːjəɾiː
सेंट	s̪ẽːɳʈ
पलटन	pəl̪ʈə̃n̪
प्रतिज्ञापन	pɾət̪ɪɡjäːpə̃n̪
हिजड़ा	ɦɪd͡ʒɽäː
कंकाल	kə̃ŋkäːl̪
बाग़	bäːɣ
आंशिक	ä̃ːn̪ʃɪk
ग्वारपाठा	ɡʋäːɾpäːʈʰäː
ठंडा	ʈʰə̃ɳɖäː
संभालना	s̪ə̃mbʱäːl̪n̪äː
उल्लू	ʊl̪l̪uː
कागज़	käːɣəz
मार्क्सवाद	mäːɾks̪ʋäːd̪
मल्होत्रा	məl̪ɦoːt̪ɾäː
बाथरूम	bäːt̪ʰɾũːm
सराफ़ा	s̪əɾäːfäː
लाबु	l̪äːbuː
दहलना	d̪ɛɦɛl̪n̪äː
प्रतिस्पर्धा	pɾət̪ɪs̪pəɾd̪ʱäː
विवाद	ʋɪʋäːd̪
हलफ़नामा	ɦəl̪əpʰn̪äːmäː
तारपीन	t̪äːɾpĩːn̪
बहाव	bəɦäːʋ
क़सीदा	qəs̪iːd̪äː
मिठास	mɪʈʰäːs̪
रोंगटा	ɾõːŋɡʈäː
विभाजित	ʋɪbʱäːd͡ʒɪt̪
महाधिवक्ता	məɦäːd̪ʱɪʋəkt̪äː
मायूस	mäːjuːs̪
नूर	n̪uːɾ
अनुरूप	ən̪ʊɾuːp
कतार	qət̪äːɾ
तेलुगू	t̪eːl̪ʊɡuː
फ़व्वारा	fəʋʋäːɾäː
रखा	ɾəkʰäː
ढूँढना	ɖʱũːɳɖʱn̪äː
मर्दानगी	məɾd̪ä̃ːn̪ɡiː
रुद्राक्ष	ɾʊd̪ɾäːkʃ
फुनगी	pʰʊ̃n̪ɡiː
मुरदाबाद	mʊɾd̪äːbäːd̪
नास्तिक	n̪äːs̪t̪ɪk
नीलाम	n̪iːl̪ä̃ːm
तारीफ़	t̪äːɾiːf
जमाव	d͡ʒəmäːʋ
उपन्यास	ʊpə̃n̪jäːs̪
मक़बरा	məkbəɾäː
विकार	ʋɪkäːɾ
अर्धवार्षिक	əɾd̪ʱʋäːɾʃɪk
बांझ	bä̃ːn̪d͡ʒʱ
हथियारबंद	ɦət̪ʰijäːɾbə̃n̪d̪
फ़ालसा	fäːl̪s̪äː
चौंसठ	t͡ʃɔ̃ːn̪s̪əʈʰ
एकवर्णीय	eːkwəɾɳiːjᵊ
क्विंटल	kwɪ̃ɳʈəl̪
वामपंथी	ʋä̃ːmpə̃n̪t̪ʰiː
हिंदुत्ववादी	ɦɪ̃n̪d̪ʊt̪wəʋäːd̪iː
प्रवृत्ति	pɾəʋɾɪt̪̚t̪iː
भाप	bʱäːp
प्रदान	pɾəd̪ä̃ːn̪
माओवादी	mäːoːʋäːd̪iː
संबंधी	s̪ə̃mbə̃n̪d̪ʱiː
तापना	t̪äːpn̪äː
मेष	meːʃ
मस्तूल	məs̪t̪uːl̪
आड़	äːɽ
धुंध	d̪ʱʊ̃n̪d̪ʱ
जमना	d͡ʒə̃mn̪äː
बिनती	bɪ̃n̪t̪iː
उधेड़ना	ʊd̪ʱeːɽn̪äː
बेक़रार	beːqəɾäːɾ
तरणक्रीड़ा	t̪əɾɳəkɾiːɽäː
नारियल	n̪äːɾijəl̪
धार्मिक	d̪ʱäːɾmɪk
टेलीफ़ोन	ʈeːl̪iːfõːn̪
सर्वसाधारण	s̪əɾʋs̪äːd̪ʱäːɾə̃ɳ
सरी	s̪əɾiː
ज्ञाता	ɡjäːt̪äː
ज़ाहिर	d͡ʒäːɦɪɾ
आकस्मिक	äːkəs̪mɪk
हॉलैंड	ɦɔl̪ɛ̃ːɳɖ
ठेलना	ʈʰeːl̪n̪äː
क़तरा	qət̪ɾäː
विश्वास	ʋɪʃʋäːs̪
मुस्कुराना	mʊs̪kʊɾäːn̪äː
बाज़ीचा	bäːd͡ʒiːt͡ʃäː
फल	pʰəl̪
मुहैया	mɔɦɔ̯ijäː
अनाचार	ən̪äːt͡ʃäːɾ
सामान्यतः	s̪äːmä̃ːn̪jət̪əɦ
कालक्रम	käːl̪kɾə̃m
ख़्वाहिश	kʰʋäːɦɪʃ
तरीका	t̪əɾiːkäː
आख़िरी	äːxɾiː
तिनका	t̪ɪ̃n̪käː
अनियमित	ən̪ijəmɪt̪
झक्कड़	d͡ʒʱək̚kəɽ
उपेक्षा	ʊpeːkʃäː
टक्कर	ʈək̚kəɾ
फ़र्ज़न्द	fəɾzə̃n̪d̪
यूनिकोड	juːn̪ɪkoːɖ
मरियम	məɾijə̃m
सस्ताई	s̪əs̪t̪äːiː
क़ालीन	käːl̪ĩːn̪
शख्सियत	ʃəkʰs̪ijət̪
पुनरुत्थान	pʊn̪əɾʊt̪̚t̪ʰä̃ːn̪
ख़ूँख़ार	kʰũːkʰäːɾ
बेलफ़ास्ट	beːl̪fäːs̪ʈ
लिखते	l̪ɪkʰt̪eː
रोज़ाना	ɾoːzäːn̪äː
ऋणदाताओ	ɾɪ̃ɳd̪äːt̪äːoː
न	n̪äː
व्यूहरचना	ʋjuːɦɾət͡ʃn̪äː
तन	t̪ə̃n̪
कमाल	kəmäːl̪
यथारूप	jət̪ʰäːɾuːp
कुलक	kʊl̪ək
बहुविवाह	bɔɦɔʋɪʋäːɦ
अवधारण	əʋd̪ʱäːɾə̃ɳ
अंतरंगता	ə̃n̪t̪əɾə̃ŋɡt̪äː
आदतन	äːd̪ət̪ə̃n̪
क्रमबद्ध	kɾə̃mbəd̪d̪ʱ
परवाह	pəɾʋäːɦ
टोकरा	ʈoːkɾäː
कलेजा	kəl̪eːd͡ʒäː
अनुभवी	ən̪ʊbʱəʋiː
उधड़ना	ʊd̪ʱəɽn̪äː
तिल्ली	t̪ɪl̪l̪iː
श्रद्धेय	ʃɾəd̪̚d̪ʱeːj
अनुकूलन	ən̪ʊkuːl̪ə̃n̪
मिसिसॉगा	mɪs̪ɪs̪ɔɡäː
ख़ातिर	xäːt̪ɪɾ
तथा	t̪ət̪ʰäː
गुफा	ɡʊfäː
साधन	s̪äːd̪ʱə̃n̪
बदल	bəd̪əl̪
गर्भपात	ɡəɾbʱpäːt̪
टेलिविज़न	ʈeːl̪ɪʋɪzə̃n̪
बगीचा	bəɣiːt͡ʃäː
सूतिकागृह	s̪uːt̪ɪkäːɡɾɪɦ
जहन्नुम	d͡ʒɛɦɛ̃n̪n̪ʊ̃m
तनना	t̪ə̃n̪n̪äː
ख़मियाज़ा	xəmijäːzäː
राज़ी	ɾäːd͡ʒiː
विजयनगरम	ʋɪd͡ʒjən̪əɡɾə̃m
परिंदा	pəɾɪ̃n̪d̪äː
श्यानता	ʃjä̃ːn̪t̪äː
राहत	ɾäːɦət̪
श्रीकाकुलम	ʃɾiːkäːkʊl̪ə̃m
ख़ानक़ाह	xä̃ːn̪qäːɦ
पनपना	pən̪əpn̪äː
सहन	s̪ɛɦɛ̃n̪
दूँगा	d̪ũːŋɡäː
चिकित्सालय	t͡ʃɪkɪt̪s̪äːl̪əj
संश्लिष्ट	s̪ə̃n̪ʃl̪ɪʂʈ
स्पघेटी	s̪pəɡʱeːʈiː
ऐनिमे	ɛːn̪ɪmeː
जापान	d͡ʒäːpä̃ːn̪
जंग	d͡ʒə̃ŋɡ
करघा	kəɾɡʱäː
पोका	poːkaː
पनडुब्बी	pə̃n̪ɖʊb̚biː
पात	päːt̪
अध्यापिका	əd̪ʱjäːpɪkäː
गुस्सा	ɡʊs̪s̪äː
किलो	kɪl̪oː
यंत्र	jə̃n̪t̪ɾə
ख़ारिज	xäːɾɪd͡ʒ
मालागासी	mäːl̪äːɡäːs̪iː
निगलना	n̪ɪɡəl̪n̪äː
एयरलाइन	eːjəɾl̪äːɪ̃n̪
चलचित्रण	t͡ʃəl̪t͡ʃɪt̪ɾə̃ɳ
बारी	bäːɾiː
आत्मत्याग	äːt̪mət̪jäːɡ
कसम	qəs̪ə̃m
बावन	bäːʋə̃n̪
काजू	käːd͡ʒuː
तेल	t̪eːl̪
प्रतिरोधकता	pɾət̪ɪɾoːd̪ʱəkt̪äː
बिछड़ना	bɪt͡ʃʰəɽn̪äː
जालपृष्ठ	d͡ʒäːl̪pɾɪʂʈʰ
स्वाद	s̪ʋäːd̪
संज्ञा	s̪ə̃ŋɡjäː
शिकस्त	ʃɪkəs̪t̪
संपूर्ण	s̪ə̃mpuːɾɳ
बदतर	bəd̪̚t̪əɾ
आदत	äːd̪ət̪
जुनून	d͡ʒʊn̪ũːn̪
आइसक्रीम	äːɪs̪kɾĩːm
ग़लत	ɣəl̪ət̪
अनसुना	ə̃n̪s̪ʊn̪äː
अपक्व	əpəkwə
मुंडन	mʊ̃ɳɖə̃n̪
स्वागत	s̪ʋäːɡət̪
पुरुष	pʊɾʊʃ
ईरान	iːɾä̃ːn̪
भौगोलिक	bʱɔːɡoːl̪ɪk
व्यंजक	ʋjə̃n̪d͡ʒək
सड़क	s̪əɽək
आबदस्त	äːbd̪əs̪t̪
प्रस्तावक	pɾəs̪t̪äːʋək
मटकना	məʈəkn̪äː
सोमालिया	s̪oːmäːl̪ijäː
बिबाद	bɪbäːd̪
अंतर्धान	ə̃n̪t̪əɾd̪ʱä̃ːn̪
सहस्र	s̪ɛɦɛs̪ɾᵊ
रसद	ɾəs̪əd̪
