lô cốt	lo˧˧kok͡p˦˥
ngót dạ	ŋɔk͡p˦˥ja˨˩˨
rõ rành	ʐɔ˨˩˦ʐan˧˨
hụt đỏi	huk͡p˨˩˨dɔj˨˩˦
ăn coi nồi, ngồi coi hướng	ăŋ˧˧kɔj˧˧noj˧˨ŋoj˧˨kɔj˧˧hɯəŋ˦˥
nhiệm tử	ɲim˨˩˨tɯ˨˩˦
sốt ngoại ban	ʂok͡p˦˥ŋwaj˨˩˨baŋ˧˧
chim đầu rìu	cim˧˧dɤ̆w˧˨ʐiw˧˨
đạt lí	dat˨˩˨li˦˥
hùng hổ	huŋ͡m˧˨ho˨˩˦
thuyền chủ	tʰwiəŋ˧˨cu˨˩˦
công trường thủ công	koŋ͡m˧˧ʈɯəŋ˧˨tʰu˨˩˦koŋ͡m˧˧
cổ cồn	ko˨˩˦koŋ͡m˧˨
thỏa mãn	tʰwa˨˩˦maŋ˨˩˦
vinh quy	jin˧˧wi˧˧
mơ ngủ	mɤ˧˧ŋu˨˩˦
thuận thiên	tʰwɤ̆ŋ˨˩˨tʰiəŋ˧˧
chủ tang	cu˨˩˦taŋ˧˧
nhắng nhít	ɲăŋ˦˥ɲit˦˥
bột xương	bok͡p˨˩˨sɯəŋ˧˧
ẩm ướt	ɤ̆m˨˩˦ɯək˦˥
cu ngói	ku˧˧ŋɔj˦˥
ngáp ngủ	ŋap˦˥ŋu˨˩˦
chùa đất phật vàng	cuə˧˨dɤ̆k˦˥fɤ̆k˨˩˨jaŋ˧˨
thẩm vấn	tʰɤ̆m˨˩˦jɤ̆ŋ˦˥
sơn sống	ʂɤŋ˧˧ʂoŋ͡m˦˥
dẹt	jɛt˨˩˨
sặc mùi	ʂăk˨˩˨muj˧˨
tối	toj˦˥
cáu gắt	kăw˦˥ɣăk˦˥
tiện y	tiəŋ˨˩˨i˧˧
xây xẩm	sɤ̆j˧˧sɤ̆m˨˩˦
tiêu ngữ	tiəw˧˧ŋɯ˨˩˦
phun châu nhả ngọc	fuŋ͡m˧˧cɤ̆w˧˧ɲa˨˩˦ŋɔk͡p˨˩˨
học viên	hɔk͡p˨˩˨jiəŋ˧˧
rau má lông	ʐăw˧˧ma˦˥loŋ͡m˧˧
phân công	fɤ̆ŋ˧˧koŋ͡m˧˧
đàn điếm	daŋ˧˨dim˦˥
bóp cổ mổ bụng	bɔp˦˥ko˨˩˦mo˨˩˦buŋ͡m˨˩˨
ăn bữa sáng, lần bữa tối	ăŋ˧˧bɯə˨˩˦ʂaŋ˦˥lɤ̆ŋ˧˨bɯə˨˩˦toj˦˥
giàn bếp	jaŋ˧˨bep˦˥
lãnh hải	lan˨˩˦haj˨˩˦
ròn rã	ʐɔŋ͡m˧˨ʐa˨˩˦
vừa đánh trống vừa ăn cướp	jɯə˧˨dan˦˥ʈoŋ͡m˦˥jɯə˧˨ăŋ˧˧kɯp˦˥
bách	bat˦˥
tam	tam˧˧
trượt giá	ʈɯək˨˩˨ja˦˥
cước chú	kɯək˦˥cu˦˥
sồi rừng	ʂoj˧˨ʐɯŋ˧˨
xấu bao thì xấu bì	sɤ̆w˦˥baw˧˧tʰi˧˨sɤ̆w˦˥bi˧˨
xồn xào	soŋ͡m˧˨saw˧˨
đảng uỷ viên	daŋ˨˩˦wi˨˩˦jiəŋ˧˧
xuýt xoa	swit˦˥swa˧˧
trải qua	ʈaj˨˩˦wa˧˧
ngoang ngoảng	ŋwaŋ˧˧ŋwaŋ˨˩˦
trật chân	ʈɤ̆k˨˩˨cɤ̆ŋ˧˧
dài thườn thượt	jaj˧˨tʰɯəŋ˧˨tʰɯək˨˩˨
mứt	mɯk˦˥
bao xa	baw˧˧sa˧˧
mất trộm	mɤ̆k˦˥ʈom˨˩˨
cương ngạnh	kɯəŋ˧˧ŋan˨˩˨
liên nhục	liəŋ˧˧ɲuk͡p˨˩˨
cát tiên	kat˦˥tiəŋ˧˧
cá nước	ka˦˥nɯək˦˥
tiểu hoạ	tiəw˨˩˦hwa˨˩˨
phẩm giá	fɤ̆m˨˩˦ja˦˥
bụng tàu	buŋ͡m˨˩˨tăw˧˨
tuyên hoá	twiəŋ˧˧hwa˦˥
con mụ	kɔŋ͡m˧˧mu˨˩˨
đánh mõ	dan˦˥mɔ˨˩˦
thích nghĩa	tʰit˦˥ŋiə˨˩˦
lỵ sở	li˨˩˨ʂɤ˨˩˦
cô lập	ko˧˧lɤ̆p˨˩˨
cát lâm	kat˦˥lɤ̆m˧˧
khung chậu	xuŋ͡m˧˧cɤ̆w˨˩˨
tra cứu	ʈa˧˧kɯw˦˥
nóng rẫy	nɔŋ͡m˦˥ʐɤ̆j˨˩˦
bách dầu	bat˦˥jɤ̆w˧˨
xanh rì	san˧˧ʐi˧˨
thuỷ công	tʰwi˨˩˦koŋ͡m˧˧
rí rỏm	ʐi˦˥ʐɔm˨˩˦
dấu kiểm	jɤ̆w˦˥kim˨˩˦
cờ vua	kɤ˧˨juə˧˧
hòm hòm	hɔm˧˨hɔm˧˨
vòm chéo	jɔm˧˨ceo˦˥
trực tuyến	ʈɯk˨˩˨twiəŋ˦˥
số lẻ	ʂo˦˥lɛ˨˩˦
xì xồ	si˧˨so˧˨
thả con săn sắt bắt con cá sộp	tʰa˨˩˦kɔŋ͡m˧˧ʂăŋ˧˧ʂăk˦˥băk˦˥kɔŋ͡m˧˧ka˦˥ʂop˨˩˨
nguyên vật liệu	ŋwiəŋ˧˧jɤ̆k˨˩˨liəw˨˩˨
chó ghẻ có mỡ đằng đuôi	cɔ˦˥ɣɛ˨˩˦kɔ˦˥mɤ˨˩˦dăŋ˧˨duəj˧˧
tính đố	tin˦˥do˦˥
khuôn dạng	xuəŋ˧˧jaŋ˨˩˨
nài ép	naj˧˨ɛp˦˥
xà gồ	sa˧˨ɣo˧˨
giáo hạt	jaw˦˥hat˨˩˨
phẩm tiên	fɤ̆m˨˩˦tiəŋ˧˧
quyền sinh quyền sát	wiɛŋ˧˨ʂin˧˧wiɛŋ˧˨ʂat˦˥
chú tiểu	cu˦˥tiəw˨˩˦
chân thân	cɤ̆ŋ˧˧tʰɤ̆ŋ˧˧
lũ	lu˨˩˦
chiêng cồng	ciəŋ˧˧koŋ͡m˧˨
ngọc nữ	ŋɔk͡p˨˩˨nɯ˨˩˦
lia	liə˧˧
khủng khiếp	xuŋ͡m˨˩˦xip˦˥
kế thế công hầu	ke˦˥tʰe˦˥koŋ͡m˧˧hɤ̆w˧˨
phớn phở	fɤŋ˦˥fɤ˨˩˦
phịt	fit˨˩˨
trung thu	ʈuŋ͡m˧˧tʰu˧˧
dị tài	ji˨˩˨taj˧˨
kẹp tóc	kɛp˨˩˨tɔk͡p˦˥
ơn sâu nghĩa nặng	ɤŋ˧˧ʂɤ̆w˧˧ŋiə˨˩˦năŋ˨˩˨
kê cứu	ke˧˧kɯw˦˥
dụng hiền	juŋ͡m˨˩˨hiəŋ˧˨
hữu thủy hữu chung	hɯw˨˩˦tʰuj˨˩˦hɯw˨˩˦cuŋ͡m˧˧
sơ nhiễm	ʂɤ˧˧ɲim˨˩˦
thây lẩy	tʰɤ̆j˧˧lɤ̆j˨˩˦
cao bá quát	kaw˧˧ba˦˥wat˦˥
rau muống biển	ʐăw˧˧muəŋ˦˥biəŋ˨˩˦
bải hoải	baj˨˩˦hwaj˨˩˦
láo liên	law˦˥liəŋ˧˧
lo như cha chết	lɔ˧˧ɲɯ˧˧ca˧˧cet˦˥
hành tăm	han˧˨tăm˧˧
bảo lưu	baw˨˩˦lɯw˧˧
toóc	tɔk͡p˦˥
hô hào	ho˧˧haw˧˨
tiên vương	tiəŋ˧˧jɯəŋ˧˧
mưa nguồn chớp biển	mɯə˧˧ŋuəŋ˧˨cɤp˦˥biəŋ˨˩˦
luồn lách	luəŋ˧˨lat˦˥
dê già	je˧˧ja˧˨
tong tỏng	tɔŋ͡m˧˧tɔŋ͡m˨˩˦
loè loẹt	lwe˧˨lwet˨˩˨
buông tuồng	buəŋ˧˧tuəŋ˧˨
chập chà chập chờn	cɤ̆p˨˩˨ca˧˨cɤ̆p˨˩˨cɤŋ˧˨
thạch văn	tʰat˨˩˨jăŋ˧˧
trương minh giản	ʈɯəŋ˧˧min˧˧jaŋ˨˩˦
công đường	koŋ͡m˧˧dɯəŋ˧˨
hồ thủy	ho˧˨tʰuj˨˩˦
hiện vật	hiəŋ˨˩˨jɤ̆k˨˩˨
thiệu ngọc	tʰiəw˨˩˨ŋɔk͡p˨˩˨
dắt bóng	jăk˦˥bɔŋ͡m˦˥
cận lao	kɤ̆ŋ˨˩˨law˧˧
lênh chênh	len˧˧cen˧˧
bềnh bồng	ben˧˨boŋ͡m˧˨
cớn	kɤŋ˦˥
bồ sứt cạp	bo˧˨ʂɯk˦˥kap˨˩˨
đứng dậy	dɯŋ˦˥jɤ̆j˨˩˨
tự kỉ	tɯ˨˩˨ki˨˩˦
nhơn ái	ɲɤŋ˧˧aj˦˥
nỗ lực	no˨˩˦lɯk˨˩˨
nói phải, củ cải cũng nghe	nɔj˦˥faj˨˩˦ku˨˩˦kaj˨˩˦kuŋ͡m˨˩˦ŋɛ˧˧
chen vai sát cánh	cɛŋ˧˧jaj˧˧ʂat˦˥kan˦˥
phơ phơ	fɤ˧˧fɤ˧˧
chết xác	cet˦˥sak˦˥
gìm	zim˧˨
trấn yên	ʈɤ̆ŋ˦˥iɛŋ˧˧
cảnh sát trưởng	kan˨˩˦ʂat˦˥ʈɯəŋ˨˩˦
gập ghình	ɣɤ̆p˨˩˨ɣin˧˨
chữ tốt văn hay	cɯ˨˩˦tok͡p˦˥jăŋ˧˧hăj˧˧
quán quân	waŋ˦˥wɤ̆ŋ˧˧
hoa lá	hwa˧˧la˦˥
đàm thoại	dam˧˨tʰwaj˨˩˨
tiềm thức	tim˧˨tʰɯk˦˥
mắm môi	măm˦˥moj˧˧
rừng xanh	ʐɯŋ˧˨san˧˧
duyên cầm sắt	jwiəŋ˧˧kɤ̆m˧˨ʂăk˦˥
rậm rịch	ʐɤ̆m˨˩˨ʐit˨˩˨
mật danh	mɤ̆k˨˩˨jan˧˧
huân công	hwɤ̆ŋ˧˧koŋ͡m˧˧
phòng ngừa	fɔŋ͡m˧˨ŋɯə˧˨
rái	ʐaj˦˥
cơ học	kɤ˧˧hɔk͡p˨˩˨
mặc dù	măk˨˩˨ju˧˨
nhà dàn cảnh	ɲa˧˨jaŋ˧˨kan˨˩˦
chéo áo	ceo˦˥aw˦˥
nùi	nuj˧˨
thị điều	tʰi˨˩˨diəw˧˨
khí tai bèo	xi˦˥taj˧˧beo˧˨
bóng gương	bɔŋ͡m˦˥ɣɯəŋ˧˧
nặng như đá đeo	năŋ˨˩˨ɲɯ˧˧da˦˥deo˧˧
ho ra bạc khạc ra tiền	hɔ˧˧ʐa˧˧bak˨˩˨xak˨˩˨ʐa˧˧tiəŋ˧˨
giá trị giao dịch	ja˦˥ʈi˨˩˨jaw˧˧jit˨˩˨
biến phân	biəŋ˦˥fɤ̆ŋ˧˧
bát tiết	bat˦˥tiək˦˥
cao thịnh	kaw˧˧tʰin˨˩˨
giờ cao điểm	jɤ˧˨kaw˧˧dim˨˩˦
rau đậu	ʐăw˧˧dɤ̆w˨˩˨
lương duyên	lɯəŋ˧˧jwiəŋ˧˧
ợ	ɤ˨˩˨
gian băng	jaŋ˧˧băŋ˧˧
tiền lệ	tiəŋ˧˨le˨˩˨
dẫu	jɤ̆w˨˩˦
giáp ranh	jap˦˥ʐan˧˧
trích	ʈit˦˥
bổ bán	bo˨˩˦baŋ˦˥
tiêu sinh	tiəw˧˧ʂin˧˧
phơi	fɤj˧˧
để không	de˨˩˦xoŋ͡m˧˧
phỉnh nịnh	fin˨˩˦nin˨˩˨
kim lâu	kim˧˧lɤ̆w˧˧
đấy	dɤ̆j˦˥
nhân chủng học	ɲɤ̆ŋ˧˧cuŋ͡m˨˩˦hɔk͡p˨˩˨
gộp đá	ɣop˨˩˨da˦˥
nai nịt	naj˧˧nit˨˩˨
chính yếu	cin˦˥iəw˦˥
báo tường	baw˦˥tɯəŋ˧˨
can-đê-la	kaŋ˧˧-de˧˧-la˧˧
sắc điệu	ʂăk˦˥diəw˨˩˨
cốt tủy	kok͡p˦˥tuj˨˩˦
gác xếp	ɣak˦˥sep˦˥
cắm trại	kăm˦˥ʈaj˨˩˨
sâu đo	ʂɤ̆w˧˧dɔ˧˧
rèo rẹo	ʐeo˧˨ʐeo˨˩˨
chằm	căm˧˨
đơn tính	dɤŋ˧˧tin˦˥
lún sụt	luŋ͡m˦˥ʂuk͡p˨˩˨
cần lao	kɤ̆ŋ˧˨law˧˧
nổi nênh	noj˨˩˦nen˧˧
làm khó	lam˧˨xɔ˦˥
bơm đẩy	bɤm˧˧dɤ̆j˨˩˦
hoa đàm đuốc tuệ	hwa˧˧dam˧˨duək˦˥twe˨˩˨
tụ	tu˨˩˨
ngăn cản	ŋăŋ˧˧kaŋ˨˩˦
chế tác	ce˦˥tak˦˥
máy hạ thế	măj˦˥ha˨˩˨tʰe˦˥
vương tước	jɯəŋ˧˧tɯək˦˥
hiểm họa	him˨˩˦hwa˨˩˨
xích thằng	sit˦˥tʰăŋ˧˨
chưởng văn	cɯəŋ˨˩˦jăŋ˧˧
nhạc thính phòng	ɲak˨˩˨tʰin˦˥fɔŋ͡m˧˨
đỏ lòm lòm	dɔ˨˩˦lɔm˧˨lɔm˧˨
chế độ dân chủ mới	ce˦˥do˨˩˨jɤ̆ŋ˧˧cu˨˩˦mɤj˦˥
bưu thiếp	bɯw˧˧tʰip˦˥
phỉ chí	fi˨˩˦ci˦˥
phiên ti	fiəŋ˧˧ti˧˧
nguyên bị	ŋwiəŋ˧˧bi˨˩˨
cháo tấm hỏng, cháo lòng cũng trơ	caw˦˥tɤ̆m˦˥hɔŋ͡m˨˩˦caw˦˥lɔŋ͡m˧˨kuŋ͡m˨˩˦ʈɤ˧˧
song thuận	ʂɔŋ͡m˧˧tʰwɤ̆ŋ˨˩˨
kim cổ	kim˧˧ko˨˩˦
bỏng mẻ	bɔŋ͡m˨˩˦mɛ˨˩˦
mặt chữ	măk˨˩˨cɯ˨˩˦
thia lia	tʰiə˧˧liə˧˧
hết cả hồn lẫn vía	het˦˥ka˨˩˦hoŋ͡m˧˨lɤ̆ŋ˨˩˦jiə˦˥
tiền văn học	tiəŋ˧˨jăŋ˧˧hɔk͡p˨˩˨
rống	ʐoŋ͡m˦˥
thăm thẳm	tʰăm˧˧tʰăm˨˩˦
ý niệm	i˦˥nim˨˩˨
hót	hɔk͡p˦˥
giai tằng	jaj˧˧tăŋ˧˨
giám lí	jam˦˥li˦˥
kết tinh	ket˦˥tin˧˧
giày mõm nhái	jăj˧˨mɔm˨˩˦ɲaj˦˥
phòng hỏa	fɔŋ͡m˧˨hwa˨˩˦
vãng	jaŋ˨˩˦
chiềng mung	ciəŋ˧˨muŋ͡m˧˧
tư lệnh	tɯ˧˧len˨˩˨
cổ đặc hữu	ko˨˩˦dăk˨˩˨hɯw˨˩˦
quỳnh hoàng	win˧˨hwaŋ˧˨
áo mồi	aw˦˥moj˧˨
tầng nền	tɤ̆ŋ˧˨nen˧˨
lừa dối	lɯə˧˨joj˦˥
dé chân chèo	jɛ˦˥cɤ̆ŋ˧˧ceo˧˨
cầy	kɤ̆j˧˨
khai mạc	xaj˧˧mak˨˩˨
kết hối	ket˦˥hoj˦˥
chúm	cum˦˥
khắc khoải	xăk˦˥xwaj˨˩˦
vắng vẻ	jăŋ˦˥jɛ˨˩˦
trừ gian	ʈɯ˧˨jaŋ˧˧
tóc tiên nước	tɔk͡p˦˥tiəŋ˧˧nɯək˦˥
trà giang	ʈa˧˨jaŋ˧˧
dạy ông cống vào trường	jăj˨˩˨oŋ͡m˧˧koŋ͡m˦˥jaw˧˨ʈɯəŋ˧˨
bề sâu	be˧˨ʂɤ̆w˧˧
sơn then	ʂɤŋ˧˧tʰɛŋ˧˧
nhìn người bằng nửa con mắt	ɲin˧˨ŋɯəj˧˨băŋ˧˨nɯə˨˩˦kɔŋ͡m˧˧măk˦˥
đông vật học	doŋ͡m˧˧jɤ̆k˨˩˨hɔk͡p˨˩˨
thành đồng	tʰan˧˨doŋ͡m˧˨
phụng nghênh	fuŋ͡m˨˩˨ŋen˧˧
kinh lý	kin˧˧li˦˥
đãy	dăj˨˩˦
thay lông đổi da	tʰăj˧˧loŋ͡m˧˧doj˨˩˦ja˧˧
vệ úy	je˨˩˨uj˦˥
hậu đội	hɤ̆w˨˩˨doj˨˩˨
tín nhiệm	tin˦˥ɲim˨˩˨
đàn tơ-rưng	daŋ˧˨tɤ˧˧-ʐɯŋ˧˧
tam phước	tam˧˧fɯək˦˥
dây loan	jɤ̆j˧˧lwaŋ˧˧
dây chuyền sản xuất	jɤ̆j˧˧cwiəŋ˧˨ʂaŋ˨˩˦swɤ̆k˦˥
phi tiêu	fi˧˧tiəw˧˧
đường bằng	dɯəŋ˧˨băŋ˧˨
thần thế	tʰɤ̆ŋ˧˨tʰe˦˥
tỉ muội	ti˨˩˦muəj˨˩˨
ghét mặt	ɣɛt˦˥măk˨˩˨
lưu vực	lɯw˧˧jɯk˨˩˨
rung động	ʐuŋ͡m˧˧doŋ͡m˨˩˨
dãi màu	jaj˨˩˦măw˧˨
bội minh	boj˨˩˨min˧˧
bào ảnh	baw˧˨an˨˩˦
dót	jɔk͡p˦˥
mưa ngâu	mɯə˧˧ŋɤ̆w˧˧
nữ thi sĩ	nɯ˨˩˦tʰi˧˧ʂi˨˩˦
dưỡng tử	jɯəŋ˨˩˦tɯ˨˩˦
phi đoàn	fi˧˧dwaŋ˧˨
đụng đâu nói đấy	duŋ͡m˨˩˨dɤ̆w˧˧nɔj˦˥dɤ̆j˦˥
phù	fu˧˨
nòng nọc	nɔŋ͡m˧˨nɔk͡p˨˩˨
thư lại	tʰɯ˧˧laj˨˩˨
đồng mưu	doŋ͡m˧˨mɯw˧˧
ngoẵng	ŋwăŋ˨˩˦
vá quàng	ja˦˥waŋ˧˨
ruột béo gan mòn	ʐuək˨˩˨beo˦˥ɣaŋ˧˧mɔŋ͡m˧˨
lao lực	law˧˧lɯk˨˩˨
bảo an binh	baw˨˩˦aŋ˧˧bin˧˧
quan hoài	waŋ˧˧hwaj˧˨
huyền hoặc	hwiəŋ˧˨hwăk˨˩˨
đường đi như mắc cửi	dɯəŋ˧˨di˧˧ɲɯ˧˧măk˦˥kɯj˨˩˦
điển lễ	diəŋ˨˩˦le˨˩˦
thức ăn	tʰɯk˦˥ăŋ˧˧
chim trời bạt gió	cim˧˧ʈɤj˧˨bat˨˩˨jɔ˦˥
tham chính	tʰam˧˧cin˦˥
miếng huỳnh miếng trám	miəŋ˦˥hwin˧˨miəŋ˦˥ʈam˦˥
từ tố	tɯ˧˨to˦˥
e-mê-tin	ɛ˧˧-me˧˧-tin˧˧
đảo lộn	daw˨˩˦loŋ͡m˨˩˨
trây	ʈɤ̆j˧˧
phứa	fɯə˦˥
cột chống	kok͡p˨˩˨coŋ͡m˦˥
đâm mầm	dɤ̆m˧˧mɤ̆m˧˨
buôn trâu bán chả	buəŋ˧˧ʈɤ̆w˧˧baŋ˦˥ca˨˩˦
chuyện hươu chuyện vượn	cwiəŋ˨˩˨hɯəw˧˧cwiəŋ˨˩˨jɯəŋ˨˩˨
man-tô	maŋ˧˧-to˧˧
rát mặt	ʐat˦˥măk˨˩˨
bồ côi	bo˧˨koj˧˧
vũ dũng	ju˨˩˦juŋ͡m˨˩˦
chiềng khừa	ciəŋ˧˨xɯə˧˨
đứng chân	dɯŋ˦˥cɤ̆ŋ˧˧
nhọc nhằn	ɲɔk͡p˨˩˨ɲăŋ˧˨
dẫn độ	jɤ̆ŋ˨˩˦do˨˩˨
thấp kế	tʰɤ̆p˦˥ke˦˥
nhảy quẩng	ɲăj˨˩˦wɤ̆ŋ˨˩˦
ngửa trông	ŋɯə˨˩˦ʈoŋ͡m˧˧
dọn sạch	jɔŋ͡m˨˩˨ʂat˨˩˨
đại tư bản	daj˨˩˨tɯ˧˧baŋ˨˩˦
thời gian vũ trụ	tʰɤj˧˨jaŋ˧˧ju˨˩˦ʈu˨˩˨
ổ-líp	o˨˩˦-lip˦˥
sần sật	ʂɤ̆ŋ˧˨ʂɤ̆k˨˩˨
cờ lệnh	kɤ˧˨len˨˩˨
trị ngoại	ʈi˨˩˨ŋwaj˨˩˨
khảm khắc	xam˨˩˦xăk˦˥
bơ bơ	bɤ˧˧bɤ˧˧
chở đò	cɤ˨˩˦dɔ˧˨
gừng	ɣɯŋ˧˨
ghé gẩm	ɣɛ˦˥ɣɤ̆m˨˩˦
bổ ngửa	bo˨˩˦ŋɯə˨˩˦
thui	tʰuj˧˧
đo lọ nước mắm đếm củ dưa hành	dɔ˧˧lɔ˨˩˨nɯək˦˥măm˦˥dem˦˥ku˨˩˦jɯə˧˧han˧˨
đi thôi	di˧˧tʰoj˧˧
băng tay	băŋ˧˧tăj˧˧
lơ láo	lɤ˧˧law˦˥
chứng minh thư	cɯŋ˦˥min˧˧tʰɯ˧˧
ả phù dung	a˨˩˦fu˧˨juŋ͡m˧˧
tuổi tác	tuəj˨˩˦tak˦˥
ăn vụng chóng no	ăŋ˧˧juŋ͡m˨˩˨cɔŋ͡m˦˥nɔ˧˧
vạn đại	jaŋ˨˩˨daj˨˩˨
văn mình vợ người	jăŋ˧˧min˧˨jɤ˨˩˨ŋɯəj˧˨
suối vàng	ʂuəj˦˥jaŋ˧˨
nói lẫn	nɔj˦˥lɤ̆ŋ˨˩˦
thanh tao	tʰan˧˧taw˧˧
thẩm tích	tʰɤ̆m˨˩˦tit˦˥
ăn nhặt	ăŋ˧˧ɲăk˨˩˨
cúc đầu xuân	kuk͡p˦˥dɤ̆w˧˨swɤ̆ŋ˧˧
chiến sĩ quyết thắng	ciəŋ˦˥ʂi˨˩˦wiɛt˦˥tʰăŋ˦˥
tiêm chủng	tim˧˧cuŋ͡m˨˩˦
ngái ngủ	ŋaj˦˥ŋu˨˩˦
nhìn chung	ɲin˧˨cuŋ͡m˧˧
chiếu tướng	ciəw˦˥tɯəŋ˦˥
lua	luə˧˧
thái tổ	tʰaj˦˥to˨˩˦
oán vưu	waŋ˦˥jɯw˧˧
cười vỡ bụng	kɯəj˧˨jɤ˨˩˦buŋ͡m˨˩˨
trịnh sâm	ʈin˨˩˨ʂɤ̆m˧˧
khỉ râu	xi˨˩˦ʐɤ̆w˧˧
ghê sợ	ɣe˧˧ʂɤ˨˩˨
quy luật	wi˧˧lwɤ̆k˨˩˨
bó trát	bɔ˦˥ʈat˦˥
vây vo	jɤ̆j˧˧jɔ˧˧
giấy nến	jɤ̆j˦˥nen˦˥
xao nhãng	saw˧˧ɲaŋ˨˩˦
dạy bà lang bốc thuốc	jăj˨˩˨ba˧˨laŋ˧˧bok͡p˦˥tʰuək˦˥
thổ mộc hương	tʰo˨˩˦mok͡p˨˩˨hɯəŋ˧˧
dở sống dở chết	jɤ˨˩˦ʂoŋ͡m˦˥jɤ˨˩˦cet˦˥
bướm lả ong lơi	bɯm˦˥la˨˩˦ɔŋ͡m˧˧lɤj˧˧
mếu xệch	mɛu˦˥set˨˩˨
tỉnh uỷ viên	tin˨˩˦wi˨˩˦jiəŋ˧˧
vú bầu	ju˦˥bɤ̆w˧˨
cát tường	kat˦˥tɯəŋ˧˨
vô thuỷ vô chung	jo˧˧tʰwi˨˩˦jo˧˧cuŋ͡m˧˧
chết rấp	cet˦˥ʐɤ̆p˦˥
lương đống	lɯəŋ˧˧doŋ͡m˦˥
giọt vắn giọt dài	jɔk͡p˨˩˨jăŋ˦˥jɔk͡p˨˩˨jaj˧˨
phấn	fɤ̆ŋ˦˥
bội nghịch	boj˨˩˨ŋit˨˩˨
trấn phục	ʈɤ̆ŋ˦˥fuk͡p˨˩˨
trường yên	ʈɯəŋ˧˨iɛŋ˧˧
vạn thọ vô cương	jaŋ˨˩˨tʰɔ˨˩˨jo˧˧kɯəŋ˧˧
thánh thần	tʰan˦˥tʰɤ̆ŋ˧˨
trần nhân tông	ʈɤ̆ŋ˧˨ɲɤ̆ŋ˧˧toŋ͡m˧˧
bứt	bɯk˦˥
ai mà	aj˧˧ma˧˨
húng chanh	huŋ͡m˦˥can˧˧
lô-gích hình thức	lo˧˧-ɣit˦˥hin˧˨tʰɯk˦˥
thần sa	tʰɤ̆ŋ˧˨ʂa˧˧
xuê	swe˧˧
chát ngấm	cat˦˥ŋɤ̆m˦˥
chữ tình	cɯ˨˩˦tin˧˨
nóc vòm	nɔk͡p˦˥jɔm˧˨
bát âm	bat˦˥ɤ̆m˧˧
dân dấn	jɤ̆ŋ˧˧jɤ̆ŋ˦˥
mày ngang mũi dọc	măj˧˨ŋaŋ˧˧muj˨˩˦jɔk͡p˨˩˨
tớn tác	tɤŋ˦˥tak˦˥
trợ thời	ʈɤ˨˩˨tʰɤj˧˨
ngựa con háu đá	ŋɯə˨˩˨kɔŋ͡m˧˧hăw˦˥da˦˥
thư trai	tʰɯ˧˧ʈaj˧˧
tìm kiếm	tim˧˨kim˦˥
luyến âm	lwiəŋ˦˥ɤ̆m˧˧
đầu phiếu	dɤ̆w˧˨fiəw˦˥
xếp nếp	sep˦˥nep˦˥
nhố nhăng	ɲo˦˥ɲăŋ˧˧
văn hay chữ tốt	jăŋ˧˧hăj˧˧cɯ˨˩˦tok͡p˦˥
sức sản xuất	ʂɯk˦˥ʂaŋ˨˩˦swɤ̆k˦˥
ruồng	ʐuəŋ˧˨
cạm bẫy	kam˨˩˨bɤ̆j˨˩˦
vô cương	jo˧˧kɯəŋ˧˧
dương đông kích tây	jɯəŋ˧˧doŋ͡m˧˧kit˦˥tɤ̆j˧˧
chuyên doanh	cwiəŋ˧˧jwan˧˧
thạch long	tʰat˨˩˨lɔŋ͡m˧˧
thứ đẳng	tʰɯ˦˥dăŋ˨˩˦
minh oan	min˧˧waŋ˧˧
kết thân	ket˦˥tʰɤ̆ŋ˧˧
lằm bằm	lăm˧˨băm˧˨
đồng nữ	doŋ͡m˧˨nɯ˨˩˦
trúng	ʈuŋ͡m˦˥
tư thất	tɯ˧˧tʰɤ̆k˦˥
đượm đà	dɯm˨˩˨da˧˨
nước trắng	nɯək˦˥ʈăŋ˦˥
cổ; đè lên đầu lên	ko˨˩˦dɛ˧˨len˧˧dɤ̆w˧˨len˧˧
sài kinh	ʂaj˧˨kin˧˧
giường thất bảo	jɯəŋ˧˨tʰɤ̆k˦˥baw˨˩˦
măm	măm˧˧
vô giá	jo˧˧ja˦˥
bắc thang	băk˦˥tʰaŋ˧˧
già lừa nhỡ lứa	ja˧˨lɯə˧˨ɲɤ˨˩˦lɯə˦˥
cự nự	kɯ˨˩˨nɯ˨˩˨
thương nhân	tʰɯəŋ˧˧ɲɤ̆ŋ˧˧
tông phái	toŋ͡m˧˧faj˦˥
cứng cổ	kɯŋ˦˥ko˨˩˦
vồng	joŋ͡m˧˨
cài cài	kaj˧˨kaj˧˨
khỏe mạnh	xwe˨˩˦man˨˩˨
đàn đáy	daŋ˧˨dăj˦˥
thủy tiên	tʰuj˨˩˦tiəŋ˧˧
nhái	ɲaj˦˥
ác khẩu	ak˦˥xɤ̆w˨˩˦
súng tự động	ʂuŋ͡m˦˥tɯ˨˩˨doŋ͡m˨˩˨
ông đi chợ trưa gặp bà bán ế	oŋ͡m˧˧di˧˧cɤ˨˩˨ʈɯə˧˧ɣăp˨˩˨ba˧˨baŋ˦˥e˦˥
hạp long	hap˨˩˨lɔŋ͡m˧˧
cái chiên	kaj˦˥ciəŋ˧˧
tù binh	tu˧˨bin˧˧
thông gió	tʰoŋ͡m˧˧jɔ˦˥
mèn	mɛŋ˧˨
thổ mộ	tʰo˨˩˦mo˨˩˨
