bắt ấn	băk˦˥ɤ̆ŋ˩˧
thụ thai	tʰu˨ˀ˩ʔtʰaj˧˥
goá bụa	ɣwa˩˧buə˨ˀ˩ʔ
trẻ con	ʈɛ˧˩˨kɔŋ͡m˧˥
bệnh thời khí	ben˨ˀ˩ʔtʰɤj˦˨xi˩˧
ảo thị	aw˧˩˨tʰi˨ˀ˩ʔ
giày bốt	jăj˦˨bok͡p˦˥
ba sinh	ba˧˥ʂin˧˥
địa vật lí	diə˨ˀ˩ʔjɤ̆k˨ˀ˩ʔli˩˧
đèn măng sông	dɛŋ˦˨măŋ˧˥ʂoŋ͡m˧˥
bí mật	bi˩˧mɤ̆k˨ˀ˩ʔ
hải vị	haj˧˩˨ji˨ˀ˩ʔ
sâu răng	ʂɤ̆w˧˥ʐăŋ˧˥
đày	dăj˦˨
ân sâu nghĩa nặng	ɤ̆ŋ˧˥ʂɤ̆w˧˥ŋiə˧˩˨năŋ˨ˀ˩ʔ
bình phước	bin˦˨fɯək˦˥
quen nể dạ, lạ nể áo	wɛŋ˧˥ne˧˩˨ja˨ˀ˩ʔla˨ˀ˩ʔne˧˩˨aw˩˧
thị tần	tʰi˨ˀ˩ʔtɤ̆ŋ˦˨
lũy	luj˧˩˨
hoà hai	hwa˦˨haj˧˥
giáo lệnh	jaw˩˧len˨ˀ˩ʔ
bảy chữ	băj˧˩˨cɯ˧˩˨
toi	tɔj˧˥
anh hùng mạt lộ	an˧˥huŋ͡m˦˨mak˨ˀ˩ʔlo˨ˀ˩ʔ
ò ò	ɔ˦˨ɔ˦˨
vong ân	jɔŋ͡m˧˥ɤ̆ŋ˧˥
giấy bướm	jɤ̆j˩˧bɯəm˩˧
thực chứng luận	tʰɯk˨ˀ˩ʔcɯŋ˩˧lwɤ̆ŋ˨ˀ˩ʔ
thổi mòn	tʰoj˧˩˨mɔŋ͡m˦˨
râm ran	ʐɤ̆m˧˥ʐaŋ˧˥
vui thú nguyệt hoa	juj˧˥tʰu˩˧ŋwiək˨ˀ˩ʔhwa˧˥
trào gan	ʈaw˦˨ɣaŋ˧˥
tiên thành	tiəŋ˧˥tʰan˦˨
lảng tai	laŋ˧˩˨taj˧˥
bách khoa thư	bak˦˥xwa˧˥tʰɯ˧˥
lao động sống	law˧˥doŋ͡m˨ˀ˩ʔʂoŋ͡m˩˧
hồ sơ	ho˦˨ʂɤ˧˥
rối rít	ʐoj˩˧ʐit˦˥
im ắng	im˧˥ăŋ˩˧
tấc vàng	tɤ̆k˦˥jaŋ˦˨
cuống cuồng	kuəŋ˩˧kuəŋ˦˨
vị thành niên	ji˨ˀ˩ʔtʰan˦˨niəŋ˧˥
tổ sư	to˧˩˨ʂɯ˧˥
giừ	jɯ˦˨
hay làm	hăj˧˥lam˦˨
nhà con	ɲa˦˨kɔŋ͡m˧˥
nguyên tố	ŋwiəŋ˧˥to˩˧
vật thể	jɤ̆k˨ˀ˩ʔtʰe˧˩˨
bít miệng	bit˦˥miəŋ˨ˀ˩ʔ
hồ lô	ho˦˨lo˧˥
tốt đẹp	tok͡p˦˥dɛp˨ˀ˩ʔ
vỏ chai	jɔ˧˩˨caj˧˥
cột điện	kok͡p˨ˀ˩ʔdiəŋ˨ˀ˩ʔ
vọ	jɔ˨ˀ˩ʔ
nhũng nhẽo	ɲuŋ͡m˧˩˨ɲeo˧˩˨
lưu vong	lɯw˧˥jɔŋ͡m˧˥
thanh nưa	tʰan˧˥nɯə˧˥
bảo mạng	baw˧˩˨maŋ˨ˀ˩ʔ
lập loè	lɤ̆p˨ˀ˩ʔlwe˦˨
dự thí	jɯ˨ˀ˩ʔtʰi˩˧
toả chiết	twa˧˩˨ciək˦˥
sân bãi	ʂɤ̆ŋ˧˥baj˧˩˨
xoi móc	sɔj˧˥mɔk͡p˦˥
giơ xương	jɤ˧˥sɯəŋ˧˥
lề mề	le˦˨me˦˨
dẹt lét	jɛk˨ˀ˩ʔlɛk˦˥
hầu bao	hɤ̆w˦˨baw˧˥
nha khoa	ɲa˧˥xwa˧˥
châm chọc	cɤ̆m˧˥cɔk͡p˨ˀ˩ʔ
dự tính	jɯ˨ˀ˩ʔtin˩˧
chị em	ci˨ˀ˩ʔɛm˧˥
ỉ oi	i˧˩˨ɔj˧˥
quy nhơn	wi˧˥ɲɤŋ˧˥
guốc lẻ	ɣuək˦˥lɛ˧˩˨
ơi ới	ɤj˧˥ɤj˩˧
ác niệm	ak˦˥niəm˨ˀ˩ʔ
mạt	mak˨ˀ˩ʔ
bắt giam	băk˦˥jam˧˥
kẻ sang người hèn	kɛ˧˩˨ʂaŋ˧˥ŋɯəj˦˨hɛŋ˦˨
ngoại vi	ŋwaj˨ˀ˩ʔji˧˥
tỉ mỉ	ti˧˩˨mi˧˩˨
cát bối	kak˦˥boj˩˧
thực vật học	tʰɯk˨ˀ˩ʔjɤ̆k˨ˀ˩ʔhɔk͡p˨ˀ˩ʔ
xí muội	si˩˧muəj˨ˀ˩ʔ
bước một	bɯək˦˥mok͡p˨ˀ˩ʔ
níp	nip˦˥
lơ đãng	lɤ˧˥daŋ˧˩˨
tấm chắn	tɤ̆m˩˧căŋ˩˧
lộng ngữ	loŋ͡m˨ˀ˩ʔŋɯ˧˩˨
tổ phụ	to˧˩˨fu˨ˀ˩ʔ
rối bù	ʐoj˩˧bu˦˨
bút kí	buk͡p˦˥ki˩˧
lửa hận	lɯə˧˩˨hɤ̆ŋ˨ˀ˩ʔ
nhãn hiệu	ɲaŋ˧˩˨hiəw˨ˀ˩ʔ
beng	bɛŋ˧˥
tốt danh hơn lành áo	tok͡p˦˥jan˧˥hɤŋ˧˥lan˦˨aw˩˧
cắm cúi	kăm˩˧kuj˩˧
sếp sòng	ʂep˦˥ʂɔŋ͡m˦˨
quân kỷ	wɤ̆ŋ˧˥ki˧˩˨
tô nô	to˧˥no˧˥
pha giống	fa˧˥joŋ͡m˩˧
chủ nghĩa kinh viện	cu˧˩˨ŋiə˧˩˨kin˧˥jiəŋ˨ˀ˩ʔ
vạnh	jan˨ˀ˩ʔ
phật đình	fɤ̆k˨ˀ˩ʔdin˦˨
thượng nguyên	tʰɯəŋ˨ˀ˩ʔŋwiəŋ˧˥
bảo chi	baw˧˩˨ci˧˥
hổ danh	ho˧˩˨jan˧˥
tiết thụ	tiək˦˥tʰu˨ˀ˩ʔ
tạo hoá	taw˨ˀ˩ʔhwa˩˧
chiến phí	ciəŋ˩˧fi˩˧
suối cẩn	ʂuəj˩˧kɤ̆ŋ˧˩˨
níu áo	niw˩˧aw˩˧
nuốt tươi	nuək˦˥tɯəj˧˥
nhặm lẹ	ɲăm˨ˀ˩ʔlɛ˨ˀ˩ʔ
cọ xát	kɔ˨ˀ˩ʔsak˦˥
hiếu danh	hiəw˩˧jan˧˥
địch nhân	dit˨ˀ˩ʔɲɤ̆ŋ˧˥
lỗ thủng	lo˧˩˨tʰuŋ͡m˧˩˨
gỗ tròn	ɣo˧˩˨ʈɔŋ͡m˦˨
có hiếu	kɔ˩˧hiəw˩˧
biến tướng	biəŋ˩˧tɯəŋ˩˧
cầu được ước thấy	kɤ̆w˦˨dɯək˨ˀ˩ʔɯək˦˥tʰɤ̆j˩˧
con sông	kɔŋ͡m˧˥ʂoŋ͡m˧˥
ngã ngũ	ŋa˧˩˨ŋu˧˩˨
kì hình	ki˦˨hin˦˨
bỏ qua	bɔ˧˩˨wa˧˥
cảnh sát trưởng	kan˧˩˨ʂak˦˥ʈɯəŋ˧˩˨
ào ào chó	aw˦˨aw˦˨cɔ˩˧
vào hang cọp	jaw˦˨haŋ˧˥kɔp˨ˀ˩ʔ
bà cô ông mãnh	ba˦˨ko˧˥oŋ͡m˧˥man˧˩˨
đốc chí	dok͡p˦˥ci˩˧
tử số	tɯ˧˩˨ʂo˩˧
thơ lục bát	tʰɤ˧˥luk͡p˨ˀ˩ʔbak˦˥
bỏ nhỏ	bɔ˧˩˨ɲɔ˧˩˨
có mang	kɔ˩˧maŋ˧˥
sát hại	ʂak˦˥haj˨ˀ˩ʔ
theo đuôi	tʰeo˧˥duəj˧˥
hàn huyên	haŋ˦˨hwiəŋ˧˥
mờ ơ	mɤ˦˨ɤ˧˥
bồng hồ	boŋ͡m˦˨ho˦˨
văn ôn vũ luyện	jăŋ˧˥oŋ͡m˧˥ju˧˩˨lwiəŋ˨ˀ˩ʔ
sinh li	ʂin˧˥li˧˥
sầm sì	ʂɤ̆m˦˨ʂi˦˨
võ phục	jɔ˧˩˨fuk͡p˨ˀ˩ʔ
xa xỉ	sa˧˥si˧˩˨
xuân mãn	swɤ̆ŋ˧˥maŋ˧˩˨
tẩu tẩu	tɤ̆w˧˩˨tɤ̆w˧˩˨
góc đa diện	ɣɔk͡p˦˥da˧˥jiəŋ˨ˀ˩ʔ
cảnh giả	kan˧˩˨ja˧˩˨
lao tâm	law˧˥tɤ̆m˧˥
xì căng đan	si˦˨kăŋ˧˥daŋ˧˥
thi giới	tʰi˧˥jɤj˩˧
đi tây	di˧˥tɤ̆j˧˥
uỳnh uỵch	win˦˨wit˨ˀ˩ʔ
rắn phì	ʐăŋ˩˧fi˦˨
lãng	laŋ˧˩˨
trắng bạch	ʈăŋ˩˧bak˨ˀ˩ʔ
trời giáng	ʈɤj˦˨jaŋ˩˧
hồng y	hoŋ͡m˦˨i˧˥
pháo xiết	faw˩˧siək˦˥
tuyển nổi	twiəŋ˧˩˨noj˧˩˨
thương tích	tʰɯəŋ˧˥tit˦˥
thanh nhã	tʰan˧˥ɲa˧˩˨
xẩu	sɤ̆w˧˩˨
sự thực	ʂɯ˨ˀ˩ʔtʰɯk˨ˀ˩ʔ
đáng chết	daŋ˩˧cet˦˥
tàu hỏa	tăw˦˨hwa˧˩˨
di sơn đảo hải	ji˧˥ʂɤŋ˧˥daw˧˩˨haj˧˩˨
nằm ngang	năm˦˨ŋaŋ˧˥
cao tầng tổ khảo	kaw˧˥tɤ̆ŋ˦˨to˧˩˨xaw˧˩˨
quách	wak˦˥
biểu bì	biəw˧˩˨bi˦˨
đả động	da˧˩˨doŋ͡m˨ˀ˩ʔ
chạy thầy	căj˨ˀ˩ʔtʰɤ̆j˦˨
mới	mɤj˩˧
đường xoi	dɯəŋ˦˨sɔj˧˥
quận cồ	wɤ̆ŋ˨ˀ˩ʔko˦˨
cặm cụi	kăm˨ˀ˩ʔkuj˨ˀ˩ʔ
trễ	ʈe˧˩˨
nước chảy bè trôi	nɯək˦˥căj˧˩˨bɛ˦˨ʈoj˧˥
đại lễ	daj˨ˀ˩ʔle˧˩˨
nguyệt lộ	ŋwiək˨ˀ˩ʔlo˨ˀ˩ʔ
sơ chung	ʂɤ˧˥cuŋ͡m˧˥
tham bạo	tʰam˧˥baw˨ˀ˩ʔ
tiểu hình	tiəw˧˩˨hin˦˨
rầy mặt	ʐɤ̆j˦˨măk˨ˀ˩ʔ
hậu hiện đại	hɤ̆w˨ˀ˩ʔhiəŋ˨ˀ˩ʔdaj˨ˀ˩ʔ
trối	ʈoj˩˧
mắn	măŋ˩˧
thích đáng	tʰit˦˥daŋ˩˧
lang cun	laŋ˧˥kuŋ͡m˧˥
tô mộc	to˧˥mok͡p˨ˀ˩ʔ
công thổ	koŋ͡m˧˥tʰo˧˩˨
tình thế	tin˦˨tʰe˩˧
quá hạn	wa˩˧haŋ˨ˀ˩ʔ
mũ lưỡi trai	mu˧˩˨lɯəj˧˩˨ʈaj˧˥
chuyển vần	cwiəŋ˧˩˨jɤ̆ŋ˦˨
tiểu đệ	tiəw˧˩˨de˨ˀ˩ʔ
lầm	lɤ̆m˦˨
đắp đổi	dăp˦˥doj˧˩˨
dơi	jɤj˧˥
tơ tung	tɤ˧˥tuŋ͡m˧˥
quản gì	waŋ˧˩˨ɣi˦˨
bồ đài	bo˦˨daj˦˨
toa sàn	twa˧˥ʂaŋ˦˨
cẩm đình	kɤ̆m˧˩˨din˦˨
đôi co mách lẻo	doj˧˥kɔ˧˥mak˦˥leo˧˩˨
chủ nghĩa sinh học	cu˧˩˨ŋiə˧˩˨ʂin˧˥hɔk͡p˨ˀ˩ʔ
nhật nguyệt	ɲɤ̆k˨ˀ˩ʔŋwiək˨ˀ˩ʔ
mồm như quạ cái	mom˦˨ɲɯ˧˥wa˨ˀ˩ʔkaj˩˧
múa vụng chê đất lệch	muə˩˧juŋ͡m˨ˀ˩ʔce˧˥dɤ̆k˦˥let˨ˀ˩ʔ
áo chàm	aw˩˧cam˦˨
giai âm	jaj˧˥ɤ̆m˧˥
di bản	ji˧˥baŋ˧˩˨
chiều dài	ciəw˦˨jaj˦˨
cấm hoả	kɤ̆m˩˧hwa˧˩˨
trà cổ	ʈa˦˨ko˧˩˨
cẩm yên	kɤ̆m˧˩˨iɛŋ˧˥
sạt sành	ʂak˨ˀ˩ʔʂan˦˨
ăn đường	ăŋ˧˥dɯəŋ˦˨
dửng	jɯŋ˧˩˨
a-giăng-đa	a˧˥-jăŋ˧˥-da˧˥
cơm nắm cơm đùm	kɤm˧˥năm˩˧kɤm˧˥dum˦˨
cầm chắc	kɤ̆m˦˨căk˦˥
quýnh	win˩˧
bò vẽ	bɔ˦˨jɛ˧˩˨
chiến trận	ciəŋ˩˧ʈɤ̆ŋ˨ˀ˩ʔ
chuyện nở như bắp rang	cwiəŋ˨ˀ˩ʔnɤ˧˩˨ɲɯ˧˥băp˦˥ʐaŋ˧˥
loan xa	lwaŋ˧˥sa˧˥
ào ạt	aw˦˨ak˨ˀ˩ʔ
nói giàn cung mây	nɔj˩˧jaŋ˦˨kuŋ͡m˧˥mɤ̆j˧˥
ráng sức	ʐaŋ˩˧ʂɯk˦˥
uốn ba tấc lưỡi	uəŋ˩˧ba˧˥tɤ̆k˦˥lɯəj˧˩˨
đánh tranh	dan˩˧ʈan˧˥
bình hàng tây	bin˦˨haŋ˦˨tɤ̆j˧˥
gạch bỏ	ɣak˨ˀ˩ʔbɔ˧˩˨
đỏ lửa	dɔ˧˩˨lɯə˧˩˨
lơi lỏng	lɤj˧˥lɔŋ͡m˧˩˨
khu tự trị	xu˧˥tɯ˨ˀ˩ʔʈi˨ˀ˩ʔ
cho nên	cɔ˧˥nen˧˥
phân lèn	fɤ̆ŋ˧˥lɛŋ˦˨
thái đô	tʰaj˩˧do˧˥
bọn mình	bɔŋ͡m˨ˀ˩ʔmin˦˨
cam bình	kam˧˥bin˦˨
cam tâm	kam˧˥tɤ̆m˧˥
hò giã gạo	hɔ˦˨ja˧˩˨ɣaw˨ˀ˩ʔ
kinh dị	kin˧˥ji˨ˀ˩ʔ
hoàng thích	hwaŋ˦˨tʰit˦˥
ngày qua tháng lại	ŋăj˦˨wa˧˥tʰaŋ˩˧laj˨ˀ˩ʔ
có trăng quên đèn	kɔ˩˧ʈăŋ˧˥wen˧˥dɛŋ˦˨
đến mực	den˩˧mɯk˨ˀ˩ʔ
không phép	xoŋ͡m˧˥fɛp˦˥
thật tình	tʰɤ̆k˨ˀ˩ʔtin˦˨
quả lừa	wa˧˩˨lɯə˦˨
chữ hán	cɯ˧˩˨haŋ˩˧
vũ công huệ	ju˧˩˨koŋ͡m˧˥hwe˨ˀ˩ʔ
nhẹ tênh	ɲɛ˨ˀ˩ʔten˧˥
bỏ đực	bɔ˧˩˨dɯk˨ˀ˩ʔ
sa bàn	ʂa˧˥baŋ˦˨
mùi-xoa	muj˦˨-swa˧˥
cuối mặt đầu mày	kuəj˩˧măk˨ˀ˩ʔdɤ̆w˦˨măj˦˨
lột vỏ	lok͡p˨ˀ˩ʔjɔ˧˩˨
đưa đường	dɯə˧˥dɯəŋ˦˨
nguyên nhung	ŋwiəŋ˧˥ɲuŋ͡m˧˥
chất keo	cɤ̆k˦˥keo˧˥
lãng đãng	laŋ˧˩˨daŋ˧˩˨
kẹp	kɛp˨ˀ˩ʔ
cạnh huyền	kan˨ˀ˩ʔhwiəŋ˦˨
ngáp vặt	ŋap˦˥jăk˨ˀ˩ʔ
thồi	tʰoj˦˨
phỉ nhổ	fi˧˩˨ɲo˧˩˨
râu quặp	ʐɤ̆w˧˥wăp˨ˀ˩ʔ
sinh tồn	ʂin˧˥toŋ͡m˦˨
dâm ngôn	jɤ̆m˧˥ŋoŋ͡m˧˥
văn thành	jăŋ˧˥tʰan˦˨
còng cong	kɔŋ͡m˦˨kɔŋ͡m˧˥
bột sam	bok͡p˨ˀ˩ʔʂam˧˥
lập kế	lɤ̆p˨ˀ˩ʔke˩˧
quế minh	we˩˧min˧˥
khi trước	xi˧˥ʈɯək˦˥
trần thuyết	ʈɤ̆ŋ˦˨tʰwiək˦˥
gà gáp	ɣa˦˨ɣap˦˥
trái khế	ʈaj˩˧xe˩˧
man muội	maŋ˧˥muəj˨ˀ˩ʔ
tàu vét	tăw˦˨jɛk˦˥
nghét	ŋɛk˦˥
áo bìa	aw˩˧biə˦˨
hai sôi ba lạnh	haj˧˥ʂoj˧˥ba˧˥lan˨ˀ˩ʔ
chen chúc	cɛŋ˧˥cuk͡p˦˥
dồi	joj˦˨
phờ phỉnh	fɤ˦˨fin˧˩˨
trời bể	ʈɤj˦˨be˧˩˨
nôm na là cha mách qué	nom˧˥na˧˥la˦˨ca˧˥mak˦˥wɛ˩˧
xáo xác	saw˩˧sak˦˥
kì mục kì nát	ki˦˨muk͡p˨ˀ˩ʔki˦˨nak˦˥
giáo sinh	jaw˩˧ʂin˧˥
chôm chôm	com˧˥com˧˥
thưởng	tʰɯəŋ˧˩˨
bịa	biə˨ˀ˩ʔ
thuận tiện	tʰwɤ̆ŋ˨ˀ˩ʔtiəŋ˨ˀ˩ʔ
cớ sự	kɤ˩˧ʂɯ˨ˀ˩ʔ
sớm ăn tối nhịn	ʂɤm˩˧ăŋ˧˥toj˩˧ɲin˨ˀ˩ʔ
mà thôi	ma˦˨tʰoj˧˥
đi không lướt ngọn cỏ	di˧˥xoŋ͡m˧˥lɯək˦˥ŋɔŋ͡m˨ˀ˩ʔkɔ˧˩˨
ruồi trâu	ʐuəj˦˨ʈɤ̆w˧˥
cảm thán ngữ	kam˧˩˨tʰaŋ˩˧ŋɯ˧˩˨
thầy trò	tʰɤ̆j˦˨ʈɔ˦˨
bạt tuỵ	bak˨ˀ˩ʔtwi˨ˀ˩ʔ
hành tăm	han˦˨tăm˧˥
viện hàm	jiəŋ˨ˀ˩ʔham˦˨
bảo lộc	baw˧˩˨lok͡p˨ˀ˩ʔ
ăn lương	ăŋ˧˥lɯəŋ˧˥
chút phận bèo mây	cuk͡p˦˥fɤ̆ŋ˨ˀ˩ʔbeo˦˨mɤ̆j˧˥
dì	ji˦˨
thiên tai địch hoạ	tʰiəŋ˧˥taj˧˥dit˨ˀ˩ʔhwa˨ˀ˩ʔ
tiên điền	tiəŋ˧˥diəŋ˦˨
vạn toàn	jaŋ˨ˀ˩ʔtwaŋ˦˨
dặm hồng	jăm˨ˀ˩ʔhoŋ͡m˦˨
sàn	ʂaŋ˦˨
biên dịch	biəŋ˧˥jit˨ˀ˩ʔ
thường kì	tʰɯəŋ˦˨ki˦˨
nước lụt chó nhảy bàn độc	nɯək˦˥luk͡p˨ˀ˩ʔcɔ˩˧ɲăj˧˩˨baŋ˦˨dok͡p˨ˀ˩ʔ
ăn nên làm ra	ăŋ˧˥nen˧˥lam˦˨ʐa˧˥
quan tám cũng ừ, quan tư cũng gật	waŋ˧˥tam˩˧kuŋ͡m˧˩˨ɯ˦˨waŋ˧˥tɯ˧˥kuŋ͡m˧˩˨ɣɤ̆k˨ˀ˩ʔ
cường tập	kɯəŋ˦˨tɤ̆p˨ˀ˩ʔ
giấy da	jɤ̆j˩˧ja˧˥
tiểu dẫn	tiəw˧˩˨jɤ̆ŋ˧˩˨
hề chi	he˦˨ci˧˥
trùn	ʈuŋ͡m˦˨
tốn phí	toŋ͡m˩˧fi˩˧
học vần	hɔk͡p˨ˀ˩ʔjɤ̆ŋ˦˨
tình sâu nghĩa nặng	tin˦˨ʂɤ̆w˧˥ŋiə˧˩˨năŋ˨ˀ˩ʔ
tội gì	toj˨ˀ˩ʔɣi˦˨
đột kích	dok͡p˨ˀ˩ʔkit˦˥
quề quà	we˦˨wa˦˨
chả lụa	ca˧˩˨luə˨ˀ˩ʔ
hương thôn	hɯəŋ˧˥tʰoŋ͡m˧˥
ba bớp	ba˧˥bɤp˦˥
gia giảm	ja˧˥jam˧˩˨
cơ động	kɤ˧˥doŋ͡m˨ˀ˩ʔ
đi tong	di˧˥tɔŋ͡m˧˥
mơn	mɤŋ˧˥
nguy hiểm	ŋwi˧˥hiəm˧˩˨
rèn cán chỉnh cơ	ʐɛŋ˦˨kaŋ˩˧cin˧˩˨kɤ˧˥
ba sinh hương lửa	ba˧˥ʂin˧˥hɯəŋ˧˥lɯə˧˩˨
cười gió cợt trăng	kɯəj˦˨jɔ˩˧kɤk˨ˀ˩ʔʈăŋ˧˥
quang lâm	waŋ˧˥lɤ̆m˧˥
xu lợi	su˧˥lɤj˨ˀ˩ʔ
khuynh thành	xwin˧˥tʰan˦˨
thưởng tướng khao quân	tʰɯəŋ˧˩˨tɯəŋ˩˧xaw˧˥wɤ̆ŋ˧˥
tít	tit˦˥
ngông cuồng	ŋoŋ͡m˧˥kuəŋ˦˨
coi giời bằng vung	kɔj˧˥jɤj˦˨băŋ˦˨juŋ͡m˧˥
xung quanh	suŋ͡m˧˥wan˧˥
ẵm bế	ăm˧˩˨be˩˧
đường dẫn	dɯəŋ˦˨jɤ̆ŋ˧˩˨
nám	nam˩˧
mủ	mu˧˩˨
muốn ăn cá cả thì thả câu dài	muəŋ˩˧ăŋ˧˥ka˩˧ka˧˩˨tʰi˦˨tʰa˧˩˨kɤ̆w˧˥jaj˦˨
da cam	ja˧˥kam˧˥
đỏ hoen	dɔ˧˩˨hwen˧˥
hư cấu	hɯ˧˥kɤ̆w˩˧
vắng tanh vắng ngắt	jăŋ˩˧tan˧˥jăŋ˩˧ŋăk˦˥
cai	kaj˧˥
chửa biết chừng	cɯə˧˩˨biək˦˥cɯŋ˦˨
ngài	ŋaj˦˨
nhân vô thập toàn	ɲɤ̆ŋ˧˥jo˧˥tʰɤ̆p˨ˀ˩ʔtwaŋ˦˨
khuyên	xwiəŋ˧˥
khoen	xwen˧˥
cải thìa	kaj˧˩˨tʰiə˦˨
khuất núi	xwɤ̆k˦˥nuj˩˧
chiêu hiền đãi sĩ	ciəw˧˥hiəŋ˦˨daj˧˩˨ʂi˧˩˨
hứng ý	hɯŋ˩˧i˩˧
nhịn nhục	ɲin˨ˀ˩ʔɲuk͡p˨ˀ˩ʔ
kịch phát	kit˨ˀ˩ʔfak˦˥
tuấn tú	twɤ̆ŋ˩˧tu˩˧
thương khố	tʰɯəŋ˧˥xo˩˧
văn mình, vợ người	jăŋ˧˥min˦˨jɤ˨ˀ˩ʔŋɯəj˦˨
mặt xám như gà cắt tiết	măk˨ˀ˩ʔsam˩˧ɲɯ˧˥ɣa˦˨kăk˦˥tiək˦˥
hòm chân	hɔm˦˨cɤ̆ŋ˧˥
phân tiết	fɤ̆ŋ˧˥tiək˦˥
tranh vách	ʈan˧˥jak˦˥
thuỵ dân	tʰwi˨ˀ˩ʔjɤ̆ŋ˧˥
thể thống	tʰe˧˩˨tʰoŋ͡m˩˧
đẵng	dăŋ˧˩˨
cá mạnh vì nước	ka˩˧man˨ˀ˩ʔji˦˨nɯək˦˥
toà giảng	twa˦˨jaŋ˧˩˨
cù tê	ku˦˨te˧˥
mải vui	maj˧˩˨juj˧˥
goong	ɣɔŋ͡m˧˥
chân co chân duỗi	cɤ̆ŋ˧˥kɔ˧˥cɤ̆ŋ˧˥juəj˧˩˨
ùm ùm	um˦˨um˦˨
loàng xoàng	lwaŋ˦˨swaŋ˦˨
bóng râm	bɔŋ͡m˩˧ʐɤ̆m˧˥
nhui	ɲuj˧˥
sản ông	ʂaŋ˧˩˨oŋ͡m˧˥
nhọc thân	ɲɔk͡p˨ˀ˩ʔtʰɤ̆ŋ˧˥
tức thời	tɯk˦˥tʰɤj˦˨
nhóc nhách	ɲɔk͡p˦˥ɲak˦˥
giấy cói	jɤ̆j˩˧kɔj˩˧
dụng ý	juŋ͡m˨ˀ˩ʔi˩˧
buốt	buək˦˥
tài khoản vãng lai	taj˦˨xwaŋ˧˩˨jaŋ˧˩˨laj˧˥
bàu bạu	băw˦˨băw˨ˀ˩ʔ
thơn thớt	tʰɤŋ˧˥tʰɤk˦˥
màn hình	maŋ˦˨hin˦˨
thoả nguyện	tʰwa˧˩˨ŋwiəŋ˨ˀ˩ʔ
dân trí	jɤ̆ŋ˧˥ʈi˩˧
giết sâu bọ	jet˦˥ʂɤ̆w˧˥bɔ˨ˀ˩ʔ
trở lui	ʈɤ˧˩˨luj˧˥
hoang hoác	hwaŋ˧˥hwak˦˥
phát hoả	fak˦˥hwa˧˩˨
bình thường hoá	bin˦˨tʰɯəŋ˦˨hwa˩˧
ao không cá, đá không màu	aw˧˥xoŋ͡m˧˥ka˩˧da˩˧xoŋ͡m˧˥măw˦˨
hồn bạch	hoŋ͡m˦˨bak˨ˀ˩ʔ
chén hà	cɛŋ˩˧ha˦˨
nhân sinh	ɲɤ̆ŋ˧˥ʂin˧˥
lính lệ	lin˩˧le˨ˀ˩ʔ
chịu lỗ	ciw˨ˀ˩ʔlo˧˩˨
săng lẻ	ʂăŋ˧˥lɛ˧˩˨
vi khí hậu học	ji˧˥xi˩˧hɤ̆w˨ˀ˩ʔhɔk͡p˨ˀ˩ʔ
ván bìa	jaŋ˩˧biə˦˨
lan chân rết	laŋ˧˥cɤ̆ŋ˧˥ʐet˦˥
âm thầm	ɤ̆m˧˥tʰɤ̆m˦˨
khỏe	xwe˧˩˨
tù nhân	tu˦˨ɲɤ̆ŋ˧˥
kì công	ki˦˨koŋ͡m˧˥
lưỡng thê	lɯəŋ˧˩˨tʰe˧˥
bầu hâm	bɤ̆w˦˨hɤ̆m˧˥
đầu	dɤ̆w˦˨
tâm phúc	tɤ̆m˧˥fuk͡p˦˥
bất thành khí	bɤ̆k˦˥tʰan˦˨xi˩˧
đại hoàng	daj˨ˀ˩ʔhwaŋ˦˨
bỉm sơn	bim˧˩˨ʂɤŋ˧˥
cờ vía	kɤ˦˨jiə˩˧
tứ khổ	tɯ˩˧xo˧˩˨
nuông dăm	nuəŋ˧˥jăm˧˥
ban bệ	baŋ˧˥be˨ˀ˩ʔ
trung văn	ʈuŋ͡m˧˥jăŋ˧˥
màu huyết dụ	măw˦˨hwiək˦˥ju˨ˀ˩ʔ
bàn chân	baŋ˦˨cɤ̆ŋ˧˥
nguyên vì	ŋwiəŋ˧˥ji˦˨
nấu rừ	nɤ̆w˩˧ʐɯ˦˨
mưng mủ	mɯŋ˧˥mu˧˩˨
nhận biết	ɲɤ̆ŋ˨ˀ˩ʔbiək˦˥
dâng công	jɤ̆ŋ˧˥koŋ͡m˧˥
hàm ơn	ham˦˨ɤŋ˧˥
chổi lúa	coj˧˩˨luə˩˧
ấm giỏ	ɤ̆m˩˧jɔ˧˩˨
nhìn nhõ	ɲin˦˨ɲɔ˧˩˨
tiếng địa phương	tiəŋ˩˧diə˨ˀ˩ʔfɯəŋ˧˥
hạo nhiên	haw˨ˀ˩ʔɲiəŋ˧˥
văn chấn	jăŋ˧˥cɤ̆ŋ˩˧
bẻ bão	bɛ˧˩˨baw˧˩˨
vận đơn	jɤ̆ŋ˨ˀ˩ʔdɤŋ˧˥
nói ngông	nɔj˩˧ŋoŋ͡m˧˥
trội	ʈoj˨ˀ˩ʔ
oán trách	waŋ˩˧ʈak˦˥
tràn quý tị	ʈaŋ˦˨wi˩˧ti˨ˀ˩ʔ
hoàng đản	hwaŋ˦˨daŋ˧˩˨
láng diềng	laŋ˩˧jiəŋ˦˨
nhóm con	ɲɔm˩˧kɔŋ͡m˧˥
