тата	tˈata
ăçта	(͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) t ˈa
ăслăлăхĕсен	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
Австрали	avstrˈalɪ
Англи	ˈanɡlɪ
Асăннă	ˈa s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Джон	dʒˈɔn
Колва	kˈɔlva
Лăпкă	l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Мари	mˈaɾɪ
Обь	ˈɔb
Олег	ˈolɛɡ
Официаллă	ˈɔ f ˈɪ t͡s ˈɪ ˈa l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Паллă	p ˈa l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Париж	pˈaɾɪʒ
Тĕслĕхрен	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x r jˈæ n
Украина	ˌʊkraˈina
Францири	frant͡sˈiɾɪ
авăн	ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
аманнă	ˈa m ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
вырăссем	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s s jˈæ m
вӑхӑтра	vɯxˈɯtra
герман	ɡˈɛrman
граждан	ɡrˈaʒdan
ен	jˈæn
илес	ˈilɛs
итал	ˈital
кăрлачăн	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r l ˈa t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
кулленхи	kʊllˈɛnxɪ
курнӑ	kˈʊrnɯ
лейтенанчĕ	l jˈɛ j t jˈæ n ˈa n t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
нимĕçсен	n ˈɪ m (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) s jˈæ n
пĕрлĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пĕрри	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r ˈɪ
палăкĕ	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
парса	pˈarsa
промăçлăх	p r ˈɔ m (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
пуçтарнă	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пысăкки	p ˈɯ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k k ˈɪ
сăнарланă	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa r l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
сĕт	s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t
самаях	samˈajax
системи	sɪstˈɛmɪ
тăрăшать	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa t
таврăнсан	t ˈa v r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa n
тутарсем	tutˈarsɛm
тытăмĕ	t ˈɯ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тытать	tˈɯtat
упранать	ʊprˈanat
фильмĕ	f ˈɪ l m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хăватлă	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa t l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
халăхсен	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x s jˈæ n
чăнах	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa x
чухнехи	t͡ʃʊxnˈɛxɪ
чысланă	t͡ʃ ˈɯ s l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чӳкĕн	t͡ʃ ˈø k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
шайĕнчен	ʃ ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈæ n
шывай	ʃˈɯvaj
шывпа	ʃˈɯvpa
шыраса	ʃɯɾˈasa
ывăлне	ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l n jˈɛ
юпписен	jʊppˈisɛn
ялĕнчен	jˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈæ n
çулĕпе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
çунтарса	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ n t ˈa r s ˈa
çх	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) x
çынни	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n n ˈɪ
ĕçĕнче	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
ĕмĕрти	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t ˈɪ
Геннадий	ɡɛnnˈadɪj
Норвеги	nɔrvˈɛɡɪ
Чĕлхе	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x jˈɛ
административлă	ˈa d m ˈɪ n ˈɪ s t r ˈa t ˈɪ v l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
влаçа	v l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa
вунă	v ˈʊ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
вуннă	v ˈʊ n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
выльăх	v ˈɯ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
вылять	vˈɯljat
выр	vˈɯr
вырăнсенче	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s jˈæ n t͡ʃ jˈɛ
институчĕ	ˈɪ n s t ˈɪ t ˈʊ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
иртсе	ˈɪrtsɛ
кăтартма	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa r t m ˈa
кайсан	kˈajsan
кивĕ	k ˈɪ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
командирĕн	k ˈɔ m ˈa n d ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
майор	mˈajɔr
математика	mˌatɛmatˈika
млрд	mlrd
океан	okˈɛan
пăлхар	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l x ˈa r
парти	pˈartɪ
пултарулăхне	p ˈʊ l t ˈa r ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x n jˈɛ
редактор	rɛdˈaktɔr
таврăнать	t ˈa v r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa t
тарса	tˈarsa
тенӗ	tˈɛnɵ
техникумĕнче	t jˈɛ x n ˈɪ k ˈʊ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
улăштарнă	ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ура	ˈuɾa
утравĕсем	ˈʊ t r ˈa v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
факультетне	fˌakʊltˈɛtnɛ
форми	fˈɔrmɪ
хăпартнă	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p ˈa r t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
халлĕхе	x ˈa l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x jˈɛ
хулинчен	xulˈɪnt͡ʃɛn
ялĕн	jˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
ӳнерленĕ	ˈø n jˈɛ r l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ӳссе	ˈøssɛ
The	(͡e͡n)tˈiː ˈe͡ɪt͡ʃ ˈiː(͡c͡v)
VI	(͡e͡n)vˈiː ˈa͡ɪ(͡c͡v)
Çакă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çĕнтернĕ	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n t jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çемье	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈæ m jˈɛ
çиме	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ m jˈɛ
çыру	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈʊ
ĕçĕн	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n
Алексеевич	ˌalɛksɛˈɛvɪt͡ʃ
Балти	bˈaltɪ
Вӑл	vˈɯl
Григорий	ɡriɡˈoɾɪj
Етĕрне	jˈɛ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r n jˈɛ
Кострома	kɔstrˈoma
Луза	lˈuza
Патша	pˈatʃa
Сăваплă	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa p l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Сулахай	sulˈaxaj
Тым	tˈɯm
вырăнсене	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s jˈæ n jˈɛ
журнал	ʒˈʊrnal
икӗ	ˈikɵ
историйĕ	ˈɪ s t ˈɔ r ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
калани	kalˈanɪ
культури	kʊltˈuɾɪ
культурин	kʊltˈuɾɪn
литературине	lˌitɛɾˌatuɾˈinɛ
нимĕнле	n ˈɪ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n l jˈɛ
операци	ˌopɛɾˈat͡sɪ
пăлхав	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l x ˈa v
пĕлнĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
патшалăха	p ˈa t ʃ ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x ˈa
сăмахпа	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x p ˈa
сăрт	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t
социаллă	s ˈɔ t͡s ˈɪ ˈa l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăвĕ	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тăвасси	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa s s ˈɪ
тăсăлать	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa t
тенкĕ	t jˈæ n k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
территорийĕ	t jˈɛ r r ˈɪ t ˈɔ r ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тинĕсĕн	t ˈɪ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тулаш	tˈulaʃ
туни	tˈunɪ
тухнӑ	tˈʊxnɯ
тӑнӑ	tˈɯnɯ
улăштарма	ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ t ˈa r m ˈa
хĕлле	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l l jˈɛ
халăхăн	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
чылайăшĕ	t͡ʃ ˈɯ l ˈa j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
шайĕ	ʃ ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ырă	ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ыт	ˈɯt
эрăчченхи	ˈɛ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t͡ʃ t͡ʃ jˈæ n x ˈɪ
эрехсем	eɾˈɛxsɛm
юрланă	jˈʊ r l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
яма	jˈama
япаласем	jˌapalˈasɛm
ячĕсене	jˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
ҫавӑн	çˈavɯn
ISO	(͡e͡n)ˈa͡ɪ ˈɛs ˈə͡ʊ(͡c͡v)
çара	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r ˈa
çивĕч	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t͡ʃ
çулсем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l s jˈæ m
çуралать	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r ˈa l ˈa t
çыраççĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
çыравçисен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa v (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ s jˈæ n
çӳллĕшĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ăсталăхне	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s t ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x n jˈɛ
ĕçĕсен	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) s jˈæ n
ĕçĕсенче	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) s jˈæ n t͡ʃ jˈɛ
Австри	ˈavstrɪ
Апла	ˈapla
Вăрман	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r m ˈa n
Кĕçтен	k (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) t jˈæ n
Литература	lˌitɛɾatˈuɾa
Оскар	ˈɔskar
Павлов	pˈavlɔv
Тутарстан	tutˈarstan
Унтан	ˈʊntan
Утрав	ˈʊtrav
Францин	frˈant͡sɪn
Христос	xrˈɪstɔs
Хулан	xˈulan
Чĕмпĕрти	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t ˈɪ
Юган	jˈuɡan
автомобиль	ˌavtomˈobɪl
аннă	ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
аталантарас	ˌatalantˈaɾas
ачасен	at͡ʃˈasɛn
вăйă	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
вăхăтри	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t r ˈɪ
вĕçленĕ	v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вак	vˈak
вырăнсем	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s jˈæ m
газ	ɡˈaz
еврей	jˈɛvrɛj
ислам	ˈɪslam
историллĕ	ˈɪ s t ˈɔ r ˈɪ l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кăрлач	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r l ˈa t͡ʃ
кĕртме	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t m jˈɛ
канашĕн	k ˈa n ˈa ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
килеççĕ	k ˈɪ l jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
колхоз	kˈɔlxɔz
куçма	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) m ˈa
лаша	lˈaʃa
малти	mˈaltɪ
музей	mˈuzɛj
пăхма	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x m ˈa
пĕрлешнĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ ʃ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
парне	pˈarnɛ
парни	pˈarnɪ
пуçарса	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r s ˈa
пулăшать	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa t
пурнăçне	p ˈʊ r n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) n jˈɛ
пурнăçра	p ˈʊ r n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) r ˈa
пӗрремӗш	pɵrrˈɛmɵʃ
разведка	razvˈɛdka
раштавăн	r ˈa ʃ t ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
сăввисене	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v v ˈɪ s jˈæ n jˈɛ
сарлака	sarlˈaka
терминпа	tɛrmˈɪnpa
турă	t ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тытаççĕ	t ˈɯ t ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
уйăраççĕ	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
университетĕнче	ˈʊ n ˈɪ v jˈɛ r s ˈɪ t jˈɛ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
футбол	fˈʊtbɔl
хĕвел	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈæ l
халалланă	x ˈa l ˈa l l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хуласем	xulˈasɛm
хулисем	xulˈisɛm
хывнă	x ˈɯ v n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
юратнă	jˈʊ r ˈa t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ÇП	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) p
Çу	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ
çĕрне	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r n jˈɛ
çĕртмен	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r t m jˈæ n
çĕршывра	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r ʃ ˈɯ v r ˈa
çитсе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t s jˈɛ
çичĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çулсен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l s jˈæ n
çуртсем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r t s jˈæ m
çыранĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çӳреççĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø r jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
ăсталанă	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s t ˈa l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ĕçĕсемпе	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) s jˈæ m p jˈɛ
Вырăнти	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t ˈɪ
Григорьевич	ɡrˌiɡɔrʲˈɛvɪt͡ʃ
Енчен	jˈænt͡ʃɛn
Кара	kˈaɾa
Лев	lˈɛv
Монголи	mɔnɡˈolɪ
Николаев	nˌikolˈaɛv
Ольга	ˈɔlɡa
Паян	pˈajan
Чăн	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
Чулхула	t͡ʃʊlxˈula
анлăшĕ	ˈa n l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕçсе	v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) s jˈɛ
вĕренет	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n jˈɛ t
вĕрентекен	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t jˈɛ k jˈæ n
вилет	vˈilɛt
вилсе	vˈɪlsɛ
вилсен	vˈɪlsɛn
вулавăшĕ	v ˈʊ l ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
выртать	vˈɯrtat
империйĕ	ˈɪ m p jˈɛ r ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
информаци	ˌɪnfɔrmˈat͡sɪ
иртеççĕ	ˈɪ r t jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
йышăнма	j ˈɯ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n m ˈa
йышĕнче	j ˈɯ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
кĕртсе	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t s jˈɛ
кĕскен	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s k jˈæ n
килĕшмен	k ˈɪ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ m jˈæ n
киле	kˈilɛ
килте	kˈɪltɛ
куçараççĕ	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
кунне	kˈʊnnɛ
курать	kˈuɾat
лайăхрах	l ˈa j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x r ˈa x
лартма	lˈartma
лат	lˈat
мĕш	m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
на	nˈa
нӳрĕк	n ˈø r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
отделени	ˌɔtdɛlˈɛnɪ
пĕлме	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l m jˈɛ
пайланă	p ˈa j l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
паян	pˈajan
пичетленсе	pˌit͡ʃɛtlˈɛnsɛ
пичетлесе	pˌit͡ʃɛtlˈɛsɛ
премине	prɛmˈinɛ
пурĕпе	p ˈʊ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
пуррине	pʊrrˈinɛ
пухса	pˈʊxsa
самолёт	samˈɔljɔt
статусне	statˈʊsnɛ
сумлă	s ˈʊ m l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăваттă	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa t t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăрăхĕнчи	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
тăратнă	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тапхăр	t ˈa p x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
тарнă	t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
татса	tˈatsa
теорийĕ	t jˈɛ ˈɔ r ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тискер	tˈɪskɛr
тупма	tˈʊpma
тырă	t ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
унашкал	unˈaʃkal
унран	ˈʊnran
филологи	fˌilolˈoɡɪ
хуларан	xulˈaɾan
хулинчи	xulˈɪnt͡ʃɪ
хушамат	xuʃˈamat
хыҫҫӑн	xˈɯççɯn
чĕлхинчен	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ n t͡ʃ jˈæ n
чĕрчун	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t͡ʃ ˈʊ n
чарнă	t͡ʃ ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чуллă	t͡ʃ ˈʊ l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чысласа	t͡ʃɯslˈasa
эпĕ	ˈɛ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ҫинче	çˈɪnt͡ʃɛ
ӳкет	ˈykɛt
Çеçпĕл	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈɛ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l
